nu,[0]Isovaleraldehyde-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
691.63793,0.9540950303200827
691.878984,0.9560309423305193
692.120038,0.9581662283887827
692.361092,0.9594836536504824
692.602146,0.9610969409705189
692.8432,0.9633504678562123
693.084254,0.9637831093370237
693.325308,0.9646827385898218
693.566362,0.9660545271863248
693.807416,0.9677582157720923
694.04847,0.9675956460480818
694.289524,0.968910533541951
694.530578,0.9706386714262658
694.771632,0.9713455536529749
695.012686,0.9717798421717105
695.25374,0.9719042379526687
695.494794,0.9732025965718832
695.735848,0.9740817954151231
695.976902,0.9743789356743108
696.217956,0.9758835628934316
696.45901,0.975728409741934
696.700064,0.9756698677936255
696.941118,0.9763950598808948
697.182172,0.9763198803557328
697.423226,0.9757176767884582
697.66428,0.9772996204532529
697.905334,0.9780494968029587
698.146388,0.9782245833326633
698.387442,0.978130678280178
698.628496,0.9785445150774025
698.86955,0.9780064635718374
699.110604,0.9780641676554418
699.351658,0.980232000628209
699.592712,0.9808497413565024
699.833766,0.9809831459926365
700.07482,0.9812470659545519
700.315874,0.9807634303770019
700.556928,0.9818546459149755
700.797982,0.9813294941700287
701.039036,0.9815375580767877
701.28009,0.9827111965680224
701.521144,0.9824400057038305
701.762198,0.982708248438855
702.003252,0.9833737671757216
702.244306,0.982831094647638
702.48536,0.9825195865672739
702.726414,0.9820127372389779
702.967468,0.9831250050823579
703.208522,0.9832567526599295
703.449576,0.9831259882078546
703.69063,0.9835960347623945
703.931684,0.9833865511177904
704.172738,0.9834681755889018
704.413792,0.9845279413954602
704.654846,0.9850794314454433
704.8959,0.9845013594998997
705.136954,0.9845791381795176
705.378008,0.9844531201151587
705.619062,0.9852419829617631
705.860116,0.9845742152961339
706.10117,0.9848125110888635
706.342224,0.9852094705127837
706.583278,0.985793872987006
706.824332,0.9854814258547561
707.065386,0.9860344360395138
707.30644,0.9877131079208962
707.547494,0.9864220237288697
707.788548,0.9865749309925544
708.029602,0.9879748865786354
708.270656,0.9871522461754119
708.51171,0.9875619993754828
708.752764,0.9884591128988188
708.993818,0.9883691672121359
709.234872,0.9881379158844688
709.475926,0.9884937095732086
709.71698,0.9884630667431782
709.958034,0.9891087439164149
710.199088,0.9893273611051301
710.440142,0.9902821266870618
710.681196,0.9897548428545372
710.92225,0.9902949014088929
711.163304,0.9901965700074179
711.404358,0.990674058863259
711.645412,0.9905913410328614
711.886466,0.9906385933667878
712.12752,0.9904515784551233
712.368574,0.9911471195695662
712.609628,0.9904774295786767
712.850682,0.9914704844979223
713.091736,0.9914621561808314
713.33279,0.9916802026823098
713.573844,0.9919420408169309
713.814898,0.9924671154674298
714.055952,0.9928081857608252
714.297006,0.9918849066008611
714.53806,0.9925486996173838
714.779114,0.9929089609059321
715.020168,0.9920230857923079
715.261222,0.9925645805236246
715.502276,0.9936298758181319
715.74333,0.9925443324127133
715.984384,0.9923203404353333
716.225438,0.9933169316985356
716.466492,0.9934322624891287
716.707546,0.9933758371391145
716.9486,0.9930561209182258
717.189654,0.9935760225382996
717.430708,0.9931452020475011
717.671762,0.992665529474631
717.912816,0.9929273298916214
718.15387,0.9932287290712555
718.394924,0.9929569195669361
718.635978,0.9937538885648685
718.877032,0.9934272953402341
719.118086,0.993375539126408
719.35914,0.993361433293904
719.600194,0.994039435073845
719.841248,0.9943634453203375
720.082302,0.9935178006892957
720.323356,0.9936694230741746
720.56441,0.9944812843704337
720.805464,0.9936916815185451
721.046518,0.9935519782894907
721.287572,0.9939013725849751
721.528626,0.9942192730735065
721.76968,0.9933170310302338
722.010734,0.9937709812787486
722.251788,0.9944848645095017
722.492842,0.9944048117000776
722.733896,0.9941601187866161
722.97495,0.9947729090330976
723.216004,0.9944293738022673
723.457058,0.994808025136582
723.698112,0.9952589743109385
723.939166,0.9949031333298842
724.18022,0.9943736873165705
724.421274,0.9943512147251783
724.662328,0.9946039114726021
724.903382,0.9946861686173669
725.144436,0.993917175742434
725.38549,0.9940971904428
725.626544,0.9933304409006691
725.867598,0.9934230236120484
726.108652,0.9943092539892947
726.349706,0.9948656261887717
726.59076,0.9947287420964497
726.831814,0.9941693645187134
727.072868,0.9938204723059327
727.313922,0.993801888036864
727.554976,0.9934542175847326
727.79603,0.9937833041153179
728.037084,0.9933630226734689
728.278138,0.9918905603609419
728.519192,0.9928722239540163
728.760246,0.992618378981814
729.0013,0.9933192163301059
729.242354,0.9912754814328018
729.483408,0.9939370542847336
729.724462,0.994973972954838
729.965516,0.9945499059464724
730.20657,0.9943959615366367
730.447624,0.9953065488269324
730.688678,0.9950922823935792
730.929732,0.994672939379299
731.170786,0.9956153408095388
731.41184,0.9942684881455867
731.652894,0.994758385454648
731.893948,0.9950543700998538
732.135002,0.9952954014560109
732.376056,0.9948085225407189
732.61711,0.9947142191628328
732.858164,0.9947931031281203
733.099218,0.9945693993156633
733.340272,0.9943059727741705
733.581326,0.9947182974994919
733.82238,0.9938735437361484
734.063434,0.9945833233847221
734.304488,0.9940831737712326
734.545542,0.9937869811203456
734.786596,0.9948736846329805
735.02765,0.9938711584425057
735.268704,0.9945479168486496
735.509758,0.994372593506116
735.750812,0.9939245307567479
735.991866,0.9941676744322303
736.23292,0.994259340917573
736.473974,0.9945985406259814
736.715028,0.9941658849320268
736.956082,0.9939150885185565
737.197136,0.9945533868772349
737.43819,0.994515395663493
737.679244,0.9944639805466294
737.920298,0.9946809962627383
