nu,[0]Methylacetoacetate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
551.694634,0.8067592357672563
551.814236,0.8204765081511646
551.933839,0.8176670946267723
552.053441,0.8096768998233906
552.173043,0.8160252343888849
552.292646,0.8243335807395697
552.412248,0.8181087540951949
552.531851,0.8197793994324133
552.651453,0.8192794864877092
552.771055,0.8308549899629231
552.890658,0.8213877427168353
553.01026,0.8364153158183204
553.129863,0.8173891350704015
553.249465,0.8342768310382417
553.369067,0.8298170700605543
553.48867,0.8320772449354759
553.608272,0.8347691996029981
553.727875,0.8236826143763547
553.847477,0.8415919518165813
553.967079,0.8331846439283305
554.086682,0.8470462341893996
554.206284,0.8385425111148747
554.325887,0.8486232063144272
554.445489,0.847054704694094
554.565091,0.8416929489105037
554.684694,0.8562610366247599
554.804296,0.8471309430481909
554.923898,0.8602089105418279
555.043501,0.8520670994762832
555.163103,0.8520756201898815
555.282706,0.854123057620484
555.402308,0.8633544101098581
555.52191,0.8585932369990091
555.641513,0.8639416907615246
555.761115,0.8608112675795742
555.880718,0.8561154846208047
556.00032,0.8732704301805138
556.119922,0.8662948109530796
556.239525,0.868723835471111
556.359127,0.8716999572558487
556.47873,0.8687498975771047
556.598332,0.8756664722377833
556.717934,0.8744413969294618
556.837537,0.8821351530182643
556.957139,0.8817294641634662
557.076742,0.8785697305026201
557.196344,0.8773669140892052
557.315946,0.8786839519918214
557.435549,0.8798885739837017
557.555151,0.8866810005245844
557.674753,0.8837686135364509
557.794356,0.8874704978892652
557.913958,0.8852103310570864
558.033561,0.8893895059472984
558.153163,0.8928738263228345
558.272765,0.8869736535398492
558.392368,0.89574455636202
558.51197,0.8944556124631953
558.631573,0.8894606599538966
558.751175,0.8983370024100819
558.870777,0.9018924509576605
558.99038,0.895278890276387
559.109982,0.8976455491618902
559.229585,0.8980136592944672
559.349187,0.8965241932189121
559.468789,0.8975198875815235
559.588392,0.9003155193860558
559.707994,0.9009549703830616
559.827597,0.9010270496638251
559.947199,0.9054529167260614
560.066801,0.9062192540085755
560.186404,0.9106141654779526
560.306006,0.8986065439400128
560.425609,0.9056802139327658
560.545211,0.9041590443943469
560.664813,0.909052891526161
560.784416,0.9102927754062239
560.904018,0.9077611369695702
561.02362,0.9140984499823871
561.143223,0.9064684985729847
561.262825,0.9132761314762372
561.382428,0.9126617034179864
561.50203,0.9170961128039876
561.621632,0.9164937785463454
561.741235,0.9135346251965812
561.860837,0.9123350290063714
561.98044,0.9171254603491555
562.100042,0.9164323755202072
562.219644,0.9191278938381386
562.339247,0.9220811906769382
