nu,[0]Furfural-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
619.616392,0.9579659925724211
619.735395,0.9576815189190557
619.854397,0.9552626023669399
619.973399,0.9544471563495278
620.092402,0.952009752519568
620.211404,0.956679351095152
620.330407,0.9541684984659047
620.449409,0.958280256954526
620.568411,0.9596630938708527
620.687414,0.9613987727951001
620.806416,0.9622480628178414
620.925419,0.960392715043121
621.044421,0.9580723326993645
621.163423,0.9484340716836823
621.282426,0.9535065352557721
621.401428,0.9572908645582455
621.52043,0.964697208939428
621.639433,0.9652800620575496
621.758435,0.9684678425907094
621.877438,0.969127593811307
621.99644,0.9658111121170607
622.115442,0.9629449826698655
622.234445,0.9650358770925496
622.353447,0.9604301710893958
622.472449,0.9528707584518914
622.591452,0.9381832374127029
622.710454,0.9346370564244122
622.829457,0.9532443570097379
622.948459,0.965517550162655
623.067461,0.9716447741610929
623.186464,0.9758133018063329
623.305466,0.9804721868899785
623.424468,0.9767524858777786
623.543471,0.982034341756846
623.662473,0.9804966990010509
623.781476,0.9790153082058252
623.900478,0.9815719124925191
624.01948,0.9802986586705995
624.138483,0.9814865194507834
624.257485,0.9819233781457896
624.376488,0.9817819913594295
624.49549,0.9815817282607228
624.614492,0.9833010002093616
624.733495,0.9782519740044643
624.852497,0.9820215753933846
624.971499,0.9827593505964184
625.090502,0.9833226330693268
625.209504,0.982401691290744
625.328507,0.9822651469457063
625.447509,0.9838931256233548
625.566511,0.9849021331051124
625.685514,0.9832872340917217
625.804516,0.9844137427779062
625.923518,0.9857721857603607
626.042521,0.984776073700049
626.161523,0.984644122547098
626.280526,0.9821816579565482
626.399528,0.984797739011988
626.51853,0.9836639052302973
626.637533,0.9880677605829836
626.756535,0.9846805550536294
626.875538,0.9833137832054536
626.99454,0.9860561290357287
627.113542,0.984802663012993
627.232545,0.9868818035122966
627.351547,0.9849513794429159
627.470549,0.9836688235621194
627.589552,0.9840249761359754
627.708554,0.9877239728248401
627.827557,0.9835763630384172
627.946559,0.9866410337273479
628.065561,0.98644175236663
628.184564,0.9878108963590282
628.303566,0.9846027683623949
628.422568,0.9888783084258596
628.541571,0.9897568223662023
628.660573,0.9883780625746699
628.779576,0.9849503944920289
628.898578,0.9892472288342813
629.01758,0.9870604452853251
629.136583,0.9874800351310978
629.255585,0.9874444864897125
629.374587,0.9877862013953076
629.49359,0.9892333794700234
629.612592,0.9883948651445551
629.731595,0.9887042811584253
629.850597,0.9868877248208816
629.969599,0.9875244727325173
630.088602,0.9890137940346663
630.207604,0.9870782125332449
630.326607,0.9904812924481847
630.445609,0.988501617554517
630.564611,0.9868640397997073
630.683614,0.989492592570878
630.802616,0.9905926288024417
630.921618,0.9852350862920207
631.040621,0.9892581106136482
631.159623,0.9900720111138296
631.278626,0.9867831202661899
631.397628,0.9884255058603032
631.51663,0.9873378482437406
631.635633,0.9890761038664295
631.754635,0.9910855712445362
631.873637,0.9885461011281799
631.99264,0.9878415189714633
632.111642,0.99217041215926
632.230645,0.98653842839541
632.349647,0.988097403060436
632.468649,0.9888090893669651
632.587652,0.9888951194999965
632.706654,0.9885876209363371
632.825657,0.9860630314527904
632.944659,0.990521506805004
633.063661,0.9906742569980905
633.182664,0.9878563367053806
633.301666,0.9889356650310738
633.420668,0.9899122263862102
633.539671,0.989055333486338
633.658673,0.9894450980663118
633.777676,0.9913417008466653
633.896678,0.9885935524798574
634.01568,0.989988452562312
634.134683,0.9895836300770555
634.253685,0.9885836665937621
634.372687,0.9911674382937836
634.49169,0.9905800483559419
634.610692,0.9917315730472898
634.729695,0.9916386521523072
634.848697,0.9898162095571422
634.967699,0.9901597353801419
635.086702,0.9904223605645249
635.205704,0.9911207554068306
635.324706,0.9890523663247883
635.443709,0.9894935820639653
635.562711,0.9909672426916848
635.681714,0.9891364393489789
635.800716,0.9896182661102353
635.919718,0.9912522858579255
636.038721,0.9916830785590677
636.157723,0.9885302845170951
636.276726,0.9907500464776615
636.395728,0.9928591181271588
636.51473,0.9919651533357419
636.633733,0.9924014163190517
636.752735,0.9915007248088619
636.871737,0.9914718725575722
636.99074,0.9919205159081914
637.109742,0.9897330684875133
637.228745,0.9919517618965642
637.347747,0.9935582376866711
637.466749,0.9897795870349094
637.585752,0.9921263607709082
637.704754,0.9900082525293623
637.823756,0.9947424694478092
637.942759,0.991444111733794
638.061761,0.9913448731451836
638.180764,0.9920616762409246
638.299766,0.9922111912012034
638.418768,0.9922043449676036
638.537771,0.989123580658849
638.656773,0.9902428132670089
638.775776,0.9922147631679212
638.894778,0.9932466073492827
639.01378,0.9918741943017164
639.132783,0.9930923681281469
639.251785,0.9917889959677467
639.370787,0.9925060209408983
639.48979,0.9926829012733996
639.608792,0.9917208624041384
639.727795,0.994038739246484
639.846797,0.9937153316620009
639.965799,0.9926019016534852
640.084802,0.9931173943711531
640.203804,0.9901008226285585
640.322806,0.992459771237949
640.441809,0.9913365458832237
640.560811,0.99249579818153
640.679814,0.9916712776006487
640.798816,0.9946616001724237
640.917818,0.9922224032510119
641.036821,0.9957083356251608
641.155823,0.9941770196522924
641.274825,0.99426192599522
641.393828,0.9936533257599094
641.51283,0.9942159921553189
641.631833,0.9913217750787329
641.750835,0.9943134300969313
641.869837,0.9932291263628266
641.98884,0.9946274838646357
642.107842,0.9921982925395593
642.226845,0.9934752790373961
642.345847,0.9950467082107023
642.464849,0.9923936756181931
642.583852,0.9941282067589938
642.702854,0.9941172714088641
642.821856,0.996187286918371
642.940859,0.9942598380473677
643.059861,0.9951773664210142
643.178864,0.9957282499910163
643.297866,0.995601900093163
643.416868,0.9968621334263094
643.535871,0.9978990101753682
643.654873,0.9951858254645796
643.773875,0.9948602539288954
643.892878,0.9936850238065823
644.01188,0.9961348888451604
644.130883,0.9961835014138731
644.249885,0.9957287478552658
644.368887,0.9973146121221091
644.48789,0.9959840854390952
644.606892,0.9985166013250852
644.725895,0.9955508270257236
644.844897,0.9967860757471663
644.963899,0.995521558261662
645.082902,0.9959385700064262
645.201904,0.9959139706275506
645.320906,0.9995105198345222
645.439909,0.9965229589561136
645.558911,0.9997182696934382
645.677914,0.9965398003364292
645.796916,0.9977530282290192
645.915918,0.9965104028459344
646.034921,0.9967048409923541
646.153923,0.9963664174959153
646.272925,0.996502630095106
646.391928,0.9951571645255257
646.51093,0.9954770594425637
646.629933,0.9992947587995581
