nu,[0]cis-1-3-Dichloropropene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
642.793518,0.9741986922442424
642.91272,0.9723543338039897
643.031922,0.9713581812272515
643.151124,0.9714018933289217
643.270326,0.972667482313679
643.389528,0.974468582660091
643.50873,0.9678472536236217
643.627932,0.9734147778648565
643.747134,0.9686625241919156
643.866336,0.9746751918994204
643.985538,0.9732094090139027
644.10474,0.9703484938472192
644.223942,0.9705949936688085
644.343144,0.9701796678975734
644.462346,0.9684620318010861
644.581548,0.9703242354381044
644.70075,0.97114644822348
644.819952,0.9717778986139698
644.939154,0.9701748170113611
645.058356,0.9693815385061879
645.177558,0.9693388866568412
645.29676,0.9689056890013947
645.415962,0.9689066579075681
645.535164,0.9679130694745817
645.654366,0.9696985781024284
645.773568,0.9684688110590361
645.89277,0.966170460685458
646.011972,0.9693602123469294
646.131174,0.9688359303031299
646.250376,0.9677543447469712
646.369578,0.9660255459852294
646.48878,0.9647734230293511
646.607982,0.9664120334959725
646.727184,0.9683690639085636
646.846386,0.9648371001765937
646.965588,0.9650300868946576
647.08479,0.966938871604572
647.203992,0.9645351534213709
647.323194,0.9644338825470755
647.442396,0.9654992055034767
647.561598,0.9641320619792213
647.6808,0.9617141633137943
647.800002,0.9652511040900595
647.919204,0.964420380567234
648.038406,0.9660071916742221
648.157608,0.9631645591566825
648.27681,0.9626715451247566
648.396012,0.9613853133064976
648.515214,0.9621345242453364
648.634416,0.9633918928169604
648.753618,0.9604724309466337
648.87282,0.9615824174982148
648.992022,0.9594635047053204
649.111224,0.961655500539065
649.230426,0.9601248028511126
649.349628,0.9606876008692974
649.46883,0.961418000962837
649.588032,0.9615814559162781
649.707234,0.9618728592427953
649.826436,0.9617103164648348
649.945638,0.958653100487847
650.06484,0.9602265814743866
650.184042,0.9595527389605866
650.303244,0.958341588853571
650.422446,0.9609672016410896
650.541648,0.9590126628142526
650.66085,0.9573990445379943
650.780052,0.9595047625230594
650.899254,0.9597235545502579
651.018456,0.957022860638469
651.137658,0.9594203298190509
651.25686,0.9564526449546813
651.376062,0.9571568532182201
651.495264,0.9565530777550313
651.614466,0.9542267045195777
651.733668,0.954540696754255
651.85287,0.9539996255873668
651.972072,0.953802168102425
652.091274,0.9541856736534533
652.210476,0.9544652910177772
652.329678,0.9549837064078405
652.44888,0.9526735346182629
652.568082,0.9523858706502537
652.687284,0.9522182654867063
652.806486,0.9526173285378161
652.925688,0.9516452026001188
653.04489,0.9521668470886793
653.164092,0.9502672672568003
653.283294,0.9513540437177042
653.402496,0.9513150390015138
653.521698,0.9505837589497391
653.6409,0.9493563977792246
