nu,[0]Phenol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
624.52149,0.9751372974507444
624.656493,0.9826473224161779
624.791496,0.9906440418940348
624.926499,0.9815189090403506
625.061501,0.9781629571251592
625.196504,0.9874375744024995
625.331507,0.988533250112397
625.466509,0.974568958093351
625.601512,0.9863944042988791
625.736515,0.986275057796568
625.871517,0.9954541637334982
626.00652,0.9783703496549012
626.141523,0.9850991332310894
626.276526,0.9880312027521662
626.411528,0.9855149327928499
626.546531,0.9890731366425687
626.681534,0.9894173939914248
626.816536,0.9722405750019544
626.951539,0.9873338989002463
627.086542,0.9883157967181228
627.221544,0.9857130412035695
627.356547,0.9875649620659249
627.49155,0.9862148968529698
627.626553,0.9793110154784541
627.761555,0.9854518618554426
627.896558,0.9901023077809064
628.031561,0.9867683186303985
628.166563,0.9979941144826862
628.301566,0.9786022509069823
628.436569,0.9908091960210326
628.571571,0.9905977798975043
628.706574,0.9855789933454268
628.841577,0.9898112604884671
628.97658,0.9926474631263988
629.111582,0.9959622736264643
629.246585,0.9878968396454901
629.381588,0.9939039567319032
629.51659,0.9928422396656179
629.651593,0.9867179947294187
629.786596,0.9874217755277003
629.921598,0.9918841130932533
630.056601,0.9939144921696823
630.191604,0.9921703129422238
630.326607,0.9908803386752976
630.461609,0.9933528904223121
630.596612,0.9804957185048422
630.731615,0.991803872914263
630.866617,0.991848108353438
631.00162,0.9951408440818555
631.136623,0.9889317092963251
631.271625,0.9971205535810986
631.406628,0.9906893153612402
631.541631,0.9940214431228979
631.676634,0.9954533673704857
631.811636,0.9971955398661769
631.946639,0.99437905694898
632.081642,0.9922611006793336
632.216644,0.9855730798892072
632.351647,0.9919177385346352
632.48665,0.9959068996634611
632.621652,0.9992555272574478
632.756655,0.9938169939403667
632.891658,0.9879156098637599
633.026661,1.0
633.161663,0.9960408581499721
633.296666,0.9906804982655696
633.431669,0.9946342473545219
633.566671,0.9967121169642505
633.701674,0.9963004602222869
633.836677,0.9937340136858466
633.971679,0.9948088209833205
634.106682,0.9839649524431724
634.241685,0.9968037190168495
634.376688,0.9939056463700658
634.51169,0.9973070325598594
634.646693,0.9932934896955643
634.781696,1.0
634.916698,0.9924456784092568
635.051701,0.9945806380133742
635.186704,0.9893382437659567
635.321706,0.9917766978604451
635.456709,0.9954561546438165
635.591712,0.9878751061540872
635.726715,0.996039862109612
635.861717,0.9930687328110469
635.99672,0.9973872192687397
636.131723,0.9995535496886121
636.266725,0.9979534969487991
636.401728,0.9992511105577783
636.536731,0.996901510258267
636.671733,0.9943002058162527
636.806736,0.9950370563044445
636.941739,0.9997742854773567
637.076742,0.9962306220078833
637.211744,0.9876044654544701
637.346747,1.0
637.48175,0.9855602675224491
637.616752,0.9951423367942411
637.751755,1.0
637.886758,0.9946169408691847
638.02176,0.9966148426087006
638.156763,0.9965111004034606
638.291766,0.996052611501443
638.426769,0.9927692684427278
638.561771,0.9956337598637196
638.696774,0.9919064307368705
638.831777,0.9953783130161707
638.966779,0.9953765213368198
639.101782,0.9995153075013786
639.236785,1.0
639.371787,0.9927836637014856
639.50679,0.9976400889787059
639.641793,0.9930655549961864
639.776796,0.9920760612395211
639.911798,1.0
640.046801,0.9932199886968973
640.181804,0.9938119254866222
640.316806,1.0
640.451809,0.9951591548418451
640.586812,1.0
640.721814,0.998884322831068
640.856817,0.9999250088119798
640.99182,0.9975783369684426
641.126823,0.9998156669914171
641.261825,1.0
641.396828,0.9989876128100487
641.531831,0.9988353786983903
641.666833,0.991305021882299
641.801836,0.9958265332194879
641.936839,1.0
642.071841,0.9993118069135632
642.206844,0.9964293898434062
642.341847,0.9954608332987382
642.47685,0.9997889822673743
642.611852,0.9996646362469992
642.746855,0.9955829838367662
642.881858,0.9960880716055985
643.01686,0.9888051341385181
643.151863,0.9960176506683455
643.286866,1.0
643.421868,0.9993936638960744
643.556871,0.9987385962393803
643.691874,0.9901845887014078
643.826877,0.997000507493367
643.961879,1.0
644.096882,0.9932537587506006
644.231885,1.0
644.366887,0.995731535899663
644.50189,0.9909705128889815
644.636893,0.9969396923172916
644.771895,0.9962336107042323
644.906898,0.9976093621371612
645.041901,1.0
645.176904,1.0
645.311906,1.0
645.446909,0.9986937538831276
645.581912,0.9966684619295798
645.716914,0.9992837666176684
645.851917,0.9890058819559623
645.98692,0.9969925315212109
646.121922,0.9947597781173625
646.256925,0.9894361931005016
646.391928,0.9999082452097283
646.526931,1.0
646.661933,0.997654255568552
646.796936,0.9972097001433807
646.931939,0.9962811321808411
647.066941,0.9993769042048614
647.201944,0.9932133341452658
647.336947,0.9982665042424207
647.471949,0.989061267836142
647.606952,0.9985087130750934
647.741955,0.9966602892816999
647.876958,0.998415456716432
648.01196,0.9900732982082806
648.146963,0.9983335900055622
648.281966,0.9976557520510577
648.416968,0.9973351570147305
648.551971,0.9924761469592738
648.686974,0.9910109453107232
648.821976,0.9889079752201121
648.956979,0.9930557236958569
649.091982,0.9899102465637373
649.226985,0.9910481089179857
649.361987,0.9885243533531815
649.49699,0.9950304890815447
649.631993,0.9930863102831777
649.766995,0.9986042749314966
649.901998,0.9975792347893498
650.037001,0.9948202613505437
650.172003,0.9958214545171192
650.307006,0.9869844445571037
650.442009,0.9902550923540236
650.577012,0.9873348862346388
650.712014,0.9827976789584898
650.847017,0.9792032971913658
650.98202,0.9904656429673953
651.117022,0.9941523643679319
651.252025,0.987949199565517
651.387028,0.9929436140333612
651.52203,0.9961692560916572
651.657033,0.9948304085689602
651.792036,0.9907624309306452
651.927039,0.9862306764175557
652.062041,0.9917724332298132
652.197044,0.9924812086005305
