nu,[0]Perfluorotributylamine-HITRAN(x-sec)-X=0.01-T=298.2K-P=0.0atm-L=15cm
566.190132,0.9999996573100587
566.250397,0.9999981748016656
566.310662,1.0
566.370927,1.0
566.431192,1.0
566.491457,1.0
566.551723,1.0
566.611988,1.0
566.672253,1.0
566.732518,1.0
566.792783,0.9999998641400092
566.853048,0.9999990124904876
566.913313,1.0
566.973578,0.999999091180413
567.033843,1.0
567.094108,0.9999983412013758
567.154373,1.0
567.214638,1.0
567.274903,1.0
567.335168,1.0
567.395433,0.9999971997039209
567.455698,0.9999959101083636
567.515963,0.9999982739014898
567.576228,0.9999964395063385
567.636493,1.0
567.696758,0.9999997585400292
567.757023,1.0
567.817288,1.0
567.877554,1.0
567.937819,0.9999999131010038
567.998084,1.0
568.058349,1.0
568.118614,0.9999971366040995
568.178879,0.9999986288009401
568.239144,0.9999977729024799
568.299409,0.9999994579101469
568.359674,1.0
568.419939,1.0
568.480204,1.0
568.540469,1.0
568.600734,1.0
568.660999,1.0
568.721264,0.9999996485700617
568.781529,0.999996706705423
568.841794,1.0
568.902059,0.9999979903020194
568.962324,1.0
569.022589,1.0
569.082854,1.0
569.143119,1.0
569.203385,1.0
569.26365,0.9999925682276157
569.323915,0.9999983689013302
569.38418,0.9999950843120821
569.444445,1.0
569.50471,0.9999940473177172
569.564975,0.9999972167038734
569.62524,0.9999976658027242
569.685505,1.0
569.74577,1.0
569.806035,0.9999986596008983
569.8663,0.9999988194006969
569.926565,0.9999991861403312
569.98683,0.9999962307071038
570.047095,0.9999946520143005
570.10736,0.9999970321044042
570.167625,0.9999970758042754
570.22789,0.9999982839014725
570.288155,0.9999998708200083
570.34842,1.0
570.408685,1.0
570.46895,1.0
570.529216,1.0
570.589481,0.9999983759013189
570.649746,1.0
570.710011,0.9999957571090011
570.770276,0.9999977365025617
570.830541,0.9999977802024638
570.890806,0.9999982198015845
570.951071,1.0
571.011336,1.0
571.071601,0.9999986737008796
571.131866,0.9999976585027414
571.192131,0.9999971317041135
571.252396,1.0
571.312661,0.9999919707322348
571.372926,0.999995723109146
571.433191,0.9999936490201675
571.493456,0.999996616805723
571.553721,1.0
571.613986,0.9999987325008033
571.674251,0.999999202420318
571.734516,0.9999971803039753
571.794782,0.9999967674052248
571.855047,0.9999942804163569
571.915312,0.9999961748073161
571.975577,0.9999941056173719
572.035842,0.9999958469086241
572.096107,0.9999953758106916
572.156372,0.9999964808061924
572.216637,1.0
572.276902,1.0
572.337167,0.9999976439027756
572.397432,0.9999979592020825
572.457697,1.0
572.517962,0.9999977875024476
572.578227,1.0
572.638492,0.9999949945125275
572.698757,0.9999962744069401
572.759022,1.0
572.819287,0.9999973503035104
572.879552,0.999996920404742
