nu,[0]Ethylacrylate-PNNL(x-sec)-X=0.01-T=278.27K-P=1.0atm-L=15cm
603.32239,0.9831977590245966
603.441992,0.9841342089706366
603.561594,0.986644980299376
603.681196,0.9867515437115689
603.800798,0.9831210725902025
603.9204,0.9841735751263133
604.040002,0.9834327713718604
604.159604,0.9861310721493377
604.279206,0.9859880935100779
604.398808,0.9825235166534804
604.51841,0.9821777292377739
604.638012,0.9834986635749065
604.757614,0.9855238024671584
604.877216,0.9864092003259135
604.996818,0.9808193354858138
605.11642,0.9812323473589524
605.236022,0.9833600000393513
605.355624,0.9848509195257557
605.475226,0.9827632816416828
605.594828,0.9839659364086167
605.71443,0.9833914680628383
605.834032,0.980911536836745
605.953634,0.9805496472523869
606.073236,0.9839934878405545
606.192838,0.9840820512397533
606.31244,0.984664800290787
606.432042,0.9839639684787119
606.551644,0.9836511176826487
606.671246,0.984302510309725
606.790848,0.983328533022825
606.91045,0.9832626522181441
607.030052,0.9836688235621194
607.149654,0.983920675016562
607.269256,0.9838665608675888
607.388858,0.9837760493075846
607.50846,0.984716004191692
607.628062,0.9848519043771675
607.747664,0.9822209460086223
607.867266,0.9859417531586897
607.986868,0.9841991639719202
608.10647,0.9850912524695467
608.226072,0.985575051037338
608.345674,0.9847169889081885
608.465276,0.9829549391676045
608.584878,0.9845308949837147
608.70448,0.9851917369019175
608.824082,0.9825117264420219
608.943684,0.98226023563225
609.063286,0.9814668899166904
609.182888,0.9814639455204373
609.30249,0.9790495743412663
609.422092,0.9792669474742951
609.541694,0.9801104593958432
609.661296,0.9760123880260053
609.780898,0.9763921307001089
609.9005,0.9775146500221379
610.020102,0.9740574436746358
610.139704,0.9723426656219933
610.259306,0.9705270543971539
610.378908,0.9658391210454396
610.49851,0.9654354846587245
610.618112,0.9740847176648927
610.737714,0.9753635555486775
610.857316,0.9754503667681633
610.976918,0.9794931842685053
611.09652,0.981798681795151
611.216122,0.9826119477493188
611.335724,0.9800575348600112
611.455326,0.9789320954412203
611.574928,0.9794941637621793
611.69453,0.982621773917927
611.814132,0.9843655076862794
