nu,[0]m-Xylene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
657.378334,0.9942301101226448
657.619388,0.9942524805517889
657.860442,0.9940076263208654
658.101496,0.9945251419621273
658.34255,0.9939542495445113
658.583604,0.9935598273811231
658.824658,0.9933437516177588
659.065712,0.9937188096717482
659.306766,0.993507368807156
659.54782,0.9933698769019723
659.788874,0.9935759231807023
660.029928,0.993347725000712
660.270982,0.9936816452832449
660.512036,0.9930577098092904
660.75309,0.9932692536300969
660.994144,0.9928673588920384
661.235198,0.9922995019269892
661.476252,0.9916120765925436
661.717306,0.9915236287401443
661.95836,0.9914008857128565
662.199414,0.9905271527936839
662.440468,0.9904362265746347
662.681522,0.9900488436998294
662.922576,0.9897073357622594
663.16363,0.9898478841826394
663.404684,0.9898666914711075
663.645738,0.9891295154181372
663.886792,0.9897291095631572
664.127846,0.9883652137433739
664.3689,0.9880993792572184
664.609954,0.987773360258157
664.851008,0.9868354211575254
665.092062,0.9860127435205395
665.333116,0.9849366052830307
665.57417,0.9843074318345804
665.815224,0.9824517950546349
666.056278,0.9805094455409903
666.297332,0.9785161376979392
666.538386,0.9766704421148512
666.77944,0.974245454903765
667.020494,0.9742737084316314
667.261548,0.9738081168842458
667.502602,0.9733923895824318
667.743656,0.973712688364865
667.98471,0.973362214886065
668.225764,0.9743769869183883
668.466818,0.9740369886830967
668.707872,0.9739181634189659
668.948926,0.972019901438826
669.18998,0.9725128404783429
669.431034,0.9701748170113611
669.672088,0.9698430739552394
669.913142,0.9688824355439013
670.154196,0.9675521052236855
670.39525,0.9652240774375199
670.636304,0.9640886770126013
670.877358,0.9631077341240473
671.118412,0.9605339031493039
671.359466,0.959366603784924
671.60052,0.9574067037609875
671.841574,0.955429787950666
672.082628,0.9533025066890626
672.323682,0.9511247950187459
672.564736,0.9490279772856148
672.80579,0.9461927292237867
673.046844,0.9430631796731849
673.287898,0.9397578906795714
673.528952,0.9375651783320826
673.770006,0.9341324886595005
674.01106,0.9310744845668266
674.252114,0.9286596211877397
674.493168,0.9252761920848276
674.734222,0.922433492977232
674.975276,0.9195287209738181
675.21633,0.9161785589074118
675.457384,0.9132469071076224
675.698438,0.9095375458662522
675.939492,0.9060525250053767
676.180546,0.9027677110676151
676.4216,0.8991638527451328
676.662654,0.895583336852066
676.903708,0.8926774156870055
677.144762,0.8891494031960228
677.385816,0.8864682226188286
677.62687,0.8829029445422747
