nu,[0]FluoroetherE-1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
713.532721,0.9999656115912949
714.014838,0.9999691354763192
714.496954,0.999972950365848
714.979071,0.9999769462657414
715.461188,0.9999809681811074
715.943304,0.9999845191198301
716.425421,0.9999873310802514
716.907538,0.9999895250548626
717.389654,0.9999914112368836
717.871771,0.9999931343235688
718.353888,0.9999945439148845
718.836004,0.9999953338108867
719.318121,0.999995734809096
719.800238,0.999996235407086
720.282355,0.9999969354046959
720.764471,0.9999976329028015
721.246588,0.9999982234015782
721.728705,0.9999987314008046
722.210821,0.9999991202203871
722.692938,0.9999993340902217
723.175055,0.9999995771200895
723.657171,0.9999998444600121
724.139288,0.9999998007100198
724.621405,0.9999995649700947
725.103521,0.9999995528201
725.585638,0.9999997739800256
726.067755,0.9999999125080038
726.549871,0.9999994774801365
727.031988,0.9999992441702856
727.514105,0.9999994191501687
727.996221,0.9999997326600357
728.478338,0.9999999659750006
728.960455,0.9999998371700133
729.442571,0.9999999319510023
729.924688,0.9999998687600086
730.406805,0.999999550390101
730.888921,0.9999994726201391
731.371038,0.9999997642600278
731.853155,0.9999999197990033
732.335271,0.9999997958500209
732.817388,0.9999997812700239
733.299505,0.9999997812700239
733.781621,0.9999994337301603
734.263738,0.9999991809803354
734.745855,0.9999994118601729
735.227971,0.9999996816300507
735.710088,0.9999996378800655
736.192205,0.9999993049302416
736.674321,0.9999988480006635
737.156438,0.999998566101028
737.638555,0.9999985151011025
738.120671,0.9999981214017646
738.602788,0.9999969645046072
739.084905,0.9999955890097284
739.567021,0.9999949741126298
740.049138,0.9999948404133107
740.531255,0.9999936253203183
741.013372,0.9999909543409122
741.495488,0.9999880820710191
741.977605,0.9999855471044441
742.459722,0.9999826091512226
742.941838,0.9999785992289998
743.423955,0.9999734853515195
743.906072,0.9999679935122185
744.388188,0.999962646697652
744.870305,0.9999570089241427
745.352422,0.9999511031954877
745.834538,0.9999454404884243
746.316655,0.9999398508090351
746.798772,0.9999337511945491
747.280888,0.9999268016791278
747.763005,0.9999197052237981
748.245122,0.9999138727091681
748.727238,0.9999091341285534
749.209355,0.9999026217415704
749.691472,0.9998946755470097
750.173588,0.999891295908718
750.655705,0.9998937056496449
751.137822,0.9998973252714107
751.619938,0.9999010178990514
752.102055,0.9999051484986882
752.584172,0.9999082352106459
753.066288,0.9999099850515886
753.548405,0.9999118558849208
754.030522,0.9999153305846573
754.512638,0.9999206291500325
754.994755,0.9999271656525499
755.476872,0.999934675133762
755.958988,0.9999428886309163
756.441105,0.9999511511931418
756.923222,0.9999584908615281
757.405338,0.9999647606209215
757.887455,0.9999706904295339
758.369572,0.999976280281317
758.851688,0.99998087318292
759.333805,0.9999844341211496
759.815922,0.9999875930769665
760.298039,0.999990546044689
760.780155,0.9999926871267392
761.262272,0.9999938561188737
761.744389,0.9999947408138296
762.226505,0.9999955865097395
762.708622,0.9999962111071778
763.190739,0.999996816305068
763.672855,0.9999973704034574
764.154972,0.9999976231028248
764.637089,0.9999978006024187
765.119205,0.9999984373012211
765.601322,0.9999994118601729
766.083439,0.9999997909900219
766.565555,0.9999994483201522
767.047672,0.9999997423900332
767.529789,0.9999994556101481
768.011905,0.9999987897007324
768.494022,0.9999988675006413
768.976139,0.9999995722600915
769.458255,0.9999998371700133
769.940372,0.9999999003570049
770.422489,0.9999995552500989
770.904605,0.9999990351604655
771.386722,0.9999986439009195
771.868839,0.9999984981011278
772.350955,0.9999987119008296
772.833072,0.9999989452005563
773.315189,0.9999989817005185
773.797305,0.9999990521704492
774.279422,0.9999992441702856
774.761539,0.999999353530209
775.243655,0.9999993219402299
775.725772,0.9999994726201391
776.207889,0.9999998396000128
776.690005,0.9999998930700057
777.172122,0.9999996281600692
777.654239,0.9999993316602234
778.136355,0.9999993583902058
778.618472,0.9999995455301033
779.100589,0.9999996281600692
779.582705,0.9999995601100967
780.064822,0.9999993583902058
780.546939,0.9999993268002266
781.029056,0.9999996305900682
781.511172,0.9999996986400455
781.993289,0.9999992927702501
782.475406,0.9999991226503848
782.957522,0.9999995625400957
783.439639,0.9999997472500319
783.921756,0.999999389990186
784.403872,0.9999996014300794
784.885989,0.9999998468900118
785.368106,0.9999996354500664
785.850222,0.999999910078004
786.332339,0.9999994993501253
786.814456,0.999999550390101
787.296572,0.9999994458901535
787.778689,0.9999991299403785
788.260806,0.9999989695005309
788.742922,0.9999988675006413
789.225039,0.9999985005011243
789.707156,0.9999980363019281
790.189272,0.9999978054024081
790.671389,0.9999977374025597
791.153506,0.9999977106026207
791.635622,0.9999977033026374
792.117739,0.9999975235030665
792.599856,0.999997103104196
793.081972,0.9999966316056731
793.564089,0.9999962524070223
794.046206,0.999995912208355
794.528322,0.9999956497094625
795.010439,0.9999955379099551
795.492556,0.9999954845101948
795.974672,0.9999952487112874
796.456789,0.9999947991135246
796.938906,0.9999941988168269
797.421022,0.9999934600213858
797.903139,0.9999926483270237
798.385256,0.9999918025335994
798.867372,0.999991124439388
799.349489,0.9999906481437288
799.831606,0.9999898560514502
800.313723,0.999988461066574
800.795839,0.9999870780834886
801.277956,0.9999862320947784
801.760073,0.9999854861053276
802.242189,0.9999843681221791
802.724306,0.9999831821414218
803.206423,0.9999820301614595
803.688539,0.9999806811866107
804.170656,0.9999792672149271
804.652773,0.9999780032419322
805.134889,0.9999768492679824
805.617006,0.9999754543012506
806.099123,0.9999737523444757
