nu,[0]Toluene-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
661.833237,0.9928371761831075
661.951239,0.9929320959542434
662.069241,0.9937387836205601
662.187244,0.9927250911932332
662.305246,0.9918350160448172
662.423248,0.9920121735983813
662.541251,0.9906370083463064
662.659253,0.991704895826785
662.777256,0.9935116408980268
662.895258,0.9923179588693741
663.01326,0.9927628154634551
663.131263,0.9930792593954054
663.249265,0.9912918376131835
663.367267,0.9906664307023741
663.48527,0.9902368718279536
663.603272,0.9889801681373125
663.721274,0.9909291902801765
663.839277,0.9910895355947499
663.957279,0.9890800601787576
664.075282,0.9906882256035926
664.193284,0.9891661138872752
664.311286,0.9890147830489547
664.429289,0.9903786839015015
664.547291,0.9868058165389622
664.665293,0.9894104680939075
664.783296,0.9868373948303414
664.901298,0.9876311311350224
665.0193,0.9891512765068475
665.137303,0.9857248698310356
665.255305,0.9844915145355295
665.373307,0.9874040020957022
665.49131,0.9850725359135576
665.609312,0.9841883378406603
665.727315,0.9828694258077819
665.845317,0.984019072003831
665.963319,0.9820117552267317
666.081322,0.9817937728140144
666.199324,0.9839472412334298
666.317326,0.9832439704052297
666.435329,0.9830296465818269
666.553331,0.9806163268954822
666.671333,0.9811577765342804
666.789336,0.9805163091311315
666.907338,0.9806937986454007
667.025341,0.9796038732521375
667.143343,0.9804672845412999
667.261345,0.9786687981226236
667.379348,0.9751392477272895
667.49735,0.9756942598452197
667.615352,0.9764399750866911
667.733355,0.9765776628299361
667.851357,0.9752669993362896
667.969359,0.9746644705312771
668.087362,0.9753918415019328
668.205364,0.9754074478962477
668.323366,0.9726976354730023
668.441369,0.9733417744941772
668.559371,0.9717963625694505
668.677374,0.9724807480841344
668.795376,0.9702378804240056
668.913378,0.9685414489437523
669.031381,0.9671661289410902
669.149383,0.9688698401541094
669.267385,0.9669727150573352
669.385388,0.9649191148156816
669.50339,0.9657183987006126
669.621392,0.9646856326423786
669.739395,0.9643634814433212
669.857397,0.9626859853062345
669.9754,0.9625618068238143
670.093402,0.9624992423397386
670.211404,0.961291102162215
670.329407,0.9580637100871721
670.447409,0.9582227618639787
670.565411,0.9564105619641359
670.683414,0.9548920323724494
670.801416,0.955890416110927
670.919418,0.9555578241204832
671.037421,0.9518345988397371
671.155423,0.9517299027922529
671.273425,0.950192199107918
671.391428,0.9477514449271919
671.50943,0.9460583793953005
671.627433,0.9453131790398377
671.745435,0.9430858134611014
671.863437,0.9424353086997647
671.98144,0.9406924744340827
672.099442,0.9406623727565302
672.217444,0.9395784140630141
672.335447,0.9374808012630578
672.453449,0.9366945847347512
672.571451,0.9356142626497006
672.689454,0.9334638891847957
672.807456,0.9331876247627485
672.925459,0.9327808436430801
673.043461,0.9324245894096992
673.161463,0.9292337102088697
673.279466,0.9295822381951111
673.397468,0.9246518413972332
673.51547,0.9259361492565573
673.633473,0.9229852731718674
673.751475,0.9199499615847606
673.869477,0.9187639912496468
673.98748,0.916305916578253
674.105482,0.9167302644465797
674.223484,0.9161327511246706
674.341487,0.9147723888559938
674.459489,0.9129282395477655
674.577492,0.9110012587497744
674.695494,0.9096385101372568
674.813496,0.9074861270111811
674.931499,0.9063606352396502
675.049501,0.9037703395827812
675.167503,0.902894107394701
675.285506,0.9019555856389156
675.403508,0.8988042591275528
675.52151,0.8977981618769609
675.639513,0.8961566936422536
675.757515,0.8928202555003959
675.875518,0.8926595623172261
675.99352,0.8906355232642303
676.111522,0.8894072939152965
676.229525,0.8861402900477264
676.347527,0.88488286381977
676.465529,0.882443954358903
676.583532,0.8800821707648432
676.701534,0.8785345884162464
676.819536,0.8759730091438958
676.937539,0.8743714444158452
677.055541,0.8737246488908372
677.173543,0.8723975962400397
677.291546,0.8689236649327765
677.409548,0.8668494170871218
677.527551,0.8659483623230436
677.645553,0.8626208706596963
677.763555,0.8619310499282515
677.881558,0.8593749124530677
677.99956,0.857340605516482
678.117562,0.8553966495667134
678.235565,0.8523227579529802
678.353567,0.8495402144725189
678.471569,0.8454299199535661
678.589572,0.8451256199596682
678.707574,0.8414488933450871
678.825577,0.8394318374363362
678.943579,0.837252149481234
679.061581,0.8328930803295617
679.179584,0.831453420965005
679.297586,0.8295266849063994
679.415588,0.8255462421910538
679.533591,0.8225713930900815
679.651593,0.819377805925136
679.769595,0.8167354852571318
679.887598,0.8131090870680189
680.0056,0.8080026021367117
680.123602,0.8006671190517223
680.241605,0.792288251079081
680.359607,0.7800400612815805
680.47761,0.7778745613507755
680.595612,0.7765998925842446
680.713614,0.7639904422789157
680.831617,0.772649315666078
680.949619,0.7835503157808309
681.067621,0.7842636710956322
