nu,[0]HFC-1243zf-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
791.01737,1.0
791.136372,1.0
791.255374,1.0
791.374376,1.0
791.493378,1.0
791.61238,1.0
791.731382,1.0
791.850384,1.0
791.969386,1.0
792.088388,1.0
792.20739,1.0
792.326392,1.0
792.445394,1.0
792.564396,1.0
792.683398,1.0
792.8024,1.0
792.921402,1.0
793.040404,1.0
793.159406,1.0
793.278408,1.0
793.39741,1.0
793.516412,1.0
793.635414,1.0
793.754416,1.0
793.873418,1.0
793.99242,1.0
794.111422,1.0
794.230424,1.0
794.349426,1.0
794.468428,1.0
794.58743,1.0
794.706432,1.0
794.825434,1.0
794.944436,1.0
795.063438,1.0
795.18244,1.0
795.301442,1.0
795.420444,1.0
795.539446,1.0
795.658448,1.0
795.77745,1.0
795.896452,1.0
796.015454,1.0
796.134456,1.0
796.253458,1.0
796.37246,1.0
796.491462,1.0
796.610464,1.0
796.729466,1.0
796.848468,1.0
796.96747,1.0
797.086472,1.0
797.205474,1.0
797.324476,1.0
797.443478,1.0
797.56248,1.0
797.681482,1.0
797.800484,1.0
797.919486,1.0
798.038488,1.0
798.15749,1.0
798.276492,1.0
798.395494,1.0
798.514496,1.0
798.633498,1.0
798.7525,1.0
798.871502,1.0
798.990504,1.0
799.109506,1.0
799.228508,1.0
799.34751,1.0
799.466512,1.0
799.585514,1.0
799.704516,1.0
799.823518,1.0
799.94252,1.0
800.061522,1.0
800.180524,1.0
800.299526,1.0
800.418528,1.0
800.53753,1.0
800.656532,1.0
800.775534,1.0
800.894536,1.0
801.013538,1.0
801.13254,1.0
801.251542,1.0
801.370544,1.0
801.489546,1.0
801.608548,1.0
801.72755,1.0
801.846552,1.0
801.965554,1.0
802.084556,1.0
802.203558,1.0
802.32256,1.0
802.441562,1.0
802.560564,1.0
802.679566,1.0
802.798568,1.0
802.91757,1.0
803.036572,1.0
803.155574,1.0
803.274576,1.0
803.393578,1.0
803.51258,1.0
803.631582,1.0
803.750584,1.0
803.869586,1.0
803.988588,1.0
804.10759,1.0
804.226592,1.0
804.345594,1.0
804.464596,1.0
804.583598,1.0
804.7026,1.0
804.821602,1.0
804.940604,1.0
805.059606,1.0
805.178608,1.0
805.29761,1.0
805.416612,1.0
805.535614,1.0
805.654616,1.0
805.773618,1.0
805.89262,1.0
806.011622,1.0
806.130624,1.0
806.249626,1.0
806.368628,1.0
806.48763,1.0
806.606632,1.0
