nu,[0]Acetol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
572.896258,0.9922303410619892
573.01606,0.996390629494035
573.135863,0.9926570918534904
573.255665,0.996193562918048
573.375468,0.9954609328448265
573.49527,0.9924779334179461
573.615072,0.9893985952395277
573.734875,0.9929037977927594
573.854677,0.9919087121242847
573.974479,0.9929304079711151
574.094282,0.9937077794541787
574.214084,0.9951186526884674
574.333887,0.9908479374179864
574.453689,0.9861044469698312
574.573491,0.9896934799565497
574.693294,0.9907975045414994
574.813096,0.9839196910963789
574.932899,0.9919263682564996
575.052701,0.9809046704800195
575.172503,0.9901632009452804
575.292306,0.9875708874734735
575.412108,0.9924467701001034
575.531911,0.9864624678609416
575.651713,0.9865828236235729
575.771515,0.9950098921635996
575.891318,0.9957517494550087
576.01112,0.990891436597239
576.130923,0.9911875591970074
576.250725,0.9876350816674481
576.370527,0.9853355853961897
576.49033,0.9884166100707815
576.610132,0.9859082317089501
576.729935,0.9844117739523894
576.849737,0.9775987198969927
576.969539,0.9843704295261224
577.089342,0.9842887301710419
577.209144,0.9844600113111187
577.328947,0.9836275103391136
577.448749,0.987756568253765
577.568551,0.9858786549056532
577.688354,0.9846805550536294
577.808156,0.98653842839541
577.927959,0.9904599973293203
578.047761,0.9881132127453622
578.167563,0.9834170365733971
578.287366,0.9797919752530161
578.407168,0.9772976658559666
578.526971,0.9897607814014099
578.646773,0.9815434473198038
578.766575,0.9761373256075072
578.886378,0.9820186293330776
579.00618,0.9780162436853735
579.125983,0.9810243481500075
579.245785,0.9784564500340319
579.365587,0.9800183333426523
579.48539,0.9817358486901968
579.605192,0.9791611923548471
579.724994,0.9843970078865258
579.844797,0.9771950549882166
579.964599,0.9806761463158966
580.084402,0.9799801133729462
580.204204,0.9775498411829758
580.324006,0.9723183573592074
580.443809,0.9797243719390648
580.563611,0.9755254793382013
580.683414,0.9795529351751299
580.803216,0.9756123049695457
580.923018,0.977965388162957
581.042821,0.9744110907097432
581.162623,0.977910623634641
581.282426,0.9783723063975572
581.402228,0.9799164167357401
581.52203,0.9770826840183475
581.641833,0.9781727388036389
581.761635,0.9715534438449138
581.881438,0.9768491891606141
582.00124,0.9781072034255986
582.121042,0.9778128374616676
582.240845,0.977740481988881
582.360647,0.9739678345119024
582.48045,0.9797958944287555
582.600252,0.9718274605506177
582.720054,0.9746264593581492
582.839857,0.9752777273322861
582.959659,0.9789790853095494
583.079462,0.974588449667428
583.199264,0.9768462586174425
583.319066,0.9776603105564315
583.438869,0.9739619907224267
583.558671,0.978012331628223
583.678474,0.9719742175770375
583.798276,0.972453519004397
583.918078,0.9703319980630384
584.037881,0.9771970093802809
584.157683,0.9733008949981239
584.277486,0.9773269852257306
584.397288,0.9685540400644306
584.51709,0.9744822253157466
584.636893,0.9713202989968919
584.756695,0.9710813835911385
584.876498,0.9751665520084841
