nu,[0]Heptane-PNNL(x-sec)-X=0.01-T=278.28K-P=1.0atm-L=15cm
628.322476,1.0013161653864178
628.441478,0.9998378631456007
628.56048,1.0018626325489384
628.679482,1.0014899088129186
628.798484,1.0004959129241762
628.917486,1.000639074120905
629.036488,0.9989594417565811
629.15549,1.0008395121932614
629.274492,1.0003953181176202
629.393494,0.9992648603476578
629.512496,1.0002442698290173
629.631498,1.000313759212128
629.7505,0.999434639876296
629.869502,1.0000001246800079
629.988504,1.0006284774092198
630.107506,1.0002640848642699
630.226508,1.0000577686685452
630.34551,0.9994463333299891
630.464512,1.000494862404019
630.583514,1.0001747052591865
630.702516,1.000652112532986
630.821518,1.0003610351575103
630.94052,1.000505727837224
631.059522,1.0003379470912561
631.178524,0.9995993602775359
631.297526,0.9994166102380205
631.416528,1.0007729385631738
631.53553,1.0010481489245477
631.654532,1.0003346059680924
631.773534,1.0002086117564069
631.892536,0.9993989007325937
632.011538,0.999302753189606
632.13054,1.0002876213550924
632.249542,1.0003579040323705
632.368544,1.0005231668040402
632.487546,1.0003236523641281
632.606548,1.0006102361183464
632.72555,1.0006428065116124
632.844552,1.0000004587701052
632.963554,0.9995144379234394
633.082556,0.9996527403086088
633.201558,0.9984760623740176
633.32056,1.000869888133409
633.439562,1.0000999759972669
633.558564,1.0000935533758442
633.677566,0.9998957054390559
633.796568,0.9999079892332503
633.91557,0.9994725491511314
634.034572,1.0001836668646937
634.153574,1.0000971027141634
634.272576,0.9995394860691057
634.391578,1.0006658215608342
634.51058,0.9998996550348929
634.629582,1.0003561634111318
634.748584,1.000456644230247
634.867586,1.0008445464286688
634.986588,1.0011851016786755
635.10559,0.9995952919164187
635.224592,1.0007142649658192
635.343594,0.9998878362908192
635.462596,1.0001224574973073
635.581598,0.9994750878146303
635.7006,0.9999041095977785
635.819602,1.0002149731034067
635.938604,1.0004458493612942
636.057606,1.0008583281529602
636.176608,0.9997294566034667
636.29561,1.0002664654956248
636.414612,1.0001735250537307
636.533614,0.9998929257328586
636.652616,1.0010002298966099
636.771618,1.0002631846269985
636.89062,1.0003705486361911
637.009622,0.9998060988012679
637.128624,1.0002009501877844
637.247626,0.9996715239600711
637.366628,0.999873947945228
637.48563,1.000267065655684
637.604632,1.0006085050641353
637.723634,1.0009066407504752
637.842636,1.000040965839077
637.961638,1.00073289843891
638.08064,1.001320370923144
638.199642,1.0002603338809848
638.318644,1.0005457788831256
638.437646,0.9997867027510934
638.556648,1.0010409414038226
638.67565,0.9989725282109841
638.794652,1.000318390675555
638.913654,0.9999346531351994
639.032656,0.9991379817513835
639.151658,0.9995893543380193
639.27066,1.0008041931900835
639.389662,1.00030856759719
639.508664,1.0006093455756326
639.627666,1.0001579524731785
639.746668,1.0006842439881871
639.86567,0.9993669304731263
639.984672,1.0004035614090039
640.103674,1.0002868811425265
640.222676,0.9999605577778649
640.341678,0.9997383242430747
640.46068,1.0004563140796088
640.579682,0.9997861528685581
640.698684,1.0005057078271096
640.817686,1.0003372668616832
640.936688,1.000530060432408
641.05569,0.9998461418373813
641.174692,0.9998247153641472
641.293694,1.000128418244917
641.412696,1.0008783655372633
641.531698,1.0004617065536745
641.6507,1.0003455997058226
641.769702,1.0001224074911856
641.888704,0.999848121534702
642.007706,1.0013312853746705
642.126708,0.9993780634827426
642.24571,1.0004915607764209
642.364712,1.0006648309021613
642.483714,1.0008827994382437
642.602716,1.0010076072954899
642.721718,1.0009152485845993
642.84072,1.0001469507962106
642.959722,1.000768705302597
643.078724,0.9994975662621245
643.197726,1.0007343194806346
643.316728,1.0001733950311809
643.43573,0.9999086941686312
643.554732,0.9998828168664798
643.673734,1.0002538622175603
643.792736,0.9995251927566524
643.911738,0.9999358510576314
644.03074,0.99978685271911
644.149742,1.0004389162955811
644.268744,0.9999548070212334
644.387746,1.000096790683916
644.506748,1.0004879990328044
644.62575,0.9995180961529767
644.744752,0.9997094622142793
644.863754,1.000295563670337
644.982756,1.0006350715726136
645.101758,1.0006111466740757
645.22076,1.0006658515808093
645.339762,0.9996342768930055
645.458764,1.0007662634299352
645.577766,1.0005305006657315
645.696768,1.0007227310443123
645.81577,1.0000236822804207
645.934772,1.0001867674388667
646.053774,1.0006751277962487
646.172776,0.9990576442962815
646.291778,0.9997143907940769
646.41078,0.9998512010716588
646.529782,1.0003001850465165
646.648784,1.0001482409866094
646.767786,1.0010543554423113
646.886788,1.0011232303512354
647.00579,0.9998395228778311
647.124792,0.9995050625219823
647.243794,0.9994556182295541
647.362796,1.0005433775761379
647.481798,0.9995287410773849
647.6008,1.0002357477841421
647.719802,1.0015353774869098
647.838804,0.9999343411556363
647.957806,1.0004727417071564
648.076808,0.9992755625316223
648.19581,1.000229946433629
648.314812,1.0001338589583109
648.433814,1.0003728594948273
648.552816,1.0001689042627189
648.671818,1.0007531034400983
648.79082,1.000252981994549
648.909822,0.9997240880706993
649.028824,1.0004767235965923
