nu,[0]Peroxyacetalnitrate-HITRAN(x-sec)-X=0.01-T=250.0K-P=0.0011atm-L=15cm
1631.000818,0.9999413207216962
1631.121347,0.999928111584096
1631.241876,0.9999365940102447
1631.362405,0.999950869206957
1631.482934,0.9999692924714858
1631.603464,0.9999407647544765
1631.723993,0.9999089701434688
1631.844522,0.9998923757919006
1631.965051,0.9999249598156555
1632.08558,0.9999426186463729
1632.206109,0.9999532330936058
1632.326639,0.999941969683824
1632.447168,0.9999399768014643
1632.567697,0.9999110099598485
1632.688226,0.9999645976266788
1632.808755,0.9999782292369865
1632.929285,0.9999701454456561
1633.049814,0.999932607270992
1633.170343,0.9999098970595138
1633.290872,0.9999073022966977
1633.411401,0.9999287145409291
1633.53193,0.9999278806007289
1633.65246,0.9999308463912211
1633.772989,0.9999190272784678
1633.893518,0.9999623357093173
1634.014047,0.9999695844625618
1634.134576,0.9999746043224756
1634.255105,0.9999358060605191
1634.375635,0.9999351101054403
1634.496164,0.9999256557636698
1634.616693,0.9999470224033624
1634.737222,0.9999081822155108
1634.857751,0.9998452019824497
1634.97828,0.9998012697494728
1635.09881,0.999842832352129
1635.219339,0.9999400237986443
1635.339868,0.9999586418552716
1635.460397,0.9998961353943017
1635.580926,0.9997210489140911
1635.701455,0.9997280969723303
1635.821985,0.9998702684158698
1635.942514,0.9999551890040427
1636.063043,0.999930892388041
1636.183572,0.9999282505741132
1636.304101,0.9999021577868615
1636.42463,0.9999343691537982
1636.54516,0.999957635897384
1636.665689,0.9999633836703942
1636.786218,0.9999380769173133
1636.906747,0.9999279265974125
1637.027276,0.999926350712242
1637.147805,0.9999610287593985
1637.268335,0.9999576038987401
1637.388864,0.9998962253849579
1637.509393,0.999836583353955
1637.629922,0.9998735579944643
1637.750451,0.9999318663212046
1637.87098,0.99994827333787
1637.99151,0.9999623727079243
1638.112039,0.9999686994898712
1638.232568,0.9999299654525334
1638.353097,0.9999279725940982
1638.473626,0.9999627716929906
1638.594155,0.9999643616350616
1638.714685,0.9999193062559153
1638.835214,0.9999197692186613
1638.955743,0.999929919455756
1639.076272,0.9999175913957756
1639.196801,0.9999549200161331
1639.317331,0.9999732793570028
1639.43786,0.9999225040029699
1639.558389,0.9999393278406299
1639.678918,0.9999558509745969
1639.799447,0.9999523981330048
1639.919976,0.9999560929639422
1640.040506,0.9999597498100606
1640.161035,0.9999247288330164
1640.281564,0.9999051694966965
1640.402093,0.9999425266516562
1640.522622,0.9999605837768397
1640.643151,0.9999432216119537
1640.763681,0.9999381699115587
1640.88421,0.9999276486174875
1641.004739,0.9999494322785903
1641.125268,0.9999365940102447
1641.245797,0.9999521201462768
1641.366326,0.9999414137162433
1641.486856,0.9999333032243288
1641.607385,0.9999167104687656
1641.727914,0.9999447045288509
1641.848443,0.9999651766063484
1641.968972,0.9999389568632081
1642.089501,0.999949015299764
1642.210031,0.999940579765452
1642.33056,0.9999357590635374
1642.451089,0.9999368719926566
1642.571618,0.9999530011044827
1642.692147,0.9999268606748108
1642.812676,0.9999378449317063
1642.933206,0.9999496642668855
1643.053735,0.999957783891125
1643.174264,0.9999588828453334
1643.294793,0.9999384478944086
1643.415322,0.9999315883401844
1643.535851,0.9999367330014409
1643.656381,0.9999455384830822
1643.77691,0.9999470224033624
1643.897439,0.9999173594149213
1644.017968,0.9999208821299838
1644.138497,0.9999277406108354
1644.259026,0.9999289465244178
1644.379556,0.999950591220654
1644.500085,0.9999426656436771
1644.620614,0.9999335342089486
1644.741143,0.9999386328830385
1644.861672,0.9999237089103132
1644.982202,0.9999232449458199
1645.102731,0.9999516571685524
1645.22326,0.9999406257627198
1645.343789,0.9999158765385768
1645.464318,0.9999504982252533
1645.584847,0.9999382159087156
1645.705377,0.9999610977567119
1645.825906,0.9998496912974851
1645.946435,0.999757749347429
1646.066964,0.9997948710418223
1646.187493,0.9999038256250518
1646.308022,0.9999464194354897
1646.428552,0.9999454924855885
1646.549081,0.9999394668322061
1646.66961,0.99994827333787
1646.790139,0.9999206501483661
1646.910668,0.9999449825135174
1647.031197,0.9999533720871149
1647.151727,0.999928065587404
1647.272256,0.9998974752560208
1647.392785,0.999846401797412
1647.513314,0.9998452019824497
1647.633843,0.9999080902239623
1647.754372,0.9999432216119537
1647.874902,0.9999572139153506
1647.995431,0.9999346471355914
1648.11596,0.9999269996646541
1648.236489,0.9998567802569267
1648.357018,0.9998614196031504
1648.477547,0.9999283895641496
1648.598077,0.9999537100714118
1648.718606,0.999951193191091
1648.839135,0.9999273706376398
1648.959664,0.9999441945571816
1649.080193,0.9999441945571816
1649.200722,0.9999364080220555
1649.321252,0.9999278336041196
1649.441781,0.999928111584096
1649.56231,0.9999329782460581
1649.682839,0.9999489683021614
1649.803368,0.9999579228852666
1649.923897,0.9999458634654351
1650.044427,0.9999378449317063
1650.164956,0.9999368249956246
1650.285485,0.9999306144072916
1650.406014,0.9999413207216962
1650.526543,0.9999518881574119
1650.647072,0.9999358060605191
1650.767602,0.9999136047322861
1650.888131,0.9999273706376398
1651.00866,0.999917220426418
1651.129189,0.9999567649346623
1651.249718,0.9999469294082937
1651.370248,0.9999422476677301
1651.490777,0.9999173124188065
1651.611306,0.9999424336570055
1651.731835,0.9999477173667846
1651.852364,0.9999478563595269
1651.972893,0.999932051308617
1652.093423,0.9999310313784447
1652.213952,0.9998745778660135
1652.334481,0.9997415833953242
1652.45501,0.999714610731267
1652.575539,0.9998834367940185
1652.696068,0.9999362690309045
1652.816598,0.9999555079897988
1652.937127,0.9999358060605191
1653.057656,0.9998972952744914
1653.178185,0.9997294865953509
1653.298714,0.9996154539567902
1653.419243,0.9997311561449875
1653.539773,0.9998730480590797
1653.660302,0.9999261657258842
1653.780831,0.9999499882506292
1653.90136,0.9999378449317063
1654.021889,0.9999362690309045
1654.142418,0.9999266286918062
1654.262948,0.9999327002647288
1654.383477,0.9998544205977098
1654.504006,0.9998227657078531
1654.624535,0.9998443621128328
1654.745064,0.9999138367122693
1654.865593,0.9999288075343039
1654.986123,0.9999587718499036
1655.106652,0.9999588228478022
1655.227181,0.9999357590635374
1655.34771,0.9999257477568343
1655.468239,0.9999260727327551
1655.588768,0.9999381229144658
1655.709298,0.9999320053117436
1655.829827,0.9999318193244079
1655.950356,0.9999284825574942
1656.070885,0.9999182863387431
1656.191414,0.999933998178216
1656.311943,0.9999528621110252
1656.432473,0.9999456774755218
1656.553002,0.9999104530095712
1656.673531,0.9999105460012475
1656.79406,0.999919630229823
1656.914589,0.9999302434331024
1657.035118,0.9999363620249818
1657.155648,0.9999187493010169
1657.276177,0.9999253777843761
1657.396706,0.9999228279779137
1657.517235,0.9999305684104843
1657.637764,0.9999418306918998
1657.758294,0.9999292245047036
1657.878823,0.9999218550534754
1657.999352,0.9998906659774
1658.119881,0.9999303824234159
1658.24041,0.9999442415545599
1658.360939,0.9999700344489761
1658.481469,0.9999346001386642
1658.601998,0.9999226429922077
1658.722527,0.9999129557885672
1658.843056,0.9999492932856289
1658.963585,0.9999322372959958
1659.084114,0.9999444725417064
1659.204644,0.9999168954533741
1659.325173,0.9999182393425847
1659.445702,0.9999443805468191
1659.566231,0.9999495252738918
1659.68676,0.9999221330317898
1659.807289,0.999910083042772
1659.927819,0.9999145316526273
1660.048348,0.9999217620607472
1660.168877,0.9999444265442617
1660.289406,0.9999735473498775
1660.409935,0.9999353880874395
1660.530464,0.999923013963577
1660.650994,0.9999133267563426
1660.771523,0.9999585118606567
1660.892052,0.9999477633643805
1661.012581,0.9999406257627198
1661.13311,0.9999376129461532
1661.253639,0.9999250988052346
1661.374169,0.999950591220654
1661.494698,0.9999715824037876
1661.615227,0.9999657885852238
1661.735756,0.9999215300789254
1661.856285,0.9999244968505063
1661.976814,0.9999379379259302
1662.097344,0.9999775242525833
1662.217873,0.999971392409205
1662.338402,0.9999426656436771
1662.458931,0.9999189812821936
1662.57946,0.9999297344687381
1662.699989,0.9998733780172401
1662.820519,0.9998427923584166
1662.941048,0.9998795872501972
1663.061577,0.9999300584460246
1663.182106,0.9999336731997195
1663.302635,0.9999518421596261
1663.423165,0.9999778902444243
1663.543694,0.999975105309878
1663.664223,0.9999438705753151
1663.784752,0.9999343221568839
1663.905281,0.999953186095805
1664.02581,0.9999630916811287
1664.14634,0.9999915919353479
1664.266869,0.9999577468926877
1664.387398,0.999933998178216
1664.507927,0.9999491542926868
1664.628456,0.999972342382479
1664.748985,0.9999860990966185
1664.869515,0.9999740533366205
1664.990044,0.9999400237986443
1665.110573,0.9999278806007289
1665.231102,0.9999696174615587
1665.351631,0.9999836981328769
1665.47216,0.9999839441288969
1665.59269,0.9999494782762652
1665.713219,0.9999390968546719
1665.833748,0.9999487373139764
1665.954277,0.9999743263295743
1666.074806,0.9999862200949438
1666.195335,0.9999757262946112
1666.315865,0.9999450755084052
1666.436394,0.9999625077028538
1666.556923,0.9999676145244208
1666.677452,0.99999408561749
1666.797981,0.9999732513577513
1666.91851,0.9999507302137958
1667.03904,0.9999502202390534
1667.159569,0.9999691354763192
1667.280098,0.9999941319172173
1667.400627,0.9999897330527054
