nu,[0]Diacetonealcohol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
541.643633,0.6642345193972092
541.773235,0.6592648028000461
541.902838,0.6649389812866106
542.032441,0.652124359378526
542.162043,0.6625826328960925
542.291646,0.6729999659040773
542.421248,0.6642743746640192
542.550851,0.6587112528892053
542.680454,0.6648658420214024
542.810056,0.6651717506623255
542.939659,0.6790096088845059
543.069261,0.6682720018005386
543.198864,0.6807841387177708
543.328467,0.6807432928948346
543.458069,0.6687934573031512
543.587672,0.6923733124272199
543.717274,0.6872824059325486
543.846877,0.6786294699523658
543.97648,0.6886996669664439
544.106082,0.6910175897770716
544.235685,0.7086808463415248
544.365287,0.6884448952253449
544.49489,0.6932185233422049
544.624492,0.7197797619106365
544.754095,0.6999124662305409
544.883698,0.6933641145186452
545.0133,0.7147731924268212
545.142903,0.6993108002630314
545.272505,0.7066639813272622
545.402108,0.7116777986348491
545.531711,0.704018953923308
545.661313,0.7166698533525373
545.790916,0.7320181282197162
545.920518,0.7214155178507585
546.050121,0.7227658270147164
546.179724,0.7292927865235033
546.309326,0.7211125869532028
546.438929,0.7335643171259069
546.568531,0.733777081627235
546.698134,0.7347536544227533
546.827737,0.736637033474686
546.957339,0.7242128051645697
547.086942,0.7284837206450955
547.216544,0.7400999754129284
547.346147,0.7457014201365839
547.47575,0.7414481838657214
547.605352,0.735422584565331
547.734955,0.7458282001540033
547.864557,0.728862630687904
547.99416,0.7595417409476891
548.123762,0.7466938628534779
548.253365,0.7607427654578964
548.382968,0.7577210265006938
548.51257,0.7465146778294561
548.642173,0.7632955272107528
548.771775,0.7565323378538421
548.901378,0.745820741909293
549.030981,0.757486169387212
549.160583,0.7561239206739641
549.290186,0.772796132983258
549.419788,0.7620295077224783
549.549391,0.7646324638617438
549.678994,0.7671369045474488
549.808596,0.7766231909304956
549.938199,0.7728502306059616
550.067801,0.7705505651221556
550.197404,0.7740335965028547
550.327007,0.7583046963751628
550.456609,0.7767086241802404
550.586212,0.7774779464698779
550.715814,0.7710053240962832
550.845417,0.7823367535450686
550.97502,0.7772525105551892
551.104622,0.7843185714740997
551.234225,0.7834562953842737
551.363827,0.7788630896262796
551.49343,0.7858573433780427
551.623032,0.7824071670214465
551.752635,0.7899149480603488
551.882238,0.7959172944345645
552.01184,0.7842009325115213
552.141443,0.791433041664126
552.271045,0.7872652877569756
552.400648,0.7988356891366967
552.530251,0.7911165317536626
552.659853,0.7928668326589515
552.789456,0.7936521594959266
552.919058,0.7972954230915078
553.048661,0.7992671769000415
553.178264,0.798117060447891
553.307866,0.8151851611094727
553.437469,0.8066785638773413
553.567071,0.7984044343138444
553.696674,0.7979255353373161
553.826277,0.8068963964956684
553.955879,0.8134994731149674
554.085482,0.801420099989227
554.215084,0.8065898341155412
554.344687,0.8115494153847953
554.474289,0.8081480556955238
554.603892,0.8088918940199276
554.733495,0.8062753254134194
554.863097,0.8082692869959984
554.9927,0.8156417926445905
555.122302,0.812848933786902
555.251905,0.8083501179661792
555.381508,0.816939694653557
555.51111,0.8195662844947034
555.640713,0.8199105746300585
555.770315,0.8227194692672939
555.899918,0.8203124292579707
556.029521,0.8280514407640663
556.159123,0.8213631014541746
556.288726,0.8267028163431206
556.418328,0.8169478640913507
556.547931,0.8286975728466155
556.677534,0.8258600093750756
556.807136,0.8278030625904259
556.936739,0.8324684131579271
557.066341,0.8257691697703142
557.195944,0.8308716072288944
557.325547,0.8328014671295438
557.455149,0.827513382215542
557.584752,0.8304645798711989
557.714354,0.8321937439045044
557.843957,0.8339181691187344
557.973559,0.8337764150794189
558.103162,0.8324101424085061
558.232765,0.8321937439045044
558.362367,0.8407760034222677
558.49197,0.8343352324604403
558.621572,0.8369759018552705
558.751175,0.8394402317966823
558.880778,0.8433780193170413
559.01038,0.8446440356208667
559.139983,0.8412637949501213
559.269585,0.8416003677781793
559.399188,0.8415330424418064
559.528791,0.8455990228472825
559.658393,0.8414993817933262
559.787996,0.8353704498508274
559.917598,0.8437745001518179
560.047201,0.8448129813219977
560.176804,0.847020823183541
560.306406,0.8475715656905343
560.436009,0.8459965477990666
560.565611,0.8443315751364412
560.695214,0.8487674845228008
560.824816,0.8480039374344596
560.954419,0.8514538319674566
561.084022,0.8498291072544295
561.213624,0.8535936654532893
561.343227,0.8505347582180903
561.472829,0.8516922724205132
561.602432,0.8521097038963587
561.732035,0.8489202764208733
561.861637,0.8547040588176851
561.99124,0.8537900145756271
562.120842,0.8548322740424092
562.250445,0.8585245522874744
562.380048,0.8573920474960569
562.50965,0.8569805980690212
