nu,[0]2-Pentylfuran-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
600.626013,0.8275464834128502
600.761015,0.8242676366909077
600.896018,0.826934325541472
601.031021,0.8255957764515982
601.166023,0.8245644264590694
601.301026,0.8254471825856861
601.436029,0.8206488263106498
601.571031,0.819607263833403
601.706034,0.8205503543599277
601.841037,0.8187307530779818
601.97604,0.8234108439581957
602.111042,0.8202714146618811
602.246045,0.8240039132451684
602.381048,0.822365775945023
602.51605,0.821798539278776
602.651053,0.8250923165988293
602.786056,0.828217067614352
602.921058,0.8329763738021989
603.056061,0.8363065888946672
603.191064,0.832177100196064
603.326067,0.8366746447601333
603.461069,0.8386850754593901
603.596072,0.8435214057678281
603.731075,0.8489457444111839
603.866077,0.8460050078068446
604.00108,0.8555420793583217
604.136083,0.8583356976607418
604.271085,0.8602777300074131
604.406088,0.8648925494977889
604.541091,0.8658617718164089
604.676094,0.8688541538200635
604.811096,0.8726419017681647
604.946099,0.875044969702003
605.081102,0.8804078614170813
605.216104,0.8858301952159708
605.351107,0.8897631279949341
605.48611,0.8887938145572133
605.621112,0.8888738096002463
605.756115,0.8939727368206226
605.891118,0.8990739408555276
606.026121,0.9034450408178223
606.161123,0.9049713438840972
606.296126,0.9046564686478944
606.431129,0.9081924259326504
606.566131,0.9095693802374558
606.701134,0.9097222007298976
606.836137,0.9160402263893848
606.971139,0.91662026341504
607.106142,0.9219945191186416
607.241145,0.9217059799928863
607.376148,0.9207782892417203
607.51115,0.9243495296757566
607.646153,0.9267087021147997
607.781156,0.9292504365661902
607.916158,0.9313436039787484
608.051161,0.9300006443366202
608.186164,0.9362684856435912
608.321166,0.9312085689464479
608.456169,0.9354795438958621
608.591172,0.9362844023431388
608.726175,0.9387435000271885
608.861177,0.9402307078021206
608.99618,0.9355506430429316
609.131183,0.945698945507894
609.266185,0.9439840586523872
609.401188,0.9479495456799892
609.536191,0.9459789138290318
609.671193,0.9457906827547928
609.806196,0.9462296314598153
609.941199,0.9507225543103606
610.076202,0.9512655719056414
610.211204,0.9530785069209943
610.346207,0.9537726006935111
610.48121,0.9494494392651653
610.616212,0.9531328339441942
610.751215,0.9515319635588659
610.886218,0.9553839284214819
611.02122,0.95747755447851
611.156223,0.9574038315451845
611.291226,0.9630172062519162
611.426229,0.9575311747229136
611.561231,0.9576863073386214
611.696234,0.959408816844171
611.831237,0.9627543384376988
