nu,[0]beta-Pinene(1S)(-)-PNNL(x-sec)-X=0.01-T=298.16K-P=1.0atm-L=15cm
628.131672,0.9981546048393738
628.250874,1.002968798178593
628.370076,0.9971931465997532
628.489278,1.002239804623161
628.60848,1.0017285922961963
628.727682,1.0007280048670013
628.846884,0.9996294186822253
628.966086,1.0090773515209777
629.085288,1.0017994170112958
629.20449,1.0029818368577206
629.323692,1.0083753788717666
629.442894,0.9935743334604971
629.562096,1.0001644135144205
629.681298,1.0006198019979287
629.8005,0.9981783612016686
629.919702,1.0002033006627793
630.038904,1.0067913573849743
630.158106,0.9972809034578991
630.277308,1.0049461922218934
630.39651,0.9994023086886558
630.515712,0.9974041749955905
630.634914,1.0052100252239182
630.754116,0.9960983313655737
630.873318,0.9992613329489267
630.99252,0.9996939568407648
631.111722,1.0021158352269945
631.230924,0.996064165778751
631.350126,1.0045229980166859
631.469328,1.0014614669033854
631.58853,0.9924698943792436
631.707732,0.9937120524068171
631.826934,0.9988862207130844
631.946136,1.0000196801936525
632.065338,1.0028558702498798
632.18454,1.0034603733157736
632.303742,1.000065265129676
632.422944,1.0017006444583454
632.542146,0.9987376973750481
632.661348,0.9947319252335175
632.78055,0.9956259939506797
632.899752,0.9984988278877657
633.018954,0.9929331881801496
633.138156,1.0026071928313323
633.257358,0.997744148266584
633.37656,1.0075157021723689
633.495762,0.9916418254010713
633.614964,1.0034055858751012
633.734166,1.0042339378956031
633.853368,0.9952712160716091
633.97257,0.9984336280431028
634.091772,0.9964827998900783
634.210974,1.0028058289904942
634.330176,0.9940949040218914
634.449378,0.9954598378384026
634.56858,1.0018474043526582
634.687782,0.9956317685981911
634.806984,0.9973926051742658
634.926186,0.9978485177629222
635.045388,0.9990786846718248
635.16459,0.9985271856571561
635.283792,1.0067325624865306
635.402994,0.9993913652932909
635.522196,0.9944591076850633
635.641398,1.0043274364275103
635.7606,0.9961279159253438
635.879802,0.9938119254866222
635.999004,0.9953485516495462
636.118206,0.9936190453115118
636.237408,1.0005607871823707
636.35661,1.0013681350440022
636.475812,0.9936192440353407
636.595014,0.9922797553633799
636.714216,0.9939714451017695
636.833418,1.0009714115148336
636.95262,0.9952807707211456
637.071822,0.9919716011301938
637.191024,0.9938996829540778
637.310226,0.9946491669801291
637.429428,0.9871650792380268
637.54863,0.9989269761022938
637.667832,0.9871690279062411
637.787034,1.0020817638678132
637.906236,0.9975844222148581
638.025438,0.9949468105361451
638.14464,0.9908923283999332
638.263842,0.9992580753622912
638.383044,0.9899241054042008
638.502246,0.9997915117366992
638.621448,1.000587932764755
638.74065,0.9994771167511179
638.859852,0.9986054732573455
638.979054,0.9917790781273763
639.098256,0.9934892871375873
639.217458,0.9969277291127632
639.33666,0.998015272182184
639.455862,0.9983469677652991
639.575064,0.9907367705159879
639.694266,0.9975348435011152
639.813468,0.9872963809249341
639.93267,0.9927316432004567
640.051872,0.9906388905584104
640.171074,0.9963731928105902
640.290276,0.9946651809606297
640.409478,0.9968373118682167
640.52868,0.9952792778011093
640.647882,0.9912943158458754
640.767084,0.9902128093643283
640.886286,0.99398685177857
641.005488,0.9920094951691285
641.12469,1.0005187545066039
641.243892,0.9980251525822865
641.363094,0.9932190947993097
641.482296,0.9910856703530984
641.601498,0.9994303523108878
641.7207,0.98532277611684
641.839902,0.9937015191148881
641.959104,0.9906167995574665
642.078306,0.9998699484574352
642.197508,0.9930240457235374
642.31671,0.9936977430562901
642.435912,0.9890672022215522
642.555114,0.9908439740341635
642.674316,0.9891384176238358
642.793518,0.9881230939268955
642.91272,0.9856805132099247
643.031922,0.9903908656342311
643.151124,0.9953274504839243
643.270326,0.9865177113059439
643.389528,0.9916888303376035
643.50873,0.9900914167154217
643.627932,0.9868186450979626
643.747134,0.9910849765933719
643.866336,0.9931126274191008
643.985538,0.9905421098666166
644.10474,0.9883148084028202
644.223942,0.9955020462303386
644.343144,0.9908174197714881
644.462346,0.9978555027269939
644.581548,0.9907930459627607
644.70075,0.9951386547744068
644.819952,0.992022589780889
644.939154,0.9889257757238701
645.058356,0.9970177557513437
645.177558,0.9931099460186267
645.29676,0.9950493948404414
645.415962,0.9964622725558329
645.535164,0.996266686209158
645.654366,0.9944998813443326
645.773568,0.9915354279415315
645.89277,0.9931670514822891
646.011972,0.997443274005586
646.131174,0.9997721659581181
646.250376,1.000670674801838
646.369578,0.9931093501528379
646.48878,0.9956373441517068
646.607982,0.9947351083807713
646.727184,0.9980013000661785
646.846386,0.999563275391966
646.965588,0.9969887429567895
647.08479,0.9948387651794899
647.203992,0.9937338149390638
647.323194,0.9967720211625832
647.442396,0.9943808468328934
647.561598,0.9979165733525028
647.6808,0.991897305239685
647.800002,0.995197668246367
647.919204,0.9961784208909713
648.038406,0.9951881143946104
648.157608,0.9931994292559222
648.27681,0.9946006292851098
648.396012,0.9980210606875494
648.515214,0.9992101021336995
648.634416,1.0023632881735212
648.753618,0.9951736842715704
648.87282,0.9999328752529667
648.992022,0.9917917729808232
649.111224,0.9928565366968075
649.230426,0.9936273917465475
649.349628,0.9906120446082406
649.46883,0.9976289154722812
649.588032,0.9992335039083252
649.707234,0.9989014038990311
649.826436,0.9989557456134844
649.945638,0.9940092167343398
650.06484,1.0000227122579195
650.184042,1.0007192185136908
650.303244,0.9986314373371817
650.422446,1.002903707615803
650.541648,0.9973770459709871
650.66085,0.993806757678046
650.780052,0.9955108066868914
650.899254,0.9972965608909939
651.018456,0.997972458245373
651.137658,0.9996424539348345
651.25686,0.9961126752848214
651.376062,0.9973802375826408
651.495264,0.998294356266423
651.614466,0.9995887945681377
651.733668,1.0073393016172378
651.85287,0.9968655227633249
651.972072,0.9985404661570405
652.091274,0.9972988546757218
652.210476,1.0028056284293485
652.329678,1.003630273538624
652.44888,1.0011805963558549
652.568082,0.9967616547874684
652.687284,1.0051805730016563
652.806486,1.004969607740962
652.925688,0.9996899280822367
653.04489,1.0011659792258534
653.164092,0.995679659638031
653.283294,1.0049168482215052
653.402496,1.0035571115584696
653.521698,1.0087592395850253
653.6409,0.9981633886385451
653.760102,1.0017244852173874
653.879304,0.9957684782249208
653.998506,1.0016334326000853
654.117708,1.0065999845385007
654.23691,1.001943486125783
654.356112,1.0051884134407034
654.475314,1.0033431759886275
654.594516,1.0020683360621438
654.713718,1.0005152727073965
654.83292,1.004680620040199
654.952122,1.001190007497693
655.071324,1.0047284439759134
655.190526,1.0040085126814726
655.309728,1.0046428447590652
655.42893,1.0051912279722015
655.548132,1.0059104984739968
655.667334,1.0008620113183848
655.786536,1.0033451826769861
655.905738,0.9993883571298087
656.02494,0.9997777347045915
656.144142,1.0008448767074236
656.263344,1.002126457711147
656.382546,1.0100202700417007
656.501748,1.0035888244642561
656.62095,1.0009084824203884
656.740152,1.0014671752500155
656.859354,1.0065595200324644
656.978556,0.9998986251387786
657.097758,1.0031486466070363
657.21696,0.9996201121756593
657.336162,1.006529927617586
657.455364,1.0009121257338953
657.574566,1.004583572579771
657.693768,1.00267236441692
657.81297,1.0054191306553757
657.932172,1.004550924144202
658.051374,1.0068445173720555
658.170576,1.005206506994987
658.289778,1.001754737753652
658.40898,1.0073267099546657
658.528182,1.0074467904551478
658.647384,1.0057673675940675
658.766586,1.004354352763484
658.885788,1.0028014166545538
659.00499,1.0002723370770104
659.124192,1.0054764411791575
659.243394,0.9982755885089426
659.362596,1.0072399828585936
659.481798,1.0094171650696355
659.601,1.0041050025358047
659.720202,1.0005111305827417
659.839404,1.0068048484795533
659.958606,1.0030032005983687
660.077808,1.0025386168446682
660.19701,1.0083434138789042
660.316212,1.002256742618985
660.435414,1.0035591186747
660.554616,0.999642603881214
660.673818,1.0024423777570013
660.79302,1.0056213407740966
660.912222,1.006117234322814
661.031424,1.0010234233406314
661.150626,1.0001737450919304
661.269828,1.0041377368924544
661.38903,1.0018645360897487
661.508232,1.0082407697440465
661.627434,1.0074973655534532
661.746636,1.0066032056636052
661.865838,1.002767221709273
661.98504,1.0031088223962819
662.104242,1.0047625048474929
662.223444,1.0030001915932805
662.342646,1.0026535143536601
662.461848,1.0060821214440596
662.58105,1.0069805512552343
662.700252,1.0095372928597406
662.819454,1.0036217427175549
662.938656,1.0069178183210423
663.057858,1.0057827559525123
663.17706,1.0062941252808677
663.296262,1.0033522061178468
663.415464,1.0018277683359667
663.534666,1.003036601161065
663.653868,1.0026677521346519
663.77307,1.0025666883189386
663.892272,1.0061778044034615
664.011474,1.0060645151609897
664.130676,1.0069610160220324
664.249878,1.0062930183579386
664.36908,1.0009075816031596
664.488282,1.0045688053097936
664.607484,1.0057160747662985
664.726686,1.008336254666081
664.845888,1.0050311137630208
664.96509,0.9978635853893006
665.084292,1.0033651494447902
665.203494,1.0046944847284216
665.322696,1.007175420844927
665.441898,1.0079166724380073
665.5611,1.0029660901664939
665.680302,0.9990848390154777
665.799504,1.0008124398506117
665.918706,1.007813769399041
666.037908,1.0040085126814726
666.15711,1.0038933595092288
666.276312,1.006558312161765
666.395514,1.0028301974682146
666.514716,1.0064674240498368
666.633918,1.0000505932797967
666.75312,1.001166980392333
666.872322,1.0099872429188668
666.991524,1.0045525314269665
667.110726,1.002402882305383
667.229928,1.0007040377182925
667.34913,1.0063876143476063
667.468332,1.0059991230927694
667.587534,1.0056406488891967
667.706736,1.0064671221096548
667.825938,1.0028329051134028
667.94514,1.0068321332606542
668.064342,1.0039832119857433
668.183544,1.0067504824856306
668.302746,1.0056130947129112
668.421948,1.0093511513457123
668.54115,1.000034537596409
668.660352,1.0051207665368227
668.779554,1.0043980431280877
668.898756,1.0037177939143094
669.017958,1.0011401494767944
669.13716,1.0007260234275133
669.256362,1.0053488543143296
669.375564,1.0000419478797877
669.494766,1.0057422237241773
669.613968,1.0021507094648687
669.73317,1.0034148172489556
669.852372,1.0092385140425004
669.971574,1.007939350818268
670.090776,1.0045269156640175
670.209978,0.9965325256224395
670.32918,1.0046795148921248
670.448382,1.0020636263520322
670.567584,1.0030351969108062
670.686786,1.0030217563292199
670.805988,1.0092379084995737
670.92519,1.0001642134815578
671.044392,1.0042349421300432
671.163594,1.008770840382985
671.282796,1.004538568243824
671.401998,0.9997796742752783
671.5212,1.005513543944379
671.640402,1.0038661543678176
671.759604,1.0029355001672435
671.878806,0.9972119937283287
671.998008,1.006234453808515
672.11721,1.0015503004752104
672.236412,1.0050151338953524
672.355614,1.004577042807771
672.474816,1.005258175937327
672.594018,1.0021706524624192
672.71322,1.0069153010296432
672.832422,1.0050923220216215
672.951624,1.0030902650547233
673.070826,1.0052398804050147
673.190028,1.0050932266051185
673.30923,1.0055964016740915
673.428432,1.0042468925969597
673.547634,1.0088565895487054
673.666836,1.0049056937063974
673.786038,1.0084157146936326
673.90524,1.0012381658952536
674.024442,1.0026818898496277
674.143644,1.0078929866745139
674.262846,0.9985609364464165
674.382048,1.0038696679055064
674.50125,1.0056169160499315
674.620452,1.0041075128014487
674.739654,1.0080964000029393
674.858856,1.0034589684722344
674.978058,1.003972268628374
675.09726,1.0018050271037393
675.216462,1.0078105444001388
675.335664,1.0023135721873946
675.454866,1.007341618500296
675.574068,1.007723473330627
675.69327,1.005956369038568
675.812472,1.006837167433906
675.931674,1.0017013456490418
676.050876,0.9987131287298884
676.170078,1.0004139656601445
676.28928,1.0014364306796668
676.408482,1.0038488880184533
676.527684,1.0013154644653472
676.646886,1.0016051869355516
676.766088,1.005963813143242
676.88529,1.0051848952874132
677.004492,1.0047960644755973
677.123694,1.0050826731816447
677.242896,1.0035249982447154
677.362098,1.0054265707844712
677.4813,1.0044044712961337
