nu,[0]Chloromethanol-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
795.974691,1.0
796.456808,1.0
796.938924,1.0
797.421041,1.0
797.903158,1.0
798.385274,1.0
798.867391,1.0
799.349508,1.0
799.831624,1.0
800.313741,1.0
800.795858,1.0
801.277974,1.0
801.760091,1.0
802.242207,1.0
802.724324,1.0
803.206441,1.0
803.688557,1.0
804.170674,1.0
804.652791,1.0
805.134907,1.0
805.617024,1.0
806.099141,1.0
806.581257,1.0
807.063374,1.0
807.54549,1.0
808.027607,1.0
808.509724,1.0
808.99184,1.0
809.473957,1.0
809.956074,0.9999640486462654
810.43819,0.9953296402067241
810.920307,0.9925624961401941
811.402424,0.9968316299117326
811.88454,1.0
812.366657,1.0
812.848773,1.0
813.33089,1.0
813.813007,1.0
814.295123,1.0
814.77724,1.0
815.259357,1.0
815.741473,1.0
816.22359,1.0
816.705707,1.0
817.187823,1.0
817.66994,1.0
818.152056,1.0
818.634173,1.0
819.11629,1.0
819.598406,1.0
820.080523,1.0
820.56264,1.0
821.044756,1.0
821.526873,1.0
822.00899,1.0
822.491106,1.0
822.973223,1.0
823.455339,1.0
823.937456,1.0
824.419573,1.0
824.901689,1.0
825.383806,1.0
825.865923,1.0
826.348039,1.0
826.830156,0.9994299525388268
827.312273,0.9997354849902657
827.794389,0.999827814825569
828.276506,0.9995560285844891
828.758622,0.998787136114667
829.240739,0.9983543555601954
829.722856,0.9977951342952422
830.204972,0.9984572912004946
830.687089,0.9980805445153668
831.169206,0.9971719066119372
831.651322,0.99665819629729
832.133439,0.9961441529427048
832.615556,0.9948987557657283
833.097672,0.9953467600237657
833.579789,0.9958292219547574
834.061905,0.994844037838918
834.544022,0.9941364580573528
835.026139,0.99564789796349
835.508255,0.9961921682480361
835.990372,0.9960757201900895
836.472489,0.9969699997446086
836.954605,0.9981611926815056
837.436722,0.9990274432401857
837.918839,1.0
838.400955,1.0
838.883072,1.0
839.365188,1.0
839.847305,1.0
840.329422,1.0
840.811538,1.0
841.293655,1.0
841.775772,1.0
842.257888,1.0
842.740005,1.0
843.222122,1.0
843.704238,1.0
844.186355,1.0
844.668471,1.0
845.150588,1.0
845.632705,1.0
846.114821,1.0
846.596938,1.0
847.079055,1.0
847.561171,1.0
848.043288,1.0
848.525405,1.0
849.007521,1.0
849.489638,1.0
849.971754,1.0
850.453871,1.0
850.935988,1.0
851.418104,0.9986577016893584
851.900221,0.9959387691941601
852.382338,0.9968374115519528
852.864454,0.9972530797088357
853.346571,0.9982078078976607
