nu,[0]Glycoaldehyde-HITRAN(x-sec)-X=0.01-T=298.1K-P=0.0atm-L=15cm
578.776576,0.9999837031327954
578.895178,0.9999861820954681
579.01378,0.9999948343133422
579.132383,0.9999924946281654
579.250985,0.9999941199172877
579.369587,0.9999930092244356
579.48819,0.9999925283279131
579.606792,0.9999939079185568
579.725395,0.999992473928321
579.843997,0.9999942261166689
579.962599,0.9999943793157962
580.081202,0.9999928183257883
580.199804,0.9999922299301871
580.318406,0.9999949697126519
580.437009,0.9999965422059782
580.555611,0.9999927861260202
580.674213,0.9999937676194214
580.792816,0.9999946440143433
580.911418,0.9999949093129575
581.030021,0.9999868280867504
581.148623,0.9999926160272616
581.267225,0.9999925439277967
581.385828,0.9999903675463924
581.50443,0.9999903368466886
581.623032,0.9999973419035327
581.741635,0.9999959299082829
581.860237,0.9999929700247104
581.97884,0.9999959847080613
582.097442,0.9999923328293929
582.216044,0.999992891725264
582.334647,0.9999904748453645
582.453249,0.9999910360401765
582.571851,0.9999937373196106
582.690454,0.9999919149326844
582.809056,0.9999944698152915
582.927659,0.9999923710291008
583.046261,0.9999933169223318
583.164863,0.9999935115210503
583.283466,0.999994610014526
583.402068,0.9999923377293554
583.52067,0.9999950148124261
583.639273,0.9999918668330744
583.757875,0.9999968834048566
583.876478,0.9999899030509746
583.99508,0.9999952581112428
584.113682,0.9999926083273185
584.232285,0.9999939882180708
584.350887,0.9999954826102034
584.469489,0.999992104831167
584.588092,0.9999880350715803
584.706694,0.9999927528262609
584.825297,0.9999939066185647
584.943899,0.9999909337410988
585.062501,0.9999948640131893
585.181104,0.9999931085237463
585.299706,0.9999941945168519
585.418308,0.9999910486400636
585.536911,0.9999917099343628
585.655513,0.999988169069986
585.774115,0.9999917093343678
585.892718,0.9999922519300164
586.01132,0.9999933196223139
586.129923,0.9999952729111727
586.248525,0.999993564020711
586.367127,0.9999917916336888
586.48573,0.9999950658121731
586.604332,0.9999908528418355
586.722934,0.9999891840584927
586.841537,0.9999927371263748
586.960139,0.9999933589220521
587.078742,0.9999927957259509
587.197344,0.9999941008174003
587.315946,0.9999921960304511
587.434549,0.9999928997252071
587.553151,0.9999914090369025
587.671753,0.9999918630331053
587.790356,0.9999936482201727
587.908958,0.9999919645322846
588.027561,0.9999911240393916
588.146163,0.9999933440221511
588.264765,0.9999957092092054
588.383368,0.9999880490714129
588.50197,0.9999922180302797
588.620572,0.9999913936370349
588.739175,0.9999926734268395
588.857777,0.9999916205351079
588.97638,0.9999895680544131
589.094982,0.9999923269294382
589.213584,0.9999929003252028
589.332187,0.9999916707346885
589.450789,0.9999905269448697
589.569391,0.9999903337467185
589.687994,0.9999929500248512
589.806596,0.9999913927370427
589.925199,0.9999925504277482
590.043801,0.99999269522668
590.162403,0.9999937510195249
590.281006,0.9999912667381351
590.399608,0.9999907849424589
590.51821,0.9999906982432616
590.636813,0.9999914277367421
590.755415,0.9999934162216731
590.874017,0.9999920526315805
590.99262,0.9999912364384003
591.111222,0.9999892080582334
591.229825,0.9999922179302805
591.348427,0.9999931871232077
591.467029,0.9999925170279976
591.585632,0.9999916517348469
591.704234,0.9999926653268989
591.822836,0.999992168930663
591.941439,0.9999939806181165
592.060041,0.9999913823371323
592.178644,0.9999922084303544
592.297246,0.9999923639291549
592.415848,0.9999898880511261
592.534451,0.9999910822397634
592.653053,0.999992508428062
592.771655,0.9999934351215489
592.890258,0.9999893060571806
593.00886,0.9999925681276165
593.127463,0.9999930572241011
593.246065,0.9999922234302376
593.364667,0.9999895190549255
593.48327,0.9999934538214263
593.601872,0.9999907094431575
593.720474,0.9999933881218586
593.839077,0.9999908061422638
593.957679,0.9999907971423465
594.076282,0.9999925661276313
594.194884,0.9999922450300699
594.313486,0.9999908225421131
594.432089,0.9999916259350626
594.550691,0.999993016324386
594.669293,0.9999896920531273
594.787896,0.9999920484316139
594.906498,0.9999924378285934
595.025101,0.9999910866397242
595.143703,0.9999910313402187
595.262305,0.9999904815453008
595.380908,0.9999907895424165
595.49951,0.999993601420471
595.618112,0.9999907871424386
595.736715,0.9999918092335445
595.855317,0.9999926085273171
595.973919,0.999991120039427
596.092522,0.9999911291393463
596.211124,0.9999913555373636
596.329727,0.9999942522165186
596.448329,0.999991804533583
596.566931,0.9999903770463009
596.685534,0.9999919097327263
596.804136,0.9999924224287099
596.922738,0.9999905038450888
597.041341,0.999993120923661
597.159943,0.9999907223430378
597.278546,0.9999934180216613
597.397148,0.9999907293429728
597.51575,0.9999929643247505
597.634353,0.9999913401374968
597.752955,0.9999900520494812
597.871557,0.9999905634445245
597.99016,0.9999925574276961
598.108762,0.9999929843246099
598.227365,0.9999896890531582
598.345967,0.9999913955370187
598.464569,0.999991988532092
598.583172,0.9999928513255519
598.701774,0.9999921601307319
598.820376,0.9999918192334627
598.938979,0.9999912737380741
599.057581,0.9999908928414705
599.176184,0.999990936141077
599.294786,0.9999921399308905
599.413388,0.999993014024402
599.531991,0.9999909194412285
599.650593,0.9999919980320159
599.769195,0.9999933587220534
599.887798,0.9999936044204518
600.0064,0.9999912668381343
600.125003,0.9999906721435047
600.243605,0.9999910885397073
600.362207,0.9999922724298578
600.48081,0.9999916123351766
600.599412,0.9999926320271436
600.718014,0.9999928762253742
600.836617,0.9999920486316123
600.955219,0.999990360946456
601.073821,0.9999933546220806
601.192424,0.9999941851169065
601.311026,0.9999910623399412
601.429629,0.999991884732929
601.548231,0.9999932683226579
601.666833,0.9999934574214028
