nu,[0]Isopropylamine-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
685.57417,0.9676982166227073
685.815224,0.9676033868442133
686.056278,0.967144851520306
686.297332,0.967350875314435
686.538386,0.9667107009560688
686.77944,0.9667812734131019
687.020494,0.9661955814440042
687.261548,0.9661211872484463
687.502602,0.9657087415649114
687.743656,0.9654634826937492
687.98471,0.965502102005438
688.225764,0.9655088605438069
688.466818,0.9656845991481537
688.707872,0.9653514954251439
688.948926,0.9653263966125487
689.18998,0.9647685991742956
689.431034,0.9642477647686872
689.672088,0.9636134984359775
689.913142,0.9632396889223196
690.154196,0.962678283849158
690.39525,0.9618141867879095
690.636304,0.9621768590957631
690.877358,0.9621114332938471
691.118412,0.9620546703938047
691.359466,0.9621316378460932
691.60052,0.9621884052873492
691.841574,0.9618526601248426
692.082628,0.962187443099425
692.323682,0.9619998348404204
692.564736,0.9620258091866132
692.80579,0.9616805039071215
693.046844,0.9613603176132971
693.287898,0.9616074189660875
693.528952,0.9610979020679403
693.770006,0.9607884783633645
694.01106,0.9610661863604841
694.252114,0.9613930044197685
694.493168,0.9612872570054967
694.734222,0.9619526980033751
694.975276,0.961339167918957
695.21633,0.9616478073258337
695.457384,0.9615131860565168
695.698438,0.9614381909528514
695.939492,0.9612074734742276
696.180546,0.9612199692526051
696.4216,0.9613526267615196
696.662654,0.9612776441809908
696.903708,0.9608499707937165
697.144762,0.9609787333166993
697.385816,0.9609787333166993
697.62687,0.9608720705971915
697.867924,0.9610037190885791
698.108978,0.9607875175753665
698.350032,0.9605992216755227
698.591086,0.9608432448674618
698.83214,0.9609124280716577
699.073194,0.9604829962014829
699.314248,0.9601449656836815
699.555302,0.95983872828709
699.796356,0.9602035363129742
700.03741,0.9600047947514186
700.278464,0.9599740750895038
700.519518,0.959712997649221
700.760572,0.9595402648560619
701.001626,0.9594778967658312
701.24268,0.9598224111674051
701.483734,0.959253405204525
701.724788,0.9593867506951453
701.965842,0.9594990055117554
702.206896,0.9587834861755391
702.44795,0.9592390165113623
702.689004,0.9590423926676102
702.930058,0.9590308842279489
703.171112,0.9589100539490036
703.412166,0.9587403418894149
703.65322,0.9582716324710236
703.894274,0.9584757660681963
704.135328,0.958175810098975
704.376382,0.9579324643494284
704.617436,0.9583195472505067
704.85849,0.9576652384716183
705.099544,0.9578299710592318
705.340598,0.957175996546717
705.581652,0.9567587587766662
705.822706,0.9565004687825148
706.06376,0.9560118219028777
706.304814,0.9557661584337566
706.545868,0.9559429915296238
706.786922,0.9555329799400318
