nu,[0]2-Methylfuran-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
564.756295,1.0
564.875298,0.9985505514666794
564.9943,0.9942802205829679
565.113302,0.9988950109505036
565.232305,0.998327200691032
565.351307,0.9992466639002301
565.470309,0.9982045138173299
565.589312,0.997135809642277
565.708314,0.9996806609995563
565.827317,0.9939065408855501
565.946319,0.9984095660826147
566.065321,0.9978354460329595
566.184324,0.9965501644042458
566.303326,0.997560480476027
566.422328,0.9996002499213624
566.541331,0.9973436343995941
566.660333,0.9983467680959255
566.779336,0.9971378039158906
566.898338,0.9951065123149611
567.01734,0.9990817018940085
567.136343,0.9954341553058925
567.255345,0.9976739095509778
567.374347,0.9962650921837354
567.49335,0.9965310308247721
567.612352,0.9977058356268979
567.731355,0.9975930014777799
567.850357,0.9981504125988372
567.969359,0.9988942118348145
568.088362,0.9962594134888942
568.207364,0.9976341031561295
568.326367,0.9950150662284913
568.445369,0.9966066704004973
568.564371,0.9962428757198941
568.683374,0.9944587099014998
568.802376,0.9942259343649514
568.921378,0.9931346747641542
569.040381,0.9942385611144975
569.159383,0.9938059626329578
569.278386,0.9933380895745114
569.397388,0.9931164012542553
569.51639,0.9931277228457626
569.635393,0.9938763265859668
569.754395,0.9896311312313179
569.873397,0.9937222876936685
569.9924,0.9938411439867414
570.111402,0.9930638667861779
570.230405,0.9920837994629778
570.349407,0.9935242585759883
570.468409,0.990533591241102
570.587412,0.9911962816859072
570.706414,0.9910678309715869
570.825417,0.9917120361277401
570.944419,0.990531313016462
571.063421,0.9919695179920187
571.182424,0.9896766553104003
571.301426,0.9907640161518029
571.420428,0.9904950602338356
571.539431,0.9882653938977729
571.658433,0.9903400598860026
571.777436,0.9885718036609408
571.896438,0.9877457029912733
572.01544,0.9865058731644372
572.134443,0.9862701264336075
572.253445,0.9874336246601013
572.372447,0.9879897063130818
572.49145,0.9847681955229722
572.610452,0.9860176735965822
572.729455,0.9880025502627494
572.848457,0.9854843823034684
572.967459,0.985387809566144
573.086462,0.9844304779537819
573.205464,0.9853700727452037
573.324466,0.9833108332685289
573.443469,0.98516612224975
573.562471,0.9838104820718803
573.681474,0.9818026089977325
573.800476,0.981856609626231
573.919478,0.9798115712884808
574.038481,0.9823899025411811
574.157483,0.981275522532083
574.276486,0.9816003784907363
574.395488,0.9815856545954884
574.51449,0.981642588214514
574.633493,0.9805800447626106
574.752495,0.9791200684483763
574.871497,0.9796264044003294
574.9905,0.9797086964745179
575.109502,0.9786913077638404
575.228505,0.9777062616708704
575.347507,0.9757986647165842
575.466509,0.9795196309415091
575.585512,0.9756425494197863
575.704514,0.9767329510234103
575.823516,0.976291567489741
575.942519,0.975316739221612
576.061521,0.9735890347056163
576.180524,0.9749286403961911
576.299526,0.9742912455162164
576.418528,0.9727676722240491
576.537531,0.9723241912868533
576.656533,0.9721443279493369
576.775536,0.9727881005596626
576.894538,0.9707221499415332
577.01354,0.971218315719713
577.132543,0.9706988528895003
577.251545,0.970313561930219
577.370547,0.9703096806837338
577.48955,0.9693243466825915
577.608552,0.9686509003113687
577.727555,0.9684300730813585
577.846557,0.9670645818288681
577.965559,0.966941772425538
578.084562,0.967606289658728
578.203564,0.9657927618802583
578.322566,0.9659318460517891
578.441569,0.9642603000711085
578.560571,0.9653119168251982
578.679574,0.9646200362496615
578.798576,0.9635855540497184
578.917578,0.9638833479927145
579.036581,0.9615583782382694
579.155583,0.9620671771858138
579.274585,0.960180491704639
579.393588,0.9605367847553357
579.51259,0.9596890051241875
579.631593,0.9601132814226071
579.750595,0.9598848016517997
579.869597,0.9598972802353318
579.9886,0.9591709129588948
580.107602,0.9583847151954048
580.226605,0.9580320945063991
580.345607,0.9558254177726
580.464609,0.9560185140090534
580.583612,0.9562126054670136
580.702614,0.95388133696784
580.821616,0.9543870280727383
580.940619,0.9547602663640457
581.059621,0.954250560485389
581.178624,0.9543984807857914
581.297626,0.9524534924476152
581.416628,0.9516090407694991
581.535631,0.9515357696943325
581.654633,0.9516099923790157
581.773635,0.9501437405414674
581.892638,0.9505714014411968
582.01164,0.9500876837144682
582.130643,0.9496355495934777
582.249645,0.9497305178967731
582.368647,0.9484132063636246
582.48765,0.9486218802223074
582.606652,0.9477125879145241
582.725655,0.9458635114412335
582.844657,0.9455050970942063
582.963659,0.9456119452069826
583.082662,0.9448822144975789
583.201664,0.9435952173270357
583.320666,0.9446800313380461
583.439669,0.9451553249201239
583.558671,0.9432187979359846
583.677674,0.9435584178311548
583.796676,0.9423533203944509
583.915678,0.9426049623236987
584.034681,0.9409897802278453
584.153683,0.9403886798303102
584.272685,0.9401131863088917
584.391688,0.9401761760025056
584.51069,0.9405156408717648
584.629693,0.9389594358638641
584.748695,0.9398499914657228
584.867697,0.9379112037206451
584.9867,0.9372305273021811
585.105702,0.9372633309446972
585.224704,0.9369063016340098
585.343707,0.9366477511763632
585.462709,0.9367639026987546
585.581712,0.9367639026987546
585.700714,0.9381869901531581
585.819716,0.9363630535362395
585.938719,0.9364257919625402
586.057721,0.9362113750078591
586.176724,0.9340951241072502
586.295726,0.9337140910326474
586.414728,0.934793153846607
586.533731,0.9353944191306032
586.652733,0.933675809539691
586.771735,0.9347585671397727
586.890738,0.9354271585082085
587.00974,0.9314125259555245
587.128743,0.9329562229268211
587.247745,0.9332370850175462
587.366747,0.933605786479873
587.48575,0.9326791760721063
587.604752,0.932793902666304
587.723754,0.9325262292292144
587.842757,0.9326381390911793
587.961759,0.9309134226132573
588.080762,0.9316482031364974
588.199764,0.9325299593415914
588.318766,0.9319743370777057
588.437769,0.9308389525182916
588.556771,0.9314926308772189
588.675774,0.9306276760568556
588.794776,0.9314460574100214
588.913778,0.9309664861906438
589.032781,0.9314218401273548
589.151783,0.9301922442034622
589.270785,0.9298946303060803
589.389788,0.9299411261999833
589.50879,0.9286466200440513
589.627793,0.9289317583228911
589.746795,0.9304294734711802
589.865797,0.9295943228427577
589.9848,0.9293972697346825
590.103802,0.9289141087871541
590.222804,0.9292662339578893
590.341807,0.9281777718950507
590.460809,0.926904258281396
590.579812,0.9295273944609637
590.698814,0.9298676637528184
590.817816,0.9277880190846742
590.936819,0.9275199270883182
591.055821,0.9282334642321177
591.174823,0.9268041580270125
591.293826,0.9268069384436574
591.412828,0.9270859493211594
591.531831,0.9261009805606758
591.650833,0.9242192055801369
591.769835,0.924249705317164
591.888838,0.9240473167940517
592.00784,0.9225552622348993
592.126843,0.9210665379548233
592.245845,0.9204928922108807
592.364847,0.9189762502465958
592.48385,0.9177539065077305
592.602852,0.9172501978937238
592.721854,0.9128908102572497
592.840857,0.908545781509542
592.959859,0.9115124738383579
593.078862,0.9132651722284151
593.197864,0.9156867030963834
593.316866,0.9155969701964639
593.435869,0.9199223634998863
593.554871,0.919102158617406
593.673873,0.9195921706445538
593.792876,0.9225358887778143
593.911878,0.9253844557326014
594.030881,0.9246703346189927
594.149883,0.9250449019492779
594.268885,0.9256213844788546
594.387888,0.9245908163895484
594.50689,0.924847888367854
594.625893,0.9243245725753777
594.744895,0.9252576867460399
594.863897,0.9222693144278065
594.9829,0.9228505271586827
595.101902,0.9225691006676208
595.220904,0.9235789435470881
595.339907,0.9276117561065613
595.458909,0.929717037392355
595.577912,0.9290125789015093
595.696914,0.9284934059922508
595.815916,0.9285194041715915
595.934919,0.9279429726221217
596.053921,0.9278334818114371
596.172923,0.9256454509477137
596.291926,0.9229031311379298
596.410928,0.9210453536680706
596.529931,0.9174584373229266
596.648933,0.9153644380988606
596.767935,0.911887182462453
596.886938,0.9059564885277493
597.00594,0.8993257168059553
597.124942,0.8974391144264876
597.243945,0.8962911272285669
597.362947,0.8906533361528239
597.48195,0.884281348010926
597.600952,0.8723103608422582
597.719954,0.8538839366428495
597.838957,0.8363484052695126
597.957959,0.8159191580035288
598.076962,0.7962516499079615
598.195964,0.7678583522650281
598.314966,0.734166086557698
598.433969,0.7022751501280419
598.552971,0.6519026747848538
598.671973,0.5859680576620088
598.790976,0.5433780372971534
598.909978,0.5445094398654943
599.028981,0.4760035341944615
599.147983,0.37785679664382416
599.266985,0.3309129265481374
599.385988,0.36211262382648307
599.50499,0.4789591342159423
599.623992,0.640196575865126
599.742995,0.7682423774394537
599.861997,0.8317028944104402
599.981,0.86283655283651
600.100002,0.8820469439134913
600.219004,0.8962015025971503
600.338007,0.9057046676286654
600.457009,0.9121744721706823
600.576012,0.916747682487075
600.695014,0.920262797750834
600.814016,0.9229012853335133
600.933019,0.9253696496997582
601.052021,0.9267652330698053
601.171023,0.9287422755720909
601.290026,0.9286540492467283
601.409028,0.9293182743241076
601.528031,0.928867664242838
601.647033,0.9289057485977958
601.766035,0.9283699245809498
601.885038,0.9279782351250646
602.00404,0.9268162065593822
602.123042,0.9257454260549747
602.242045,0.9252586120041892
602.361047,0.9253363369920014
602.48005,0.9238292673581338
602.599052,0.9227665515816579
602.718054,0.9229132831282082
602.837057,0.9216138140032634
602.956059,0.92089155193681
603.075062,0.9196547050383028
603.194064,0.920067722716395
603.313066,0.9193724143776896
603.432069,0.9176226770822273
603.551071,0.9174749517234276
603.670073,0.9170273331747956
603.789076,0.9163260755301654
603.908078,0.9154495709502201
604.027081,0.9150560122558948
604.146083,0.9145784776648689
604.265085,0.9142081483781571
604.384088,0.9134158734143387
604.50309,0.9136268968533663
604.622092,0.9123541882431517
604.741095,0.9122310287411924
604.860097,0.912118831224946
604.9791,0.9112381498715607
605.098102,0.9107380174261992
605.217104,0.9107334637474963
605.336107,0.9100807018970775
605.455109,0.9097977108061831
605.574111,0.9095029840961871
605.693114,0.9092310833551289
605.812116,0.9094156760005696
605.931119,0.9080798170537294
606.050121,0.907997185550168
606.169123,0.9083341150025559
606.288126,0.9083223067358148
606.407128,0.9091683485747521
606.526131,0.909460238460465
606.645133,0.9092983689448333
606.764135,0.9092319925866669
606.883138,0.9100342889648206
607.00214,0.9097176521302656
607.121142,0.9094011254661581
607.240145,0.9095002555913276
607.359147,0.9087375048955464
607.47815,0.9096976385620688
607.597152,0.9098513904546547
607.716154,0.9091092545526713
607.835157,0.9087638586653162
607.954159,0.9095730185222534
608.073161,0.9086430011093193
608.192164,0.9086148336128834
608.311166,0.9083677239865734
608.430169,0.9090592549186735
608.549171,0.908622102560628
608.668173,0.9099924283503297
608.787176,0.9083886166844902
608.906178,0.9085848498181095
609.025181,0.9083958838224921
609.144183,0.9089892600508818
609.263185,0.9092238095355574
609.382188,0.908867463650576
609.50119,0.9091883504984412
609.620192,0.9084031510186314
609.739195,0.9091528928442005
609.858197,0.9089847151159438
609.9772,0.9082696255697927
610.096202,0.9077457051614124
610.215204,0.9087547710721676
610.334207,0.9088156596815751
610.453209,0.9091001635055811
610.572211,0.9089747163390709
610.691214,0.9092474496619256
610.810216,0.9088047539590933
610.929219,0.9095639228375466
611.048221,0.9091165274557993
611.167223,0.908347740116469
611.286226,0.9085948443064271
611.405228,0.9088311096791143
611.52423,0.9095420935653509
611.643233,0.9094138571710364
611.762235,0.9097185618483725
611.881238,0.9097458538146054
612.00024,0.9101198362086408
612.119242,0.9092210818682203
612.238245,0.9098231854987296
612.357247,0.9102627362402844
612.47625,0.910447538332519
612.595252,0.9101917385158049
612.714254,0.910802682121006
612.833257,0.9106296460503502
612.952259,0.9103801677074262
613.071261,0.911256374816807
613.190264,0.9115152083798812
613.309266,0.9118406774020366
613.428269,0.9119947914987919
613.547271,0.9129510630390466
613.666273,0.9141377570608324
613.785276,0.9140618867756568
613.904278,0.913872695547062
614.02328,0.9145290917605063
614.142283,0.9150047705539895
614.261285,0.9158149082089655
614.380288,0.9156812089926473
614.49929,0.9162619349498248
614.618292,0.9171557259887273
614.737295,0.9174712818309605
614.856297,0.9181091460039578
614.9753,0.9185040178280974
615.094302,0.9185481070790867
615.213304,0.9194864236254997
615.332307,0.9197917437984876
615.451309,0.9202269082015724
615.570311,0.9214120026771434
615.689314,0.9220286335469621
615.808316,0.9228173051377049
615.927319,0.9230249623919259
616.046321,0.9230323466211618
616.165323,0.9232446684769622
616.284326,0.9238357341856391
616.403328,0.925323382373966
616.52233,0.9253761273099778
616.641333,0.9261352469308806
