nu,[0]Dimethylsulfate-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
539.471842,0.9145976840145658
539.591444,0.9177667551523618
539.711046,0.9124417784494857
539.830648,0.9017391422726052
539.95025,0.9079853816634813
540.069852,0.9001534771768027
540.189454,0.9028309070192223
540.309056,0.911360263965105
540.428658,0.9205794226096136
540.54826,0.8916781766597451
540.667862,0.8886071874526881
540.787464,0.9144431300661439
540.907066,0.9016579894017346
541.026668,0.8689062866332614
541.14627,0.8928559690248816
541.265872,0.88068083016209
541.385474,0.8939995564050189
541.505076,0.8731307180889503
541.624678,0.869506038861762
541.74428,0.8987683076762215
541.863882,0.8801701833824772
541.983484,0.8687585851195181
542.103086,0.8426108944142315
542.222688,0.8842106083327099
542.34229,0.8650828467906131
542.461892,0.8731045245603125
542.581494,0.8724761155570175
542.701096,0.8622758913119016
542.820698,0.862517362365839
542.9403,0.8360055727088296
543.059902,0.8642095542023488
543.179504,0.8751412299428863
543.299106,0.8704107955340992
543.418708,0.8550118076703292
543.53831,0.8598305018772007
543.657912,0.8431840646782368
543.777514,0.828838463409358
543.897116,0.8442893596130812
544.016718,0.8409273567242722
544.13632,0.8285898491643365
544.255922,0.8365156916786498
544.375524,0.8298170700605543
544.495126,0.8283910114620158
544.614728,0.8265292269792097
544.73433,0.8059287015529625
544.853932,0.8199187737768004
544.973534,0.8192057546519077
545.093136,0.8271576279538372
545.212738,0.8342100915613734
545.33234,0.79247049833446
545.451942,0.8165721544937011
545.571544,0.8181742054135404
545.691146,0.8344103260105208
545.810748,0.8141993835802085
545.93035,0.7956228595094439
546.049952,0.8301739681282656
546.169554,0.8036270384137003
546.289156,0.7921060457357505
546.408758,0.8106328824840261
546.52836,0.8124263622194624
546.647962,0.8303483229681901
546.767564,0.8066946976099556
546.887166,0.814337809241265
547.006768,0.808277369729282
547.12637,0.8189927888424531
547.245972,0.8087624816701485
547.365574,0.7943270506195916
547.485176,0.7890623004290419
547.604778,0.7978856400579396
547.72438,0.7908713236380406
547.843982,0.7937870918319645
547.963584,0.7923912552468471
548.083186,0.7890386289151035
548.202788,0.7874385051734993
548.32239,0.7824071670214465
548.441992,0.7749009997861039
548.561594,0.7836835306574573
548.681196,0.783158638550408
548.800798,0.781750220957124
548.9204,0.7970323590098484
549.040002,0.7767862989263311
549.159604,0.7660100417448438
549.279206,0.770458104602083
549.398808,0.7679351419396743
549.51841,0.7609938519974979
549.638012,0.7677662147911152
549.757614,0.7545377265273291
549.877216,0.7705890936136159
549.996818,0.7585473927073452
550.11642,0.7540021948777271
550.236022,0.7546660088445267
550.355624,0.7538212560644825
550.475226,0.7404479041582228
550.594828,0.7496641295672611
550.71443,0.7473661898318044
550.834032,0.7494392640599036
550.953634,0.7496491364346016
551.073236,0.7372855593736878
551.192838,0.75098470019657
551.31244,0.7315790490796987
551.432042,0.7248069032117146
551.551644,0.7298545582234746
551.671246,0.7263814419483513
551.790848,0.7264468192200597
551.91045,0.7194199619871579
552.030052,0.7197221818329175
552.149654,0.723423843269287
552.269256,0.7263088074359426
552.388858,0.7141373272875208
552.50846,0.7229899191535779
552.628062,0.7093402260926819
552.747664,0.7258731528609231
552.867266,0.7099008262792129
552.986868,0.710923819847651
553.10647,0.7078097047624251
553.226072,0.7062683602819504
553.345674,0.7087871564415342
553.465276,0.6967281311862445
553.584878,0.697411259432975
553.70448,0.6748060248507023
553.824082,0.6971462935011059
553.943684,0.6825633061232996
554.063286,0.6876948991116871
554.182888,0.6765831005262519
554.30249,0.6785208979231675
554.422092,0.6800084870051119
554.541694,0.6688804061041502
554.661296,0.6660370362519586
554.780898,0.6768944003459633
554.9005,0.6807228709023793
555.020102,0.660855547051684
555.139704,0.674461961521635
555.259306,0.6624302564144935
555.378908,0.6701658901536571
555.49851,0.6566789766016731
555.618112,0.6698710820245342
555.737714,0.6561997758782984
555.857316,0.6590868253313296
555.976918,0.6513878750444451
556.09652,0.651172952509849
556.216122,0.6613712154629203
556.335724,0.656114475452082
556.455326,0.6585004990106997
556.574928,0.6499498973911725
556.69453,0.6444358474735989
556.814132,0.63603607217124
556.933734,0.6347462285789216
557.053336,0.6359788315006134
557.172938,0.6361251234547883
557.29254,0.6367806698804002
557.412142,0.6324020070174338
557.531744,0.6256338394634238
557.651346,0.6302870049004387
557.770948,0.6246835983936055
557.89055,0.624596148811444
558.010152,0.6229743081310556
558.129754,0.6246148869769794
558.249356,0.6245336923194394
558.368958,0.6257339488862782
558.48856,0.6230739919948529
558.608162,0.6209218812811025
558.727764,0.6213877473700092
558.847366,0.6187400784846984
558.966968,0.6148911615048885
559.08657,0.619123816279783
559.206172,0.6074046930155648
559.325774,0.606506398971463
559.445376,0.603089300211461
559.564978,0.6101441733419978
559.68458,0.6141598762237378
559.804182,0.6080792865549626
559.923784,0.6013609153385243
560.043386,0.6094246278327959
560.162988,0.5983675989066367
560.28259,0.5894119111154866
560.402192,0.5923485798907762
560.521794,0.6032461238157011
560.641396,0.6005736483119191
560.760998,0.5852067941155646
560.8806,0.599062108058799
561.000202,0.5893824412566834
561.119804,0.5964618475556221
561.239406,0.6040670966790982
561.359008,0.5915671955924143
