nu,[0]HCFC-141-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
581.416628,0.9848745562314636
581.535631,0.9834278542202963
581.654633,0.9834937460938823
581.773635,0.9842218008130142
581.892638,0.983229221856288
582.01164,0.983341316376846
582.130643,0.9828438715349179
582.249645,0.9809743171840523
582.368647,0.9810429877896983
582.48765,0.9816936349563049
582.606652,0.981603323296289
582.725655,0.9818988303681844
582.844657,0.9803329697240929
582.963659,0.9801418234323658
583.082662,0.979945814669209
583.201664,0.980517289647931
583.320666,0.9796234655255246
583.439669,0.9778861761746446
583.558671,0.9794285398516328
583.677674,0.9782646913627889
583.796676,0.9783811117879391
583.915678,0.9777668813382843
584.034681,0.9781120939738421
584.153683,0.9781111158622372
584.272685,0.978509288108949
584.391688,0.9756493789415355
584.51069,0.9773807396881522
584.629693,0.9779301820426971
584.748695,0.9762573978828505
584.867697,0.975988964009782
584.9867,0.976185157508334
585.105702,0.976337454271744
585.224704,0.9765014927429074
585.343707,0.9766147734862216
585.462709,0.9756484032926445
585.581712,0.9761705148407916
585.700714,0.9758181808850395
585.819716,0.9757732942811186
585.938719,0.9750846414584067
586.057721,0.9751363223139345
586.176724,0.9761158508225674
586.295726,0.9752552962025165
586.414728,0.9757459730113783
586.533731,0.9765346943580849
586.652733,0.9759587088208556
586.771735,0.9757420700352922
586.890738,0.9753079614104593
587.00974,0.9767417416595273
587.128743,0.976082663447828
587.247745,0.9770338311054796
587.366747,0.9764624334643884
587.48575,0.9761217075352424
587.604752,0.9765600845902098
587.723754,0.9773387132199212
587.842757,0.9786169300508393
587.961759,0.9768042551314033
588.080762,0.975632793043074
588.199764,0.977276165543822
588.318766,0.9768960790470421
588.437769,0.9775283353230351
588.556771,0.9754396368731434
588.675774,0.9765415301248705
588.794776,0.9753411224448816
588.913778,0.9768775181978688
589.032781,0.9754162266027828
589.151783,0.9754942630223262
589.270785,0.9744188860296501
589.389788,0.9742435064148036
589.50879,0.9751392477272895
589.627793,0.9740506252963944
589.746795,0.9733777888060942
589.865797,0.973362214886065
589.9848,0.9734624763575754
590.103802,0.9734488479783052
590.222804,0.9722046027661698
590.341807,0.9714028647313007
590.460809,0.9713863510229671
590.579812,0.9708541771315706
590.698814,0.969942972936566
590.817816,0.9678230577447309
590.936819,0.9669253345551291
591.055821,0.9671322787189597
591.174823,0.9655378262441066
591.293826,0.963878528588023
591.412828,0.9620373535655895
591.531831,0.961220930473055
591.650833,0.9628833561630439
591.769835,0.9671090678228023
591.888838,0.9711765542300155
592.00784,0.971086239010195
592.126843,0.9712659065831499
592.245845,0.9700050512733195
592.364847,0.969992441289618
592.48385,0.9705367597162244
592.602852,0.9704455335485082
592.721854,0.9687933024600159
592.840857,0.964954817483425
592.959859,0.9626985003053908
593.078862,0.9623654642428464
593.197864,0.9625598817021258
593.316866,0.9610344716996291
593.435869,0.9632088657454475
593.554871,0.9688126785198251
593.673873,0.976891194578858
593.792876,0.979873301361949
593.911878,0.9802819937350544
594.030881,0.9814541309300551
594.149883,0.9811244177369809
594.268885,0.9815444288637418
594.387888,0.9833029668133286
594.50689,0.9824567073258909
594.625893,0.9812186102022497
594.744895,0.9820127372389779
594.863897,0.9816906898798177
594.9829,0.9798576235145503
595.101902,0.9797018385376454
595.220904,0.9794295192806624
595.339907,0.9797860965188008
595.458909,0.9790779671906165
595.577912,0.9776084959330716
595.696914,0.9773641243568082
595.815916,0.9773856266040679
595.934919,0.9764165408085015
596.053921,0.976199800395518
596.172923,0.9747365983707936
596.291926,0.9755235282891936
596.410928,0.9747960591168285
596.529931,0.973803247855834
596.648933,0.9732901887471634
596.767935,0.9729778127356078
596.886938,0.9722425194850489
597.00594,0.9716758672913535
597.124942,0.9722843268122379
597.243945,0.9718284323785642
597.362947,0.9706551724239382
597.48195,0.971420350140234
597.600952,0.9702941558530418
597.719954,0.9701398913466145
597.838957,0.9700952659380048
597.957959,0.9704329178385743
598.076962,0.9699449128244517
598.195964,0.9695075662978228
598.314966,0.9714436645084087
598.433969,0.9702679582645028
598.552971,0.9701670556438705
598.671973,0.9704319474061417
598.790976,0.9702504935984365
598.909978,0.9701728766636675
599.028981,0.970121458863788
599.147983,0.9699914712976617
599.266985,0.9708619439960551
599.385988,0.9712416252390034
599.50499,0.9713406969373485
599.623992,0.972115164056959
599.742995,0.9718206577822036
599.861997,0.973272669681438
599.981,0.9737789030789487
600.100002,0.972669427650589
600.219004,0.9737360577498173
600.338007,0.9746498506738684
600.457009,0.974231815562872
600.576012,0.9752426179660746
600.695014,0.9747424468079292
600.814016,0.9768501660102916
600.933019,0.975793785735458
601.052021,0.9774696853824315
601.171023,0.9777991481777684
601.290026,0.9779194248698592
601.409028,0.97819523703536
601.528031,0.9794971022490784
601.647033,0.9801320220631384
601.766035,0.9812225350845403
601.885038,0.9815238166471648
602.00404,0.9815817282607228
602.123042,0.9817711918169222
602.242045,0.9827053003185319
602.361047,0.9825755917798417
602.48005,0.9833885178928593
602.599052,0.9845013594998997
602.718054,0.9840348164349382
602.837057,0.9854183570617243
602.956059,0.9853897803437339
603.075062,0.986635113898905
603.194064,0.9876034778504985
603.313066,0.987215425940898
603.432069,0.9872894698744563
603.551071,0.9880331788165477
603.670073,0.988820955147232
603.789076,0.9891285262891163
603.908078,0.9889109419484878
604.027081,0.9892037029137899
604.146083,0.9904678219942067
604.265085,0.9905298272206069
604.384088,0.9909672426916848
604.50309,0.9917402011495074
604.622092,0.9910690202536976
604.741095,0.992207916909675
604.860097,0.992992765958756
604.9791,0.9927841600934415
605.098102,0.9930198750313038
605.217104,0.9935563499278128
605.336107,0.9930099448822043
605.455109,0.9936152695663135
605.574111,0.9935508853829157
605.693114,0.9944474725815688
605.812116,0.9930088525718657
605.931119,0.9944998813443326
606.050121,0.9951176575703123
606.169123,0.9946256935367761
606.288126,0.9951859249831672
606.407128,0.9958603918972116
606.526131,0.9955656608435579
606.645133,0.9956109601116768
606.764135,0.9957887921090774
606.883138,0.9962547310806545
607.00214,0.9957328303515011
607.121142,0.9962814310652256
607.240145,0.9958566076349126
607.359147,0.9965393020666536
607.47815,0.9961562063598783
607.597152,0.9967632496073919
607.716154,0.9967138113762897
607.835157,0.9963774772245308
607.954159,0.9982807795554997
608.073161,0.9964472260891183
608.192164,0.9969195543389011
608.311166,0.9976440795470429
608.430169,0.9977326742748545
608.549171,0.997513795737972
608.668173,0.9981616917622268
608.787176,0.9977948349567469
608.906178,0.9978908274370341
609.025181,0.9980334362254301
609.144183,0.998535972735053
609.263185,0.9979287480089629
609.382188,0.9976346019733058
609.50119,0.9971461799086225
609.620192,0.9986736803404144
609.739195,0.998178760473093
609.858197,0.997647571307432
609.9772,0.9971828755632391
610.096202,0.9978973137484929
610.215204,0.998177961930404
610.334207,0.9977282842607457
610.453209,0.9981966280328196
610.572211,0.9985167011767504
610.691214,0.9974196348801168
610.810216,0.9983605453763882
610.929219,0.9975285590513973
611.048221,0.9978398365185811
611.167223,0.9977346697421985
611.286226,0.9979971084695206
611.405228,0.9969720933838064
611.52423,0.9984466077646353
611.643233,0.998000601465513
611.762235,0.9985022227895518
611.881238,0.9977656997729419
612.00024,0.9977703892827512
612.119242,0.9978787530310723
