nu,[0]Ethylacetate-PNNL(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
581.863882,0.991294117587032
581.983484,0.9918189484477051
582.103086,0.9905472606989801
582.222688,0.9915346347135064
582.34229,0.9910125309295041
582.461892,0.9902409318074511
582.581494,0.9924051874515988
582.701096,0.9886311197486252
582.820698,0.9888585310574655
582.9403,0.9910226393088724
583.059902,0.9867702921690092
583.179504,0.9911893433362198
583.299106,0.9888792973046624
583.418708,0.9889732453003656
583.53831,0.9878118841704184
583.657912,0.9886241993550083
583.777514,0.9865048866590573
583.897116,0.9870722900817371
584.016718,0.9879956342691036
584.13632,0.9885886095244524
584.255922,0.9879659948446691
584.375524,0.9863332497416235
584.495126,0.9855326722212945
584.614728,0.9861399473689254
584.73433,0.9864999541469552
584.853932,0.9846165528976435
584.973534,0.9863865131752093
585.093136,0.9844166960235643
585.212738,0.9867140478653335
585.33234,0.9830817485337853
585.451942,0.9846549536920172
585.571544,0.9824950238846446
585.691146,0.984219832371381
585.810748,0.9842542806683557
585.93035,0.9834258873665548
586.049952,0.982952973259692
586.169554,0.9831171401137772
586.289156,0.9823368549187426
586.408758,0.9814835749956418
586.52836,0.9811224554901077
586.647962,0.9833442664052201
586.767564,0.981434502043726
586.887166,0.9815120384320344
587.006768,0.9809419455657199
587.12637,0.9787979909305136
587.245972,0.9794060132542731
587.365574,0.9795176719042062
587.485176,0.9791034235486947
587.604778,0.9784114420725214
587.72438,0.9793070982422266
587.843982,0.9782930614502028
587.963584,0.9789477584800513
588.083186,0.9773025523565121
588.202788,0.9756679164558413
588.32239,0.9770221067698525
588.441992,0.9754074478962477
588.561594,0.9759284545698254
588.681196,0.9765503190381918
588.800798,0.9771022258674458
588.9204,0.9738227241155532
589.040002,0.9740973808485329
589.159604,0.9744461701404348
589.279206,0.9749120667501807
589.398808,0.9741275783353979
589.51841,0.9736055858598907
589.638012,0.9728095021332913
589.757614,0.9710493384342279
589.877216,0.9704552380523661
589.996818,0.9724253182612587
590.11642,0.9716389443099375
590.236022,0.9703290870714107
590.355624,0.9697839153320844
590.475226,0.969748033991026
590.594828,0.9703494641961983
590.71443,0.9683893998724324
590.834032,0.9699895313166591
590.953634,0.9711804389440019
591.073236,0.9670094607186704
591.192838,0.9676924104508261
591.31244,0.9670481418707171
591.432042,0.9686654301838471
591.551644,0.9655059640215701
591.671246,0.9647763173539616
591.790848,0.9636173528976801
591.91045,0.9648959570348205
592.030052,0.9642429435419165
592.149654,0.9622865535101628
592.269256,0.9637994937891499
592.388858,0.9653428073007816
592.50846,0.962819807958651
592.628062,0.9636366254374629
592.747664,0.9626147491790911
592.867266,0.9635980807433444
592.986868,0.9611334633481965
593.10647,0.9610969409705189
593.226072,0.9602179394740423
593.345674,0.9612199692526051
593.465276,0.9596199100032728
593.584878,0.958341588853571
593.70448,0.9589858108356232
593.824082,0.958778692270093
593.943684,0.958330088823505
594.063286,0.95665160779625
594.182888,0.9568257342338942
594.30249,0.9561179451048376
594.422092,0.9562001747839421
594.541694,0.9564163004447231
594.661296,0.9555530463433071
594.780898,0.9545101519406785
594.9005,0.9550276366687235
595.020102,0.9545597877590996
595.139704,0.9540244299000868
595.259306,0.9561743577277548
595.378908,0.9527059260690914
595.49851,0.9532033683836482
595.618112,0.9517346614536635
595.737714,0.9520668748183709
595.857316,0.9528183520013671
595.976918,0.9500648818836821
596.09652,0.9497495126970784
596.216122,0.9496934791288358
596.335724,0.9505495385503878
596.455326,0.9500525311204977
596.574928,0.9495871194154285
596.69453,0.9489710373151939
596.814132,0.9484103611282734
596.933734,0.9477921991155325
597.053336,0.9475259069233862
597.172938,0.9473771570331712
597.29254,0.9479846204620588
597.412142,0.9471147699029683
597.531744,0.9479211076201918
597.651346,0.9457944659250902
597.770948,0.9441001758326616
597.89055,0.9450078921894883
598.010152,0.9440208747485839
598.129754,0.9439623472687201
598.249356,0.9434970885272197
598.368958,0.9440463636563008
598.48856,0.9429123016350022
598.608162,0.9409295588090166
598.727764,0.9431376846072852
598.847366,0.9425945937261406
598.966968,0.9406012316894072
599.08657,0.9406727200995408
599.206172,0.9414330908057783
599.325774,0.9412805909978857
599.445376,0.9397607099574723
599.564978,0.9401150665371445
599.68458,0.940681186192119
599.804182,0.938408428411521
599.923784,0.9371133808080768
600.043386,0.9377058236569681
600.162988,0.9370937016337119
600.28259,0.9366730410070562
600.402192,0.9368922481448867
600.521794,0.9351400264475729
600.641396,0.9355974217445415
600.760998,0.9343968855641885
600.8806,0.9334732238703609
601.000202,0.934297844743575
601.119804,0.9330625859988146
601.239406,0.933160562714032
601.359008,0.9333462801442836
601.47861,0.9324096707356183
601.598212,0.9315215075963629
601.717814,0.9312346431514156
601.837416,0.930034124962464
601.957018,0.9283940625127807
602.07662,0.9282408901295351
602.196222,0.9270386691433987
602.315824,0.9265613671446039
602.435426,0.9253289343309161
602.555028,0.9255584443646981
602.67463,0.9232622102923099
602.794232,0.9213493487912177
602.913834,0.919313576426004
603.033436,0.9179402294618915
603.153038,0.9150130056339824
603.27264,0.9119008608727778
603.392242,0.9068429473812518
603.511844,0.906828438010169
603.631446,0.9060117535591158
603.751048,0.9071894275606525
603.87065,0.9084440300801994
603.990252,0.9066371173947836
604.109854,0.9065954130465909
604.229456,0.9057445195107761
604.349058,0.9052953816245024
604.46866,0.904104796479137
604.588262,0.9041409613942897
604.707864,0.9002795074855232
604.827466,0.9001534771768027
604.947068,0.8982831038069116
605.06667,0.8971699230728816
605.186272,0.8945897908681936
605.305874,0.8954848281030928
605.425476,0.8930970726840476
605.545078,0.8925345987261573
605.66468,0.8898165153842195
605.784282,0.892704196411185
605.903884,0.8901992187611638
606.023486,0.8894250822390574
606.143088,0.8875681250134264
606.26269,0.8878433137842363
606.382292,0.8854493701152925
606.501894,0.8854759339948521
606.621496,0.8844493774293374
606.741098,0.8832561763617458
606.8607,0.879914971036875
606.980302,0.8809891224006413
607.099904,0.8817735517388545
607.219506,0.8849890561348399
607.339108,0.8884205995357399
607.45871,0.889567401637464
607.578312,0.8911076852034218
607.697914,0.8925524495966398
607.817516,0.8932042507633258
607.937118,0.8932310472927947
608.05672,0.8953505154525779
608.176322,0.896165655253998
608.295924,0.8964076526490948
608.415526,0.8967752551400421
608.535128,0.8977263408968883
608.65473,0.8983370024100819
608.774332,0.8991818362020216
608.893934,0.8982651383244908
609.013536,0.9020728474869036
609.133138,0.902894107394701
609.25274,0.9009729896626615
609.372342,0.903002461188686
609.491944,0.9027406284425245
609.611546,0.9029392532287072
609.731148,0.9029482826663866
609.85075,0.9033818018783537
609.970352,0.9042765927105932
610.089954,0.9042042534767843
610.209556,0.9033818018783537
610.329158,0.9043579812663672
610.44876,0.9033095342249482
610.568362,0.9039782306674435
610.687964,0.9021901245799229
610.807566,0.9048654684306976
610.927168,0.9035715319777113
611.04677,0.9043851124127704
611.166372,0.904692655630375
611.285974,0.9043308509338863
611.405576,0.906910963152865
611.525178,0.9063216625702533
611.64478,0.9054212264285595
611.764382,0.9073917533614868
611.883984,0.9078128808290634
612.003586,0.9082214885552796
612.123188,0.9084740092278452
612.24279,0.9064385856060985
612.362392,0.9080652878928902
612.481994,0.9085603183583406
612.601596,0.9099096228070592
612.721198,0.9111333635096568
612.8408,0.9109210941662979
612.960402,0.9107753584503995
613.080004,0.9094857037036536
613.199606,0.9108318282731698
613.319208,0.9117504096433016
613.43881,0.9123906831405746
613.558412,0.9118625618409064
613.678014,0.9123925079237657
613.797616,0.9136835434769984
613.917218,0.9131208877299786
614.03682,0.9120121195644465
614.156422,0.9122054866299789
614.276024,0.9148345954934377
614.395626,0.9134487569776822
614.515228,0.9140902231333581
614.63483,0.9125093016394182
614.754432,0.9123021855365131
614.874034,0.9124582025493143
614.993636,0.9136195878674275
615.113238,0.9115088277957546
615.23284,0.9114304414072272
615.352442,0.9115471119704841
615.472044,0.9119692560021285
615.591646,0.9126188093259447
615.711248,0.9127137266177283
615.83085,0.9128460797034547
615.950452,0.9121744721706823
616.070054,0.912622459808483
616.189656,0.9121261282047836
616.309258,0.9123925079237657
616.42886,0.912382471661378
616.548462,0.9110504541460107
616.668064,0.9110267671421353
616.787666,0.9117987336955887
616.907268,0.9106096124185079
617.02687,0.9098823259278302
617.146472,0.9106897495903845
617.266074,0.9104220461583378
617.385676,0.9102117629543204
617.505278,0.9091419830749451
617.62488,0.9090165301377325
617.744482,0.9091047090177624
617.864084,0.9093392882921142
617.983686,0.9089538101610171
618.103288,0.9082323872785345
618.22289,0.9064213634365831
618.342492,0.9076104611272742
618.462094,0.9065990394354958
618.581696,0.9048446567642587
618.701298,0.9062110980719912
618.8209,0.9048971392763292
618.940502,0.9046836087490533
619.060104,0.9047469388181922
619.179706,0.9044212885407846
619.299308,0.9033908357415418
619.41891,0.9034540753134029
619.538512,0.9018112842896292
619.658114,0.9014506319111977
619.777716,0.9018473574624594
619.897318,0.8998024857684772
620.01692,0.8993886718095312
620.136522,0.899424648075924
620.256124,0.8986514753904867
620.375726,0.8974480888625039
620.495328,0.8958162187929879
620.61493,0.8936330917172874
620.734532,0.895502737978753
620.854134,0.8934722522367659
620.973736,0.8932578446261714
621.093338,0.8923025698955435
621.21294,0.8914552849782014
621.332542,0.89033275865922
