nu,[0]HFE-356mff2-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
528.685426,0.9412354106138557
528.92648,0.8982292084375604
529.167534,0.907305555239393
529.408588,0.9219318256229446
529.649642,0.9039782306674435
529.890696,0.8876125045291557
530.13175,0.894393002761688
530.372804,0.9099605791727013
530.613858,0.9063053489271502
530.854912,0.8893806120967083
531.095966,0.8975647646978211
531.33702,0.9328536033864773
531.578074,0.9218322623622901
531.819128,0.930581145836318
532.060182,0.9184608491537313
532.301236,0.9347894146814699
532.54229,0.9486266233435663
532.783344,0.9079626823126827
533.024398,0.9220553727650517
533.265452,0.9039782306674435
533.506506,0.894938748929031
533.74756,0.8840603053054127
533.988614,0.9021991465262783
534.229668,0.880046968182069
534.470722,0.8806191846615964
534.711776,0.8913215767138252
534.95283,0.8948313627224608
535.193884,0.9156207760271635
535.434938,0.8812622713644874
535.675992,0.904168086029999
535.917046,0.8829912392513908
536.1581,0.889567401637464
536.399154,0.8792025284885201
536.640208,0.9144513600913495
536.881262,0.8992088120617435
537.122316,0.8950550985289519
537.36337,0.9006577042944375
537.604424,0.8961118869277487
537.845478,0.8845289814554335
538.086532,0.9089574459835293
538.327586,0.8798709763881986
538.56864,0.8814826144740696
538.809694,0.8817470989290965
539.050748,0.874292754526946
539.291802,0.8503391577186199
539.532856,0.9229335874437836
539.77391,0.8660176409631382
540.014964,0.8749574695801117
540.256018,0.8681680300931018
540.497072,0.8543622455613668
540.738126,0.8984088722450297
540.97918,0.8664507580538691
541.220234,0.8482838249127068
541.461288,0.9015407814817923
541.702342,0.89816633459358
541.943396,0.8808834100488212
542.18445,0.8457766172888441
542.425504,0.8706110130412027
542.666558,0.8472580222203479
542.907612,0.8621638027319467
543.148666,0.885484788798466
543.38972,0.8359219763314472
543.630774,0.8513857183854788
543.871828,0.8352033924671526
544.112882,0.8691496144578243
544.353936,0.9071921491330175
544.59499,0.8571777262754517
544.836044,0.8398516583015244
545.077098,0.8203862606989688
545.318152,0.8190910738740982
545.559206,0.8657232450153578
545.80026,0.8459965477990666
546.041314,0.8428552870088251
546.282368,0.8345688790345231
546.523422,0.8450664632367805
546.764476,0.8080834064370731
547.00553,0.8443737927706301
547.246584,0.8021657673638023
547.487638,0.8080349228872079
547.728692,0.785197500382462
547.969746,0.8117523281016743
548.2108,0.8065575711674398
548.451854,0.78936220108072
548.692908,0.7885732334292123
548.933962,0.7644107525969112
549.175016,0.7704195826599095
549.41607,0.7588508723563114
549.657124,0.7595493364030758
549.898178,0.7587370532621035
550.139232,0.7287897480690269
550.380286,0.74337102366459
550.62134,0.7138517294799752
550.862394,0.6943702217361516
551.103448,0.696073514460992
551.344502,0.7133165414034809
551.585556,0.6867602697409249
551.82661,0.7196430167470754
552.067664,0.6375835192133122
552.308718,0.6655243851300559
552.549772,0.6416578893223989
552.790826,0.6189752443932154
553.03188,0.6443971824827119
553.272934,0.6085111761510802
553.513988,0.610131970580559
553.755042,0.6101136668959982
553.996096,0.6330410557097866
554.23715,0.5960861949346624
554.478204,0.5902081545388739
554.719258,0.6392881418681825
554.960312,0.587446559296954
555.201366,0.6117754350501096
555.44242,0.5914193222784506
555.683474,0.6399597469481073
555.924528,0.6029385467313784
556.165582,0.617930059660053
556.406636,0.6002554286139827
556.64769,0.5924848357329723
556.888744,0.5927100227533749
557.129798,0.6037651386265627
557.370852,0.6085172612932673
557.611906,0.6185606698774432
557.85296,0.6358325731897188
558.094014,0.6090225402819138
558.335068,0.5854233606917333
558.576122,0.6257402062570538
558.817176,0.5847329685375965
559.05823,0.6246086408593403
559.299284,0.6240155444159403
559.540338,0.6451128604830757
559.781392,0.6091930904691047
560.022446,0.6211516648845217
560.2635,0.6262222117641769
560.504554,0.6341244819805079
560.745608,0.6722264607939726
560.986662,0.6335540266901118
561.227716,0.6485086090409699
561.46877,0.6573622779924738
561.709824,0.6496055152148933
561.950878,0.6473293967811736
562.191932,0.654378073840426
562.432986,0.6509060263229275
562.67404,0.6899266440592939
562.915094,0.6399277497606962
563.156148,0.6899059465704361
563.397202,0.7327871509206109
563.638256,0.7294240710403295
563.87931,0.7753893412273714
564.120364,0.7393454583071478
564.361418,0.8065414401773269
564.602472,0.7588812269982945
564.843526,0.7739329786756098
565.08458,0.7838089300540467
565.325634,0.8182560269250891
565.566688,0.8466397495611041
565.807742,0.8338347814712743
566.048796,0.8390793500921367
566.28985,0.8504837276635292
566.530904,0.8862732210608103
566.771958,0.8919100431270113
567.013012,0.9112736888524113
567.254066,0.858121140557082
567.49512,0.8705065459877863
567.736174,0.8650914976623353
567.977228,0.8744326525592144
568.218282,0.8783676827009924
568.459336,0.8550374584093186
568.70039,0.9129227619947609
568.941444,0.8886693921329482
569.182498,0.8604325939361499
569.423552,0.8815355050176386
569.664606,0.8736547537147703
569.90566,0.878376466421738
570.146714,0.9112618423714586
570.387768,0.8635443689747913
570.628822,0.9386975027226303
570.869876,0.8910720416088902
571.11093,0.8958878869571797
571.351984,0.896676615287268
571.593038,0.9496877809850555
571.834092,0.8967035159892351
572.075146,0.9782353438622627
572.3162,0.9162207040904533
572.557254,0.9023525334187043
572.798308,0.9113174310392803
573.039362,0.9244484403670595
573.280416,0.9565444688160718
573.52147,0.9582668411248397
573.762524,0.9791562965611248
574.003578,0.8862998096562691
574.244632,0.8983280190849745
574.485686,0.9096639803721223
574.72674,0.9294372346765212
574.967794,0.9345501392198774
575.208848,0.8783237654147986
575.449902,0.9138525905689155
575.690956,0.9641812339682573
575.93201,0.9039872704949492
576.173064,0.9660313421558938
576.414118,0.9081061517502753
576.655172,0.9185802568254517
576.896226,0.9738889463123221
577.13728,0.9302713139046342
577.378334,0.9695676776303652
577.619388,0.9608374798252877
577.860442,0.9995458131740778
578.101496,0.9312355743865243
578.34255,0.9170365034939789
578.583604,0.903155984656213
578.824658,0.9244502892657891
579.065712,0.9565234250692399
579.306766,0.9269756326571618
579.54782,0.9462788366799759
579.788874,0.9678211221005509
580.029928,0.9203097323503414
580.270982,0.9319510380105183
580.512036,0.9574201075486665
580.75309,0.9556438281947793
580.994144,0.9669456402003633
581.235198,0.9395521062357316
581.476252,0.92198529921955
581.717306,0.9294009873311967
581.95836,0.9695531342242766
582.199414,0.9320181409009302
582.440468,0.9599203180465101
582.681522,0.9496706867588462
582.922576,0.9791602131941443
583.16363,0.9170942786135962
583.404684,0.9277323534735142
583.645738,0.9591363834275636
583.886792,0.9548003671373433
584.127846,0.9652289035699724
584.3689,0.9825520102486185
584.609954,0.9506265361813724
584.851008,0.9660216818907736
585.092062,0.9755869393793706
585.333116,0.9531957427872035
585.57417,0.9914202182186191
585.815224,0.9212129991777168
586.056278,0.9556753649614635
586.297332,0.9703455828061043
586.538386,0.9643085142914576
586.77944,0.9497181714802924
587.020494,0.9712921311166572
587.261548,0.9737321628133762
587.502602,0.9915900630487944
587.743656,0.9644309892497679
587.98471,0.9711736407047231
588.225764,0.9764155643924489
588.466818,0.9809105559256986
588.707872,0.954043510579491
588.948926,0.9711697560179297
589.18998,0.980911536836745
589.431034,0.9739152416688582
589.672088,0.9694474586920673
589.913142,0.9617026228130777
590.154196,0.9835566917078704
590.39525,0.9695802820921032
590.636304,0.97993993501196
590.877358,0.9609037798987218
591.118412,0.9694426114668919
591.359466,0.9421554469746043
591.60052,0.9773015750544484
591.841574,0.9600143948473666
592.082628,0.95399199362089
592.323682,0.9799340553899888
592.564736,0.9670481418707171
592.80579,0.9940524570757384
593.046844,0.9773748754213069
593.287898,0.9755693789725058
593.528952,0.9888713863019281
593.770006,0.9791837133212614
594.01106,0.9677214416586055
594.252114,0.9765512955889991
594.493168,0.9736786090171643
594.734222,0.9731909182107946
594.975276,0.9763862723648997
595.21633,0.9950475042483873
595.457384,0.9835625930657247
595.698438,0.9669920547050321
595.939492,0.9582428847532675
596.180546,0.981740757381712
596.4216,0.989613318031275
596.662654,0.9679721139726585
596.903708,0.9772849610688917
597.144762,0.9773748754213069
597.385816,0.9790995071428333
597.62687,0.9634940177701258
597.867924,0.9809203650803036
598.108978,0.9852065148888056
598.350032,0.974028222389647
598.591086,0.9538775214501232
598.83214,0.9790985280438157
599.073194,0.9661037972235865
599.314248,0.9959695441775993
599.555302,0.9617026228130777
599.796356,0.9757537790103864
600.03741,0.9623231210939759
600.278464,0.9728951131363079
600.519518,0.9694309782253538
600.760572,0.9694784815071078
601.001626,0.9861231831323166
601.24268,0.9788802134150477
601.483734,0.9617882181554444
601.724788,0.9631597433459264
601.965842,0.9529670032587759
602.206896,0.9716855840986104
602.44795,0.9481457915466914
602.689004,0.9678404787165585
