nu,[0]Ethylbenzoate-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
609.209354,0.9962885046884975
609.328956,0.9921759683291254
609.448558,0.992302677290476
609.56816,0.986271112704227
609.687762,0.9910812104776164
609.807364,0.9909468289767474
609.926966,0.9943910890083628
610.046568,0.9912933245520551
610.16617,0.991897305239685
610.285772,0.9922072223643762
610.405374,0.9892482180820048
610.524976,0.9893649562591554
610.644578,0.9902837111397321
610.76418,0.9880647963841482
610.883782,0.9887319652658735
611.003384,0.9894609293145306
611.122986,0.9882673704305373
611.242588,0.9873724056731805
611.36219,0.9884927210799933
611.481792,0.9857741573067038
611.601394,0.9868087769608523
611.720996,0.9857495132608229
611.840598,0.9874030146921938
611.9602,0.9842532964145672
612.079802,0.9837652278305604
612.199404,0.9845604313536075
612.319006,0.9850006282430978
612.438608,0.9819322154959609
612.55821,0.9842031007764497
612.677812,0.9771931006000609
612.797414,0.9808673968107454
612.917016,0.9804074778610652
613.036618,0.9808919188021893
613.15622,0.9811577765342804
613.275822,0.9781923024540508
613.395424,0.978069057988506
613.515026,0.9783997012056619
613.634628,0.9788400801490353
613.75423,0.9771393564575054
613.873832,0.9794373547481585
613.993434,0.975118770018104
614.113036,0.9780964443055362
614.232638,0.974568958093351
614.35224,0.9770338311054796
614.471842,0.9785738718532043
614.591444,0.9733008949981239
614.711046,0.9785396223670589
614.830648,0.9782451262646134
614.95025,0.9768364902036984
615.069852,0.9734167246963591
615.189454,0.9739356941036832
615.309056,0.9777434152147267
615.428658,0.9801300618010546
615.54826,0.9747141796868469
615.667862,0.9832125071015924
615.787464,0.9757996405157368
615.907066,0.9797390679148634
616.026668,0.9784799332706304
616.14627,0.9795313852476061
616.265872,0.977654444612166
616.385474,0.9836747255927668
616.505076,0.98649798114902
616.624678,0.9802437634827935
616.74428,0.9850311637358711
616.863882,0.9837071873943282
616.983484,0.9836088215939607
617.103086,0.9833432830614454
617.222688,0.9838458998867516
617.34229,0.9796861634336299
617.461892,0.981363841303396
617.581494,0.9806702622766709
617.701096,0.9795872201278442
