nu,[0]1-1-Dihydroperfluoropropanol-HITRAN(x-sec)-X=0.01-T=297.8K-P=0.0atm-L=15cm
588.531946,0.9999961678073429
588.651548,0.9999953470108252
588.77115,0.9999948993130086
588.890752,0.999995216911439
589.010354,0.9999946130145099
589.129956,0.9999950911120487
589.249558,0.999995319610953
589.36916,0.9999952096114739
589.488762,0.9999951265118755
589.608364,0.9999954778102251
589.727966,0.999995378110681
589.847568,0.9999961218075202
589.96717,0.999995605709655
590.086772,0.9999958746085095
590.206374,0.9999965734058708
590.325976,0.9999967068054226
590.445578,0.9999960705077204
590.56518,0.9999951541117413
590.684782,0.9999954761102329
590.804384,0.9999948542132396
590.923986,0.9999946686142119
591.043588,0.9999946053145514
591.16319,0.9999944141156011
591.282792,0.9999947822136127
591.402394,0.9999951247118842
591.521996,0.9999946483143203
591.641598,0.9999951369118248
591.7612,0.9999953823106615
591.880802,0.9999955474099128
592.000404,0.9999959908080368
592.120006,0.9999966108057433
592.239608,0.9999968401049925
592.35921,0.9999964103064429
592.478812,0.9999964641062513
592.598414,0.9999960720077146
592.718016,0.9999958285087007
592.837618,0.9999955648098355
592.95722,0.9999951448117864
593.076822,0.9999956492094647
593.196424,0.9999952913110859
593.316026,0.9999951446117874
593.435628,0.9999956303095471
593.55523,0.9999955554098772
593.674832,0.999995573509797
593.794434,0.9999959978080087
593.914036,0.999995692109279
594.033638,0.9999973496035123
594.15324,0.9999961543073947
594.272842,0.999997343703528
594.392444,0.9999971521040553
594.512046,0.9999962837069054
594.631648,0.9999963286067396
594.75125,0.9999954130105203
594.870852,0.9999948733131415
594.990454,0.9999953543107912
595.110056,0.9999956182096
595.229658,0.9999958754085061
595.34926,0.999996175607313
595.468862,0.999995628509555
595.588464,0.9999957030092321
595.708066,0.9999956743093559
595.827668,0.9999962185071498
595.94727,0.9999960523077922
596.066872,0.9999972134038826
596.186474,0.9999971511040581
596.306076,0.9999969347046981
596.425678,0.9999972011039169
596.54528,0.9999958990084091
596.664882,0.9999964205064064
596.784484,0.9999956297095497
596.904086,0.9999957304091147
597.023688,0.9999953276109157
597.14329,0.9999954600103058
597.262892,0.999996011507954
597.382494,0.9999958180087446
597.502096,0.9999958498086121
597.621698,0.9999956231095786
597.7413,0.9999958029088079
597.860902,0.999995765408966
597.980504,0.9999967972051289
598.100106,0.9999963251067524
598.219708,0.9999971157041596
598.33931,0.9999967943051382
598.458912,0.9999965983057858
598.578514,0.9999960112079552
598.698116,0.9999956351095262
598.817718,0.9999954532103367
598.93732,0.9999952926110798
599.056922,0.9999954633102908
599.176524,0.9999955825097572
599.296126,0.9999956217095848
599.415728,0.9999956260095659
599.53533,0.9999949380128119
599.654932,0.9999959911080356
599.774534,0.9999959495082033
599.894136,0.9999957895088641
600.013738,0.9999964462063148
600.13334,0.9999974145033425
600.252942,0.9999969091047768
600.372544,0.9999966946054628
600.492146,0.9999962446070515
600.611748,0.9999953258109241
600.73135,0.9999951626117002
600.850952,0.9999956995092472
600.970554,0.9999951485117685
601.090156,0.9999956845093118
601.209758,0.9999959467082146
601.32936,0.9999951439117908
601.448962,0.9999948422133015
601.568564,0.9999956690093788
601.688166,0.9999956412094996
601.807768,0.9999954394103995
601.92737,0.9999955084100872
602.046972,0.9999966301056781
602.166574,0.9999967140053989
602.286176,0.9999967028054357
602.405778,0.9999962236071306
602.52538,0.9999951746116422
602.644982,0.9999955135100643
602.764584,0.9999955076100908
602.884186,0.999995170711661
603.003788,0.9999948903130544
603.12339,0.9999949323128408
603.242992,0.9999951360118292
603.362594,0.999994573414724
603.482196,0.9999947031140286
603.601798,0.9999948022135086
603.7214,0.9999943212161243
603.841002,0.9999947698136775
603.960604,0.9999951542117409
604.080206,0.9999947035140264
604.199808,0.999995458210314
604.31941,0.9999952268113917
604.439012,0.9999949472127654
604.558614,0.9999942997162466
604.678216,0.9999938889186727
604.797818,0.9999932126230343
604.91742,0.9999933142223499
605.037022,0.999992816425802
605.156624,0.9999926358271156
605.276226,0.9999925104280469
605.395828,0.9999925340278705
605.51543,0.9999920461316322
605.635032,0.9999926252271938
605.754634,0.9999927215264882
605.874236,0.9999921885305096
605.993838,0.9999929368249444
606.11344,0.9999926180272469
606.233042,0.999992835525665
606.352644,0.9999919971320231
606.472246,0.999991514036006
606.591848,0.9999911742389472
606.71145,0.999990877641609
606.831052,0.9999905118450129
606.950654,0.9999902337476901
607.070256,0.9999901413485969
607.189858,0.9999901637483762
607.30946,0.9999897610524184
607.429062,0.9999899480505212
607.548664,0.9999900341496594
607.668266,0.9999896820532304
607.787868,0.9999898140518771
607.90747,0.9999903281467727
608.027072,0.9999898110519077
608.146674,0.9999900714492884
608.266276,0.9999897030530139
608.385878,0.9999892710575555
608.50548,0.999988809062619
608.625082,0.9999880970708405
608.744684,0.9999881000708047
608.864286,0.9999873300802641
608.983888,0.999986972084864
609.10349,0.9999869350853468
609.223092,0.9999868240868031
609.342694,0.9999866320893513
609.462296,0.9999863760928063
609.581898,0.9999862500945308
609.7015,0.999986104096549
609.821102,0.9999857971008621
609.940704,0.9999858900995455
610.060306,0.9999861170963684
610.179908,0.9999862680942835
610.29951,0.999985345107384
610.419112,0.9999856161034493
610.538714,0.9999849541131904
610.658316,0.9999845301196598
610.777918,0.9999838451304913
610.89752,0.999983426137348
611.017122,0.9999833541385439
611.136724,0.9999825641520061
611.256326,0.9999826431506319
611.375928,0.9999831741415564
611.49553,0.9999824911532816
611.615132,0.9999825391524424
611.734734,0.999982822147541
611.854336,0.9999828431471804
611.973938,0.9999830641434132
612.09354,0.9999829281457258
612.213142,0.9999831981411528
612.332744,0.9999830011444821
612.452346,0.9999827551486942
612.571948,0.9999819121635869
612.69155,0.9999818831641119
612.811152,0.9999815051710315
612.930754,0.9999806051880819
613.050356,0.9999810551794553
613.169958,0.9999809121821747
613.28956,0.9999811321779996
613.409162,0.9999814031729232
613.528764,0.9999811671773399
613.648366,0.9999810411797208
613.767968,0.999981168177321
613.88757,0.9999817091672794
614.007172,0.9999818351649826
614.126774,0.999982400154879
614.246376,0.9999826321508228
614.365978,0.9999819421630447
614.48558,0.99998179516571
614.605182,0.9999816941675538
614.724784,0.9999812661754803
614.844386,0.9999815021710869
614.963988,0.9999816221688744
615.08359,0.9999811721772457
615.203192,0.9999809681811074
615.322794,0.9999810311799103
615.442396,0.9999811831770387
615.561998,0.9999816491683786
615.6816,0.9999807701848953
615.801202,0.9999810251800242
615.920804,0.9999815571700711
616.040406,0.9999810811789631
616.160008,0.999981332174246
616.27961,0.9999807261857423
616.399212,0.9999799922001587
616.518814,0.9999794582109854
616.638416,0.99997836823397
616.758018,0.9999778642449995
616.87762,0.9999761662840275
616.997222,0.9999747153196629
617.116824,0.9999741493341342
617.236426,0.9999723803814287
617.356028,0.9999733843542026
617.47563,0.9999729613655505
617.595232,0.9999722833841125
617.714834,0.9999728253692369
617.834436,0.9999729053670662
617.954038,0.9999730173640379
618.07364,0.999973590348741
618.193242,0.9999733433552946
618.312844,0.9999731403607266
618.432446,0.9999731743598139
618.552048,0.9999732003591167
618.67165,0.9999731813596262
618.791252,0.9999727613709782
618.910854,0.9999731183613177
619.030456,0.9999727553711416
619.150058,0.9999733193559347
619.26966,0.999974088335713
619.389262,0.9999742193323271
619.508864,0.999974549323874
619.628466,0.9999749503137486
619.748068,0.9999758722910779
619.86767,0.9999762452821478
619.987272,0.9999771642607395
620.106874,0.9999772562586428
620.226476,0.9999780702404607
620.346078,0.9999781222393217
620.46568,0.9999780892400442
620.585282,0.9999780662405484
620.704884,0.9999779652427688
620.824486,0.9999782892356821
620.944088,0.9999778252458635
621.06369,0.9999781452388188
621.183292,0.9999780482409434
621.302894,0.9999788862228989
621.422496,0.9999785542299638
621.542098,0.999979570208691
621.6617,0.9999792092161314
621.781302,0.999979702206003
621.900904,0.99997994920102
