nu,[0]Allyl2-2-2-trifluoroacetate-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
715.983546,0.999997045004366
716.102748,0.9999969306047106
716.22195,0.9999968261050368
716.341152,0.9999967270053562
716.460354,0.9999966308056758
716.579556,0.9999965306060183
716.698758,0.9999964215064028
716.81796,0.9999963013068401
716.937162,0.9999961669073463
717.056364,0.9999960236079058
717.175566,0.9999958741085115
717.294768,0.9999957279091254
717.41397,0.999995592509713
717.533172,0.9999954738102432
717.652374,0.9999953789106772
717.771576,0.9999953138109802
717.890778,0.999995279411142
718.00998,0.9999952796111411
718.129182,0.9999953121109881
718.248384,0.9999953764106888
718.367586,0.9999954749102382
718.486788,0.999995608209644
718.60599,0.9999957819088962
718.725192,0.9999960039079844
718.844394,0.9999962820069117
718.963596,0.9999966291056814
719.082798,0.9999970612043183
719.202,0.9999975923028985
719.321202,0.9999982408015474
719.440404,0.999999023270477
719.559606,0.9999998971700053
719.678808,1.0
719.79801,1.0
719.917212,1.0
720.036414,1.0
720.155616,1.0
720.274818,1.0
720.39402,1.0
720.513222,1.0
720.632424,1.0
720.751626,1.0
720.870828,1.0
720.99003,1.0
721.109232,1.0
721.228434,1.0
721.347636,1.0
721.466838,1.0
721.58604,1.0
721.705242,1.0
721.824444,1.0
721.943646,1.0
722.062848,1.0
722.18205,1.0
722.301252,1.0
722.420454,1.0
722.539656,1.0
722.658858,0.9999997074800427
722.77806,0.9999980946018153
722.897262,0.999996480906192
723.016464,0.9999950875120663
723.135666,0.9999939235184618
723.254868,0.9999929854246022
723.37407,0.9999922523300133
723.493272,0.9999916949344873
723.612474,0.9999912746380661
723.731676,0.9999909586408733
723.850878,0.9999907109431435
723.97008,0.9999905068450603
724.089282,0.9999903240468123
724.208484,0.9999901493485179
724.327686,0.9999899760502401
724.446888,0.9999898000520199
724.56609,0.9999896160539136
724.685292,0.9999894260559046
724.804494,0.9999892310579854
724.923696,0.9999890310601592
725.042898,0.9999888210624848
725.1621,0.9999886040649342
725.281302,0.9999883720676049
725.400504,0.9999881270704838
725.519706,0.9999878620736652
725.638908,0.9999875780771528
725.75811,0.9999872750809625
725.877312,0.9999869530851118
725.996514,0.9999866120896189
726.115716,0.9999862570944346
726.234918,0.9999858870995879
726.35412,0.999985505105052
726.473322,0.9999851161107661
726.592524,0.9999847161167997
726.711726,0.9999843051231658
726.830928,0.9999838861298298
726.95013,0.9999834521369174
727.069332,0.9999830051444142
727.188534,0.9999825431523726
727.307736,0.9999820641608491
727.426938,0.9999815731697761
727.54614,0.9999810681792092
727.665342,0.9999805531890916
727.784544,0.9999800321993592
727.903746,0.9999795042100416
728.022948,0.9999789702211289
728.14215,0.9999784302326308
728.261352,0.9999778782446896
728.380554,0.9999773152573027
728.499756,0.9999767322706978
728.618958,0.9999761272849578
728.73816,0.9999755062999756
728.857362,0.999974847316334
728.976564,0.9999741743334882
729.095766,0.9999734913513605
