nu,[0]Methylisothiocyanate-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
639.176784,0.9714533789936262
639.294786,0.9735345152462319
639.412788,0.9801731884725536
639.530791,0.9743165774179131
639.648793,0.978445687072278
639.766795,0.9779516967433628
639.884798,0.9762251819202867
640.0028,0.9732454184282063
640.120802,0.9775146500221379
640.238805,0.971970329687943
640.356807,0.9728853842338212
640.474809,0.9726577556874891
640.592812,0.976837467040677
640.710814,0.9755118220770916
640.828817,0.9778812867559873
640.946819,0.9732561241866906
641.064821,0.9718031651677975
641.182824,0.976020196156342
641.300826,0.975731336931554
641.418828,0.977440361731727
641.536831,0.979306118935618
641.654833,0.9737711128788848
641.772835,0.9729447320523495
641.890838,0.9743185260530166
642.00884,0.9758279391156395
642.126843,0.9775156275372767
642.244845,0.9787382860740834
642.362847,0.9750368634815452
642.48085,0.9748896440305078
642.598852,0.9773494640048958
642.716854,0.9779957055599072
642.834857,0.9732055161840524
642.952859,0.9766987659683665
643.070861,0.9765239525355272
643.188864,0.9731442061678185
643.306866,0.9743214490129792
643.424868,0.9738022740530731
643.542871,0.9783155624493766
643.660873,0.9774560009026277
643.778876,0.9777267937179512
643.896878,0.9741275783353979
644.01488,0.9799154368198134
644.132883,0.9772536884505021
644.250885,0.9803339500575527
644.368887,0.9761919908283532
644.48689,0.9749227908418974
644.604892,0.9780074415787899
644.722894,0.9813206622443249
644.840897,0.981865446375483
644.958899,0.9771266537284394
645.076902,0.9757898825681214
645.194904,0.9768286755430354
645.312906,0.9763677212019614
645.430909,0.9761724671837737
645.548911,0.9771491278999271
645.666913,0.9770992945651651
645.784916,0.9775723250878869
645.902918,0.9749734881451396
646.02092,0.9726538650642476
646.138923,0.9760904721403703
646.256925,0.9803349303919929
646.374927,0.9760543574610268
646.49293,0.9762886386194318
646.610932,0.9772986431541211
646.728935,0.9767690908111801
646.846937,0.9738684948591906
646.964939,0.9762329917529813
647.082942,0.9748964682819008
647.200944,0.9760807112844533
647.318946,0.974729775238486
647.436949,0.9741899244954672
647.554951,0.9724087871713628
647.672953,0.9719450587878942
647.790956,0.9735033626401883
647.908958,0.9757771973821019
648.026961,0.9726528924108688
648.144963,0.971380522722346
648.262965,0.9681424920575493
648.380968,0.9755040180137313
648.49897,0.9723173850413361
648.616972,0.9730634385506091
648.734975,0.9769195248342876
648.852977,0.9711377079447772
648.970979,0.9653350845892141
649.088982,0.9739308244373868
649.206984,0.9733787621843697
649.324986,0.9727141714733609
649.442989,0.9711901507969505
649.560991,0.9723358592471564
649.678994,0.9692380806546319
649.796996,0.9673199205817034
649.914998,0.9657898645063187
650.033001,0.9664274962122098
650.151003,0.9724262906870631
650.269005,0.9657464049402634
650.387008,0.9669350038568211
650.50501,0.9682857877499935
650.623012,0.9643499804490882
650.741015,0.9639064814706669
650.859017,0.9680050255840278
650.97702,0.9665666717920656
651.095022,0.9645496215571829
651.213024,0.9649876265049697
651.331027,0.9634699307207709
651.449029,0.9644686027918079
651.567031,0.9626484412849208
651.685034,0.9628997253192362
651.803036,0.962693686824923
651.921038,0.9604138439152686
652.039041,0.9612103571009735
