nu,[0]HFC-272ca-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
411.608002,1.0
411.849056,1.0
412.09011,1.0
412.331164,1.0
412.572218,1.0
412.813272,1.0
413.054326,1.0
413.29538,1.0
413.536434,1.0
413.777488,1.0
414.018542,1.0
414.259596,1.0
414.50065,1.0
414.741704,1.0
414.982758,1.0
415.223812,1.0
415.464866,1.0
415.70592,1.0
415.946974,1.0
416.188028,1.0
416.429082,1.0
416.670136,1.0
416.91119,1.0
417.152244,1.0
417.393298,1.0
417.634352,1.0
417.875406,1.0
418.11646,1.0
418.357514,1.0
418.598568,1.0
418.839622,1.0
419.080676,1.0
419.32173,1.0
419.562784,1.0
419.803838,1.0
420.044892,1.0
420.285946,1.0
420.527,1.0
420.768054,1.0
421.009108,1.0
421.250162,1.0
421.491216,1.0
421.73227,1.0
421.973324,1.0
422.214378,1.0
422.455432,1.0
422.696486,1.0
422.93754,1.0
423.178594,1.0
423.419648,1.0
423.660702,1.0
423.901756,1.0
424.14281,1.0
424.383864,1.0
424.624918,1.0
424.865972,1.0
425.107026,1.0
425.34808,1.0
425.589134,1.0
425.830188,1.0
426.071242,1.0
426.312296,1.0
426.55335,1.0
426.794404,1.0
427.035458,1.0
427.276512,1.0
427.517566,1.0
427.75862,1.0
427.999674,1.0
428.240728,1.0
428.481782,1.0
428.722836,1.0
428.96389,1.0
429.204944,1.0
429.445998,1.0
429.687052,1.0
429.928106,1.0
430.16916,1.0
430.410214,1.0
430.651268,1.0
430.892322,1.0
431.133376,1.0
431.37443,1.0
431.615484,1.0
431.856538,1.0
432.097592,1.0
432.338646,1.0
432.5797,1.0
432.820754,1.0
433.061808,1.0
433.302862,1.0
433.543916,1.0
433.78497,1.0
434.026024,1.0
434.267078,1.0
434.508132,1.0
434.749186,1.0
434.99024,1.0
435.231294,1.0
435.472348,1.0
435.713402,1.0
435.954456,1.0
436.19551,1.0
436.436564,1.0
436.677618,1.0
436.918672,1.0
437.159726,1.0
437.40078,1.0
437.641834,1.0
437.882888,1.0
438.123942,1.0
438.364996,1.0
438.60605,1.0
438.847104,1.0
439.088158,1.0
439.329212,1.0
439.570266,1.0
439.81132,1.0
440.052374,1.0
440.293428,1.0
440.534482,1.0
440.775536,1.0
441.01659,1.0
441.257644,1.0
441.498698,1.0
441.739752,1.0
441.980806,1.0
442.22186,1.0
442.462914,1.0
442.703968,1.0
442.945022,1.0
443.186076,1.0
443.42713,1.0
443.668184,1.0
443.909238,1.0
444.150292,1.0
444.391346,1.0
444.6324,1.0
444.873454,1.0
445.114508,1.0
445.355562,1.0
445.596616,1.0
445.83767,1.0
446.078724,1.0
446.319778,1.0
446.560832,1.0
446.801886,1.0
447.04294,1.0
447.283994,1.0
447.525048,1.0
447.766102,1.0
448.007156,1.0
448.24821,1.0
448.489264,1.0
448.730318,1.0
448.971372,1.0
449.212426,1.0
449.45348,1.0
449.694534,1.0
449.935588,1.0
450.176642,1.0
450.417696,1.0
450.65875,1.0
450.899804,1.0
451.140858,1.0
451.381912,1.0
451.622966,1.0
451.86402,1.0
452.105074,1.0
452.346128,1.0
452.587182,1.0
452.828236,1.0
453.06929,1.0
453.310344,1.0
453.551398,1.0
453.792452,1.0
454.033506,1.0
454.27456,1.0
454.515614,1.0
454.756668,1.0
454.997722,1.0
455.238776,1.0
455.47983,1.0
455.720884,1.0
455.961938,1.0
456.202992,1.0
456.444046,1.0
456.6851,1.0
456.926154,1.0
457.167208,1.0
457.408262,1.0
457.649316,1.0
457.89037,1.0
458.131424,1.0
458.372478,1.0
458.613532,1.0
458.854586,1.0
459.09564,1.0
459.336694,1.0
459.577748,1.0
459.818802,1.0
460.059856,1.0
460.30091,1.0
460.541964,1.0
460.783018,1.0
461.024072,1.0
461.265126,1.0
461.50618,1.0
461.747234,1.0
461.988288,1.0
462.229342,1.0
462.470396,1.0
462.71145,1.0
462.952504,1.0
463.193558,1.0
463.434612,1.0
463.675666,1.0
463.91672,1.0
464.157774,1.0
464.398828,1.0
464.639882,1.0
464.880936,1.0
465.12199,1.0
465.363044,1.0
465.604098,1.0
465.845152,1.0
466.086206,1.0
466.32726,1.0
466.568314,1.0
466.809368,1.0
467.050422,1.0
467.291476,1.0
467.53253,1.0
467.773584,1.0
468.014638,1.0
468.255692,1.0
468.496746,1.0
468.7378,1.0
468.978854,1.0
469.219908,1.0
469.460962,1.0
469.702016,1.0
469.94307,1.0
470.184124,1.0
470.425178,1.0
470.666232,1.0
470.907286,1.0
471.14834,1.0
471.389394,1.0
471.630448,1.0
471.871502,1.0
472.112556,1.0
472.35361,1.0
472.594664,1.0
472.835718,1.0
473.076772,1.0
473.317826,1.0
473.55888,1.0
473.799934,1.0
474.040988,1.0
474.282042,1.0
474.523096,1.0
474.76415,1.0
475.005204,1.0
475.246258,1.0
475.487312,1.0
475.728366,1.0
475.96942,1.0
476.210474,1.0
476.451528,1.0
476.692582,1.0
476.933636,1.0
477.17469,1.0
477.415744,1.0
477.656798,1.0
477.897852,1.0
478.138906,1.0
478.37996,1.0
478.621014,1.0
478.862068,1.0
479.103122,1.0
479.344176,1.0
479.58523,1.0
479.826284,1.0
480.067338,1.0
480.308392,1.0
480.549446,1.0
480.7905,1.0
481.031554,1.0
481.272608,1.0
481.513662,1.0
481.754716,1.0
481.99577,1.0
482.236824,1.0
482.477878,1.0
482.718932,1.0
482.959986,1.0
483.20104,1.0
483.442094,1.0
483.683148,1.0
483.924202,1.0
484.165256,1.0
484.40631,1.0
484.647364,1.0
484.888418,1.0
485.129472,1.0
485.370526,1.0
485.61158,1.0
485.852634,1.0
486.093688,1.0
486.334742,1.0
486.575796,1.0
486.81685,1.0
487.057904,1.0
487.298958,1.0
487.540012,1.0
487.781066,1.0
488.02212,1.0
488.263174,1.0
488.504228,1.0
488.745282,1.0
488.986336,1.0
489.22739,1.0
489.468444,1.0
489.709498,1.0
489.950552,1.0
490.191606,1.0
490.43266,1.0
490.673714,1.0
490.914768,1.0
491.155822,1.0
491.396876,1.0
491.63793,1.0
491.878984,1.0
492.120038,1.0
492.361092,1.0
492.602146,1.0
492.8432,1.0
493.084254,1.0
493.325308,1.0
493.566362,1.0
493.807416,1.0
494.04847,1.0
494.289524,1.0
494.530578,1.0
494.771632,1.0
495.012686,1.0
495.25374,1.0
495.494794,1.0
495.735848,1.0
495.976902,1.0
496.217956,1.0
496.45901,1.0
496.700064,1.0
496.941118,1.0
497.182172,1.0
497.423226,1.0
497.66428,1.0
497.905334,1.0
498.146388,1.0
498.387442,1.0
498.628496,1.0
498.86955,1.0
499.110604,1.0
499.351658,1.0
499.592712,1.0
499.833766,1.0
500.07482,1.0
500.315874,1.0
500.556928,1.0
500.797982,1.0
501.039036,1.0
501.28009,1.0
501.521144,1.0
501.762198,1.0
502.003252,1.0
502.244306,1.0
502.48536,1.0
502.726414,1.0
502.967468,1.0
503.208522,1.0
503.449576,1.0
503.69063,1.0
503.931684,1.0
504.172738,1.0
504.413792,1.0
504.654846,1.0
504.8959,1.0
505.136954,1.0
505.378008,1.0
505.619062,1.0
505.860116,1.0
506.10117,1.0
506.342224,1.0
506.583278,1.0
506.824332,1.0
507.065386,1.0
507.30644,1.0
507.547494,1.0
507.788548,1.0
508.029602,1.0
508.270656,1.0
508.51171,1.0
508.752764,1.0
508.993818,1.0
509.234872,1.0
509.475926,1.0
509.71698,1.0
509.958034,1.0
510.199088,1.0
510.440142,1.0
510.681196,1.0
510.92225,1.0
511.163304,1.0
511.404358,1.0
511.645412,1.0
511.886466,1.0
512.12752,1.0
512.368574,1.0
512.609628,1.0
512.850682,1.0
513.091736,1.0
513.33279,1.0
513.573844,1.0
513.814898,1.0
514.055952,1.0
514.297006,1.0
514.53806,1.0
514.779114,1.0
515.020168,1.0
515.261222,1.0
515.502276,1.0
515.74333,1.0
515.984384,1.0
516.225438,1.0
516.466492,1.0
516.707546,1.0
516.9486,1.0
517.189654,1.0
517.430708,1.0
517.671762,1.0
517.912816,1.0
518.15387,1.0
518.394924,1.0
518.635978,1.0
518.877032,1.0
519.118086,1.0
519.35914,1.0
519.600194,1.0
519.841248,1.0
520.082302,1.0
520.323356,1.0
520.56441,1.0
520.805464,1.0
521.046518,1.0
521.287572,1.0
521.528626,1.0
521.76968,1.0
522.010734,1.0
522.251788,1.0
522.492842,1.0
522.733896,1.0
522.97495,1.0
523.216004,1.0
523.457058,1.0
523.698112,1.0
523.939166,1.0
524.18022,1.0
524.421274,1.0
524.662328,1.0
524.903382,1.0
525.144436,1.0
525.38549,1.0
525.626544,1.0
525.867598,1.0
526.108652,1.0
526.349706,1.0
526.59076,1.0
526.831814,1.0
527.072868,1.0
527.313922,1.0
527.554976,1.0
527.79603,1.0
528.037084,1.0
528.278138,1.0
528.519192,1.0
528.760246,1.0
529.0013,1.0
529.242354,1.0
529.483408,1.0
529.724462,1.0
529.965516,1.0
530.20657,1.0
530.447624,1.0
530.688678,1.0
530.929732,1.0
531.170786,1.0
531.41184,1.0
531.652894,1.0
531.893948,1.0
532.135002,1.0
532.376056,1.0
532.61711,1.0
532.858164,1.0
533.099218,1.0
533.340272,1.0
533.581326,1.0
533.82238,1.0
534.063434,1.0
534.304488,1.0
534.545542,1.0
534.786596,1.0
535.02765,1.0
535.268704,1.0
535.509758,1.0
535.750812,1.0
535.991866,1.0
536.23292,1.0
536.473974,1.0
536.715028,1.0
536.956082,1.0
537.197136,1.0
537.43819,1.0
537.679244,1.0
537.920298,1.0
538.161352,1.0
538.402406,1.0
538.64346,1.0
538.884514,1.0
539.125568,1.0
539.366622,1.0
539.607676,1.0
539.84873,1.0
540.089784,1.0
540.330838,1.0
540.571892,1.0
540.812946,1.0
541.054,1.0
541.295054,1.0
541.536108,1.0
541.777162,1.0
542.018216,1.0
542.25927,1.0
542.500324,1.0
542.741378,1.0
542.982432,1.0
543.223486,1.0
543.46454,1.0
543.705594,1.0
543.946648,1.0
544.187702,1.0
544.428756,1.0
544.66981,1.0
544.910864,1.0
545.151918,1.0
545.392972,1.0
545.634026,1.0
545.87508,1.0
546.116134,1.0
