nu,[0]2-3-Dimethylfuran-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
584.51709,0.9750943923535756
584.636893,0.9785728932798217
584.756695,0.9755947441061045
584.876498,0.9758786834878157
584.9963,0.9770299229779714
585.116102,0.9748828198268843
585.235905,0.9730546810190711
585.355707,0.9736260317918752
585.47551,0.9750875667167189
585.595312,0.9709959321892992
585.715114,0.97268693585786
585.834917,0.9694532753942695
585.954719,0.9724360149985914
586.074521,0.9703717824905342
586.194324,0.9690558810227708
586.314126,0.9697422155202775
586.433929,0.9682325334961727
586.553731,0.9665869699053027
586.673533,0.9664642211548353
586.793336,0.9659840077798298
586.913138,0.9636414436326355
587.032941,0.9657792408762392
587.152743,0.9651005366623862
587.272545,0.9641050666594221
587.392348,0.9629160947537063
587.51215,0.9641455599225743
587.631953,0.9653650104406847
587.751755,0.9620027208442539
587.871557,0.9610863689623144
587.99136,0.959625667740006
588.111162,0.9597926571338488
588.230965,0.9612440000522202
588.350767,0.9592553237132538
588.470569,0.9579573709172855
588.590372,0.9571310103320637
588.710174,0.9571377102725858
588.829977,0.9574641498865797
588.949779,0.9561647960319861
589.069581,0.9557871855205392
589.189384,0.9542267045195777
589.309186,0.9553906161323878
589.428989,0.9529755800004006
589.548791,0.9535303732171267
589.668593,0.9532109940410979
589.788396,0.9536457573728866
589.908198,0.9512998180826575
590.028001,0.9510506101779809
590.147803,0.950637943768252
590.267605,0.9494190573692218
590.387408,0.9506331905904161
590.50721,0.9487167471535971
590.627013,0.9506217830605742
590.746815,0.9495491366903115
590.866617,0.9478879309620201
590.98642,0.9478528597573957
591.106222,0.9483269046886312
591.226025,0.9488201629150935
591.345827,0.9465949465988448
591.465629,0.9484378654275565
591.585432,0.9465040778457412
591.705234,0.9460186457777777
591.825037,0.9448850491484744
591.944839,0.9447017592286366
592.064641,0.9450069471820687
592.184444,0.9455892507926317
592.304246,0.9458966172434821
592.424048,0.9441530469228849
592.543851,0.944526061041858
592.663653,0.9443305643818247
592.783456,0.9434046303430691
592.903258,0.9433442543787786
593.02306,0.9445997369479423
593.142863,0.9435584178311548
593.262665,0.9450504185014718
593.382468,0.9434159512665586
593.50227,0.9440926230614661
593.622072,0.9443928922558712
593.741875,0.9437848990280908
593.861677,0.9441115051027471
593.98148,0.9455646657917174
594.101282,0.9445364508856735
594.221084,0.9433367076549305
594.340887,0.9455580468622231
594.460689,0.9448330818998837
594.580492,0.9453528830271353
594.700294,0.9453008900483888
594.820096,0.9456658466240351
594.939899,0.9450712098393826
595.059701,0.9457944659250902
595.179504,0.9469812361347638
595.299306,0.9471365537931898
595.419108,0.9449058368482195
595.538911,0.9454814597622467
595.658713,0.9470333215350866
595.778516,0.9462759978477241
595.898318,0.9461000068797918
596.01812,0.9472511642499916
596.137923,0.9467653490249909
596.257725,0.9454266234278496
596.377528,0.9454020426551919
596.49733,0.9444637243789618
596.617132,0.9458871583246042
596.736935,0.9456573356697149
