nu,[0]Germane-PNNL(x-sec)-X=0.01-T=278.14K-P=1.0atm-L=15cm
623.246465,0.9997790144209109
623.364467,1.0002976342842969
623.48247,1.0001279381833914
623.600472,0.9995793185112817
623.718474,1.0001622031535091
623.836477,0.9999009319075676
623.954479,1.000102665269718
624.072481,1.0001775857664856
624.190484,1.00028989201057
624.308486,1.0000242892949802
624.426489,1.0002464203565091
624.544491,1.000193738764931
624.662493,0.999998737400797
624.780496,1.0001356792035907
624.898498,0.9999500552472806
625.0165,0.9996210718114276
625.134503,0.9998797772273368
625.252505,0.9997251177870403
625.370507,1.00007720898046
625.48851,0.9999279415963315
625.606512,1.0002673257251549
625.724514,1.0001703645103852
625.842517,1.0001573323754402
625.960519,1.0002639448273078
626.078522,1.0000183041675192
626.196524,0.9999248588232397
626.314526,0.9998600897883466
626.432529,1.0002291762568667
626.550531,1.0002641048695518
626.668533,1.0001178969492992
626.786536,1.0002818497121684
626.904538,1.0001764855717463
627.02254,1.000396748683948
627.140543,0.9999445255387648
627.258545,1.0000015562012108
627.376548,0.9999259177442258
627.49455,0.9998976552375826
627.612552,0.9997657374437587
627.730555,0.999907046320461
627.848557,0.9999050055122621
627.966559,1.0001093559789291
628.084562,0.9998684886483761
628.202564,1.000090367082859
628.320566,1.000225495420271
628.438569,0.9999128977936175
628.556571,1.0001651236314062
628.674573,1.0000363496606328
628.792576,1.000186907465024
628.910578,0.9998788873347311
629.028581,1.000239918775907
629.146583,0.9999342001649041
629.264585,1.0001480109525402
629.382588,0.999995632609537
629.50059,1.0000675922842555
629.618592,1.0000631939966564
629.736595,1.0001845570285532
629.854597,1.000219354054583
629.972599,1.0000293274300407
630.090602,0.9999272776443987
630.208604,0.9998924157875965
630.326607,0.9998022195611302
630.444609,1.000150871379942
630.562611,1.000151201429784
630.680614,1.0001401298172656
630.798616,0.9998556704165166
630.916618,0.9999456714758477
631.034621,0.9999311823680419
631.152623,1.000206821384594
631.270625,1.0003772211300033
631.388628,1.0001861273195405
631.50663,0.9996825503977911
631.624632,0.9998233156105255
631.742635,1.000097622764792
631.860637,1.0000321465166881
631.97864,0.9999409377442438
632.096642,0.999997668902717
632.214644,0.9999158655395023
