nu,[0]Dimethylamine-PNNL(x-sec)-X=0.01-T=278.27K-P=1.0atm-L=15cm
596.125923,0.9981218659052565
596.248925,0.9982583184906475
596.371927,0.9977807661487593
596.49493,0.9961126752848214
596.617932,0.9990024578762735
596.740935,0.9986298395281602
596.863937,0.9977420530060725
596.98694,0.9966594919537873
597.109942,0.997926851946143
597.232945,0.9969608276628026
597.355947,0.9973749514813898
597.47895,0.9966557046549138
597.601952,0.9969670088390957
597.724954,0.996153217895742
597.847957,0.996994924306158
597.970959,0.9973266797019246
598.093962,0.9969175605017863
598.216964,0.9974282127258615
598.339967,0.9973743530565984
598.462969,0.9965984982593059
598.585972,0.9973345586138158
598.708974,0.997348122456047
598.831977,0.9979270515315333
598.954979,0.9968269448140821
599.077982,0.9963945154250675
599.200984,0.9965713911488117
599.323986,0.9971412939043117
599.446989,0.9965700956068452
599.569991,0.9959514176968467
599.692994,0.9970947284931972
599.815996,0.9959742252454574
599.938999,0.9968428941727936
600.062001,0.9968808746105843
600.185004,0.9965998934981801
600.308006,0.9984240431262812
600.431009,0.9965367110678366
600.554011,0.9965809582800887
600.677014,0.9967343438922882
600.800016,0.9970339075698161
600.923018,0.9974471640419402
601.046021,0.9972280489706721
601.169023,0.996394814343467
601.292026,0.9958679604649506
601.415028,0.9966721496097112
601.538031,0.9960345831123322
601.661033,0.9967096251870728
601.784036,0.9968750927182791
601.907038,0.9957459741116104
602.030041,0.9969612264472134
602.153043,0.9961599917606548
602.276046,0.9963321430806767
602.399048,0.9956099645012145
602.52205,0.9958624832062305
602.645053,0.995886981724648
602.768055,0.9961377776405269
602.891058,0.9947556996106333
603.01406,0.9958425661557375
603.137063,0.995839777800456
603.260065,0.9953940401177601
603.383068,0.9958159775141812
603.50607,0.9960520138700554
603.629073,0.9967298585978326
603.752075,0.996056097691684
603.875078,0.9946262903123713
603.99808,0.9955940348692199
604.121082,0.9948085225407189
604.244085,0.9955335045920389
604.367087,0.9948285183929796
604.49009,0.9956602440739704
604.613092,0.9944060049865675
604.736095,0.9952607657787045
604.859097,0.994444489243626
604.9821,0.99428370056983
605.105102,0.9946130618706794
605.228105,0.9938630087324204
605.351107,0.9944470748026594
605.474109,0.9932446208580545
605.597112,0.9944536381750121
605.720114,0.9949081078579872
605.843117,0.9924884537397979
605.966119,0.9942432340467161
606.089122,0.992950663958048
606.212124,0.9929964400387871
606.335127,0.9928113627521028
606.458129,0.9924299978914143
606.581132,0.9935068720535958
606.704134,0.9924338683759535
606.827137,0.992905585021204
606.950139,0.9927930951910903
607.073141,0.9926802210331845
607.196144,0.9920920337926857
607.319146,0.9923232181684933
607.442149,0.9925339107519369
607.565151,0.992130825349577
607.688154,0.9920507636225054
607.811156,0.9926886588509239
607.934159,0.992270527204566
608.057161,0.9922832283486014
608.180164,0.9923284774954868
608.303166,0.993207076920971
608.426169,0.9932370722276208
608.549171,0.9927312461078788
608.672173,0.9923322483508659
608.795176,0.9925290473476895
608.918178,0.9929903827789774
609.041181,0.9928171210747059
609.164183,0.9935473086061666
609.287186,0.992541255530052
609.410188,0.9941094179134412
609.533191,0.9930777697776336
609.656193,0.9935149194918514
609.779196,0.9934935591507068
609.902198,0.993351499729239
610.025201,0.9926162944854069
610.148203,0.9935504879626411
610.271205,0.9935394596134322
610.394208,0.9928595152708855
610.51721,0.9935470105420187
610.640213,0.9932870333088646
610.763215,0.9932109504361243
610.886218,0.9931561267048091
611.00922,0.9940267114505075
611.132223,0.9938167951769878
611.255225,0.9930389411959389
611.378228,0.9922980134788527
611.50123,0.993047580672309
611.624232,0.9930161015629483
611.747235,0.992023780208711
611.870237,0.9932817689015387
611.99324,0.9930868068264571
612.116242,0.9922875944044114
612.239245,0.9916268517225593
612.362247,0.9919332125720535
612.48525,0.9926276103756645
612.608252,0.992472077815413
612.731255,0.9919470997342393
612.854257,0.9915215465427103
612.97726,0.9912082752334765
613.100262,0.9910409733972894
613.223264,0.9912923332592262
613.346267,0.9906423578005951
613.469269,0.9920422320226242
613.592272,0.9902856917091349
613.715274,0.9906416643511873
613.838277,0.9914897192118977
613.961279,0.9903859136922827
614.084282,0.9905887654987229
614.207284,0.9911872618407843
614.330287,0.9901297339946832
614.453289,0.9897449453555962
614.576292,0.9908722134898338
614.699294,0.9909042191792186
614.822296,0.9907621337019604
614.945299,0.9908369390669219
615.068301,0.9908161317096795
615.191304,0.9910984554407095
615.314306,0.9903619466431738
615.437309,0.9910885445057098
615.560311,0.9908565578325407
615.683314,0.9899389543771488
615.806316,0.9910053956649685
615.929319,0.9913803639269234
616.052321,0.9912375163088997
616.175324,0.9908293096518644
616.298326,0.9904334533570828
