nu,[0]Dimethylsulfide-PNNL(x-sec)-X=0.01-T=278.12K-P=1.0atm-L=15cm
667.814334,0.9896538930090956
667.933936,0.9895133721335067
668.053538,0.9890098379874022
668.17314,0.9899280651085418
668.292742,0.9895628490390256
668.412344,0.9900626054744008
668.531946,0.9889880800103051
668.651548,0.9888694085611333
668.77115,0.988625187979702
668.890752,0.9889663225118782
669.010354,0.9891047874893522
669.129956,0.9890395087276007
669.249558,0.9890088489780587
669.36916,0.9883691672121359
669.488762,0.9883474233296408
669.608364,0.9875471860565923
669.727966,0.9883553301406547
669.847568,0.9881033316626402
669.96717,0.9888733640466784
670.086772,0.9875945894591956
670.206374,0.9879343804386672
670.325976,0.9872104898761085
670.445578,0.9872085154571031
670.56518,0.986978522668202
670.684782,0.9875274353103793
670.804384,0.9883869580172625
670.923986,0.9870801866916442
671.043588,0.9875481736042722
671.16319,0.9865709847007231
671.282792,0.9869400312564054
671.402394,0.9865473072812204
671.521996,0.9869637181013965
671.641598,0.9867554907256378
671.7612,0.9865196843433395
671.880802,0.9860393662240194
672.000404,0.985964430079796
672.120006,0.9856341873144708
672.239608,0.985746556016719
672.35921,0.9859348515905731
672.478812,0.9859496407242652
672.598414,0.9854439782720822
672.718016,0.9847032029668457
672.837618,0.9853986488916654
672.95722,0.9844393378679531
673.076822,0.9851247461415198
673.196424,0.9849622139676796
673.316026,0.9856499575876297
673.435628,0.9846854784687132
673.55523,0.9842749502252793
673.674832,0.984121415309079
673.794434,0.9840515451690114
673.914036,0.9842375484878083
674.033638,0.9838154011365883
674.15324,0.9842916830416617
674.272842,0.9836904645142873
674.392444,0.9837130896551592
674.512046,0.9831977590245966
674.631648,0.9833511498391769
674.75125,0.9831721962151799
674.870852,0.9828841689597424
674.990454,0.9830060541534192
675.110056,0.983044392137117
675.229658,0.9824684968771159
675.34926,0.9815709309210974
675.468862,0.9820451441940186
675.588464,0.9823348902469974
675.708066,0.982469479346104
675.827668,0.9820539826400893
675.94727,0.9822936330480142
676.066872,0.9815287242785171
676.186474,0.9811244177369809
676.306076,0.9812696348966108
676.425678,0.9815444288637418
676.54528,0.9810802681315564
676.664882,0.9811675881611037
676.784484,0.9811371724373169
676.904086,0.980746757540405
677.023688,0.9802957177790348
677.14329,0.9803221861207359
677.262892,0.9799889332336559
677.382494,0.9801692677876411
677.502096,0.9802369018004651
677.621698,0.9799389550725149
677.7413,0.979544119238385
677.860902,0.9789350322419118
677.980504,0.9795656694460597
678.100106,0.9795382419913014
678.219708,0.9796949806487782
678.33931,0.9794686972449876
678.458912,0.9789223061692124
678.578514,0.9786922864556374
678.698116,0.9785934435263575
678.817718,0.9783507824435809
678.93732,0.9781825205799357
679.056922,0.9785239658583534
679.176524,0.9781971934277904
679.296126,0.9784359026643293
679.415728,0.9775429983580375
