nu,[0]HFE-263m1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
727.996213,0.9999994191501687
728.47833,0.9999995188001157
728.960447,0.9999995455301033
729.442564,0.9999995965700814
729.92468,0.9999996840600499
730.406797,0.999999735090035
730.888914,0.9999998225900157
731.37103,0.9999998274500149
731.853147,0.9999996694800546
732.335264,0.9999997496800314
732.81738,0.9999999465330014
733.299497,0.9999998225900157
733.781614,0.9999997715500261
734.26373,0.9999996305900682
734.745847,0.9999995576800979
735.227964,0.9999996476000621
735.710081,0.9999998420300125
736.192197,0.9999999052170044
736.674314,0.99999985904001
737.156431,0.9999999027870047
737.638547,0.9999999684060005
738.120664,0.9999999441020015
738.602781,0.9999998493200114
739.084897,0.9999996621800571
739.567014,0.9999994701901403
740.049131,0.9999994507501508
740.531247,0.9999996038600785
741.013364,0.9999996767700522
741.495481,0.9999997156500404
741.977597,0.9999997278000371
742.459714,0.9999996792000515
742.941831,0.9999996378800655
743.423948,0.9999996840600499
743.906064,0.9999997691200266
744.388181,0.9999998055700189
744.870298,0.9999997958500209
745.352414,0.9999997399500338
745.834531,0.9999997399500338
746.316648,0.9999997521100307
746.798764,0.9999995868400854
747.280881,0.999999492060129
747.762998,0.9999997594000289
748.245114,0.9999998687600086
748.727231,0.9999998566100102
749.209348,0.9999998979300052
749.691465,0.9999997691200266
750.173581,0.9999998493200114
750.655698,0.9999999586840008
751.137815,0.999999992709
751.619931,0.9999999513930011
752.102048,0.9999998882000063
752.584165,0.9999997545400301
753.066281,0.9999996378800655
753.548398,0.9999997253700377
754.030515,0.9999999125080038
754.512631,0.999999992709
754.994748,0.9999999951393
755.476865,0.9999999732660003
755.958981,0.999999956254001
756.441098,0.9999997691200266
756.923215,0.9999994677601416
757.405332,0.9999991445203659
757.887448,0.9999991080703978
758.369565,0.999999300070245
758.851682,0.9999995212301146
759.333798,0.9999997253700377
759.815915,0.9999998396000128
760.298032,0.9999999513930011
760.780148,0.9999999125080038
761.262265,0.9999999295210025
761.744382,0.9999996014300794
762.226498,0.9999996135800746
762.708615,0.9999997691200266
763.190732,0.9999995698300925
763.672849,0.9999992052803158
764.154965,0.9999991469603638
764.637082,0.9999993632502028
765.119199,0.999999482340134
765.601315,0.9999994240101658
766.083432,0.9999994944901278
766.565549,0.9999996451700629
767.047665,0.9999996208700719
767.529782,0.9999994993501253
768.011899,0.999999436160159
768.494015,0.9999993608202042
768.976132,0.9999992101403119
769.458249,0.9999991177903892
769.940365,0.9999991979903217
770.422482,0.999999385130189
770.904599,0.9999995674000935
771.386716,0.9999996160100737
771.868832,0.9999994872001314
772.350949,0.9999993268002266
772.833066,0.9999992514602801
773.315182,0.9999991882703294
773.797299,0.9999991226503848
774.279416,0.9999992101403119
774.761532,0.9999994191501687
775.243649,0.9999994337301603
775.725766,0.999999300070245
776.207882,0.9999993462402137
776.689999,0.999999504210123
777.172116,0.9999996014300794
777.654233,0.999999550390101
778.136349,0.9999993438102153
778.618466,0.9999992223003024
779.100583,0.9999992806202588
779.582699,0.9999994240101658
780.064816,0.9999995990000804
780.546933,0.9999996889200484
781.029049,0.9999996014300794
781.511166,0.9999994944901278
781.993283,0.9999994531801495
782.475399,0.999999389990186
782.957516,0.9999992781902605
783.439633,0.9999992198603043
783.92175,0.9999993097902382
784.403866,0.9999994240101658
784.885983,0.999999375410195
785.3681,0.9999991834103334
785.850216,0.9999990570304446
786.332333,0.9999991542503577
786.81445,0.9999993608202042
787.296566,0.9999994313001617
787.778683,0.9999992806202588
788.2608,0.9999990789104242
788.742916,0.9999989866005135
789.225033,0.9999989574005435
789.70715,0.9999988893006169
790.189266,0.9999988262006889
790.671383,0.9999988796006276
791.1535,0.9999990448804561
791.635617,0.9999991566803555
792.117733,0.9999991153603913
792.59985,0.9999990764804264
793.081967,0.9999991080703978
793.564083,0.9999991177903892
794.0462,0.9999990740504286
794.528317,0.9999990060004941
795.010433,0.9999989671005335
795.49255,0.9999990108604891
795.974667,0.999999018150482
796.456783,0.999998955000546
796.9389,0.9999989015006033
797.421017,0.9999989234005795
797.903134,0.9999990278704726
798.38525,0.9999990983504065
798.867367,0.9999990205804796
799.349484,0.9999988966006087
799.8316,0.9999988359006776
800.313717,0.9999988650006442
800.795834,0.9999989209005822
801.27795,0.9999988893006169
801.760067,0.9999987484007833
802.242184,0.9999985710010211
802.7243,0.9999984738011647
