nu,[0](Perfluorohexyl)ethylene-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
660.021986,0.626140808167996
660.082251,0.6212634822474618
660.142516,0.6164179840628452
660.202781,0.617047051176277
660.263046,0.6195697459429189
660.323311,0.6195697459429189
660.383576,0.6183071119857132
660.44384,0.6180969233017392
660.504105,0.6172568828430389
660.56437,0.6143257217784606
660.624635,0.6128653650744426
660.6849,0.6130737747262011
660.745165,0.6111945243630776
660.80543,0.6062274701864752
660.865695,0.6017037887699119
660.92596,0.6010903638052826
660.986225,0.6008860278206746
661.04649,0.5986429113191338
661.106755,0.5962054240961681
661.16702,0.5945800029976932
661.227285,0.5917565273864752
661.28755,0.5885461121243141
661.347815,0.5891467354244899
661.40808,0.5931665852248885
661.468345,0.5943778801595035
661.52861,0.5907513958937562
661.588875,0.588346040460302
661.64914,0.5921590586702237
661.709405,0.5978293103338129
661.76967,0.6002734365469587
661.829935,0.5996614697977805
661.8902,0.5992538386086297
661.950465,0.5992538386086297
662.01073,0.5986429113191338
662.070995,0.5984394073269245
662.13126,0.5978293103338129
662.191525,0.5941758260313975
662.25179,0.588346040460302
662.312055,0.5847505107897851
662.37232,0.5853472606014565
662.432585,0.5851482763620895
662.49285,0.5803928947705006
662.553115,0.5737164467083834
662.61338,0.5704042266123812
662.673645,0.571186215943222
662.733909,0.5739115434648334
662.794174,0.5768459687606443
662.854439,0.5790132021664065
662.914704,0.5794070650420806
662.974969,0.5790132021664065
663.035234,0.5801955947291862
663.095499,0.5819737123816009
663.155764,0.5809851975462295
663.216029,0.5774346518261048
663.276294,0.5762578858457819
663.336559,0.5799983617584834
663.396824,0.5845517294108659
663.457089,0.5867420462181865
663.517354,0.5873467018699954
663.577619,0.5887462518242573
663.637884,0.5915553643668151
663.698149,0.5933682961527796
663.758414,0.5933682961527796
663.818679,0.5921590586702237
663.878944,0.5913542697309556
663.939209,0.5925618637683314
663.999474,0.5953951358403036
664.059739,0.5972198353223698
664.120004,0.5968138638802842
664.180269,0.5955976046042287
664.240534,0.5951927359040569
664.300799,0.5949844548977927
664.361064,0.5937719238120146
664.421329,0.5925618637683314
664.481594,0.5937719238120146
664.541859,0.5966109816584971
664.602124,0.5994576195545543
664.662389,0.601499244256268
664.722654,0.603553857804344
664.782919,0.6060213878825886
664.843184,0.6091199916842632
664.903449,0.6124487582885524
664.963714,0.6157895582707396
665.023978,0.6178868060697701
665.084243,0.6193591280363714
665.144508,0.6218974942905272
665.204773,0.6246523649945274
665.265038,0.6252898354614912
665.325303,0.6238034151948499
665.385568,0.6227438502743797
665.445833,0.6242277457732283
665.506098,0.6259279564800563
665.566363,0.6267797976215482
665.626628,0.6272061528282723
665.686893,0.6265667287141238
665.747158,0.623167460103585
665.807423,0.6178868060697701
665.867688,0.6153709637093961
665.927953,0.6174667858646972
665.988218,0.6204191381957019
666.048483,0.6208411666830985
666.108748,0.6202020294935726
666.169013,0.6210522885684575
666.229278,0.6218974942905272
666.289543,0.6204191381957019
666.349808,0.6166276018104243
666.410073,0.6141168865370588
666.470338,0.6153709637093961
666.530603,0.6212634822474618
666.590868,0.6297766791363058
666.651133,0.6362332739183046
666.711398,0.6379725638065697
666.771663,0.6375325145719881
666.831928,0.63971021130941
666.892193,0.6451709232533046
666.952458,0.6500213958122266
667.012723,0.6522352299433513
667.072988,0.6557996160761606
667.133253,0.6622977836109325
667.193518,0.6688670286298034
667.253783,0.672744274501477
667.314048,0.6741248148345698
667.374312,0.6736598291508431
667.434577,0.6718299641601129
667.494842,0.6706888234654558
667.555107,0.6729730464438339
667.615372,0.6773412981102315
667.675637,0.6796481779973204
667.735902,0.6791861743353299
667.796167,0.6803417728120985
667.856432,0.6828910151541142
667.916697,0.6835947552636629
667.976962,0.6810360754545185
668.037227,0.6778020468297569
668.097492,0.6759609303159483
668.157757,0.6738889124347058
668.218022,0.6704608280268985
668.278287,0.6670501823430265
668.338552,0.665464490630687
668.398817,0.6650121285975805
668.459082,0.6661436107034878
668.519347,0.6679579877587727
668.579612,0.6695496210619655
668.639877,0.6702329100936136
668.700142,0.672515580328359
668.760407,0.6778020468297569
668.820672,0.6842923776409604
668.880937,0.6884930880547401
668.941202,0.6915429627617484
669.001467,0.6969789984668727
669.061732,0.7034137578945266
669.121997,0.7067699888748284
669.182262,0.7062895486505828
669.242527,0.704610578292051
669.302792,0.7036529592341342
669.363057,0.7036529592341342
669.423322,0.7048501866197777
669.483587,0.706529727925287
669.543852,0.7055695005978943
669.604117,0.7007808960038515
669.664381,0.6969789984668727
669.724646,0.6984022868843346
669.784911,0.7022119482086594
669.845176,0.7026966416529314
669.905441,0.7005426709997558
669.965706,0.7012575890704081
670.025971,0.7060494510229512
670.086236,0.7103837230073627
670.146501,0.7130526631036574
670.206766,0.7159678609287222
670.267031,0.7201181379108657
670.327296,0.7247924072186108
670.387561,0.7297377908357989
670.447826,0.7347242648643715
670.508091,0.7389832677765041
670.568356,0.7415000870551826
670.628621,0.7437799901830886
670.688886,0.7478371788773698
670.749151,0.7503841526874456
670.809416,0.749364323880569
670.869681,0.7480914867480762
670.929946,0.7501290654428209
670.990211,0.753203375999958
671.050476,0.7537157284757371
671.110741,0.7529473303823395
671.171006,0.7562827233710052
671.231271,0.761184124243537
671.291536,0.762738524806502
671.351801,0.7609253656327507
671.412066,0.761701905473689
671.472331,0.7676894420083392
671.532596,0.774777025544342
671.592861,0.7795331999895132
671.653126,0.7827201924891749
671.713391,0.7861953346986212
671.773656,0.7899465452902116
671.833921,0.7929064769916845
671.894186,0.794795841859274
671.95445,0.7945256572070355
672.014715,0.7931761110290505
672.07498,0.7937156542084409
672.135245,0.7980532136369617
672.19551,0.8021336813748318
672.255775,0.8032253253311331
672.31604,0.803771704300154
672.376305,0.8070658625322434
672.43657,0.8111924121884888
672.496835,0.8122963844000101
672.5571,0.8120202505747245
672.617365,0.8150628925056808
672.67763,0.821190633312658
672.737895,0.8253894033052035
672.79816,0.8276375185328654
672.858425,0.8307469858346483
672.91869,0.8358467467389599
672.978955,0.8386934623520791
673.03922,0.8375536145154976
673.099485,0.8366997453759835
673.15975,0.838408355045868
673.220015,0.8409778138793752
673.28028,0.8424171161938658
673.340545,0.8421307430605512
673.40081,0.8404061433559435
673.461075,0.838408355045868
673.52134,0.8364153158183204
673.581605,0.8352785641551498
673.64187,0.8352785641551498
673.702135,0.8372688946916752
673.7624,0.843276820026802
673.822665,0.8516326560480411
673.88293,0.8574520670400412
673.943195,0.8583271143466819
674.00346,0.858035332733489
674.063725,0.8615432682132136
674.12399,0.8671355245999038
674.184255,0.8718655959829081
674.244519,0.8772265466126485
674.304784,0.8868228808347906
674.365049,0.8977532730910961
674.425314,0.9035805677382099
674.485579,0.9014326030788484
674.545844,0.8965331585056706
674.606109,0.8953147021482307
674.666374,0.8971430083789118
674.726639,0.9005046054984738
674.786904,0.9045026901197695
674.847169,0.9091283460474769
674.907434,0.9140911372240383
674.967699,0.9184562568609662
675.027964,0.9209597004331166
675.088229,0.9209597004331166
675.148494,0.9203327403812493
675.208759,0.9218995585737244
675.269024,0.9272472763113824
675.329289,0.9326269475006599
675.389554,1.0
675.449819,1.0
675.510084,1.0
675.570349,1.0
675.630614,1.0
675.690879,1.0
675.751144,1.0
675.811409,1.0
675.871674,1.0
675.931939,1.0
675.992204,1.0
676.052469,1.0
676.112734,1.0
676.172999,1.0
676.233264,1.0
676.293529,1.0
676.353794,1.0
676.414059,1.0
676.474324,1.0
676.534589,1.0
676.594853,1.0
676.655118,1.0
676.715383,1.0
676.775648,1.0
676.835913,1.0
676.896178,1.0
676.956443,1.0
677.016708,1.0
677.076973,1.0
677.137238,1.0
677.197503,1.0
677.257768,1.0
677.318033,1.0
677.378298,1.0
677.438563,1.0
677.498828,1.0
677.559093,1.0
677.619358,1.0
677.679623,1.0
677.739888,1.0
677.800153,1.0
677.860418,1.0
677.920683,1.0
677.980948,1.0
678.041213,1.0
