nu,[0]Piperidine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
542.683854,0.29903340183739496
542.807656,0.4157629553498075
542.931459,0.6022214766021151
543.055261,0.6794035486891589
543.179064,0.7122260015708426
543.302866,0.6814107483216121
543.426669,0.6612984686303686
543.550471,0.635959752421856
543.674273,0.5742847072331718
543.798076,0.5775674770703423
543.921878,0.5752445639515323
544.045681,0.6209653473340863
544.169483,0.6898162646268345
544.293286,0.7208530331443884
544.417088,0.7506093017039157
544.540891,0.7605982380629966
544.664693,0.7576907182658026
544.788496,0.7557006098164893
544.912298,0.7521646722115344
545.036101,0.7485853900995073
545.159903,0.7543943779778324
545.283706,0.7609405842922495
545.407508,0.7728734164606659
545.531311,0.7958934172738907
545.655113,0.8062833882069874
545.778916,0.7934696404897328
545.902718,0.7968490626471659
546.026521,0.8036109660336563
546.150323,0.7946289522565052
546.274125,0.8163272195894257
546.397928,0.81662115029283
546.52173,0.8021096177253471
546.645533,0.8207719328673574
546.769335,0.8266449491713512
546.893138,0.8205503543599277
547.01694,0.8154949903345188
547.140743,0.819877778862993
547.264545,0.8155846997173811
547.388348,0.8133855911606541
547.51215,0.8137435595680392
547.635953,0.8249438133475351
547.759755,0.8189190828082785
547.883558,0.8087463065822665
548.00736,0.8128977061860866
548.131163,0.8150954956734401
548.254965,0.8119796505772041
548.378768,0.815160705921469
548.50257,0.8126376205360305
548.626373,0.8134099930944161
548.750175,0.8131416120819975
548.873977,0.8039485535278017
548.99778,0.8067673033999521
549.121582,0.8023021471362063
549.245385,0.7946527914826594
549.369187,0.7986519780557794
549.49299,0.7965144563131029
549.616792,0.7996829039116847
549.740595,0.8025348484989425
549.864397,0.8017166802901953
549.9882,0.8001788610429336
550.112002,0.7922486376568708
550.235805,0.7957660845140193
550.359607,0.7912272958214119
550.48341,0.792732056753676
550.607212,0.7865098757365144
550.731015,0.7879032309721814
550.854817,0.777128160101802
550.97862,0.7692878978655114
551.102422,0.764884834213636
551.226225,0.7722167531781059
551.350027,0.7773069201352412
551.473829,0.7824932365435558
551.597632,0.7821646583904498
551.721434,0.781828399888101
551.845237,0.7829080678795174
551.969039,0.7885653477363065
552.092842,0.7835738226429054
552.216644,0.7867694668256814
552.340447,0.7799542615939089
552.464249,0.7826340980032847
552.588052,0.7837697405872888
552.711854,0.7761728800825255
552.835657,0.7812422484224605
552.959459,0.7728579591469102
553.083262,0.7824384639340615
553.207064,0.7892990546305252
553.330867,0.7831977974613001
553.454669,0.789338520569897
553.578472,0.7907527018363524
553.702274,0.794891223083056
553.826077,0.7808439164590495
553.949879,0.7897174940061189
554.073681,0.7926607140790367
554.197484,0.7951694837039033
554.321286,0.7961879523239062
554.445089,0.795861582173906
554.568891,0.7906499106666844
554.692694,0.8027917007446297
554.816496,0.7953046740069831
554.940299,0.796036690983247
555.064101,0.8059528797766806
555.187904,0.808544145276837
555.311706,0.8052681108968732
555.435509,0.8092155154975161
555.559311,0.8126782534328713
555.683114,0.8108680001103545
555.806916,0.8143133794734361
555.930719,0.8127676529576325
556.054521,0.8221848753741076
556.178324,0.8201073767832835
556.302126,0.8241357644191002
556.425929,0.8342100915613734
556.549731,0.8193859997441643
556.673533,0.8377043877352931
556.797336,0.8280845634841468
556.921138,0.8335429903641818
557.044941,0.8377797845229938
557.168743,0.8358467467389599
557.292546,0.8470970584881647
557.416348,0.8411628493515843
557.540151,0.8513090971188328
557.663953,0.8459542490291547
557.787756,0.8572548757424905
557.911558,0.8507984648655564
