nu,[0]Methanol-HITRAN(x-sec)-X=0.01-T=203.9K-P=0.0987atm-L=15cm
879.105442,0.9977525293526299
879.111242,0.9983842068017004
879.117042,1.0
879.122842,1.0
879.128643,1.0
879.134443,1.0
879.140243,1.0
879.146043,1.0
879.151843,1.0
879.157643,1.0
879.163443,1.0
879.169243,1.0
879.175044,1.0
879.180844,1.0
879.186644,1.0
879.192444,1.0
879.198244,1.0
879.204044,1.0
879.209844,1.0
879.215644,1.0
879.221444,0.9999974741031901
879.227245,1.0
879.233045,1.0
879.238845,1.0
879.244645,1.0
879.250445,0.9971563508515294
879.256245,0.9958625827924839
879.262045,0.9967851786401017
879.267845,0.9917830452516231
879.273645,0.9895826404939203
879.279446,0.9946651809606297
879.285246,0.9947731079876992
879.291046,0.9949856142184229
879.296846,0.9999415397088695
879.302646,1.0
879.308446,1.0
879.314246,1.0
879.320046,1.0
879.325847,1.0
879.331647,1.0
879.337447,1.0
879.343247,0.9934758751227423
879.349047,0.997721799047975
879.354847,1.0
879.360647,1.0
879.366447,1.0
879.372247,1.0
879.378048,0.9991748805983826
879.383848,0.9999564569480263
879.389648,1.0
879.395448,1.0
879.401248,1.0
879.407048,1.0
879.412848,0.9995740607378943
879.418648,0.9988677414889345
879.424448,1.0
879.430249,1.0
879.436049,0.9999805381893835
879.441849,0.9971436870462889
879.447649,0.9974254199307757
879.453449,1.0
879.459249,0.9986642928519404
879.465049,0.9974103589206457
879.470849,0.9999807181858966
879.47665,1.0
879.48245,1.0
879.48825,1.0
879.49405,1.0
879.49985,1.0
879.50565,1.0
879.51145,1.0
879.51725,0.9998557704020886
879.52305,0.9976603412780723
879.528851,0.994196605132496
879.534651,0.995235785046993
879.540451,0.9995686630525401
879.546251,1.0
879.552051,1.0
879.557851,1.0
879.563651,1.0
879.569451,0.9998355735195157
879.575252,0.9979351347733878
879.581052,0.9999920915312721
879.586852,1.0
879.592652,1.0
879.598452,1.0
879.604252,1.0
879.610052,1.0
879.615852,1.0
879.621652,0.9984261398189733
879.627453,1.0
879.633253,1.0
879.639053,0.9984684739847796
879.644853,0.9938023849379323
879.650653,0.998665591116365
879.656453,0.9975196810867286
879.662253,0.9908901484392088
879.668053,0.9925195191145706
879.673853,0.999502583752501
879.679654,1.0
879.685454,1.0
879.691254,1.0
879.697054,0.9977213999593352
879.702854,0.9959611780685659
879.708654,0.9977825621557548
879.714454,1.0
879.720254,0.9969373993586362
879.726055,0.9900151826113853
879.731855,0.9936505435344924
879.737655,1.0
879.743455,0.9975251674600621
879.749255,0.996346988540207
879.755055,1.0
879.760855,1.0
879.766655,0.997023937280592
879.772455,0.9958450557652649
879.778256,0.9985933902042217
879.784056,0.9998225557450944
879.789856,0.9952399650460682
879.795656,0.99097893617414
879.801456,0.9963481841573106
879.807256,1.0
879.813056,0.998585401489055
879.818856,0.9937361999030815
879.824656,0.9975496071260496
879.830457,1.0
879.836257,0.9999271576531326
879.842057,0.9996480019658497
879.847857,1.0
879.853657,1.0
879.859457,1.0
879.865257,0.9999993074102398
879.871057,1.0
879.876858,1.0
879.882658,1.0
879.888458,0.9988385749767162
879.894258,0.9980384264050866
879.900058,0.9999883550678027
879.905858,1.0
879.911658,1.0
879.917458,0.9969859513922174
879.923258,0.9903980955139392
879.929059,0.9977497356494589
879.934859,1.0
879.940659,1.0
879.946459,0.999662397000722
879.952259,0.9979396254915984
879.958059,0.9977596134207367
879.963859,0.9990099004723083
879.969659,1.0
879.97546,1.0
879.98126,1.0
879.98706,1.0
879.99286,1.0
879.99866,1.0
880.00446,1.0
880.01026,1.0
880.01606,0.9999223340161587
880.02186,0.9993717274459053
880.027661,1.0
880.033461,1.0
880.039261,1.0
880.045061,1.0
880.050861,0.9988310837154961
880.056661,0.9992433064370799
880.062461,1.0
880.068261,1.0
880.074061,1.0
880.079862,0.998577213122335
880.085662,0.9954466978552673
880.091462,0.9959018205512246
880.097262,0.9976110580745183
880.103062,0.9999737923434266
880.108862,1.0
880.114662,0.999586505512419
880.120462,0.9949480044730341
880.126263,0.9963274603306087
880.132063,1.0
880.137863,1.0
880.143663,1.0
880.149463,0.9975264642436228
880.155263,0.9953156061577375
880.161063,0.9990953993980376
880.166863,0.9999337111971998
880.172663,0.9993888268424469
880.178464,1.0
880.184264,1.0
880.190064,1.0
880.195864,1.0
880.201664,0.9986348326898408
880.207464,0.9923812707747783
880.213264,0.9984456093185268
880.219064,1.0
880.224864,1.0
880.230665,1.0
880.236465,1.0
880.242265,1.0
880.248065,1.0
880.253865,1.0
880.259665,0.9999448745194651
880.265465,0.9980482072295913
880.271265,0.9997602087545175
880.277066,1.0
880.282866,0.9980052920793628
880.288666,0.9956394349923249
880.294466,0.9998989651043689
880.300266,1.0
880.306066,1.0
880.311866,0.9995905038664378
880.317666,1.0
880.323466,1.0
880.329267,1.0
880.335067,1.0
880.340867,1.0
880.346667,1.0
880.352467,1.0
880.358267,1.0
880.364067,1.0
880.369867,1.0
880.375668,1.0
880.381468,1.0
880.387268,1.0
880.393068,1.0
880.398868,1.0
880.404668,1.0
880.410468,0.9965834497355989
880.416268,0.9963741891842812
880.422068,1.0
880.427869,1.0
880.433669,0.9997696065446493
880.439469,0.9963394163318685
880.445269,0.9977732828210758
880.451069,0.9992432764597812
880.456869,0.9998688985945404
880.462669,1.0
880.468469,1.0
880.474269,1.0
880.48007,1.0
880.48587,1.0
880.49167,0.99849433465315
880.49747,0.9966428478792502
880.50327,0.9999995769200895
880.50907,0.9983703293576743
880.51487,0.9992421673003599
880.52067,1.0
880.526471,1.0
880.532271,1.0
880.538071,1.0
880.543871,0.9993763145726617
880.549671,0.9952645477768003
880.555471,0.9987382966178464
880.561271,1.0
880.567071,1.0
880.572871,1.0
880.578672,0.9991916169177989
880.584472,0.9970594319645608
880.590272,0.9999126898117564
880.596072,1.0
880.601872,1.0
880.607672,1.0
880.613472,0.996474429469715
880.619272,0.9893382437659567
880.625073,0.9923541791358887
880.630873,0.9982700980083048
880.636673,1.0
880.642473,1.0
880.648273,1.0
880.654073,1.0
880.659873,1.0
880.665673,1.0
880.671473,1.0
880.677274,1.0
880.683074,1.0
880.688874,1.0
880.694674,1.0
880.700474,1.0
880.706274,1.0
880.712074,1.0
880.717874,1.0
880.723674,0.9995554688332698
880.729475,0.9999300974432975
880.735275,1.0
880.741075,1.0
880.746875,1.0
880.752675,1.0
880.758475,1.0
880.764275,1.0
880.770075,0.9998182065264365
880.775876,0.9964549984077938
880.781676,0.9982141964480746
880.787476,1.0
880.793276,1.0
880.799076,1.0
880.804876,1.0
880.810676,1.0
880.816476,0.9970470685042581
880.822276,0.9951615432266828
880.828077,0.9999630956809812
880.833877,1.0
880.839677,0.9934470647401163
880.845477,0.9912582333894833
880.851277,0.9953431767818794
880.857077,0.9932487924942226
880.862877,0.9900888424810848
880.868677,0.9892670139767088
880.874477,0.9861152941784074
880.880278,0.9867298354163994
880.886078,0.9916790126667806
880.891878,0.9947238679375552
880.897678,0.9986770758366998
880.903478,1.0
880.909278,0.9975613782808633
880.915078,0.998117174743511
880.920878,0.9996465824666947
880.926679,0.9946657777599173
880.932479,0.9958456532724776
880.938279,1.0
880.944079,1.0
880.949879,1.0
880.955679,1.0
880.961479,1.0
880.967279,1.0
880.973079,0.9992913412173271
880.97888,0.9997109217911595
880.98468,1.0
880.99048,1.0
880.99628,1.0
881.00208,1.0
881.00788,1.0
881.01368,1.0
881.01948,1.0
881.025281,1.0
881.031081,1.0
881.036881,0.9995846762707877
881.042681,0.9971108815586383
881.048481,0.995076759075056
881.054281,0.9965127944737712
881.060081,0.9986752782195811
881.065881,0.9993878674296336
881.071681,1.0
881.077482,1.0
881.083282,0.9948820416070308
881.089082,0.9946060001430093
881.094882,0.9979266523607926
881.100682,0.9933611352855187
881.106482,0.9885283074585031
881.112282,0.9927897197003049
881.118082,0.9965789651201654
881.123882,0.9957031579552775
881.129683,0.9972313398286636
881.135483,0.9985038203943863
881.141283,0.9972645481851959
881.147083,0.9997037538895472
881.152883,1.0
881.158683,1.0
881.164483,1.0
881.170283,0.9979467108880925
881.176084,0.9978878337690422
881.181884,0.9999513031857283
881.187684,1.0
881.193484,1.0
881.199284,1.0
881.205084,1.0
881.210884,1.0
881.216684,1.0
881.222484,1.0
881.228285,0.9987702567546977
881.234085,0.9978140925828971
881.239885,0.9999846571177032
881.245685,1.0
881.251485,1.0
881.257285,1.0
881.263085,0.9971393993376532
881.268885,0.9962320167317305
881.274685,1.0
881.280486,1.0
881.286286,1.0
