nu,[0]HFE-125-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
506.304814,0.9527745233652415
506.545868,0.9599827148950587
506.786922,0.9583473389203543
507.027976,0.9492870972916854
507.26903,0.9614564584520202
507.510084,0.9510905551424468
507.751138,0.9583262555108164
507.992192,0.9603783092604389
508.233246,0.9555692908831731
508.4743,0.9469206312750275
508.715354,0.9431386277454414
508.956408,0.9496792338334888
509.197462,0.9483060417262216
509.438516,0.9476386692155334
509.67957,0.9347108956684814
509.920624,0.9546962995691108
510.161678,0.9573224556780265
510.402732,0.9492899451572491
510.643786,0.9517660692157167
510.88484,0.9400784027644978
511.125894,0.9544710178267037
511.366948,0.9480168524870959
511.608002,0.951773683374727
511.849056,0.9394149416414802
512.09011,0.9530861315795482
512.331164,0.956225036311685
512.572218,0.9583051725651084
512.813272,0.9524296814079433
513.054326,0.9548175536986304
513.29538,0.9576001194494741
513.536434,0.955252094536107
513.777488,0.9569204646706626
514.018542,0.9486418014909647
514.259596,0.9493801319858455
514.50065,0.9428048157594271
514.741704,0.9459060762569494
514.982758,0.9479125763686139
515.223812,0.9620729496061942
515.464866,0.9573090532574642
515.70592,0.9579535390954654
515.946974,0.9530861315795482
516.188028,0.954454791957321
516.429082,0.9521687514242777
516.670136,0.9424466179913247
516.91119,0.9540940762255294
517.152244,0.9521173356999378
517.393298,0.9555530463433071
517.634352,0.9421130509334085
517.875406,0.956214517894137
518.11646,0.9551747222500695
518.357514,0.9531509436400808
518.598568,0.9589877288091628
518.839622,0.9513959042165518
519.080676,0.9576441700681252
519.32173,0.957270761661171
519.562784,0.9582860066533169
519.803838,0.9494067150017016
520.044892,0.9541551402004342
520.285946,0.9541331948845817
520.527,0.9586674803922033
520.768054,0.9562192989786792
521.009108,0.9621393349299843
521.250162,0.9645361179570066
521.491216,0.9680989266256363
521.73227,0.9579861100694981
521.973324,0.9558942396802386
522.214378,0.9483060417262216
522.455432,0.9524163474857412
522.696486,0.9555444464045898
522.93754,0.9630846198158011
523.178594,0.9638958785576869
523.419648,0.9618151486025772
523.660702,0.9610431210487964
523.901756,0.9684697795283315
524.14281,0.9590817142117957
524.383864,0.9565693392955759
524.624918,0.9565961236120548
524.865972,0.9561753139025906
525.107026,0.9562632860781277
525.34808,0.9496687874193721
525.589134,0.9384928889707461
525.830188,0.9485659131824182
526.071242,0.9476121357042663
526.312296,0.9520525939223556
526.55335,0.9659028685310724
526.794404,0.9618314995990865
527.035458,0.9624742176847596
527.276512,0.961856507543178
527.517566,0.9638717814619379
527.75862,0.9698042810081453
527.999674,0.9597360310375641
528.240728,0.9552234374031301
528.481782,0.9558512254072813
528.722836,0.9631722645039772
528.96389,0.9611152019858764
529.204944,0.9613939658132535
529.445998,0.9691208099418939
529.687052,0.9563531790519226
529.928106,0.9483278530160101
530.16916,0.9517080132562192
530.410214,0.9603485379943089
530.651268,0.957027645764735
530.892322,0.9538097985502916
531.133376,0.9547822261027081
531.37443,0.9625589191427254
531.615484,0.9541580026701486
531.856538,0.9641638788622423
532.097592,0.9639151566680385
532.338646,0.9712552227169389
532.5797,0.9649335887109578
532.820754,0.9642207662092553
533.061808,0.9645312952884734
533.302862,0.9705241428203581
533.543916,0.9691091805619511
533.78497,0.9775439759015245
534.026024,0.9633032648397706
534.267078,0.9641079589789605
534.508132,0.97203739795452
534.749186,0.9663038014093309
534.99024,0.9659608244418443
535.231294,0.9733203612106853
535.472348,0.9691741130522628
535.713402,0.9671013309812071
535.954456,0.9596813276428565
536.19551,0.9669611114543762
536.436564,0.9683758425157359
536.677618,0.9729651641062584
536.918672,0.9649972764294843
537.159726,0.9648650808582169
537.40078,0.9580493392393024
537.641834,0.9690335929938206
537.882888,0.9681541098371605
538.123942,0.959408816844171
538.364996,0.967655638837894
538.60605,0.9608278714985311
538.847104,0.9637869644771713
539.088158,0.9601651289396742
539.329212,0.9589810159185563
539.570266,0.9613699312645414
539.81132,0.9705493767761114
540.052374,0.9708289352511111
540.293428,0.9706114939239526
540.534482,0.97545914586097
540.775536,0.9649799066348371
541.01659,0.9721929363809351
541.257644,0.9913911700317835
541.498698,0.9851316420388784
541.739752,0.9851267163929823
541.980806,0.9835576752650539
542.22186,0.9893926588657653
542.462914,0.9717079331240575
542.703968,0.9726441385742295
542.945022,0.9789781063309535
543.186076,0.9790113921524245
543.42713,0.9840692582562418
543.668184,0.9751714278534338
543.909238,0.9756932841514477
544.150292,0.9823928497153095
544.391346,0.973961016760923
544.6324,0.9709095173968497
544.873454,0.976837467040677
545.114508,0.9828163522917861
545.355562,0.97908873710749
545.596616,0.9674205270848913
545.83767,0.9709134010426865
546.078724,0.9732697498678087
546.319778,0.9730439774764494
546.560832,0.9670713513046341
546.801886,0.9684465365325399
547.04294,0.9625531438065366
547.283994,0.9722308526448162
547.525048,0.9719732456033059
547.766102,0.9701030267311754
548.007156,0.973093603984766
548.24821,0.9746966349895153
548.489264,0.9800428341072442
548.730318,0.9793815284100036
548.971372,0.9842483751603882
549.212426,0.9816190290751077
549.45348,0.9779213807106647
549.694534,0.9934789549027289
549.935588,0.9851838553995483
550.176642,0.9854360947517902
550.417696,0.9881843594579308
550.65875,0.9822897038813404
550.899804,0.9807987384960377
551.140858,0.9717400000149513
551.381912,0.9729437591081039
551.622966,0.9824871639558932
551.86402,0.9871621177472314
552.105074,0.9779966835561018
552.346128,0.9843792888998553
552.587182,0.9736971090864858
552.828236,0.9716554623123934
553.06929,0.9755264548641684
553.310344,0.9669852857843404
553.551398,0.9758464800226206
553.792452,0.9708706817928711
554.033506,0.9829116901017675
554.27456,0.9738003264504725
554.515614,0.9830955117746072
554.756668,0.9866380738086866
554.997722,0.9867288486870573
555.238776,0.9820412160212981
555.47983,0.976740764918274
555.720884,0.9811509084538829
555.961938,0.9861261415063035
556.202992,0.9811617011732358
556.444046,0.9775068299362182
556.6851,0.9841135423692484
556.926154,0.9912612071686441
557.167208,0.9935330016279331
557.408262,0.9829913091731945
557.649316,0.9796949806487782
557.89037,0.9826591142547978
558.131424,0.9716680939155087
558.372478,0.9746995590838065
558.613532,0.9809880509206288
558.854586,0.9806565329891042
559.09564,0.9991836434005102
559.336694,1.0
559.577748,1.0
559.818802,1.0
560.059856,1.0
560.30091,1.0
560.541964,1.0
560.783018,1.0
561.024072,1.0
561.265126,1.0
561.50618,1.0
561.747234,1.0
561.988288,1.0
562.229342,1.0
562.470396,1.0
562.71145,1.0
562.952504,1.0
563.193558,1.0
563.434612,1.0
563.675666,1.0
563.91672,1.0
564.157774,1.0
564.398828,1.0
564.639882,1.0
564.880936,1.0
565.12199,1.0
565.363044,1.0
565.604098,1.0
565.845152,1.0
566.086206,1.0
566.32726,1.0
566.568314,1.0
566.809368,1.0
567.050422,1.0
567.291476,1.0
567.53253,1.0
567.773584,1.0
568.014638,1.0
568.255692,1.0
568.496746,1.0
568.7378,1.0
568.978854,1.0
569.219908,0.9936552137030219
569.460962,0.985222278319151
569.702016,0.988490744096528
569.94307,0.9837721142112575
570.184124,0.9907999815383569
570.425178,0.9830561887406022
570.666232,0.9698847781040522
570.907286,0.9679992175712984
571.14834,0.987361544636454
571.389394,0.9699604320672105
571.630448,0.9781072034255986
571.871502,0.9653823871672627
572.112556,0.9723290529199637
572.35361,0.9817221044845248
572.594664,0.9888595199164909
