nu,[0]Octanoicacid-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
659.709194,0.9716486607479627
659.827197,0.9921766628525464
659.945199,0.9565454253610188
660.063201,0.9530165588313791
660.181204,0.977773725730409
660.299206,0.9570266887375677
660.417208,0.9283467156229485
660.535211,0.9764165408085015
660.653213,0.997272227151781
660.771215,0.9676091924819512
660.889218,0.9939290034271999
661.00722,0.9625502561514366
661.125223,0.951695641132466
661.243225,0.9477305946247576
661.361227,0.9172180946986067
661.47923,0.9831200894696215
661.597232,0.9797880560929534
661.715234,0.9798684020076905
661.833237,0.9367938796232692
661.951239,0.987993658279811
662.069241,0.9455684480579452
662.187244,0.9401686546231831
662.305246,0.9890909401192591
662.423248,0.9298509262855085
662.541251,0.9896202453487468
662.659253,0.9817937728140144
662.777256,0.9876992800341807
662.895258,0.9335712437048186
663.01326,0.9989615395736114
663.131263,0.9230249623919259
663.249265,0.9628053657698483
663.367267,0.9675888729022655
663.48527,0.9329804801039591
663.603272,0.9655088605438069
663.721274,0.9703475234992106
663.839277,0.9540215678310903
663.957279,0.9643451587112403
664.075282,0.9581365256960968
664.193284,0.9881181533237774
664.311286,0.9907993870585464
664.429289,0.9112354161612117
664.547291,0.9362619317871302
664.665293,0.9110914523388997
664.783296,0.9999505382232741
664.901298,0.9998523209056311
665.0193,0.9555778910454917
665.137303,0.9482633689144894
665.255305,0.9906112521189219
665.373307,0.9950376533268573
665.49131,0.9916476761051006
665.609312,0.947825372423031
665.727315,1.0
665.845317,0.990784822414607
665.963319,1.0
666.081322,0.9746527746278064
666.199324,0.9571673820015136
666.317326,0.9809056513851804
666.435329,0.9590893868962
666.553331,0.9337019528283623
666.671333,0.9687148333805573
666.789336,0.9553581334036488
666.907338,0.9824517950546349
667.025341,0.9217658928287319
667.143343,0.9370430999400817
667.261345,0.9394130628134758
667.379348,1.0
667.49735,0.9537478029282654
667.615352,0.9748779454249712
667.733355,0.9754932875285509
667.851357,0.9819685476600751
667.969359,0.9429349318018023
668.087362,0.9998876463121484
668.205364,0.9393792445519469
668.323366,0.9723290529199637
668.441369,0.9716185401063518
668.559371,0.9832951004210597
668.677374,1.0
668.795376,1.0
668.913378,0.9477305946247576
669.031381,0.9703630491837917
669.149383,0.9774735952689928
669.267385,0.9593167180185683
669.385388,0.9815620968224725
669.50339,0.9773533734105706
669.621392,0.9965667072742803
669.739395,0.9794745740748017
669.857397,0.9810341584425404
669.9754,0.9492690610081821
670.093402,1.0
670.211404,0.9978673772781297
670.329407,0.9959218383789962
670.447409,0.9322688875047387
670.565411,1.0
670.683414,0.9948629400552074
670.801416,1.0
670.919418,1.0
671.037421,1.0
671.155423,0.9845259723415464
671.273425,0.941327656204056
671.391428,0.9964771199543068
671.50943,0.9554431640613299
671.627433,0.9937839003854793
671.745435,0.9835566917078704
671.863437,0.9926142099933772
671.98144,0.9887705265644593
672.099442,0.9944993840945163
672.217444,1.0
672.335447,0.9968561522714522
672.453449,0.9818693738451234
672.571451,0.9332781483526736
672.689454,0.972667482313679
672.807456,0.995360595439886
672.925459,1.0
673.043461,0.9827279028003667
673.161463,1.0
673.279466,1.0
673.397468,0.9980845368455294
673.51547,0.9961994404774079
673.633473,0.997679097468796
673.751475,0.9867683186303985
673.869477,0.9318503927333559
673.98748,0.9879531513702189
674.105482,1.0
674.223484,0.9649663970107119
674.341487,0.9956461057988866
674.459489,0.9726314942826161
674.577492,1.0
674.695494,1.0
674.813496,0.9563723063067756
674.931499,0.965060968351539
675.049501,0.9876558222219382
675.167503,0.9856726277973606
675.285506,1.0
675.403508,1.0
675.52151,1.0
675.639513,1.0
675.757515,0.9507197021469759
675.875518,1.0
675.99352,0.9317180793720587
676.111522,0.9863815812549732
676.229525,0.99770403975801
676.347527,0.9971214509900007
676.465529,0.9978295588211952
676.583532,1.0
676.701534,0.9416355206807333
676.819536,0.9958020361880855
676.937539,0.9659704840983869
677.055541,1.0
677.173543,0.9937451435691271
677.291546,0.9840574494959954
677.409548,0.9941646919336807
677.527551,1.0
677.645553,0.9928296306492416
677.763555,1.0
677.881558,1.0
677.99956,0.9937826084672485
678.117562,1.0
678.235565,1.0
678.353567,1.0
678.471569,1.0
678.589572,1.0
678.707574,1.0
678.825577,1.0
678.943579,1.0
679.061581,1.0
679.179584,0.9958488399836669
679.297586,1.0
679.415588,0.9339522184858206
679.533591,1.0
679.651593,0.9944623894055334
679.769595,0.994993773133911
679.887598,1.0
680.0056,0.9578682850243484
680.123602,1.0
680.241605,0.9320339853440028
680.359607,0.9876479210069653
680.47761,1.0
680.595612,0.98306405322157
680.713614,1.0
680.831617,1.0
680.949619,0.9528564654977121
681.067621,0.9866548467985113
681.185624,0.9714786371098341
681.303626,0.9866972738690991
681.421628,0.9965753774423488
681.539631,1.0
681.657633,1.0
681.775636,0.9511913760847074
681.893638,0.9659048003387414
682.01164,0.9096021253245524
682.129643,0.9937168222361162
682.247645,0.9875165725683361
682.365647,1.0
682.48365,0.9828124210342395
