nu,[0]Methanethiol-PNNL(x-sec)-X=0.01-T=278.14K-P=1.0atm-L=15cm
753.06929,0.9999572689129989
753.310344,0.9998542006297614
753.551398,0.9995934726546429
753.792452,0.9998674087909915
754.033506,0.9998776274881267
754.27456,0.9997965706945477
754.515614,0.9997919616429808
754.756668,0.9997043437149361
754.997722,0.9997311961342347
755.238776,0.9996569888417833
755.47983,0.999711031759367
755.720884,0.9992894125868996
755.961938,0.9994553183929136
756.202992,0.9993645819635992
756.444046,0.9994407664294164
756.6851,0.9996035885917728
756.926154,0.9998053789411359
757.167208,0.9998103679824244
757.408262,0.999729866492628
757.649316,0.9997556698534731
757.89037,0.9997100720372372
758.131424,0.9995900540508122
758.372478,0.999536997218884
758.613532,0.9998523808967722
758.854586,0.9996838099985982
759.09564,0.9995834267907233
759.336694,0.9997708862505648
759.577748,0.9996191225522381
759.818802,0.9997620683102352
760.059856,0.9994784460565672
760.30091,0.9994761272692622
760.541964,0.999925569770067
760.783018,0.999765307544584
761.024072,0.9992976367726077
761.265126,0.9996178330444017
761.50618,0.9995915534370179
761.747234,0.999291820877286
761.988288,0.9996915075935708
762.229342,0.9994202880979134
762.470396,0.9996000500013325
762.71145,0.9999054614690486
762.952504,0.9995673036400827
763.193558,0.9994695907167644
763.434612,0.999524932880136
763.675666,0.9996633666737174
763.91672,0.999403757823054
764.157774,0.9995528300103154
764.398828,0.9995487718340637
764.639882,0.9997532904378104
764.880936,0.9994935183051782
765.12199,0.9993426361583452
765.363044,0.9995946021959052
765.604098,0.9997550200124988
765.845152,0.9994406764797514
766.086206,0.9994584466929559
766.32726,0.9994812545949466
766.568314,0.9995048626209899
766.809368,0.9998617095630041
767.050422,0.9994537592438331
767.291476,0.9993271464675301
767.53253,0.9995630055099181
767.773584,0.9992782805648489
768.014638,0.999369718710752
768.255692,0.9992753027200098
768.496746,0.9994223768884983
768.7378,0.9994912494574668
768.978854,0.9995643949034614
769.219908,0.9995793684902489
769.460962,0.9993060409010722
