nu,[0]o-Toluidine-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
607.646153,0.8915622660311335
607.781156,0.8905019379548894
607.916158,0.8911165963248293
608.051161,0.8902348274420832
608.186164,0.8905464641649331
608.321166,0.891847611609121
608.456169,0.8902793402962673
608.591172,0.8894962390918727
608.726175,0.892829183747592
608.861177,0.8888204787716112
608.99618,0.8904128922134552
609.131183,0.8898877035529389
609.266185,0.8898610073222778
609.401188,0.8892472150099254
609.536191,0.8891849698834795
609.671193,0.8903238553761499
609.806196,0.8894250822390574
609.941199,0.889914400584499
610.076202,0.8893272508608355
610.211204,0.8887582635156566
610.346207,0.8897453329103256
610.48121,0.8908225763640039
610.616212,0.8902704375473782
610.751215,0.8893183576327932
610.886218,0.889567401637464
611.02122,0.8886782788713031
611.156223,0.8914374560507916
611.291226,0.8885005609879095
611.426229,0.8886516189228382
611.561231,0.8883317619177413
611.696234,0.889896602474469
611.831237,0.8894517653917698
611.966239,0.8880386608006527
612.101242,0.8885183311768307
612.236245,0.8886160735689931
612.371247,0.8866810005245844
612.50625,0.8886960526146174
612.641253,0.8876568862639164
612.776256,0.8872752758549407
612.911258,0.8878699494831833
613.046261,0.8859542201248422
613.181264,0.8853873908286848
613.316266,0.8788245526718945
613.451269,0.8838923498036826
613.586272,0.8850067560929615
613.721274,0.8850510075370431
613.856277,0.8883584122703522
613.99128,0.8879232232783502
614.126283,0.8870357438687332
614.261285,0.8895229243793228
614.396288,0.8875592493765545
614.531291,0.8888204787716112
614.666293,0.8880741830575252
614.801296,0.8870889676100616
614.936299,0.886610068881846
615.071301,0.8869647838476624
615.206304,0.8872930215379141
615.341307,0.8879942599776425
615.47631,0.8857859048134793
615.611312,0.8865480083491682
615.746315,0.8844493774293374
615.881318,0.8888649209065939
616.01632,0.8865214123078604
616.151323,0.8830795427904193
616.286326,0.8878166788843482
616.421328,0.8824704280746375
616.556331,0.8850598580913711
616.691334,0.885413952848838
616.826337,0.8831943505933276
616.961339,0.8835830416133421
617.096342,0.8848740150353758
617.231345,0.8852634452703603
617.366347,0.8848474692131141
617.50135,0.8808834100488212
617.636353,0.8782359374297296
617.771355,0.8757803162788765
617.906358,0.8805135166996415
618.041361,0.8837862890854765
618.176364,0.8821439744139014
618.311366,0.8843432498718267
618.446369,0.8820822264968947
618.581372,0.8816677452611615
618.716374,0.8846174387763713
618.851377,0.8817823695184608
618.98638,0.8843344064835449
619.121382,0.8839453849357088
619.256385,0.8817559164441733
619.391388,0.8821969046402571
619.526391,0.8808834100488212
619.661393,0.8824704280746375
619.796396,0.8809450740457394
619.931399,0.8808217503682318
620.066401,0.880892218926966
620.201404,0.8795894627203434
620.336407,0.8792640748196107
620.471409,0.8795806668696956
620.606412,0.8752112440418084
620.741415,0.8773055005547178
620.876418,0.8788069763566049
621.01142,0.8772704090365306
621.146423,0.877665269557551
621.281426,0.8764198693182179
621.416428,0.8765864049137689
621.551431,0.8762183159278032
621.686434,0.874878726951321
621.821436,0.8756839857423625
621.956439,0.8751762362922063
622.091442,0.8769371096119981
622.226445,0.8765250460130116
622.361447,0.8745813187464174
622.49645,0.8754738468034656
622.631453,0.8737858117569349
622.766455,0.8738994112962735
622.901458,0.871604075534142
623.036461,0.8714820595048886
623.171463,0.8726593547807295
623.306466,0.8725022902331024
623.441469,0.8726593547807295
623.576472,0.8717784137824924
623.711474,0.8700714015099773
623.846477,0.8702019220089966
623.98148,0.8691930730250024
624.116482,0.8672309147539721
624.251485,0.8677774423683892
624.386488,0.8669794542522284
624.52149,0.8673002960023654
624.656493,0.8675692007722119
624.791496,0.8654202948989654
624.926499,0.8673176421817466
625.061501,0.8649876929110255
625.196504,0.8651001486205666
625.331507,0.8651693594008506
625.466509,0.8638553009120129
625.601512,0.8639244121004965
625.736515,0.8628020400646566
625.871517,0.8631213358855647
626.00652,0.8613623631225881
626.141523,0.8616725093962919
626.276526,0.8594866384537193
626.411528,0.859735925723778
626.546531,0.8595725914151412
626.681534,0.8599164892266843
626.816536,0.8572463032365957
626.951539,0.8572034419929738
627.086542,0.8563723577952405
627.221544,0.8567149752572828
627.356547,0.8549348600703328
627.49155,0.855507858359572
627.626553,0.8558244548339009
627.761555,0.8527063895046844
627.896558,0.8516837555403733
628.031561,0.8520330174739488
628.166563,0.8498206090058483
628.301566,0.8503901795987241
628.436569,0.8497186366512313
628.571571,0.847300386180549
628.706574,0.8480717804631392
628.841577,0.8469530642280806
