nu,[0]2-Butanone-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
616.991524,0.9959205436814478
617.110726,0.9967886673943324
617.229928,0.9965817555451744
617.34913,0.9959234318552124
617.468332,0.9959936469322105
617.587534,0.9965119972638545
617.706736,0.9981287529698917
617.825938,0.9962268363387125
617.94514,0.9966579969656707
618.064342,0.9963005598523379
618.183544,0.9957587197416508
618.302746,0.9972067085187678
618.421948,0.9967764069691252
618.54115,0.9967601596461076
618.660352,0.997053349920576
618.779554,0.9966321838578305
618.898756,0.9972098995853408
619.017958,0.9970056919094854
619.13716,0.9964725361700977
619.256362,0.9975978896954633
619.375564,0.9968545573028846
619.494766,0.997537736356356
619.613968,0.9974607294156155
619.73317,0.9976055712287878
619.852372,0.9978118973943081
619.971574,0.9977117221086932
620.090776,0.9977307785845743
620.209978,0.9978943200610422
620.32918,0.9981438248278538
620.448382,0.9974944441580457
620.567584,0.9973850250192711
620.686786,0.9976869791647986
620.805988,0.9976294142868636
620.92519,0.9972220656203283
621.044392,0.997501825644244
621.163594,0.9980741568203225
621.282796,0.998015272182184
621.401998,0.9981710745262282
621.5212,0.998250931406423
621.640402,0.9980311407511665
621.759604,0.9984978293894371
621.878806,0.9984645799653243
621.998008,0.9977822628210311
622.11721,0.998841671381098
622.236412,0.9973246850505598
622.355614,0.9978443268079485
622.474816,0.9983852051864064
622.594018,0.9982366565201696
622.71322,0.9985097115843057
622.832422,0.9982027170508221
622.951624,0.9982250770421149
623.070826,0.9975437216007299
623.190028,0.9985478553838302
623.30923,0.9980626790335165
623.428432,0.9988241918047956
623.547634,0.9979497047327159
623.666836,0.9987729534380314
623.786038,0.9994756175365672
623.90524,0.9981350412008433
624.024442,0.9972895798395014
624.143644,0.9985698236782989
624.262846,0.998641723293959
624.382048,0.9986991468439596
624.50125,0.9981158771920273
624.620452,0.9985172004352257
624.739654,0.9997004548726028
624.858856,0.9982786831680638
624.978058,0.9984390195992513
625.09726,0.998526087277856
625.216462,0.9990590829403251
625.335664,0.9991169601093959
625.454866,0.9987088342726679
625.574068,0.9985694242504494
625.69327,0.9986395262845844
625.812472,0.9986557043759524
625.931674,0.9986859641022275
626.050876,0.9985382693704314
626.170078,0.9988293857040972
626.28928,0.9987089341435563
626.408482,0.9991629804964199
626.527684,0.9985296819782407
626.646886,0.9990870370045414
626.766088,1.00000603491821
626.88529,0.9990038464906551
627.004492,0.9994048771558897
627.123694,0.9983462689226662
627.242896,0.9996769421944144
627.362098,0.9989823181897315
627.4813,0.9994348897349873
627.600502,0.9982523289587052
627.719704,0.9995054223438696
627.838906,0.9990586233732527
627.958108,0.998483950366068
628.07731,0.9990080922660249
628.196512,0.9988512603071701
628.315714,0.9990565153617813
628.434916,0.9991905377914353
628.554118,0.9992017887402336
628.67332,0.9992800193105698
628.792522,0.9996569688486437
628.911724,0.9991072687218862
629.030926,0.9985101109882702
629.150128,0.9993229692887882
629.26933,0.9993373896232775
629.388532,0.9996640464450378
629.507734,0.9994132422097192
629.626936,0.9989371652094143
629.746138,0.9991538481885128
629.86534,0.9993596551083549
629.984542,0.9993431358297882
630.103744,0.999684689720738
630.222946,0.9994353594694958
630.342148,0.9991886493231035
630.46135,0.9993903459146182
630.580552,0.9991889290959645
630.699754,0.9991649788243793
630.818956,0.9993468433996996
630.938158,0.999505192457649
631.05736,0.9995152775159198
631.176562,0.9992146685343005
631.295764,0.9991970925028627
631.414966,0.9996751827645444
631.534168,0.9990796437878224
631.65337,0.9993029130780593
631.772572,0.9998710083201422
631.891774,0.9996072971279658
632.010976,0.9995528999790159
632.130178,0.9999683135020276
632.24938,0.9992455347521378
632.368582,0.9992863447731121
632.487784,0.9993777336880361
632.606986,0.9994597959627698
632.726188,1.0002179437462881
632.84539,0.9993795125819852
632.964592,0.999650091232357
633.083794,0.9991555867177212
633.202996,0.9993887768730068
