nu,[0]o-Xylene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
618.644373,1.0017941074884558
618.762375,1.0009496406233924
618.880378,1.0010219218066227
618.99838,1.0003097679681914
619.116382,1.0013787496024906
619.234385,1.001931963841946
619.352387,1.0009423437271097
619.470389,1.0013722406617724
619.588392,1.0007208496873463
619.706394,0.9991795867231531
619.824396,1.0015941693390922
619.942399,0.9990771760641499
620.060401,1.0014487484235182
620.178404,1.0006516322200871
620.296406,1.0020392765017636
620.414408,0.999172552523623
620.532411,1.0012200436484577
620.650413,1.0010340342451567
620.768415,1.0007583574076828
620.886418,1.000839672327596
621.00442,1.001138147198498
621.122422,1.0008879039535374
621.240425,1.000951071982402
621.358427,1.0012223464572065
621.47643,1.000940762239456
621.594432,1.0009593899203713
621.712434,1.0009120656791697
621.830437,1.0004561339974885
621.948439,0.9996280391945793
622.066441,1.0015632205574208
622.184444,0.9993477827861739
622.302446,1.001022122011027
622.420448,1.0016980400400555
622.538451,1.0005262584254022
622.656453,0.9999222220248636
622.774455,1.0009294516727474
622.892458,1.0010708729754454
623.01046,1.000126848044533
623.128463,1.0015961725294342
623.246465,0.999841322590592
623.364467,1.0017907013942808
623.48247,1.0007525930561456
623.600472,1.0008286531434645
623.718474,1.0010416421327268
623.836477,1.0022150496057127
623.954479,1.0006210027424114
624.072481,1.00106506678122
624.190484,1.0005339224858951
624.308486,1.001516949405503
624.426489,1.0010348350727043
624.544491,1.0012202438924866
624.662493,1.0004533427287685
624.780496,1.0013972752807203
624.898498,1.0013133617050798
625.0165,1.0003284739357525
625.134503,1.0009935632572786
625.252505,1.0007667938361953
625.370507,1.0015301695164875
625.48851,0.9998979652059037
625.606512,1.0025935574662306
625.724514,1.0003373368852944
625.842517,1.0007846376672067
625.960519,1.0000808222659434
626.078522,1.001248678951189
626.196524,1.0008727906602932
626.314526,1.0006131278861075
626.432529,1.0008543647618282
626.550531,1.000848960162851
626.668533,1.0001529416943886
626.786536,1.0008455772990825
626.904538,1.000523266856362
627.02254,1.0002882215278452
627.140543,1.0006888171256316
627.258545,1.000031343491197
627.376548,1.001008408101896
627.49455,1.000952623457766
627.612552,1.0012841237817938
627.730555,1.0001363392933567
627.848557,1.0017056529740889
627.966559,1.000054742498316
628.084562,1.0024545073831561
628.202564,0.9999873860795562
628.320566,1.0006181109518921
628.438569,1.0016003792421928
628.556571,1.0010369372480652
628.674573,1.0004482504342138
628.792576,1.0011741888205423
628.910578,1.0003776913074076
629.028581,1.0008037628443731
629.146583,1.0009377894498066
629.264585,1.000334635978131
629.382588,1.0011500608133355
629.50059,1.0001429302135498
629.618592,1.0007101920670491
629.736595,1.0009289211802785
629.854597,1.0021363788121878
629.972599,1.0009933930883874
630.090602,1.0011499606983343
630.208604,1.0010437443223825
630.326607,1.0010093090098686
630.444609,1.000891306978196
630.562611,1.0003776512923008
630.680614,1.000540936253275
630.798616,1.0012798182693183
630.916618,1.0021545176448001
631.034621,1.0014150001693576
631.152623,1.0018642355304328
631.270625,1.001352113282016
631.388628,1.0006894375528907
631.50663,0.9998605097296726
631.624632,1.0013034487518682
631.742635,0.9998657890071012
631.860637,1.0007004351902413
631.97864,1.0009127462996057
632.096642,1.0008053741397283
632.214644,1.0007536538544564
632.332647,1.0020243462277747
632.450649,1.001234861814758
632.568651,1.000062397946671
632.686654,1.0009383099375924
632.804656,1.0011300380123478
632.922658,1.0011206274342201
633.040661,1.0008465381112979
633.158663,1.0011418514164954
633.276666,0.9998513510493503
633.394668,1.001084187306596
633.51267,1.0003921968890968
633.630673,1.0012046249785096
633.748675,1.0008106684141609
633.866677,1.0008472787380103
633.98468,1.0004779041598229
634.102682,1.0026777788623067
634.220684,1.0003430388243653
634.338687,1.0010637653974792
634.456689,1.0008050338659589
634.574691,1.001035335590247
634.692694,1.0009648852025064
634.810696,1.0012796180133747
634.928699,1.0021574238971154
635.046701,1.0010834865479101
635.164703,1.0006645206961118
635.282706,1.0002017403468473
635.400708,1.0012164392627885
635.51871,1.0006371428893557
635.636713,1.0012756129029128
635.754715,1.0004070528235256
635.872717,1.0017337011250445
635.99072,1.0010652669942535
636.108722,1.0004158964609615
636.226725,1.0006725060308483
636.344727,1.0013172668348054
636.462729,1.0008422945309727
636.580732,0.9991280803430459
636.698734,1.0018271672394858
636.816736,1.0010007003668284
636.934739,1.0021196432744037
637.052741,0.9997158303838362
637.170743,1.001003002671087
637.288746,1.0009232459293849
637.406748,1.0013274803230159
637.52475,1.0008305447114065
637.642753,1.0005180241281797
637.760755,1.001226351354602
637.878758,1.000662219170361
637.99676,1.000866465164245
638.114762,1.000843685702729
638.232765,1.0013663325829814
638.350767,1.0015588136889455
638.468769,0.9998662489454699
638.586772,1.0003130689958724
638.704774,1.0011531643833345
638.822776,1.0001118262520892
638.940779,1.0009159992713172
639.058781,1.0008909266395716
639.176784,1.0010046042771725
639.294786,1.0001216874033114
639.412788,1.0009757957792176
639.530791,0.9999440685642211
639.648793,1.0009885282723183
639.766795,1.000580698540153
639.884798,1.0001674340155104
640.0028,0.9996493914775382
640.120802,0.9999551890040427
640.238805,1.0002628345349451
640.356807,1.0000744557716934
640.474809,1.000622703799562
640.592812,1.0001706445581264
640.710814,1.0009499008703329
640.828817,1.0007565760593922
640.946819,1.0008699882204029
641.064821,0.9999750933101768
641.182824,1.0006506816014882
641.300826,1.0006327701145956
641.418828,1.0005242073486749
641.536831,1.0005809386795494
641.654833,1.001361425899973
641.772835,1.001081684599256
641.890838,1.0002990647109367
642.00884,1.0006876663341537
642.126843,1.0005398556696474
642.244845,0.9996807009867835
642.362847,1.0004374556558295
642.48085,1.0010705726542284
642.598852,1.0007808747240434
642.716854,1.0015818498065747
642.834857,1.000680821653925
642.952859,1.0010821851402236
643.070861,0.999686489154799
643.188864,1.0001929286083306
643.306866,1.0005750452751767
643.424868,1.001566325408217
643.542871,1.000768234941416
643.660873,1.0005208756086117
643.778876,1.0010117114350932
643.896878,1.0006033019134373
644.01488,1.0011551666916656
644.132883,1.000922515255682
644.250885,1.0009924921947388
644.368887,1.0009884181635864
644.48689,1.0007648523504986
644.604892,1.0009754053987334
644.722894,1.001688624122734
644.840897,1.0010239238524683
644.958899,1.0013610253554828
645.076902,1.000466008548262
645.194904,1.0021178394606691
645.312906,1.000642676428056
645.430909,1.0007916732079394
645.548911,1.0013463054566016
645.666913,1.000420158241758
645.784916,1.0001232775980586
645.902918,1.0009374291122672
646.02092,1.0006801912252057
646.138923,1.0004942721122243
646.256925,1.0004536628738894
646.374927,1.0001130063847405
646.49293,1.0012956386154273
646.610932,1.0002363979375897
646.728935,1.0004725816315305
646.846937,1.000091734207325
646.964939,1.000232376995352
647.082942,1.0007890711529717
647.200944,1.0014971195662208
647.318946,1.0001426501735684
647.436949,0.9997468020600102
647.554951,1.0005212157857672
647.672953,1.0012009205282506
647.790956,1.000827312033968
647.908958,1.00173850945835
648.026961,1.0003679476761458
648.144963,0.9992228821126337
648.262965,1.001022122011027
648.380968,1.000724742499023
648.49897,1.0007655328708296
648.616972,1.0004687698382562
648.734975,1.001467275396738
648.852977,1.0005363037594643
648.970979,1.0009221549236413
649.088982,0.9999193032561574
649.206984,1.0010109106260443
649.324986,1.0000344895947524
649.442989,1.0000926632929776
649.560991,1.000798098311106
649.678994,1.0010892928489703
649.796996,1.0009401716845803
649.914998,1.00030643694221
650.033001,1.0007262936235761
650.151003,0.999725587657956
650.269005,1.000270286520821
650.387008,0.9999886900639579
650.50501,1.0011409503892346
650.623012,1.001456259317297
650.741015,1.0011067119542116
650.859017,1.0001819865575448
650.97702,1.0012311572526227
651.095022,1.0002309766710045
651.213024,1.0008090671183725
651.331027,1.0012081292008295
651.449029,1.0013996786370651
651.567031,1.0006073343528694
651.685034,1.0002411990838225
651.803036,1.0003293342186101
651.921038,1.0013485084208968
652.039041,1.0009042485864625
652.157043,0.9995668638305659
652.275046,1.0009561468172017
652.393048,1.000331044783234
652.51105,1.0008189251362343
652.629053,1.0002958537560924
652.747055,1.0003575339000144
652.865057,1.0007263036308391
652.98306,1.000482196219238
653.101062,1.0005716633372392
653.219064,1.0004980639927012
653.337067,1.0009816114654857
653.455069,0.9997673870585865
653.573071,1.0011478582856244
653.691074,1.0000770819706624
653.809076,1.0008175039743696
653.927079,1.0001601228182901
654.045081,1.001700043438139
654.163083,0.9996448430831545
654.281086,1.0007119633256567
654.399088,1.0006462987611011
654.51709,1.0002775685150134
654.635093,1.0001426801778486
654.753095,1.0007452075292615
654.871097,1.000121507381424
654.9891,1.00112403125014
655.107102,0.9998502312164642
655.225105,1.0008243996307273
655.343107,1.0007161363032444
655.461109,1.0008270418106302
655.579112,1.0006135681559807
655.697114,0.9997749553263523
655.815116,1.0005830799250495
655.933119,1.0008166032390213
656.051121,1.0000069857244
656.169123,1.0005651996651719
656.287126,1.0006979334422805
656.405128,0.9997375844369886
656.52313,1.0008823290234385
656.641133,0.9999678285175132
656.759135,1.0001162867607813
656.877138,1.0005510217567433
656.99514,0.9999113509295611
657.113142,1.0002243351593691
657.231145,1.0004111144844052
657.349147,1.000430212514871
657.467149,0.9996476920750171
657.585152,1.0002760981080685
657.703154,1.0001185770297003
657.821156,1.000674737533025
657.939159,1.0006299983656615
658.057161,1.0007145651801437
658.175164,1.0004100340409852
658.293166,1.0002629345612337
658.411168,0.9997778346823699
658.529171,1.0003669873233771
658.647173,1.0007590779539597
658.765175,1.0001999199813365
658.883178,0.9998648791296472
659.00118,1.000787269734265
659.119182,0.9997024342814631
659.237185,1.0000351856189993
659.355187,0.9998731880413163
659.473189,0.9997793943370086
659.591192,1.00066374017809
659.709194,0.9996729734848318
659.827197,1.0006751878367581
659.945199,1.0003613352658658
660.063201,1.0002594036393067
660.181204,0.9995930428295421
660.299206,1.0003798721331518
660.417208,0.9999653785993345
660.535211,1.0003529322659421
660.653213,0.9991945645374165
660.771215,1.0004864582824722
