nu,[0]Hexachloro-1-3-butadiene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
564.149083,0.9018744132890186
564.268485,0.906476656826184
564.387888,0.9152326351098173
564.50729,0.9092738182203081
564.626693,0.9060280619174547
564.746095,0.917638276800335
564.865497,0.9071513264048248
564.9849,0.9057608230588587
565.104302,0.9064603403932094
565.223704,0.9118096753460428
565.343107,0.9092510866589982
565.462509,0.9162738464324036
565.581912,0.9122118720907344
565.701314,0.911085074721055
565.820716,0.9230351157223554
565.940119,0.9262852929942863
566.059521,0.9320050927382949
566.178924,0.9265391299386401
566.298326,0.9235290716306904
566.417728,0.927446655908328
566.537131,0.9276108284952691
566.656533,0.9461066296030195
566.775936,0.9335740444227507
566.895338,0.9350652182378254
567.01474,0.947397052162367
567.134143,0.9425983641120562
567.253545,0.9428189579377295
567.372947,0.9430980736563676
567.49235,0.9431207082817497
567.611752,0.9528145407355817
567.731155,0.9466347044215103
567.850557,0.952228739945236
567.969959,0.9531843045069199
568.089362,0.9515471881920796
568.208764,0.9572688471215621
568.328167,0.9560204260479934
568.447569,0.9622413271049767
568.566971,0.9535980762770553
568.686374,0.9645081468151693
568.805776,0.9615920333704691
568.925179,0.9611795988616807
569.044581,0.9582256365365763
569.163983,0.9616891590706048
569.283386,0.9652317992610266
569.402788,0.9656102442967178
569.52219,0.9703795454958462
569.641593,0.9736172691970209
569.760995,0.9676701537813384
569.880398,0.971296016292952
569.9998,0.9652009123376437
570.119202,0.9746849387000733
570.238605,0.9765415301248705
570.358007,0.9785817004754935
570.47741,0.9802074951345132
570.596812,0.978527879962045
570.716214,0.9836314448570239
570.835617,0.9803182648398339
570.955019,0.9776906184958294
571.074421,0.9804868940830855
571.193824,0.9751821547981382
571.313226,0.979338436570781
571.432629,0.9883612602904259
571.552031,0.9882555112932471
571.671433,0.9879314166399716
571.790836,0.9887161456809863
571.910238,0.9958232469973506
572.029641,0.9903691763117726
572.149043,0.9872391193954408
572.268445,0.9963849500836333
572.387848,0.985746556016719
572.50725,0.9922662604504726
572.626653,0.9843054632216853
572.746055,0.990990530695521
572.865457,0.9846559383474631
572.98486,0.9907031851087432
573.104262,0.9886054156736662
573.223664,0.9906876311908356
573.343067,0.9926866734755916
573.462469,0.9900666647394049
573.581872,0.9904284021593512
573.701274,0.9861350166815154
573.820676,0.9888456759801199
573.940079,0.9841499552439501
574.059481,0.9901504279223744
574.178884,0.9873437722886022
574.298286,0.9903417434655354
574.417688,0.9884838246855374
574.537091,0.9810174810036054
574.656493,0.987771384713412
574.775896,0.9843950390944789
574.895298,0.9881319870747599
575.0147,0.9834593244151518
575.134103,0.9882723117797428
575.253505,0.9811312856319427
575.372907,0.9855819500868419
575.49231,0.9843881483533229
575.611712,0.9883998071312358
575.731115,0.9833737671757216
575.850517,0.9825382546167646
575.969919,0.9852538059364964
576.089322,0.9817486113391868
576.208724,0.9815974336940181
576.328127,0.9819999711563735
576.447529,0.9799683536821441
576.566931,0.9766645821097786
576.686334,0.9770406703662348
576.805736,0.9786687981226236
576.925139,0.9775557064996189
577.044541,0.9747375731078793
577.163943,0.979337457232834
577.283346,0.9798928990239522
577.402748,0.9737438476694389
577.52215,0.9740097160292326
577.641553,0.9769722799130028
577.760955,0.9763237856430648
577.880358,0.9717808139520386
577.99976,0.9772527111973023
578.119162,0.9787696062003572
578.238565,0.9799634538526252
578.357967,0.9753294184216366
578.47737,0.9759030807598675
578.596772,0.9754620722427972
578.716174,0.9761910146368504
578.835577,0.9738451222957859
578.954979,0.9799654137814928
579.074381,0.9752084850717749
579.193784,0.9740632880368308
579.313186,0.9714970953792922
579.432589,0.9688843733107101
579.551991,0.975833794100839
579.671393,0.9696258534362798
579.790796,0.9734147778648565
579.910198,0.9711114875806393
580.029601,0.9743214490129792
580.149003,0.9690956131283954
580.268405,0.9671738663010712
580.387808,0.9709881642529136
580.50721,0.967932427929555
580.626613,0.9740058199981605
580.746015,0.9675250141440161
580.865417,0.9710240914796405
580.98482,0.9703397607500737
581.104222,0.9732055161840524
581.223624,0.9696801540044739
581.343027,0.973528674056664
581.462429,0.9661405098654168
581.581832,0.9688155849622203
581.701234,0.9688863110813946
581.820636,0.9668363815162525
581.940039,0.9703446124610067
582.059441,0.9687371140779522
582.178844,0.9706629376963786
582.298246,0.9695531342242766
582.417648,0.9694416420247651
582.537051,0.9667870741181446
582.656453,0.9744023210493904
582.775856,0.9665183446666642
582.895258,0.9694077121610704
583.01466,0.9696074307200808
583.134063,0.9712746480156456
583.253465,0.9675724240312419
583.372867,0.9698644107375701
583.49227,0.9754649986334035
583.611672,0.9677282157324063
583.731075,0.9725079779262968
583.850477,0.9704222431351891
583.969879,0.9732064893900552
584.089282,0.9646046024525523
584.208684,0.9702194460794044
584.328087,0.9675550078843551
584.447489,0.9668276800279757
584.566891,0.9656836334640374
584.686294,0.9695637993674112
584.805696,0.9689289430169777
584.925099,0.9727773999494099
585.044501,0.9720130973233303
585.163903,0.9691741130522628
585.283306,0.969942972936566
585.402708,0.9662158717642622
585.52211,0.9711377079447772
585.641513,0.9659859397497773
585.760915,0.9710619621576816
585.880318,0.9673905375133924
585.99972,0.9695046577794866
586.119122,0.9699720716622328
586.238525,0.9668189786180118
586.357927,0.9702252674135449
586.47733,0.9682819146145888
586.596732,0.9679827617244747
586.716134,0.9659270164046329
586.835537,0.9691692671938122
586.954939,0.966556039617153
587.074341,0.9698294962472481
587.193744,0.9669968896773931
587.313146,0.9667126343794042
587.432549,0.9655619649914957
587.551951,0.9653235006377029
587.671353,0.9669814178509332
587.790756,0.9673450712265954
587.910158,0.9651227342300005
588.029561,0.9648419243741552
588.148963,0.9648930623512915
588.268365,0.965634384854581
588.387768,0.9659115616960084
588.50717,0.961644922386739
588.626573,0.9671670961077028
588.745975,0.9656594916749744
588.865377,0.9678191864602425
588.98478,0.9642390865778563
589.104182,0.9661936490547737
589.223584,0.9683806844070533
589.342987,0.9606587806735765
589.462389,0.9689095646319019
589.581792,0.9636645713048136
589.701194,0.9656826677808868
589.820596,0.9622422893467849
589.939999,0.9677814422479875
