nu,[0]HFC-236cb-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
386.237111,1.0
386.357639,1.0
386.478168,1.0
386.598696,1.0
386.719225,1.0
386.839754,1.0
386.960282,1.0
387.080811,1.0
387.201339,1.0
387.321868,1.0
387.442396,1.0
387.562925,1.0
387.683453,1.0
387.803982,1.0
387.92451,1.0
388.045039,1.0
388.165568,1.0
388.286096,1.0
388.406625,1.0
388.527153,1.0
388.647682,1.0
388.76821,1.0
388.888739,1.0
389.009267,1.0
389.129796,1.0
389.250325,1.0
389.370853,1.0
389.491382,1.0
389.61191,1.0
389.732439,1.0
389.852967,1.0
389.973496,1.0
390.094024,1.0
390.214553,1.0
390.335081,1.0
390.45561,1.0
390.576139,1.0
390.696667,1.0
390.817196,1.0
390.937724,1.0
391.058253,1.0
391.178781,1.0
391.29931,1.0
391.419838,1.0
391.540367,1.0
391.660895,1.0
391.781424,1.0
391.901953,1.0
392.022481,1.0
392.14301,1.0
392.263538,1.0
392.384067,1.0
392.504595,1.0
392.625124,1.0
392.745652,1.0
392.866181,1.0
392.986709,1.0
393.107238,1.0
393.227767,1.0
393.348295,1.0
393.468824,1.0
393.589352,1.0
393.709881,1.0
393.830409,1.0
393.950938,1.0
394.071466,1.0
394.191995,1.0
394.312523,1.0
394.433052,1.0
394.553581,1.0
394.674109,1.0
394.794638,1.0
394.915166,1.0
395.035695,1.0
395.156223,1.0
395.276752,1.0
395.39728,1.0
395.517809,1.0
395.638337,1.0
395.758866,1.0
395.879395,1.0
395.999923,1.0
396.120452,1.0
396.24098,1.0
396.361509,1.0
396.482037,1.0
396.602566,1.0
396.723094,1.0
396.843623,1.0
396.964151,1.0
397.08468,1.0
397.205209,1.0
397.325737,1.0
397.446266,1.0
397.566794,1.0
397.687323,1.0
397.807851,1.0
397.92838,1.0
398.048908,1.0
398.169437,1.0
398.289966,1.0
398.410494,1.0
398.531023,1.0
398.651551,1.0
398.77208,1.0
398.892608,1.0
399.013137,1.0
399.133665,1.0
399.254194,1.0
399.374722,1.0
399.495251,1.0
399.61578,1.0
399.736308,1.0
399.856837,1.0
399.977365,1.0
400.097894,1.0
400.218422,1.0
400.338951,1.0
400.459479,1.0
400.580008,1.0
400.700536,1.0
400.821065,1.0
400.941594,1.0
401.062122,1.0
401.182651,1.0
401.303179,1.0
401.423708,1.0
401.544236,1.0
401.664765,1.0
401.785293,1.0
401.905822,1.0
402.02635,1.0
402.146879,1.0
402.267408,1.0
402.387936,1.0
402.508465,1.0
402.628993,1.0
402.749522,1.0
402.87005,1.0
402.990579,1.0
403.111107,1.0
403.231636,1.0
403.352164,1.0
403.472693,1.0
403.593222,1.0
403.71375,1.0
403.834279,1.0
403.954807,1.0
404.075336,1.0
404.195864,1.0
404.316393,1.0
404.436921,1.0
404.55745,1.0
404.677978,1.0
404.798507,1.0
404.919036,1.0
405.039564,1.0
405.160093,1.0
405.280621,1.0
405.40115,1.0
405.521678,1.0
405.642207,1.0
405.762735,1.0
405.883264,1.0
406.003792,1.0
406.124321,1.0
406.24485,1.0
406.365378,1.0
406.485907,1.0
406.606435,1.0
406.726964,1.0
406.847492,1.0
406.968021,1.0
407.088549,1.0
407.209078,1.0
407.329607,1.0
407.450135,1.0
407.570664,1.0
407.691192,1.0
407.811721,1.0
407.932249,1.0
408.052778,1.0
408.173306,1.0
408.293835,1.0
408.414363,1.0
408.534892,1.0
408.655421,1.0
408.775949,1.0
408.896478,1.0
409.017006,1.0
409.137535,1.0
409.258063,1.0
409.378592,1.0
409.49912,1.0
409.619649,1.0
409.740177,1.0
409.860706,1.0
409.981235,1.0
410.101763,1.0
410.222292,1.0
410.34282,1.0
410.463349,1.0
410.583877,1.0
410.704406,1.0
410.824934,1.0
410.945463,1.0
411.065991,1.0
411.18652,1.0
411.307049,1.0
411.427577,1.0
411.548106,1.0
411.668634,1.0
411.789163,1.0
411.909691,1.0
412.03022,1.0
412.150748,1.0
412.271277,1.0
412.391805,1.0
412.512334,1.0
412.632863,1.0
412.753391,1.0
412.87392,1.0
412.994448,1.0
413.114977,1.0
413.235505,1.0
413.356034,1.0
413.476562,1.0
413.597091,1.0
413.717619,1.0
413.838148,1.0
413.958677,1.0
414.079205,1.0
414.199734,1.0
414.320262,1.0
414.440791,1.0
414.561319,1.0
414.681848,1.0
414.802376,1.0
414.922905,1.0
415.043433,1.0
415.163962,1.0
415.284491,1.0
415.405019,1.0
415.525548,1.0
415.646076,1.0
415.766605,1.0
415.887133,1.0
416.007662,1.0
416.12819,1.0
416.248719,1.0
416.369247,1.0
416.489776,1.0
416.610305,1.0
416.730833,1.0
416.851362,1.0
416.97189,1.0
417.092419,1.0
417.212947,1.0
417.333476,1.0
417.454004,1.0
417.574533,1.0
417.695062,1.0
417.81559,1.0
417.936119,1.0
418.056647,1.0
418.177176,1.0
418.297704,1.0
418.418233,1.0
418.538761,1.0
418.65929,1.0
418.779818,1.0
418.900347,1.0
419.020876,1.0
419.141404,1.0
419.261933,1.0
419.382461,1.0
419.50299,1.0
419.623518,1.0
419.744047,1.0
419.864575,1.0
419.985104,1.0
420.105632,1.0
420.226161,1.0
420.34669,1.0
420.467218,1.0
420.587747,1.0
420.708275,1.0
