nu,[0]E-C10F18-HITRAN(x-sec)-X=0.01-T=300.0K-P=0.0atm-L=15cm
613.22289,0.9999956369095183
613.342492,0.9999958094087805
613.462094,0.9999951210119024
613.581696,0.999995908808369
613.701298,0.9999952552112565
613.8209,0.9999957017092377
613.940502,0.9999952064114893
614.060104,0.99999562050959
614.179706,0.9999958548085913
614.299308,0.9999958629085578
614.41891,0.9999952159114438
614.538512,0.9999955329099774
614.658114,0.9999958588085748
614.777716,0.9999944038156587
614.897318,0.9999948474132746
615.01692,0.999994314416163
615.136522,0.99999518751158
615.256124,0.9999945188150218
615.375726,0.9999945696147446
615.495328,0.9999937353196232
615.61493,0.9999944069156413
615.734532,0.9999955396099476
615.854134,0.999994688514106
615.973736,0.9999944982151349
616.093338,0.9999939484183109
616.21294,0.9999942149167337
616.332542,0.9999937152197493
616.452144,0.9999938483189217
616.571746,0.9999942365166089
616.691348,0.9999944376154701
616.81095,0.9999939014185965
616.930552,0.999993655420127
617.050154,0.999994120217286
617.169756,0.9999941507171071
617.289358,0.9999938086191666
617.40896,0.9999928968252276
617.528562,0.9999928135258228
617.648164,0.999992592327437
617.767766,0.9999929042251752
617.887368,0.9999928356256642
618.00697,0.9999934922211757
618.126572,0.9999933905218427
618.246174,0.9999926388270935
618.365776,0.9999939037185824
618.485378,0.9999937618194575
618.60498,0.9999922740298455
618.724582,0.9999938872186831
618.844184,0.9999929183250752
618.963786,0.9999934308215771
619.083388,0.9999927121265567
619.20299,0.9999932319229036
619.322592,0.9999933915218361
619.442194,0.9999927892259978
619.561796,0.9999924023288624
619.681398,0.9999930770239639
619.801,0.9999936697200363
619.920602,0.9999932901225114
620.040204,0.9999935253209609
620.159806,0.9999931946231567
620.279408,0.999992933624967
620.39901,0.9999942204167018
620.518612,0.9999947757136466
620.638214,0.9999943062162097
620.757816,0.9999939194184868
620.877418,0.9999950855120762
620.99702,0.9999942111167557
621.116622,0.9999947999135205
621.236224,0.9999951716116567
621.355826,0.9999952367113445
621.475428,0.9999948077134799
621.59503,0.9999950589122072
621.714632,0.9999952262113946
621.834234,0.9999951420118001
621.953836,0.9999946014145724
622.073438,0.9999951346118361
622.19304,0.9999957401090733
622.312642,0.999994922012893
622.432244,0.9999959356082596
622.551846,0.9999966213057078
622.671448,0.9999951205119048
622.79105,0.9999962027072097
622.910652,0.999996235407086
623.030254,0.9999958844084691
623.149856,0.9999958179087449
623.269458,0.9999952805111368
623.38906,0.9999957838088882
623.508662,0.9999950099124505
623.628264,0.9999961223075182
623.747866,0.9999960346078622
623.867468,0.9999959348082629
623.98707,0.9999961723073256
624.106672,0.9999963804065507
624.226274,0.9999963064068214
624.345876,0.9999966893054804
624.465478,0.9999953817106644
624.58508,0.9999960431078285
624.704682,0.9999963514066561
624.824284,0.9999958615085636
624.943886,0.9999960034079864
625.063488,0.9999950651121766
625.18309,0.9999958919084382
625.302692,0.9999960108079569
625.422294,0.9999966819055048
625.541896,0.9999962479070391
625.661498,0.9999960131079477
625.7811,0.9999950724121406
625.900702,0.9999947121139809
626.020304,0.9999953435108415
626.139906,0.9999960061079756
626.259508,0.9999955381099542
626.37911,0.9999954601103054
626.498712,0.9999953928106131
626.618314,0.999995306411015
626.737916,0.9999944733152721
626.857518,0.9999947673136905
626.97712,0.9999938303190326
627.096722,0.9999940676175967
627.216324,0.9999941183172971
627.335926,0.9999938120191456
627.455528,0.9999938171191141
627.57513,0.9999929791246465
627.694732,0.9999928778253628
627.814334,0.9999929748246766
627.933936,0.9999924258286842
628.053538,0.9999927159265289
628.17314,0.9999916529348369
628.292742,0.9999920859313164
628.412344,0.9999923328293929
628.531946,0.999991624335076
628.651548,0.9999903979461
628.77115,0.9999907494427867
628.890752,0.9999899040509644
629.010354,0.9999899710502903
629.129956,0.9999902877471643
629.249558,0.9999903616464493
629.36916,0.999990782542481
629.488762,0.9999903950461279
629.608364,0.9999902681473548
629.727966,0.9999903267467862
629.847568,0.9999901454485564
629.96717,0.9999891350590239
630.086772,0.99998895106104
630.206374,0.9999893840563495
630.325976,0.999989049059962
630.445578,0.9999886460644564
630.56518,0.9999882350692073
630.684782,0.999988350067861
630.804384,0.9999872780809242
630.923986,0.999986712088285
631.043588,0.9999865290907335
631.16319,0.9999855181048637
631.282792,0.9999841701252938
631.402394,0.9999832471403307
631.521996,0.9999820591609387
631.641598,0.9999800441991197
631.7612,0.9999792612150515
631.880802,0.9999793222137884
632.000404,0.9999793132139745
632.120006,0.9999803131937877
632.239608,0.9999813331742273
632.35921,0.9999818731642931
632.478812,0.9999830341439218
632.598414,0.9999836851330889
632.718016,0.9999835171358439
632.837618,0.9999843461225232
632.95722,0.9999838311307175
633.076822,0.9999849481132808
633.196424,0.9999842771236057
633.316026,0.9999847431163874
633.435628,0.9999837801315435
633.55523,0.9999843881218666
633.674832,0.9999844311211963
633.794434,0.9999839611286241
633.914036,0.9999835791348238
634.033638,0.9999835951345613
634.15324,0.9999833011394276
634.272842,0.9999820031619451
634.392444,0.9999808041842421
634.512046,0.9999808091841461
634.631648,0.9999791272178395
634.75125,0.9999792232158403
634.870852,0.999978685227163
634.990454,0.9999777502475294
635.110056,0.999976403278407
635.229658,0.9999753323042526
635.34926,0.9999740383370098
635.468862,0.9999727053725052
635.588464,0.9999700374488862
635.708066,0.9999693574694919
635.827668,0.9999672465364065
635.94727,0.999966055576125
636.066872,0.9999634416682721
636.186474,0.9999623257096939
636.306076,0.9999593138277048
636.425678,0.9999563619521673
636.54528,0.9999543990397554
636.664882,0.9999516151705836
636.784484,0.9999489633024166
636.904086,0.9999459854588378
637.023688,0.999943570592199
637.14329,0.9999414427145448
637.262892,0.9999382679055042
637.382494,0.9999342021647725
637.502096,0.9999315213447701
637.621698,0.9999288205333785
637.7413,0.9999260647333466
637.860902,0.9999235329237559
637.980504,0.9999199972003947
638.100106,0.9999172304255902
638.219708,0.9999142396776267
638.33931,0.9999115989076068
638.458912,0.9999082392102788
638.578514,0.9999049625163478
638.698116,0.9999017628255873
638.817718,0.9998990950912428
638.93732,0.9998965653497324
639.056922,0.9998923457951299
639.176524,0.9998901560332903
639.296126,0.9998876463121484
639.415728,0.9998843066929869
639.53533,0.9998823369228429
639.654932,0.999879747230944
639.774534,0.9998782274148832
639.894136,0.9998759876901623
640.013738,0.9998772075396114
640.13334,0.9998769775678801
640.252942,0.9998784773844713
640.372544,0.9998791473032755
640.492146,0.9998805871302844
640.611748,0.9998823769181372
640.73135,0.9998823469216663
640.850952,0.9998833168080132
640.970554,0.9998816370054521
641.090156,0.9998806171267024
641.209758,0.9998782674100131
641.32936,0.9998761176740492
641.448962,0.9998739979389266
641.568564,0.9998722481609612
641.688166,0.9998708583395022
641.807768,0.9998704283951256
641.92737,0.9998717382262448
642.046972,0.9998723281507443
642.166574,0.9998762776542408
642.286176,0.999877417513847
642.405778,0.9998796072477891
642.52538,0.9998833967986818
642.644982,0.999886606429537
642.764584,0.9998893761192728
642.884186,0.9998920358285507
643.003788,0.9998935756634715
643.12339,0.9998970752971107
643.242992,0.9998987451266208
643.362594,0.9999023697661416
643.482196,0.9999051125021035
643.601798,0.9999074432836372
643.7214,0.9999106339933795
643.841002,0.9999133887509708
643.960604,0.9999171764300613
644.080206,0.999921016119391
644.199808,0.9999238908964447
644.31941,0.9999274656307445
644.439012,0.9999307743962027
644.558614,0.9999337341956754
644.678216,0.9999383658994592
644.797818,0.99994138271806
644.91742,0.9999450765083502
645.037022,0.9999473023885679
645.156624,0.9999508992054835
645.276226,0.999953804067065
645.395828,0.9999577148940403
645.51543,0.9999595478182116
645.635032,0.999962048720168
645.754634,0.9999652646032878
645.874236,0.9999669895448571
645.993838,0.9999693824687261
646.11344,0.9999705964322934
646.233042,0.9999735563496395
646.352644,0.9999750643108994
646.472246,0.9999762652816729
646.591848,0.9999784592320057
646.71145,0.9999799392012205
646.831052,0.999980889182614
646.950654,0.9999825031530716
647.070256,0.9999839501288006
647.189858,0.9999850081123794
647.30946,0.9999858730997856
647.429062,0.9999870720835662
647.548664,0.9999875460775507
647.668266,0.9999883370680125
647.787868,0.9999896500535611
647.90747,0.9999899640503604
648.027072,0.9999904896452237
648.146674,0.9999914620364486
648.266276,0.9999918290333826
648.385878,0.9999923051296057
648.50548,0.9999933699219791
648.625082,0.9999936603200958
648.744684,0.9999946440143433
648.864286,0.9999941551170813
648.983888,0.9999947687136832
649.10349,0.9999957133091879
649.223092,0.9999954540103331
649.342694,0.999996441606331
649.462296,0.9999960743077055
649.581898,0.9999963891065193
649.7015,0.9999970655043057
649.821102,0.999997020404439
649.940704,0.9999966523056035
650.060306,0.9999976592027396
650.179908,0.9999973441035269
650.29951,0.9999976704027135
650.419112,0.9999980789018453
650.538714,0.999998967600533
650.658316,0.9999987361007987
650.777918,0.9999993703101983
650.89752,0.9999998563600103
651.017122,0.9999999204690032
651.136724,1.0
651.256326,0.9999996766700523
651.375928,0.9999993212802303
651.49553,0.9999996878300488
651.615132,1.0
651.734734,1.0
651.854336,1.0
651.973938,1.0
652.09354,1.0
652.213142,1.0
652.332744,1.0
652.452346,1.0
652.571948,1.0
652.69155,1.0
652.811152,1.0
652.930754,1.0
653.050356,1.0
653.169958,1.0
653.28956,1.0
653.409162,1.0
653.528764,1.0
653.648366,1.0
653.767968,1.0
653.88757,1.0
654.007172,0.9999999094590041
654.126774,0.9999999509310012
654.246376,0.9999991372103723
654.365978,0.9999983301013943
654.48558,0.9999978386023358
654.605182,0.9999964236063953
654.724784,0.9999959978080087
654.844386,0.9999945209150103
654.963988,0.9999935850205761
655.08359,0.9999916331350024
655.203192,0.9999890830595902
655.322794,0.9999866630889374
655.442396,0.9999837781315759
655.561998,0.9999804621908654
655.6816,0.9999770292638314
655.801202,0.9999729183667141
655.920804,0.9999693354701663
656.040406,0.9999640186473444
656.160008,0.9999592248313298
656.27961,0.9999527471164527
656.399212,0.9999473003886733
656.518814,0.9999407527551873
656.638416,0.999933732195808
656.758018,0.9999266576896787
656.87762,0.999917874372494
656.997222,0.999910769981235
657.116824,0.9999029757071611
657.236426,0.999895275483995
657.356028,0.9998872163605529
657.47563,0.9998795072598334
657.595232,0.9998711982956519
657.714834,0.9998643691986889
657.834436,0.999858420023391
657.954038,0.999852560870217
658.07364,0.9998472216717976
658.193242,0.9998419624892433
658.312844,0.9998385830291213
658.432446,0.9998353435573603
658.552048,0.9998348436398135
658.67165,0.9998315741852203
658.791252,0.9998310942661799
658.910854,0.9998304443761798
659.030456,0.9998296745070341
659.150058,0.9998283947258698
659.26966,0.999825985142342
659.389262,0.9998213559587474
659.508864,0.9998168767691061
659.628466,0.999808098415465
659.748068,0.9997982203602505
659.86767,0.999786732744695
659.987272,0.9997736356242823
660.106874,0.9997636779284609
660.226476,0.9997558997973036
660.346078,0.999749271437661
660.46568,0.9997486715882781
660.585282,0.9997521907097957
660.704884,0.9997587291105035
660.824486,0.9997668671796803
660.944088,0.9997778646757054
661.06369,0.9997889322779264
661.183292,0.9997938512515739
661.302894,0.9997983603320111
661.422496,0.9998012597514602
661.542098,0.9998017896462683
661.6617,0.9998006398748713
661.781302,0.9997985202997615
661.900904,0.9997959808147451
662.020506,0.9997959308249473
662.140108,0.9997930614147434
662.25971,0.9997944211342316
662.379312,0.9997931314002602
662.498914,0.9997926415017458
662.618516,0.9997906619142755
662.738118,0.999795570898477
662.85772,0.9998009898051565
662.977322,0.9998057688653097
663.096924,0.9998124975807763
663.216526,0.9998196062729054
663.336128,0.99982753487382
663.45573,0.9998355835178715
663.575332,0.9998451519901909
663.694934,0.9998522509159712
663.814536,0.9998611096461584
663.934138,0.9998702584171673
664.05374,0.999876267655478
664.173342,0.9998833068091801
664.292944,0.9998913958978525
664.412546,0.9998990950912428
664.532148,0.9999073322939172
664.65175,0.9999134487457759
664.771352,0.9999202591794683
664.890954,0.9999259117446704
665.010556,0.9999305504117343
665.130158,0.9999357030671364
665.24976,0.999940271783801
665.369362,0.9999440225667949
665.488964,0.9999475163773135
665.608566,0.999950841208333
665.728168,0.9999536340749328
665.84777,0.9999563829512511
665.967372,0.9999592768292108
666.086974,0.9999607457704675
666.206576,0.999962155716113
666.326178,0.999964411633281
666.44578,0.9999660905749376
666.565382,0.9999671685389642
666.684984,0.9999687574880575
666.804586,0.9999696914593131
666.924188,0.9999701674449996
667.04379,0.9999716774010924
667.163392,0.9999725083779015
667.282994,0.9999732233585007
667.402596,0.9999734493524747
667.522198,0.9999733323555879
667.6418,0.999974141334341
667.761402,0.999974616322171
667.881004,0.9999753543037102
668.000606,0.9999752383065758
668.120208,0.9999763752790681
668.23981,0.9999762862811746
668.359412,0.9999769022667567
668.479014,0.9999773242570985
668.598616,0.9999780132417123
668.718218,0.9999779232436952
668.83782,0.9999784682318118
668.957422,0.9999786582277389
669.077024,0.9999791352176726
669.196626,0.9999797972040793
669.316228,0.9999797112058204
669.43583,0.999979255215176
669.555432,0.9999806231877328
669.675034,0.9999806791866493
669.794636,0.9999812191763618
669.914238,0.9999813261743581
670.03384,0.9999816681680301
670.153442,0.9999817521664938
670.273044,0.9999820951602936
670.392646,0.9999824641537548
670.512248,0.9999830301439896
670.63185,0.9999830111443122
670.751452,0.9999839591286561
670.871054,0.9999838791299426
670.990656,0.9999845051200469
671.110258,0.9999842461240936
671.22986,0.9999847871157171
671.349462,0.9999851631100677
671.469064,0.999984783115778
671.588666,0.9999853321075746
671.708268,0.999985158110142
671.82787,0.9999854031065357
671.947472,0.9999862320947784
672.067074,0.99998622109493
672.186676,0.9999866470891509
672.306278,0.9999869920846036
672.42588,0.9999870240841879
672.545482,0.9999877770747005
672.665084,0.9999877530749942
672.784686,0.9999878890733379
672.904288,0.9999879060731321
673.02389,0.9999882530689957
673.143492,0.9999886090648772
673.263094,0.9999888730619049
673.382696,0.9999888390622838
673.502298,0.9999893550566578
673.6219,0.9999897260527774
673.741502,0.9999897340526952
673.861104,0.9999898590514198
673.980706,0.9999901536484757
674.100308,0.9999906006441742
674.21991,0.9999906771434581
674.339512,0.9999912494382864
674.459114,0.9999917392341203
674.578716,0.9999917162343106
674.698318,0.9999919323325438
674.81792,0.9999919792321665
674.937522,0.9999916968344714
675.057124,0.9999924767282999
675.176726,0.999992612727286
675.296328,0.9999924696283534
675.41593,0.9999929882245826
675.535532,0.9999930332242681
675.655134,0.9999929643247505
675.774736,0.9999932981224576
675.894338,0.9999935509207954
676.01394,0.9999930946238422
676.133542,0.999993384421883
676.253144,0.9999937799193448
676.372746,0.9999938539188873
676.492348,0.9999937161197436
676.61195,0.9999938402189715
676.731552,0.9999938534188904
676.851154,0.9999937961192441
676.970756,0.9999943687158558
677.090358,0.9999947072140069
677.20996,0.9999944706152871
677.329562,0.999994526614979
677.449164,0.999994402515666
677.568766,0.9999945350149331
677.688368,0.9999946722141927
677.80797,0.9999946591142626
677.927572,0.999994910412952
678.047174,0.999995611609629
678.166776,0.9999948366133303
678.286378,0.9999955596098585
678.40598,0.9999952179114342
678.525582,0.9999952179114342
678.645184,0.9999954561103235
678.764786,0.9999960163079349
678.884388,0.9999963074068177
679.00399,0.9999958601085693
679.123592,0.9999960501078008
679.243194,0.9999962017072135
679.362796,0.9999960963076194
679.482398,0.9999960092079633
679.602,0.9999966766055225
679.721602,0.9999959393082446
679.841204,0.9999968615049251
679.960806,0.9999961069075781
680.080408,0.9999962769069307
680.20001,0.9999968982048105
680.319612,0.9999964051064616
680.439214,0.9999969744045771
680.558816,0.999997278603703
680.678418,0.9999971598040334
680.79802,0.9999965552059333
680.917622,0.999997696502653
681.037224,0.9999974406032752
681.156826,0.9999974397032776
681.276428,0.9999976768026986
681.39603,0.9999972961036555
681.515632,0.9999976275028144
681.635234,0.9999972633037447
681.754836,0.9999972607037518
681.874438,0.9999975112030971
681.99404,0.9999974032033717
682.113642,0.9999976575027436
682.233244,0.999997517303082
682.352846,0.9999980887018265
682.472448,0.9999981919016346
682.59205,0.9999977795024653
682.711652,0.999997818702379
682.831254,0.9999977520025267
682.950856,0.9999977665024943
683.070458,0.999998586500999
683.19006,0.9999984976011286
683.309662,0.9999977992024217
683.429264,0.9999979744020515
683.548866,0.999998296501451
683.668468,0.999998605700972
683.78807,0.9999985864009991
683.907672,0.9999982337015599
684.027274,0.9999978362023411
684.146876,0.9999978650022792
684.266478,0.9999983510013596
684.38608,0.9999984743011638
684.505682,0.9999986346009322
684.625284,0.9999989867005133
684.744886,0.9999991399603698
684.864488,0.9999987606007681
684.98409,0.999999035650465
685.103692,0.999998666600889
685.223294,0.9999988850006216
685.342896,0.9999991335703754
685.462498,0.9999987913007304
685.5821,0.9999986478009142
685.701702,0.9999989532005479
685.821304,0.9999987049008386
685.940906,0.9999991188903882
686.060508,0.9999985765010132
686.18011,0.9999987580007713
686.299712,0.9999987076008352
686.419314,0.9999987191008204
686.538916,0.9999991302003782
686.658518,0.9999989400005618
686.77812,0.9999992652702699
686.897722,0.99999868850086
687.017324,0.9999989133005904
687.136926,0.9999989775005228
687.256528,0.9999991451103655
687.37613,0.9999988352006783
687.495732,0.9999984023012763
687.615334,0.9999985032011202
687.734936,0.9999991419103682
687.854538,0.9999984869011448
687.97414,0.9999988497006616
688.093742,0.9999988501006611
688.213344,0.9999983917012933
688.332946,0.9999984496012019
688.452548,0.9999989145005892
688.57215,0.999999086700417
688.691752,0.9999991668903471
688.811354,0.9999988907006153
688.930956,0.9999989892005109
689.050558,0.9999989262005765
689.17016,0.9999983571013495
689.289762,0.9999982873014667
689.409364,0.9999983518013583
689.528966,0.9999982728014916
689.648568,0.9999983188014132
689.76817,0.9999984974011289
689.887772,0.999997846402319
690.007374,0.9999983154014189
690.126976,0.9999980478019055
690.246578,0.9999976823026858
690.36618,0.9999979004022042
690.485782,0.9999983113014258
690.605384,0.9999978283023582
690.724986,0.9999979607020794
690.844588,0.9999974684032045
690.96419,0.9999978609022879
691.083792,0.9999979483021048
691.203394,0.9999979231021567
691.322996,0.9999980711018603
691.442598,0.9999972739037158
691.5622,0.9999977717024826
691.681802,0.9999975484030051
691.801404,0.9999978528023052
691.921006,0.9999974285033063
692.040608,0.9999975335030418
692.16021,0.9999974758031858
692.279812,0.9999973396035389
692.399414,0.9999973993033818
692.519016,0.999997790002442
692.638618,0.9999976972026514
692.75822,0.9999984171012528
692.877822,0.999997824702366
692.997424,0.9999978170023828
693.117026,0.9999977432025465
693.236628,0.9999980008019984
693.35623,0.9999976629027311
