nu,[0]2-(Perfluorononyl)ethanol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
650.258987,0.5381273698001694
650.319252,0.5302588475799904
650.379517,0.5639836597377305
650.439782,0.5568774952271799
650.500047,0.5085559703665467
650.560312,0.5123998508708991
650.620576,0.5729367226733852
650.680841,0.5900665215784197
650.741106,0.5269972229496052
650.801371,0.482917233126455
650.861636,0.5101247374163699
650.921901,0.545364991118079
650.982166,0.5425690068989047
651.042431,0.5320754374367392
651.102696,0.5355505477455561
651.162961,0.5203622891981299
651.223226,0.48707361848687364
651.283491,0.4887422620161072
651.343756,0.5253765685918125
651.404021,0.5346355388644692
651.464286,0.5012902521722411
651.524551,0.4760225747166372
651.584816,0.4753708703087269
651.645081,0.46220350401704835
651.705346,0.44419572127379536
651.765611,0.4672971164294579
651.825876,0.50925316951832
651.886141,0.5099513244875168
651.946406,0.479457510826444
652.006671,0.48143213627160036
652.066936,0.5006039547478435
652.127201,0.4768372696850799
652.187466,0.4308565822734168
652.247731,0.4356090988744312
652.307996,0.47569423243119824
652.368261,0.4730945576521394
652.428526,0.42747904899717737
652.488791,0.4187798143205132
652.549056,0.4520240014529802
652.609321,0.45857565291116825
652.669586,0.4196433899154872
652.729851,0.4006808715755396
652.790115,0.420075845283382
652.85038,0.43278249422154574
652.910645,0.4238312068770125
652.97091,0.42645432943492423
653.031175,0.44040963347380435
653.09144,0.4283562799020856
653.151705,0.39576685148123425
653.21197,0.39091700693697456
653.272235,0.41110772261822565
653.3325,0.41606657311421374
653.392765,0.4024678745868246
653.45303,0.40150310986856513
653.513295,0.4081583773993228
653.57356,0.3952250221325554
653.633825,0.37749422817975414
653.69409,0.3874532820145809
653.754355,0.40634610791013054
653.81462,0.3959053941228007
653.874885,0.36692419697996637
653.93515,0.35994645309422924
653.995415,0.3715952703210754
654.05568,0.3751760111730541
654.115945,0.373506452047588
654.17621,0.37970144732209965
654.236475,0.3747897788253511
654.29674,0.34403908805398786
654.357005,0.3147111641527584
