nu,[0]Vinylchloride-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
568.370167,0.981672037933904
568.48937,0.9811597388517957
568.608572,0.9802594475084812
568.727775,0.9804986599964098
568.846977,0.9813344008297662
568.966179,0.9770905007110864
569.085382,0.9747931347330377
569.204584,0.9761627055079103
569.323786,0.9763423359712196
569.442989,0.9756347443106114
569.562191,0.9689899874632677
569.681394,0.9610594589207258
569.800596,0.9577351505857878
569.919798,0.9697121539775527
570.039001,0.976032884501366
570.158203,0.980341792760524
570.277406,0.9785582147965114
570.396608,0.9775361555809987
570.51581,0.9806947793396897
570.635013,0.9812431409741381
570.754215,0.9777052839650976
570.873417,0.9771461964569406
570.99262,0.9792933880388229
571.111822,0.9791533590966414
571.231025,0.9789986650870526
571.350227,0.9802819937350544
571.469429,0.9794089514767202
571.588632,0.9771716025883268
571.707834,0.982002917160706
571.827037,0.977479460128159
571.946239,0.9780191777385057
572.065441,0.9784329673610244
572.184644,0.9758015921169694
572.303846,0.9745445941739489
572.423048,0.976276923226061
572.542251,0.9770367622113696
572.661453,0.9732931086221095
572.780656,0.9701175783857136
572.899858,0.9640183011079311
573.01906,0.9678482214713592
573.138263,0.9705348186446461
573.257465,0.9654654136226455
573.376668,0.9559927018576407
573.49587,0.9486190343609355
573.615072,0.9500914840728037
573.734275,0.9687758643375153
573.853477,0.9753967184733326
573.972679,0.9766596987990763
574.091882,0.9741996664434217
574.211084,0.9751841051643982
574.330287,0.9763472176951037
574.449489,0.9741733634075204
574.568691,0.9707444768077398
574.687894,0.9767056028836574
574.807096,0.9765405535838287
574.926299,0.9752669993362896
575.045501,0.9746586225619979
575.164703,0.9748896440305078
575.283906,0.9743750381663632
575.403108,0.9757274340140121
575.52231,0.9759196712532592
575.641513,0.973271696409255
575.760715,0.9740291964183564
575.879918,0.9766880223410308
575.99912,0.9730079755153233
576.118322,0.9730449505209134
576.237525,0.971950890475742
576.356727,0.9704513562391776
576.47593,0.9649750817473662
576.595132,0.9598704034877614
576.714334,0.9543402642540857
576.833537,0.9595306695013902
576.952739,0.9598435274927295
577.071941,0.950960264661494
577.191144,0.9380950523331498
577.310346,0.9262825141425756
577.429549,0.95039081003165
577.548751,0.9652906801966319
577.667953,0.9698023414015229
577.787156,0.9707823365805961
577.906358,0.96995364236795
578.025561,0.9710221494333996
578.144763,0.9664535901068735
578.263965,0.9694668478351319
578.383168,0.9735199123380253
578.50237,0.9735958498527122
578.621572,0.9713523530956485
578.740775,0.9728454967507666
578.859977,0.9725050604067393
578.97918,0.97203739795452
579.098382,0.9715903635772505
579.217584,0.9714358929901787
579.336787,0.9678850004025704
579.455989,0.9690016154128849
579.575192,0.9700506425821167
579.694394,0.9698236772877276
579.813596,0.9669698141435413
579.932799,0.9662641837656404
580.052001,0.9683022487483034
580.171203,0.9605454296253003
580.290406,0.9611161631015589
580.409608,0.947199066868649
580.528811,0.9395596226826473
580.648013,0.9527926262531623
580.767215,0.9473383153659924
580.886418,0.9263279030977889
581.00562,0.8994336423673762
581.124822,0.9266623678380606
581.244025,0.9543278579112918
581.363227,0.9614006955945685
581.48243,0.9651748522648231
581.601632,0.9648708700660696
581.720834,0.965065793668444
581.840037,0.9631626328294906
581.959239,0.9644570292380158
582.078442,0.9693747528591682
582.197644,0.9704940570382627
582.316846,0.9677640223388065
582.436049,0.9677311189214083
582.555251,0.9686324961191032
582.674453,0.96590866396567
582.793656,0.9673586141523929
582.912858,0.9682092961942175
583.032061,0.965817872818508
583.151263,0.9650870253494523
583.270465,0.9657087415649114
583.389668,0.9670413725574166
583.50887,0.9648843783528083
583.628073,0.9649818365965804
583.747275,0.9605867339668112
583.866477,0.9567491912369162
583.98568,0.955892327893671
584.104882,0.9438169882601716
584.224084,0.9272667487086443
584.343287,0.9379712319585664
584.462489,0.9371321232631169
584.581692,0.9173162422855416
584.700894,0.8770598894017285
584.820096,0.8960670824535235
584.939299,0.9374508023574024
585.058501,0.9479068889102181
585.177704,0.956334052179611
585.296906,0.9583061308707601
585.416108,0.9551995571156998
585.535311,0.9609854601913764
585.654513,0.9629478715091468
585.773715,0.9651275598557356
585.892918,0.9646624804650225
586.01212,0.9610258224283056
586.131323,0.9629603899128458
586.250525,0.9657715146732171
586.369727,0.9628910592607056
586.48893,0.9630460972014658
586.608132,0.9650185066030967
586.727335,0.9629603899128458
586.846537,0.9587460943487237
586.965739,0.961404541205042
587.084942,0.9599231978117838
587.204144,0.9607615766625959
587.323346,0.9613795450119227
587.442549,0.9567999002878297
587.561751,0.954117928875592
587.680954,0.9511790106771936
587.800156,0.9421808855150913
587.919358,0.917019996985475
588.038561,0.9220018951042984
588.157763,0.9287915002171379
588.276966,0.9071694696127843
588.396168,0.8497866168613355
588.51537,0.8684632574091332
588.634573,0.9232677498821905
588.753775,0.9416232794985323
588.872977,0.9472274832668989
588.99218,0.9439925545471465
589.111382,0.9480509817081076
589.230585,0.9549426429913347
589.349787,0.9620623668619537
589.468989,0.9599337570250354
589.588192,0.9598224111674051
589.707394,0.9601651289396742
589.826597,0.9615016479675127
589.945799,0.9616487689741218
590.065001,0.9611709482842186
590.184204,0.9630672844486632
590.303406,0.9649374484530321
590.422608,0.9594932485349932
590.541811,0.9590491059878554
590.661013,0.9607164219296372
590.780216,0.9585840799493811
590.899418,0.959856005539694
591.01862,0.9561514098185454
591.137823,0.9530156058152969
591.257025,0.9524373008758724
591.376228,0.9478974098887242
591.49543,0.9347305248033957
591.614632,0.9066235179400188
591.733835,0.9129227619947609
591.853037,0.9175281668138503
591.972239,0.8845909006512819
592.091442,0.8132391949303012
592.210644,0.8590398215841778
592.329847,0.9136186742482963
592.449049,0.9337215607752545
592.568251,0.9316556563519354
592.687454,0.9395351944500259
592.806656,0.9461104140371067
592.925859,0.949598514529232
593.045061,0.9509811860174506
593.164263,0.952113527238212
593.283466,0.9551527534840996
593.402668,0.9565655130258712
593.52187,0.9593109621355279
593.641073,0.9568400867275512
593.760275,0.9575005342155732
593.879478,0.9576537465577083
593.99868,0.9556180261597471
594.117882,0.958132693157659
594.237085,0.9600835183722126
594.356287,0.9542476977380017
594.47549,0.9508471071230064
594.594692,0.9546447473608562
594.713894,0.9542782341529094
594.833097,0.9517498893300694
594.952299,0.9485184860724467
595.071501,0.93902047021079
595.190704,0.9225774038268909
595.309906,0.8964255809814305
595.429109,0.9061730380051392
595.548311,0.8989301005325234
595.667513,0.8419370752622979
595.786716,0.7935013799101366
595.905918,0.8760255691012274
596.025121,0.9089538101610171
596.144323,0.9193641400631947
596.263525,0.9348342856502693
596.382728,0.9427737037138586
596.50193,0.9454842962108807
596.621132,0.949391524615785
596.740335,0.9469471454238995
596.859537,0.9494494392651653
596.97874,0.9531995555778002
597.097942,0.9523182536538692
597.217144,0.9554202337005578
597.336347,0.957097511332938
597.455549,0.9556514733759855
597.574751,0.9576489583009461
597.693954,0.9553619548438254
597.813156,0.9562929306994854
597.932359,0.9576757728471804
598.051561,0.9568305183745257
598.170763,0.953314899702204
598.289966,0.9486949269193463
598.409168,0.9494760242216524
598.528371,0.9492538728247117
598.647573,0.944783951857017
598.766775,0.9325644635884117
598.885978,0.9051912786416518
599.00518,0.8878166788843482
599.124382,0.8933293081122429
599.243585,0.8578551642319697
599.362787,0.7854645129221516
599.48199,0.8317361631915878
599.601192,0.8767880429743873
599.720394,0.9110213009979309
599.839597,0.9301327138048263
599.958799,0.9373748719176358
600.078002,0.9426652909717836
600.197204,0.9436659896222631
600.316406,0.944222916833512
600.435609,0.950984038965288
600.554811,0.950364199461519
600.674013,0.9466072524131381
600.793216,0.9476870000200884
600.912418,0.9501940994942166
601.031621,0.951192327276559
601.150823,0.9511999368456155
601.270025,0.9565195989831918
601.389228,0.9529441323251501
601.50843,0.9489634455772624
601.627633,0.9522335011008386
601.746835,0.9546638404467337
601.866037,0.9501760459778351
601.98524,0.9478130507732804
602.104442,0.9464842014688092
602.223644,0.941669420169665
602.342847,0.9325122414406846
602.462049,0.9099751386584436
602.581252,0.8775073040263549
602.700454,0.887071226008126
602.819656,0.8622672685961023
602.938859,0.778933190458836
603.058061,0.8235590712501644
603.177264,0.8881718765907073
603.296466,0.9182725839774947
603.415668,0.9306416355766927
603.534871,0.9388908943268426
603.654073,0.941299416797963
603.773275,0.9421111667091908
603.892478,0.9451071232277065
604.01168,0.9464529680055157
604.130883,0.9461700208707866
604.250085,0.9477050062441474
604.369287,0.949390575224735
604.48849,0.9465873738695629
604.607692,0.9470939336072305
604.726895,0.9489074583856117
604.846097,0.9511010171960945
604.965299,0.9485668617488057
605.084502,0.9486399042092589
605.203704,0.9483193181037401
605.322906,0.9491532572469121
605.442109,0.9456100539849833
605.561311,0.9454228417289193
605.680514,0.94093990909109
605.799716,0.9364192370049388
605.918918,0.9250994812085652
606.038121,0.9023976521733346
606.157323,0.8911611532685598
606.276526,0.8922579558824083
606.395728,0.8517263407927729
606.51493,0.8271576279538372
606.634133,0.8841045094257718
606.753335,0.9142191189417609
606.872537,0.9267198226859483
606.99174,0.9350437119851288
607.110942,0.9375923681165043
607.230145,0.9393069151348347
607.349347,0.9424249419683861
607.468549,0.9444505019793775
607.587752,0.9420932667670734
607.706954,0.9419284148703508
607.826157,0.9405955880989478
607.945359,0.9402880636246314
608.064561,0.9367423573767647
608.183764,0.9401301084985445
608.302966,0.9395361339856901
608.422168,0.9408872179315472
608.541371,0.9388401955874272
608.660573,0.9381185050026153
608.779776,0.9400379802622689
608.898978,0.9388833832297323
609.01818,0.9389688255051708
609.137383,0.935651687968708
609.256585,0.9344576233357064
609.375788,0.9304825094626795
609.49499,0.9247470854418812
609.614192,0.9153131791255917
609.733395,0.9119966154901988
609.852597,0.9043851124127704
609.971799,0.8961387706876109
610.091002,0.910447538332519
610.210204,0.9208703716746894
610.329407,0.9268282552483839
610.448609,0.9326260148741786
610.567811,0.933525499834611
610.687014,0.9347632409442929
610.806216,0.9353729053063731
610.925419,0.9353064961876479
611.044621,0.9363415174336742
611.163823,0.9342707504989458
611.283026,0.9306211616859236
611.402228,0.9273288776621045
611.52143,0.9262176766359248
611.640633,0.9179025946840018
611.759835,0.9124883141668374
611.879038,0.9163434858909983
611.99824,0.9199407621311421
612.117442,0.9222637808285207
612.236645,0.9227822387463753
612.355847,0.9234542688054437
612.47505,0.9227361007878966
612.594252,0.9266095495884281
612.713454,0.9272936398342764
612.832657,0.9261250594991952
612.951859,0.9232105090561817
613.071061,0.9264325840652022
613.190264,0.9253955604126981
613.309466,0.9224611663971206
613.428669,0.919197750212579
613.547871,0.9192703697032779
613.667073,0.9178640435846038
613.786276,0.9139741410463887
613.905478,0.9117722919157192
614.02468,0.9104821359963271
614.143883,0.9123222564053737
614.263085,0.9081061517502753
614.382288,0.9034360064125863
614.50149,0.8973852696949801
614.620692,0.891383971407984
614.739895,0.8793607991875836
614.859097,0.8742577835161898
614.9783,0.8568691978324444
615.097502,0.8442218191659661
615.216704,0.865506841255701
