nu,[0]Limoneneoxide-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
639.928106,1.0
640.16916,1.0
640.410214,1.0
640.651268,1.0
640.892322,1.0
641.133376,1.0
641.37443,1.0
641.615484,1.0
641.856538,1.0
642.097592,0.981120493247159
642.338646,0.9866114349403201
642.5797,0.9989945058483579
642.820754,1.0
643.061808,1.0
643.302862,1.0
643.543916,1.0
643.78497,1.0
644.026024,1.0
644.267078,1.0
644.508132,1.0
644.749186,1.0
644.99024,1.0
645.231294,1.0
645.472348,1.0
645.713402,1.0
645.954456,1.0
646.19551,1.0
646.436564,1.0
646.677618,1.0
646.918672,1.0
647.159726,1.0
647.40078,1.0
647.641834,1.0
647.882888,1.0
648.123942,1.0
648.364996,1.0
648.60605,1.0
648.847104,1.0
649.088158,1.0
649.329212,1.0
649.570266,1.0
649.81132,1.0
650.052374,1.0
650.293428,1.0
650.534482,0.9997576893619659
650.775536,1.0
651.01659,1.0
651.257644,0.9990876464478198
651.498698,1.0
651.739752,0.9972131903834391
651.980806,0.9978084050587788
652.22186,0.995956596657684
652.462914,1.0
652.703968,0.9985055178523239
652.945022,1.0
653.186076,0.9992690372835039
653.42713,1.0
653.668184,0.9995633453613977
653.909238,1.0
654.150292,1.0
654.391346,0.9991498915471082
654.6324,0.9998992150791414
654.873454,0.9980792470115023
655.114508,1.0
655.355562,0.9945025664976372
655.596616,0.9988372764874127
655.83767,0.9978985112259878
656.078724,0.9980867326339259
656.319778,0.9952409602865308
656.560832,0.9968051145430329
656.801886,0.9986442199013879
657.04294,0.9934739875203727
657.283994,0.9938517781438747
657.525048,0.9945752672924298
657.766102,0.9952324012510763
658.007156,0.9897103048887205
658.24821,0.9943075636649997
658.489264,0.9923336376169861
658.730318,0.9940231329607875
658.971372,0.9931306029203348
659.212426,0.9975047184037328
659.45348,0.9947503279443588
659.694534,0.993856548643859
659.935588,0.9941766219815641
660.176642,0.995035464246428
660.417696,0.9937534910633925
660.65875,0.989724160929981
660.899804,0.9951231307324802
661.140858,0.9901280507755661
661.381912,0.9913946399069508
661.622966,0.9893501158961145
661.86402,0.9935168071719918
662.105074,0.989763750688208
662.346128,0.9891789731303406
662.587182,0.9905954024656856
662.828236,0.9891255589079886
663.06929,0.9879215373752016
663.310344,0.9844609957716223
663.551398,0.9898627320122606
663.792452,0.9808007000954763
664.033506,0.984362554594186
664.27456,0.9812843540515276
664.515614,0.9852173522200747
664.756668,0.9796881228079162
664.997722,0.9811636634986004
665.238776,0.98226023563225
665.47983,0.9779252924040109
665.720884,0.9770064745412024
665.961938,0.9745397214631598
666.202992,0.9770279689200796
666.444046,0.9687080524004571
666.6851,0.9712843608106896
666.926154,0.9675521052236855
667.167208,0.9684513787773281
667.408262,0.9627139036046217
667.649316,0.9648998166263678
667.89037,0.962577207935932
668.131424,0.9591114462057797
668.372478,0.9564497756010505
668.613532,0.9551947811298542
668.854586,0.9535589795574162
669.09564,0.9458843206673858
669.336694,0.9459429673132944
669.577748,0.9426153310353121
669.818802,0.9413879031019332
670.059856,0.9338905796735036
670.30091,0.938249850787306
670.541964,0.9311713213486469
670.783018,0.9291705244649151
671.024072,0.9261167244111677
671.265126,0.9245954393551877
671.50618,0.9193494303546317
671.747234,0.9150971907029545
671.988288,0.9155328806517105
672.229342,0.9102964165846079
672.470396,0.907903666656362
672.71145,0.902812850581647
672.952504,0.9057997716116382
673.193558,0.8973493750020909
673.434612,0.897178894816971
673.675666,0.8942767392286224
673.91672,0.8938386509667899
674.157774,0.8878166788843482
674.398828,0.8878433137842363
674.639882,0.8862732210608103
674.880936,0.880416665539716
675.12199,0.8776126112211434
675.363044,0.8756051777300594
675.604098,0.8771475997761143
675.845152,0.869775627517892
676.086206,0.8711335363903564
676.32726,0.8693495418599196
676.568314,0.8685501080773352
676.809368,0.8630695501589989
677.050422,0.862965988026832
677.291476,0.8641749865115391
677.53253,0.8582584509241076
677.773584,0.8568691978324444
678.014638,0.8548151775678936
678.255692,0.8577522277885721
678.496746,0.852229007605969
678.7378,0.8557987804853731
678.978854,0.8552512444960683
679.219908,0.8586361677341185
679.460962,0.8538156286602737
679.702016,0.8631299671420798
679.94307,0.8602175126739439
680.184124,0.8575035157075082
680.425178,0.857657880232726
680.666232,0.8606219099308118
680.907286,0.8580524936117518
681.14834,0.8556361941632705
681.389394,0.8606563354957156
681.630448,0.8603379515562433
681.871502,0.8598305018772007
682.112556,0.8620086272136706
682.35361,0.8691843811377317
682.594664,0.8661302305746296
682.835718,0.8708635268477168
683.076772,0.8736110720691348
683.317826,0.8778320418016284
683.55888,0.8777618180472719
683.799934,0.8777793734591864
684.040988,0.8855024986713401
684.282042,0.8825675051608676
684.523096,0.887248657995935
684.76415,0.8886338460681888
685.005204,0.8961477321201249
685.246258,0.8951177545787851
685.487312,0.8993616905540978
685.728366,0.9041861695725545
685.96942,0.9067386664385721
686.210474,0.9074471059466785
686.451528,0.9090238022990622
686.692582,0.9170805223025895
686.933636,0.9117449391572552
687.17469,0.9174043088719296
687.415744,0.9203032902047624
687.656798,0.9250134509572816
687.897852,0.9253437397123082
688.138906,0.9325150389816051
688.37996,0.9355581274780136
688.621014,0.9379327759264101
688.862068,0.938476934727245
689.103122,0.9439566835116278
689.344176,0.9482387143874078
689.58523,0.9458843206673858
689.826284,0.95171562695078
690.067338,0.9538202905157813
690.308392,0.9562604172925726
690.549446,0.9541188829939979
690.7905,0.9636770990256707
691.031554,0.962788035429238
691.272608,0.9658255993923968
691.513662,0.9665405748442376
691.754716,0.9715796761420321
691.99577,0.9708007816202184
692.236824,0.9704571789647831
692.477878,0.9744549401954312
692.718932,0.9730215977223357
692.959986,0.9760241002449348
693.20104,0.9735559332411644
693.442094,0.9807291042576493
693.683148,0.9757996405157368
693.924202,0.9790720927404367
694.165256,0.9794167867796731
694.40631,0.9842857773092807
694.647364,0.9809684313558067
694.888418,0.9834003186258783
695.129472,0.9853887949544463
695.370526,0.9846342761551045
695.61158,0.9828586143035615
695.852634,0.9836560359505327
696.093688,0.98802132248954
696.334742,0.9828379744893798
696.575796,0.9866805001580203
696.81685,0.9861981313422306
697.057904,0.9891344610780785
697.298958,0.9841450345064757
697.540012,0.9900201326996736
697.781066,0.9906640531057936
698.02212,0.9881972059381057
698.263174,0.9885055715688953
698.504228,0.9902945052910115
698.745282,0.9913649976503716
698.986336,0.986313523273894
699.22739,0.9911995526390339
699.468444,0.989724160929981
699.709498,0.9902986645366681
699.950552,0.9872539280932967
700.191606,0.9932629960535104
700.43266,0.9907698616767424
700.673714,0.9901197337348712
700.914768,0.9888249104389633
701.155822,0.9919510675305739
701.396876,0.9902659852199501
701.63793,0.9879640189146554
701.878984,0.9913190985135535
702.120038,0.9892116165750677
702.361092,0.9895331625988533
702.602146,0.9871601434249702
702.8432,0.9943113420409205
703.084254,0.9896360793993444
703.325308,0.9918577293267506
703.566362,0.9895005085432824
703.807416,0.9933864663174379
704.04847,0.988963355617361
704.289524,0.9890375306505613
704.530578,0.9918312470789172
704.771632,0.9889772012012585
705.012686,0.9893906800824265
705.25374,0.9879482116168115
705.494794,0.994495605004037
705.735848,0.9877812624766479
705.976902,0.9915447484183603
706.217956,0.9913320848788045
706.45901,0.9928499838652897
706.700064,0.9880776413099931
706.941118,0.9908393170784293
707.182172,0.9919037525931229
707.423226,0.9893234038036002
707.66428,0.9897518735944625
707.905334,0.989695459345489
708.146388,0.9915981941206488
708.387442,0.9881270464271762
708.628496,0.9916277441871274
708.86955,0.9911296755337697
709.110604,0.992085585215424
709.351658,0.9895430579799561
709.592712,0.9938624124147941
709.833766,0.9926252280722584
710.07482,0.9905447843339238
710.315874,0.990097852330546
710.556928,0.9924541142333754
710.797982,0.9894262987880422
711.039036,0.9873388355820825
711.28009,0.9922660619972403
711.521144,0.991459776674512
711.762198,0.9929722112212429
712.003252,0.9885876209363371
712.244306,0.9959917545460791
712.48536,0.9917035074409027
712.726414,0.9927184399574038
712.967468,0.9924083631532797
713.208522,0.9938490947476962
713.449576,0.9925353003003846
