nu,[0]Ethyl2-2-2-trifluoroacetate-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
540.920818,0.9548509728978424
541.040821,0.9520030884746244
541.160823,0.9573224556780265
541.280826,0.9601852926190999
541.400828,0.9614006955945685
541.52083,0.9637792542122966
541.640833,0.9634593326098227
541.760835,0.9632762927259665
541.880838,0.9633581746907823
542.00084,0.966096068424124
542.120842,0.9621422213523187
542.240845,0.9663482524065609
542.360847,0.9640848206656059
542.48085,0.9663617813767971
542.600852,0.9688785600219101
542.720854,0.9692022195090829
542.840857,0.966902128625572
542.960859,0.9655832075883932
543.080862,0.9686770542387535
543.200864,0.9656034850486652
543.320866,0.9712707629248236
543.440869,0.966769672107429
543.560871,0.967846285776852
543.680874,0.9730381392300994
543.800876,0.9746995590838065
543.920878,0.973524779949756
544.040881,0.9733680550768748
544.160883,0.9784359026643293
544.280886,0.9730955501739201
544.400888,0.9756484032926445
544.52089,0.9711804389440019
544.640893,0.975454268577434
544.760895,0.9744870977390542
544.880898,0.9760582616862651
545.0009,0.9742493518933786
545.120902,0.9747794877246808
545.240905,0.979907597527676
545.360907,0.9764058002856256
545.48091,0.9743721150456333
545.600912,0.9778724858640105
545.720914,0.9782862134227407
545.840917,0.9712532802084359
545.960919,0.9810478930169003
546.080922,0.982414462595744
546.200924,0.9798517443864466
546.320926,0.9765854754824893
546.440929,0.983506531595687
546.560931,0.9783546958545375
546.680934,0.9803819875980158
546.800936,0.9849878233181628
546.920938,0.9776329364509753
547.040941,0.982131567969298
547.160943,0.9806987021266527
547.280946,0.9800183333426523
547.400948,0.9811479650055727
547.52095,0.9786462889991228
547.640953,0.9814796490691936
547.760955,0.9806045595701636
547.880958,0.9827200410085914
548.00096,0.9820019351582798
548.120962,0.9824842164988226
548.240965,0.984714034761653
548.360967,0.9849809284275317
548.48097,0.9839128036826472
548.600972,0.9840023438217969
548.720974,0.9836353793906724
548.840977,0.9819439987532462
548.960979,0.9826610795749917
549.080982,0.9815738756383072
549.200984,0.9854016050920463
549.320986,0.9851730184367423
549.440989,0.9859033021801155
549.560991,0.984444260076948
549.680994,0.9850784463665044
549.800996,0.9839295303424861
549.920998,0.9852971580576972
550.041001,0.9856420724195097
550.161003,0.9844550890233679
550.281006,0.9846884325295797
550.401008,0.9892264548606032
550.52101,0.9862326488808809
550.641013,0.9829765644141429
550.761015,0.9862632225668859
550.881018,0.9863154959029131
551.00102,0.9893392331046952
551.121022,0.9842237692585843
551.241025,0.9889287425056474
551.361027,0.9834681755889018
551.48103,0.9845190806838608
551.601032,0.9863727038606902
551.721034,0.9895826404939203
551.841037,0.9849287258217063
551.961039,0.9861113497251196
552.081042,0.9859742897733951
552.201044,0.9842375484878083
552.321046,0.9869755617370755
552.441049,0.9858471072934607
552.561051,0.9880647963841482
552.681054,0.9879452477766223
552.801056,0.9909373159328518
552.921058,0.987016028564671
553.041061,0.9872608388949812
553.161063,0.9882367346169115
553.281066,0.987390178536438
553.401068,0.9877279237286333
553.52107,0.987346734324362
553.641073,0.9886884620164803
