nu,[0]2-(Perfluoroheptyl)ethanol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
673.276879,0.883865833430936
673.517938,0.8909740290751015
673.758997,0.9110058137674557
674.000055,0.8802053908939581
674.241114,0.8476902340163199
674.482173,0.8532181668562393
674.723231,0.8815355050176386
674.96429,0.870019198791984
675.205349,0.8822939516372545
675.446407,0.8719876657110273
675.687466,0.8713600605566835
675.928525,0.8532522962654971
676.169583,0.8772879546201666
676.410642,0.8805047116085
676.651701,0.865619364458914
676.892759,0.8932667772492807
677.133818,0.8747650001092222
677.374877,0.881561951479484
677.615935,0.8748262358024541
677.856994,0.9020908891242692
678.098053,0.8912770117491229
678.339111,0.9292225594712518
678.58017,0.8877190244207649
678.821229,0.8712990674872269
679.062287,0.9421705215823524
679.303346,0.9082015079023195
679.544405,0.9325066463840211
679.785463,0.9051577871839379
680.026522,0.9334974944896982
680.267581,0.951967865011989
680.508639,0.9007657897039477
680.749698,0.8979597800913017
680.990757,0.925410366860116
681.231815,0.9496232044115769
681.472874,0.9206042785895783
681.713933,0.957494789229603
681.954991,0.9583157139799843
682.19605,0.9554307433809317
682.437109,0.929636155528514
682.678167,0.9137557273281577
682.919226,0.9423966696442141
683.160285,0.9169539739225508
683.401343,0.9342333804163325
683.642402,0.9151969417330734
683.883461,0.9444977256850593
684.124519,0.9392383482327522
684.365578,0.9540902598568574
684.606637,0.9439802827237044
684.847695,0.9277277148233435
685.088754,0.966328925634781
685.329813,0.9366037297665691
685.570871,0.958676108438353
685.81193,0.9404620330080737
686.052989,0.9380809810128999
686.294047,0.9377602121719919
686.535106,0.9388852609983765
686.776165,0.9353541980353403
687.017223,0.9397531919018649
687.258282,0.9152902965821466
687.499341,0.9126918217511489
687.740399,0.921551146394634
687.981458,0.9213300006580492
688.222517,0.9357059573404067
688.463575,0.8920795221352014
688.704634,0.9240482408418306
688.945693,0.9212037870937856
689.186751,0.8970084470200093
689.42781,0.9229732744413081
689.668868,0.9157297413828208
689.909927,0.9142566026940492
690.150986,0.8983280190849745
690.392044,0.8841663989075382
690.633103,0.8723103608422582
690.874162,0.8430575965538815
691.11522,0.843749187296508
691.356279,0.8213877427168353
691.597338,0.8223164354786952
691.838396,0.7654510584680895
692.079455,0.7469552514458121
692.320514,0.7554210523121848
692.561572,0.6919510934965054
692.802631,0.6459132965979033
693.04369,0.6097964902622841
693.284748,0.6110478552782247
693.525807,0.5429380792939887
693.766866,0.4999185969071555
694.007924,0.4734163713556015
694.248983,0.4271841901913559
694.490042,0.40634610791013054
694.7311,0.36465630468960103
694.972159,0.32903208834805003
695.213218,0.3173024052678113
695.454276,0.29590997779075295
695.695335,0.26882356681858904
695.936394,0.25137737070098193
696.177452,0.2307547086400509
696.418511,0.22614022669981873
696.65957,0.2102832179459576
696.900628,0.19906975261910853
697.141687,0.19710868536806264
697.382746,0.18424295218771095
697.623804,0.1777992809608887
697.864863,0.17478476085928682
698.105922,0.18050442252243923
698.34698,0.1733400511831387
698.588039,0.17187290495299243
698.829098,0.16917865368889543
699.070156,0.17580145804396674
699.311215,0.1905386915098185
699.552274,0.18304925671158812
699.793332,0.1876268742008351
700.034391,0.19368929034593027
700.27545,0.21246032795994024
700.516508,0.21919358277463033
700.757567,0.2204024688692522
700.998626,0.2445831368126461
701.239684,0.25784413616707735
701.480743,0.2700359987952419
701.721802,0.2941692491209243
701.96286,0.3055933446208659
702.203919,0.323906624731239
702.444978,0.3371592190887332
702.686036,0.3394597145987012
702.927095,0.35575962032590724
703.168154,0.3794395436905913
703.409212,0.38283545634954536
703.650271,0.3663009557502429
703.89133,0.39509066846644786
704.132388,0.3971266625245844
704.373447,0.4028826300600499
704.614506,0.404262847481348
704.855564,0.39347017820765556
705.096623,0.3853358451052264
705.337682,0.3704488131243594
705.57874,0.3628012918391912
705.819799,0.3587247132883214
706.060858,0.3407521155207394
706.301916,0.3216793619139712
706.542975,0.31949936265070866
706.784034,0.2970068727128105
707.025092,0.2899635655294032
707.266151,0.274144483371265
707.50721,0.27792610777303145
707.748268,0.26753630559633385
707.989327,0.25916250023234294
708.230386,0.25942179235703
708.471444,0.2505993074729113
708.712503,0.24299850206552293
708.953562,0.2328175917601019
709.19462,0.2363361790680484
709.435679,0.22752389798959005
709.676738,0.2274556510577448
709.917796,0.2183622277350589
710.158855,0.2190402009565875
710.399914,0.22528252450463168
710.640972,0.21994010933205793
710.882031,0.2144454254055204
711.12309,0.21590862353372808
711.364148,0.22252852129397815
711.605207,0.22344276114227518
711.846266,0.22252852129397815
712.087324,0.22252852129397815
712.328383,0.22893892821802303
712.569442,0.23466413497716054
712.8105,0.22955789855814643
713.051559,0.24642440646900884
713.292618,0.25784413616707735
713.533676,0.24492579300755302
713.774735,0.26418649626248353
714.015794,0.27095568376963913
714.256852,0.2633687862294703
714.497911,0.26965821290875414
714.73897,0.2801024079505226
714.980028,0.28504734206496285
715.221087,0.29885403561154134
715.462146,0.3031886681766242
715.703204,0.2917669242710291
715.944263,0.2960875770518777
716.185322,0.3163202908752992
716.42638,0.32322713453372337
716.667439,0.34390149993822394
716.908498,0.354906821005653
717.149556,0.3505682042990016
717.390615,0.3701969935597902
717.631674,0.3614252630407402
717.872732,0.3787912565143874
718.113791,0.3914529302601317
718.35485,0.4024678745868246
718.595908,0.41663697495542584
718.836967,0.4132221240378597
719.078025,0.4228194598119192
719.319084,0.4524898260329527
719.560143,0.46172767949960414
719.801201,0.45311016192768
720.04226,0.4784708449688927
720.283319,0.48391306798443884
720.524377,0.4914279215982613
720.765436,0.49075512631567103
721.006495,0.5085559703665467
721.247553,0.5262757310889361
721.488612,0.5208933295176338
721.729671,0.5187568514033072
721.970729,0.5226830612731723
722.211788,0.5421947634129952
722.452847,0.5346355388644692
722.693905,0.5346355388644692
722.934964,0.559361122052126
723.176023,0.5603240510636115
723.417081,0.5572618732940695
723.65814,0.5449888190684893
723.899199,0.5355505477455561
724.140257,0.5433128358448431
724.381316,0.5500533530031902
724.622375,0.5653331927340454
724.863433,0.5597472144128882
725.104492,0.5585953220077226
725.345551,0.5523187244334167
725.586609,0.5434975936160716
725.827668,0.5416365903151723
726.068727,0.5414524651775123
726.309785,0.5390483548202989
726.550844,0.5384934208548869
