nu,[0]2-(Perfluoroheptyl)ethanol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
726.791903,0.5337220933115426
727.032961,0.5248357093165062
727.27402,0.5340851477595171
727.515079,0.5291676386850253
727.756137,0.5134564825206323
727.997196,0.4956575569869349
728.238255,0.48275306917664496
728.479313,0.46938122229390966
728.720372,0.4899166521493986
728.961431,0.4610955456892208
729.202489,0.433076886399613
729.443548,0.4344171636405001
729.684607,0.4083012578340301
729.925665,0.3991731485333936
730.166724,0.37931055617485676
730.407783,0.3842814700431253
730.648841,0.37274154811529675
730.8899,0.3508136879512653
731.130959,0.3378342122951193
731.372017,0.3286046245448707
731.613076,0.31192266203264674
731.854135,0.29978192060058895
732.095193,0.29205883712740227
732.336252,0.28857507545693595
732.577311,0.2797385114041908
732.818369,0.25553395037138726
733.059428,0.2666282267661001
733.300487,0.25792150101207395
733.541545,0.259681343903531
733.782604,0.2597852372183701
734.023663,0.24847824066390417
734.264721,0.24316866056549566
734.50578,0.24974871665130244
734.746839,0.255201972068555
734.987897,0.2456862410513523
735.228956,0.2550233931980036
735.470015,0.2534471395956059
735.711073,0.2548449392889201
735.952132,0.2559943256955462
736.193191,0.26453016204198176
736.434249,0.26004515239151543
736.675308,0.262369883958126
736.916367,0.2680183046153847
737.157425,0.27714900312548185
737.398484,0.2895868578072874
737.639543,0.2925557594147877
737.880601,0.304525637492119
738.12166,0.30050226127307395
738.362719,0.3082019589550503
738.603777,0.3148370737986699
738.844836,0.3332374433510153
739.085895,0.33726038202814196
739.326953,0.3394597145987012
739.568012,0.3442799997248732
739.809071,0.35969457874337096
740.050129,0.3753035927044842
740.291188,0.3707045110110413
740.532247,0.3871860314620346
740.773305,0.38931363522435863
741.014364,0.36740150862138576
741.255423,0.38022199479853436
741.496481,0.39198958830140856
741.73754,0.3887806407286956
741.978599,0.4119513578802886
742.219657,0.3889128486206114
742.460716,0.3991731485333936
742.701775,0.3982162816764378
742.942833,0.3942815622133568
743.183892,0.39011644792610234
743.424951,0.3811318121647749
743.666009,0.39848716083645436
743.907068,0.39091700693697456
744.148127,0.3861265938282064
744.389185,0.3767211576799836
744.630244,0.3953633751006589
744.871303,0.3670342907523005
745.112361,0.3624024298324904
745.35342,0.36291014855443376
745.594479,0.34972784943788765
745.835537,0.3621850535939837
746.076596,0.35046304961170366
746.317655,0.3514105784339416
746.558713,0.342015233675746
746.799772,0.3378342122951193
747.040831,0.34902909272864
747.281889,0.34697588400329366
747.522948,0.34403908805398786
747.764007,0.34697588400329366
748.005065,0.3491338171643385
748.246124,0.3508136879512653
748.487182,0.3554040385261131
748.728241,0.3605588824819756
748.9693,0.35847369385607075
749.210358,0.3781440769619666
749.451417,0.3762054030665405
749.692476,0.3877168398458577
749.933534,0.39726170854636556
750.174593,0.3938756612791432
750.415652,0.4197860929261956
750.65671,0.4318918799311194
750.897769,0.44267916669355667
751.138828,0.4535771058292931
751.379886,0.4820921503046734
751.620945,0.49701752099292856
751.862004,0.5219674757672232
752.103062,0.5470473047237506
752.344121,0.545364991118079
752.58518,0.5555425917635446
752.826238,0.5888581242396469
753.067297,0.6192662311346078
753.308356,0.6282418972345897
753.549414,0.6388727395963322
753.790473,0.6734779655496634
754.031532,0.6813698649032276
754.27259,0.6760217695374006
754.513649,0.7082628479638302
754.754708,0.7463952450358817
754.995766,0.7178102648062172
755.236825,0.7233876729813883
755.477884,0.7443305910730277
755.718942,0.7390941235806481
755.960001,0.7746840578794482
756.20106,0.7692648195747516
756.442118,0.7889281712392731
756.683177,0.791124442958536
756.924236,0.8395073897015064
757.165294,0.819115646974909
757.406353,0.8123532471370907
757.647412,0.8129058352037936
757.88847,0.8029763640712695
758.129529,0.8370679742683644
758.370588,0.8373526257676285
758.611646,0.858910975274655
758.852705,0.8199269730055343
759.093764,0.8472495496824883
759.334822,0.8296179378605596
759.575881,0.8265540232279609
759.81694,0.8209114759567714
760.057998,0.7946289522565052
760.299057,0.8054211263739536
760.540116,0.8085198893163199
760.781174,0.8121583057516797
761.022233,0.8143296659038893
761.263292,0.8092721625662253
761.50435,0.8156662622654124
761.745409,0.8100737387218941
761.986468,0.7818596736495677
762.227526,0.7931047283913248
762.468585,0.7674745190551945
762.709644,0.7659794019559738
762.950702,0.7579407974636284
763.191761,0.7613744440635841
763.43282,0.7837305530799553
763.673878,0.7658491965254165
763.914937,0.7561239206739641
764.155996,0.7620752308646223
764.397054,0.7580696583520624
764.638113,0.7639598832724087
764.879172,0.7692340495973723
765.12023,0.7419377011900204
765.361289,0.7077743151619343
765.602348,0.7281851035403206
765.843406,0.7402109987357813
766.084465,0.7418857673686421
766.325524,0.7405663853011268
766.566582,0.7171716978749749
766.807641,0.729482427300232
767.0487,0.7371233743916278
767.289758,0.7329923600508063
767.530817,0.6964703894628649
767.771876,0.7134021445245339
768.012934,0.7155527199718988
768.253993,0.6974252077976467
768.495052,0.7171932133486416
768.73611,0.7070456829273355
768.977169,0.690534046724041
769.218228,0.6888787521599214
769.459286,0.6950440876233542
769.700345,0.7000594632825996
