nu,[0]4-Ethyltoluene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
667.851357,0.9991676166234053
667.969359,0.9982270734942655
668.087362,0.999996430406371
668.205364,0.9975843224564208
668.323366,1.0016649845501528
668.441369,0.9995109796094671
668.559371,0.9990611410041558
668.677374,0.999220154237889
668.795376,0.9995505010549347
668.913378,0.9994522300807512
669.031381,0.9982860704576522
669.149383,0.9989592419647128
669.267385,1.000212392552105
669.385388,0.9998883662315129
669.50339,0.9979934158870505
669.621392,0.9996108757284952
669.739395,0.9989406614956111
669.857397,0.9991755600375324
669.9754,0.9996925472732794
670.093402,1.0000318225063252
670.211404,0.9977622075991041
670.329407,0.9992257798631935
670.447409,0.9974120545196972
670.565411,0.9999165784797686
670.683414,0.998876032125595
670.801416,0.9984882438562855
670.919418,0.9978655811184671
671.037421,0.998482552489516
671.155423,0.9999394688320851
671.273425,0.9979890247256812
671.391428,0.9994819142527924
671.50943,0.9988018183934824
671.627433,0.9987471854282415
671.745435,0.9975790352735229
671.863437,0.9998665988987183
671.98144,0.9984384205360193
672.099442,0.9985920920336583
672.217444,0.997376447544939
672.335447,0.9990900642428497
672.453449,0.9984021778791621
672.571451,0.9978015202045367
672.689454,0.9978368430035618
672.807456,0.9976260223526213
672.925459,0.998782042313262
673.043461,0.996423909496833
673.161463,0.998789832843575
673.279466,0.9984173537076019
673.397468,1.000649160613608
673.51547,0.9974856662455599
673.633473,0.9993075398612579
673.751475,0.997780865926841
673.869477,0.9957154051794406
673.98748,0.9924890492330488
674.105482,0.9974731977526601
674.223484,0.9969768788613398
674.341487,0.9979516008389563
674.459489,0.9969125759264452
674.577492,0.9985488539321848
674.695494,0.9981181728611849
674.813496,0.9975233719163767
674.931499,0.9977035409061149
675.049501,0.9990060942518384
675.167503,0.9992024082455346
675.285506,0.9970920363410647
675.403508,0.9999479873527046
675.52151,0.9973802375826408
675.639513,1.000267565789342
675.757515,0.9956648241216273
675.875518,0.9993275162186427
675.99352,0.9977219985923547
676.111522,0.9986905580682285
676.229525,0.9970400891992062
676.347527,0.9989191845022675
676.465529,0.9983771182989963
676.583532,0.9982133978770369
676.701534,0.9981276550288672
676.819536,0.9982232802385934
676.937539,1.001232659100485
677.055541,0.9974529492522687
677.173543,0.9975872154551508
677.291546,0.99717749079025
677.409548,0.9979352345669062
677.527551,0.9966661695947535
677.645553,0.9989394627675365
677.763555,0.996809799538081
677.881558,0.9975890111137548
677.99956,0.9977616089419591
678.117562,0.9973982903283178
678.235565,0.9972222650647614
678.353567,0.9963016557835565
678.471569,0.9994409763119994
678.589572,0.9991037218973777
678.707574,0.9972267525750511
678.825577,0.9986409243808998
678.943579,0.9980810435557638
679.061581,0.9955130963643799
679.179584,0.9978552033703879
679.297586,0.9938080496276708
679.415588,0.9980061902845299
679.533591,0.9963534648166804
679.651593,0.9981537065006337
679.769595,0.9961024153771045
679.887598,0.9969240404869895
680.0056,0.9969395926233273
680.123602,0.9968936347674442
680.241605,0.9950788487384442
680.359607,0.9969104824122339
680.47761,0.9963249695150714
680.595612,0.9953730375250918
680.713614,0.9960379696356718
680.831617,0.9959779103569083
680.949619,0.9965098049398721
681.067621,0.9964710414624144
681.185624,0.9967612560828862
681.303626,0.9957211803455386
681.421628,0.9953119234968076
681.539631,0.9935830769531028
681.657633,0.9967879696425094
681.775636,0.9952239418116183
681.893638,0.9975618770616772
682.01164,0.9960960403420462
682.129643,0.9955616785888791
682.247645,0.9969051988006787
682.365647,0.994794396359995
682.48365,0.9958398773844388
682.601652,0.995111686882279
682.719654,0.9965579375258433
682.837657,0.9940201508958617
682.955659,0.996565411738403
683.073661,0.9945476184843194
683.191664,0.9959049078516536
683.309666,0.992940039442785
683.427669,0.9959376736621166
683.545671,0.9940425166008701
683.663673,0.996138076481905
683.781676,0.9932239615847979
683.899678,0.9945562710862389
684.01768,0.9940136897858796
684.135683,0.9940325762254061
684.253685,0.9933534864342252
684.371687,0.9948198634225188
684.48969,0.993721790832649
684.607692,0.9925622976277148
684.725695,0.9935258482160737
684.843697,0.9935363796458813
684.961699,0.9925384764184273
685.079702,0.992153346974932
685.197704,0.9933489170186972
685.315706,0.9922915635627274
685.433709,0.9931593048094995
685.551711,0.991118376719872
685.669713,0.993338387575983
685.787716,0.9910045037605137
685.905718,0.9920936211412097
686.02372,0.9909681345626046
686.141723,0.9920754659940629
686.259725,0.9904796086314187
686.377728,0.9918923457655575
686.49573,0.9917948475400851
686.613732,0.991374713074954
686.731735,0.9906255170236594
686.849737,0.9901884504288341
