nu,[0]Diiodomethane-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
562.456449,0.9538832447324217
562.587852,0.9485668617488057
562.719254,0.9549961212767202
562.850657,0.9432678465887312
562.98206,0.9466773039416914
563.113462,0.9462305776899199
563.244865,0.9426511510984683
563.376268,0.9433159544756479
563.50767,0.9425531204764348
563.639073,0.9411883500198497
563.770475,0.9375117386399634
563.901878,0.9388984054840417
564.033281,0.9374676766237128
564.164683,0.9320162768665123
564.296086,0.9304834399456542
564.427489,0.9292392856278572
564.558891,0.9315708795446106
564.690294,0.9257778277119123
564.821696,0.9207985465869136
564.953099,0.9236833138645208
565.084502,0.9205131432772703
565.215904,0.9140573164776487
565.347307,0.9167247640814942
565.47871,0.911085074721055
565.610112,0.9057128190073552
565.741515,0.9056684401665143
565.872917,0.9003065162758775
566.00432,0.9018563759811266
566.135723,0.9005226157706859
566.267125,0.8951983188020328
566.398528,0.894366171374078
566.529931,0.8890160407879739
566.661333,0.8813504019980821
566.792736,0.8796950197891673
566.924138,0.8778759345010269
567.055541,0.8791146126315373
567.186944,0.8690105616440329
567.318346,0.8623276294175081
567.449749,0.8586705138677461
567.581152,0.8590913655197755
567.712554,0.8549434094616805
567.843957,0.848300790758863
567.97536,0.8458611991795971
568.106762,0.8387102363890659
568.238165,0.8351866885663427
568.369567,0.833526319671082
568.50097,0.8277285636672946
568.632373,0.825141823623021
568.763775,0.8204108726559673
568.895178,0.8166538157921474
569.026581,0.8101061423195106
569.157983,0.8034261567653491
569.289386,0.8008913372341374
569.420788,0.7953285335050939
569.552191,0.7863054097505529
569.683594,0.7887309638484142
569.814996,0.7760021408309137
569.946399,0.7717072582728218
570.077802,0.7671215619627841
570.209204,0.7626622547675869
570.340607,0.7519089796931737
570.472009,0.7455150180827774
570.603412,0.7416929021426921
570.734815,0.7365412768846475
570.866217,0.7295261975589646
570.99762,0.718873410531908
571.129023,0.7140801985865163
571.260425,0.7086524996746083
571.391828,0.6984930850833846
571.52323,0.6921656315871754
571.654633,0.6860189690240462
571.786036,0.6768334825912722
571.917438,0.6705479936001815
572.048841,0.6619733371928272
572.180244,0.651980907799715
572.311646,0.6454419519531138
572.443049,0.6387258157631135
572.574451,0.6294555749184818
572.705854,0.6245149565897072
572.837257,0.6135460233251178
572.968659,0.6083286501784997
573.100062,0.6017579445478747
573.231465,0.5966348465750586
573.362867,0.5851307221771127
573.49427,0.57981859013238
573.625673,0.5721637799515041
573.757075,0.5620693714288446
573.888478,0.5541942621495195
574.01988,0.5496904375654764
574.151283,0.541620341461197
574.282686,0.5310282806131194
574.414088,0.5229130924232744
574.545491,0.5186323646979726
