nu,[0]Methylvinylether-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
614.49929,0.9918113114712044
614.618292,0.9926053757662207
614.737295,0.9928237729717009
614.856297,0.992559915481059
614.9753,0.9930128246152201
615.094302,0.9930200736352987
615.213304,0.9928453174813315
615.332307,0.9931177916181902
615.451309,0.9934847170973776
615.570311,0.9930031924375374
615.689314,0.9936530276639564
615.808316,0.9935136279232957
615.927319,0.9937548823192539
616.046321,0.9936423956334418
616.165323,0.9940646839961559
616.284326,0.9937084750498677
616.403328,0.994226530900691
616.52233,0.9940407273259506
616.641333,0.9942795245870572
616.760335,0.9944697484544435
616.879338,0.994568902031088
616.99834,0.9946005298250519
617.117342,0.9946978065136214
617.236345,0.9951919956358249
617.355347,0.9946185322575632
617.474349,0.995145521254814
617.593352,0.9948912940530414
617.712354,0.9952275246242579
617.831357,0.9950037231213922
617.950359,0.9954898016304744
618.069361,0.9953474567667415
618.188364,0.995528128725629
618.307366,0.9957818216119295
618.426369,0.9956542701304278
618.545371,0.9958612881719677
618.664373,0.9958009408064481
618.783376,0.9958598939671401
618.902378,0.9958377861228921
619.02138,0.9961494325207062
619.140383,0.9961493329057679
619.259385,0.9963523688284719
619.378388,0.9961264217345905
619.49739,0.9961494325207062
619.616392,0.9962592142370315
619.735395,0.9965649134558217
619.854397,0.9963578487815703
619.973399,0.9966786279997384
620.092402,0.9965913227759502
620.211404,0.996407169715768
620.330407,0.9968206648241117
620.449409,0.996466059119663
620.568411,0.9964670555862204
620.687414,0.99661743381066
620.806416,0.9969469700036091
620.925419,0.9967029472549552
621.044421,0.9971658238818593
621.163423,0.9969878456673246
621.282426,0.9973840276347447
621.401428,0.9972814020984755
621.52043,0.99724510171611
621.639433,0.9975703563736693
621.758435,0.9975044191523621
621.877438,0.9974918506758624
621.99644,0.997409062288022
622.115442,0.9978922244851703
622.234445,0.9973243858531992
622.353447,0.9977764757006894
622.472449,0.9978202790494491
622.591452,0.9979604826477277
622.710454,0.9978426304740349
622.829457,0.9979346358059452
622.948459,0.9981892414051027
623.067461,0.9980468099630793
623.186464,0.9981591963611166
623.305466,0.9981483164851717
623.424468,0.9982493342062104
623.543471,0.998113781150886
623.662473,0.9984679747506674
623.781476,0.9980469097677652
623.900478,0.9984955328470705
624.01948,0.9983040397686437
624.138483,0.9985578409123116
624.257485,0.9982379542286665
624.376488,0.9986573022263576
624.49549,0.9985022227895518
624.614492,0.9986684872507786
624.733495,0.9987555749398349
624.852497,0.9985278846264307
624.971499,0.9987548758111772
625.090502,0.998645817733418
625.209504,0.9988797279737511
625.328507,0.9987846391499479
625.447509,0.9990624797469817
625.566511,0.998839673699753
625.685514,0.9989896107872722
625.804516,0.99867018498865
625.923518,0.9992043866682616
626.042521,0.9987999206718302
626.161523,0.9990449363638687
626.280526,0.9990266540088173
626.399528,0.9991858316150853
626.51853,0.9993173331231354
626.637533,0.9990876964022034
626.756535,0.9994643235259004
626.875538,0.9989804201251301
626.99454,0.9996590281441207
627.113542,0.9993421764608382
627.232545,0.9993799523090675
627.351547,0.9994282335207868
627.470549,0.9998349836167014
627.589552,0.999597381072762
627.708554,0.9995319295791546
627.827557,0.9996401547598346
627.946559,0.9996249703412098
628.065561,0.9997354350034926
628.184564,0.9993943934537154
628.303566,0.9997623882341482
628.422568,0.9995420149072045
628.541571,0.9999041115975867
628.660573,0.999574030750673
628.779576,0.9998210060213341
628.898578,0.9995541094387566
629.01758,0.9999234379310248
629.136583,0.9997164402106786
629.255585,0.9997883623983975
629.374587,0.9996911876923396
629.49359,0.9997401137762768
629.612592,0.999804179175401
629.731595,0.9996957562915065
629.850597,0.9997132311260561
629.969599,0.9997654675070461
630.088602,0.9998608996753474
630.207604,0.9998494013411167
630.326607,0.999980301194024
630.445609,0.9997683868264734
630.564611,0.9999662745687151
630.683614,0.999797710463288
630.802616,0.9999641736417793
630.921618,0.9998820169605462
631.040621,0.9999561719604766
631.159623,0.9999500362482299
631.278626,0.9999729923647127
631.397628,1.0
631.51663,0.9998168067819272
631.635633,1.0
631.754635,1.0
631.873637,0.999995240811325
631.99264,0.9999170064441557
632.111642,0.9999994896301302
632.230645,0.9999836171342006
632.349647,0.9999994518301503
632.468649,0.9999604697813397
632.587652,1.0
632.706654,0.9998589999414428
632.825657,0.999848341501313
632.944659,0.999989269057577
633.063661,0.9997635779520981
633.182664,0.9999611707538747
633.301666,0.9998920358285507
633.420668,1.0
633.539671,0.9999770932623633
633.658673,1.0
633.777676,0.9997118815141052
633.896678,0.9999695254643581
634.01568,0.9999414977113257
634.134683,1.0
634.253685,0.9998306343439823
634.372687,0.9999994088901747
634.49169,1.0
634.610692,0.9999943892157405
634.729695,1.0
634.848697,0.9999208301340993
634.967699,1.0
635.086702,0.9999862650943246
635.205704,1.0
635.324706,0.9998536207144932
635.443709,0.9999973004036439
635.562711,0.9997935913052064
635.681714,1.0
635.800716,1.0
635.919718,0.9999894870552614
636.038721,1.0
636.157723,0.9999971084041807
636.276726,1.0
636.395728,1.0
636.51473,0.9999963025068358
636.633733,1.0
636.752735,1.0
636.871737,1.0
636.99074,1.0
637.109742,0.9999898120518975
637.228745,1.0
637.347747,0.9999951443117889
637.466749,1.0
637.585752,1.0
637.704754,1.0
637.823756,1.0
637.942759,0.9999157455496056
638.061761,0.9999554789910895
638.180764,0.9999723233830047
638.299766,1.0
638.418768,0.9999423746604037
638.537771,1.0
638.656773,0.9999182733398054
638.775776,0.9999335792059586
638.894778,0.9998045091108346
639.01378,0.9999395568267622
