nu,[0]HFC-245cb-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
467.414878,1.0
467.535408,1.0
467.655938,1.0
467.776467,1.0
467.896997,1.0
468.017527,1.0
468.138056,1.0
468.258586,1.0
468.379116,1.0
468.499645,1.0
468.620175,1.0
468.740705,1.0
468.861234,1.0
468.981764,1.0
469.102294,1.0
469.222823,1.0
469.343353,1.0
469.463883,1.0
469.584412,1.0
469.704942,1.0
469.825472,1.0
469.946001,1.0
470.066531,1.0
470.18706,1.0
470.30759,1.0
470.42812,1.0
470.548649,1.0
470.669179,1.0
470.789709,1.0
470.910238,1.0
471.030768,1.0
471.151298,1.0
471.271827,1.0
471.392357,1.0
471.512887,1.0
471.633416,1.0
471.753946,1.0
471.874476,1.0
471.995005,1.0
472.115535,1.0
472.236065,1.0
472.356594,1.0
472.477124,1.0
472.597654,1.0
472.718183,1.0
472.838713,1.0
472.959243,1.0
473.079772,1.0
473.200302,1.0
473.320832,1.0
473.441361,1.0
473.561891,1.0
473.682421,1.0
473.80295,1.0
473.92348,1.0
474.04401,1.0
474.164539,1.0
474.285069,1.0
474.405598,1.0
474.526128,1.0
474.646658,1.0
474.767187,1.0
474.887717,1.0
475.008247,1.0
475.128776,1.0
475.249306,1.0
475.369836,1.0
475.490365,1.0
475.610895,1.0
475.731425,1.0
475.851954,1.0
475.972484,1.0
476.093014,1.0
476.213543,1.0
476.334073,1.0
476.454603,1.0
476.575132,1.0
476.695662,1.0
476.816192,1.0
476.936721,1.0
477.057251,1.0
477.177781,1.0
477.29831,1.0
477.41884,1.0
477.53937,1.0
477.659899,1.0
477.780429,1.0
477.900959,1.0
478.021488,1.0
478.142018,1.0
478.262548,1.0
478.383077,1.0
478.503607,1.0
478.624136,1.0
478.744666,1.0
478.865196,1.0
478.985725,1.0
479.106255,1.0
479.226785,1.0
479.347314,1.0
479.467844,1.0
479.588374,1.0
479.708903,1.0
479.829433,1.0
479.949963,1.0
480.070492,1.0
480.191022,1.0
480.311552,1.0
480.432081,1.0
480.552611,1.0
480.673141,1.0
480.79367,1.0
480.9142,1.0
481.03473,1.0
481.155259,1.0
481.275789,1.0
481.396319,1.0
481.516848,1.0
481.637378,1.0
481.757908,1.0
481.878437,1.0
481.998967,1.0
482.119497,1.0
482.240026,1.0
482.360556,1.0
482.481086,1.0
482.601615,1.0
482.722145,1.0
482.842674,1.0
482.963204,1.0
483.083734,1.0
483.204263,1.0
483.324793,1.0
483.445323,1.0
483.565852,1.0
483.686382,1.0
483.806912,1.0
483.927441,1.0
484.047971,1.0
484.168501,1.0
484.28903,1.0
484.40956,1.0
484.53009,1.0
484.650619,1.0
484.771149,1.0
484.891679,1.0
485.012208,1.0
485.132738,0.9983930924606821
485.253268,0.9935093558238806
485.373797,0.9926147063006062
485.494327,0.9961572025165828
485.614857,0.9961708499637421
485.735386,0.9912997679796058
485.855916,0.9926079565435526
485.976446,0.9997091523043939
486.096975,1.0
486.217505,0.993955342894787
486.338035,0.9904104755675083
486.458564,0.9899627131971587
486.579094,0.9926113314163422
486.699624,0.9948273245994739
486.820153,0.9961639764085911
486.940683,0.9952806711930735
487.061212,0.9895351416671575
487.181742,0.9877575560108272
487.302272,0.9948170779308009
487.422801,0.9988315831311628
487.543331,0.9921932323411708
487.663861,0.99084139784318
487.78439,0.9966015877194392
487.90492,0.9913099784197997
488.02545,0.983371800430154
488.145979,0.9877476784846547
488.266509,0.9899627131971587
488.387039,0.9873250129351431
488.507568,0.9842454224196919
488.628098,0.9816121577659538
488.748628,0.9859861215358628
488.869157,0.9895183197127362
488.989687,0.9882041233427581
489.110217,0.9864427388088756
489.230746,0.9833688503191779
489.351276,0.9851089842716768
489.471806,0.9895153511622299
489.592335,0.9846933559840509
489.712865,0.9824832340150973
489.833395,0.9864318879984283
489.953924,0.9803153238894509
490.074454,0.9789830012337224
490.194984,0.9811685693291825
490.315513,0.9785533220176694
490.436043,0.9772439159624802
490.556573,0.9707347694115088
490.677102,0.9754776797608129
490.797632,0.98247635665653
490.918162,0.9776857300549581
491.038691,0.9768023015248466
491.159221,0.975501091506067
491.27975,0.9746293832419131
491.40028,0.9724622711254526
491.52081,0.9707250621123512
491.641339,0.9724554639133799
491.761869,0.9672792939982031
491.882399,0.9638129870765157
492.002928,0.9681211931570128
492.123458,0.9664120334959725
492.243988,0.9633841857126463
492.364517,0.9651015017634054
492.485047,0.9629555751229333
492.605577,0.9646721271380604
492.726106,0.9642419792994551
492.846636,0.9578232662729012
492.967166,0.9561189012232608
493.087695,0.9548423792777577
493.208225,0.9544166145291963
493.328755,0.9544166145291963
493.449284,0.9497533117027273
493.569814,0.9463431858287163
493.690344,0.9505666485960717
493.810873,0.9535675616268515
493.931403,0.9493307655025219
494.051933,0.9484530405548041
494.172462,0.9476405644947672
494.292992,0.9442710734302533
494.413522,0.9429783078063056
494.534051,0.94339802653377
494.654581,0.94339802653377
494.775111,0.9425587758121237
494.89564,0.9392064146717859
495.01617,0.9367002049191202
495.1367,0.9346174292523133
495.257229,0.9329534240623506
495.377759,0.9325383521489932
495.498288,0.9275681593785555
495.618818,0.9296045484365496
495.739348,0.9342006828202293
495.859877,0.9279819470454289
495.980407,0.921772345212565
496.100937,0.9201321297112037
496.221466,0.9189036539904162
496.341996,0.9184939143394706
496.462526,0.9221826251867085
496.583055,0.9180852754764799
496.703585,0.9075169820640324
496.824115,0.9078900482035008
496.944644,0.9127547996595626
497.065174,0.9115671662275435
497.185704,0.9099141723665471
497.306233,0.9127547996595626
497.426763,0.9119729038864484
497.547293,0.9075169820640324
497.667822,0.9034540753134029
497.788352,0.9030476124405173
497.908882,0.9030476124405173
498.029411,0.8982381907745564
498.149941,0.8994426367487717
498.270471,0.8998384785877594
498.391,0.8906711493976789
498.51153,0.8870800967647398
498.63206,0.8839277062047981
498.752589,0.8811741495435155
498.873119,0.881561951479484
498.993649,0.8796070546855169
499.114178,0.8811741495435155
499.234708,0.8831325291525617
499.355238,0.8796070546855169
499.475767,0.8753075225738751
499.596297,0.8729735687035632
499.716827,0.8748874757823345
499.837356,0.873750861023484
499.957886,0.8702541356907119
500.078415,0.8733315612501888
500.198945,0.8753075225738751
500.319475,0.8706371317633728
500.440004,0.8667454013981376
500.560534,0.8694451755692818
500.681064,0.8682895821257587
500.801593,0.8613537495420248
500.922123,0.8613537495420248
501.042653,0.8590570025524186
501.163182,0.8563809215616371
501.283712,0.8578809002729354
501.404242,0.8563809215616371
501.524771,0.8582670335515299
501.645301,0.8613537495420248
501.765831,0.859443665196137
501.88636,0.8529622397971608
502.00689,0.8536875659209202
502.12742,0.8597961093449809
502.247949,0.8552426920263857
502.368479,0.850279636060862
502.489009,0.8495147286483741
502.609538,0.8495147286483741
502.730068,0.8517944816256332
502.850598,0.848411077030114
502.971127,0.8434876655864055
503.091657,0.8427372955282402
503.212187,0.842358149059606
503.332716,0.8404901881724499
503.453246,0.8382490725907217
503.573776,0.8408348598024565
503.694305,0.8382490725907217
503.814835,0.8367248467448634
503.935365,0.8393395050125946
504.055894,0.837871945368045
504.176424,0.8374698633416746
504.296953,0.834518806403975
504.417483,0.8311541516051745
504.538013,0.8289379299928428
504.658542,0.8256205446964135
504.779072,0.820492917845424
504.899602,0.8153889828764094
505.020131,0.8171766415206417
505.140661,0.8237567491476632
505.261191,0.824886069301666
505.38172,0.8208540141646405
505.50225,0.8150302906420221
505.62278,0.81391446365985
505.743309,0.8153645215738444
505.863839,0.807412975477067
505.984369,0.8034663290774868
506.104898,0.8077440826693487
506.225428,0.8052600582560275
506.345958,0.800971430372451
506.466487,0.8027274799774351
506.587017,0.8027515621630654
506.707547,0.7963472058391916
506.828076,0.7931285218900772
506.948606,0.7952569571580624
507.069136,0.7924229515309784
507.189665,0.7899623443791077
507.310195,0.790310004290206
507.430725,0.78890450374915
507.551254,0.7896069412958283
507.671784,0.7885574621222573
507.792314,0.7878480796763312
507.912843,0.7847029817469474
508.033373,0.7832761211571658
508.153903,0.7839735472135548
508.274432,0.7818831297916174
508.394962,0.7815313615370046
508.515491,0.7804926157452318
508.636021,0.780836108058927
508.756551,0.7794474560535173
508.87708,0.7797982863396355
508.99761,0.7780612736500794
509.11814,0.7701345801430424
509.238669,0.7666844272676889
509.359199,0.7632802614528666
509.479729,0.7602256362212522
509.600258,0.7568501481712355
509.720788,0.7531506536089432
509.841318,0.7561466047318435
509.961847,0.7632497308530245
510.082377,0.7649842757056406
510.202907,0.7626012442276596
510.323436,0.7660023816827267
510.443966,0.7697650042498839
510.564496,0.7680503408506675
510.685025,0.7711364061430378
510.805555,0.7742580987970998
510.926085,0.7728811452334742
511.046614,0.7749242471648065
511.167144,0.7794474560535173
511.287674,0.7811875633790697
511.408203,0.7836286747302911
511.528733,0.7874778780830726
511.649263,0.789583253442909
511.769792,0.7920426797867633
511.890322,0.7945494933342918
512.010852,0.7956069472113773
512.131381,0.7991552873277282
512.251911,0.8034422254491708
512.372441,0.8070255102479323
512.49297,0.8106572018352891
512.6135,0.81391446365985
512.734029,0.8164496778565046
512.854559,0.816817162889471
512.975089,0.8171766415206417
513.095618,0.8182723922092799
513.216148,0.8233861420034082
513.336678,0.8296760131488211
513.457207,0.8289379299928428
513.577737,0.8256205446964135
513.698267,0.8274637329021034
513.818796,0.828200503438642
513.939326,0.8263556740652378
514.059856,0.8289379299928428
514.180385,0.8293027429350013
514.300915,0.8285649918417233
514.421445,0.8318942080763828
514.541974,0.8344937712153125
514.662504,0.8330096935235409
514.783034,0.8322686447119416
514.903563,0.8356043863263639
515.024093,0.8356043863263639
