nu,[0]Trichloromethanol-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
884.202036,1.0
884.684152,1.0
885.166269,1.0
885.648386,1.0
886.130502,1.0
886.612619,1.0
887.094735,1.0
887.576852,1.0
888.058969,1.0
888.541085,1.0
889.023202,1.0
889.505319,1.0
889.987435,1.0
890.469552,1.0
890.951669,1.0
891.433785,1.0
891.915902,1.0
892.398018,1.0
892.880135,1.0
893.362252,1.0
893.844368,1.0
894.326485,1.0
894.808602,1.0
895.290718,1.0
895.772835,1.0
896.254952,1.0
896.737068,1.0
897.219185,1.0
897.701301,1.0
898.183418,1.0
898.665535,1.0
899.147651,1.0
899.629768,1.0
900.111885,1.0
900.594001,1.0
901.076118,1.0
901.558235,1.0
902.040351,1.0
902.522468,1.0
903.004584,1.0
903.486701,1.0
903.968818,1.0
904.450934,1.0
904.933051,1.0
905.415168,1.0
905.897284,1.0
906.379401,1.0
906.861518,1.0
907.343634,1.0
907.825751,1.0
908.307867,1.0
908.789984,1.0
909.272101,1.0
909.754217,1.0
910.236334,1.0
910.718451,1.0
911.200567,1.0
911.682684,1.0
912.164801,1.0
912.646917,1.0
913.129034,1.0
913.61115,1.0
914.093267,1.0
914.575384,1.0
915.0575,0.9988836236122868
915.539617,0.9968014263709323
916.021734,0.9969521541413319
916.50385,1.0
916.985967,1.0
917.468084,1.0
917.9502,0.9895856092462949
918.432317,0.9828939978505764
918.914433,0.9838744318315595
919.39655,0.9824684968771159
919.878667,0.9839314982035146
920.360783,0.986461481398967
920.8429,0.9851769591366974
921.325017,0.980919384160429
921.807133,0.9783341506216502
922.28925,0.9757147496398185
922.771367,0.971628256340334
923.253483,0.9667252017253387
923.7356,0.9654499662996064
924.217716,0.9663994702211984
924.699833,0.9642892283140322
925.18195,0.9655165846455875
925.664066,0.9660139537482311
926.146183,0.963362028131188
926.6283,0.9629315015344764
927.110416,0.9604196064156196
927.592533,0.9525620783350323
928.07465,0.949750462447066
928.556766,0.9500439806861947
929.038883,0.9488372418317358
929.520999,0.9482823343715215
930.003116,0.9499138335761212
930.485233,0.9527916734610125
930.967349,0.9505999190110014
931.449466,0.9529222148621583
931.931583,0.9619055634759783
932.413699,0.9553485798700826
932.895816,0.9505020122616274
933.377933,0.9463621128817029
933.860049,0.9373945569966387
934.342166,0.9360101111988671
934.824282,0.9384262583410445
935.306399,0.9371368089354474
935.788516,0.9402344687324736
936.270632,0.9440548601118076
936.752749,0.9430820411253923
937.234866,0.9387162768604256
937.716982,0.9425634886177847
938.199099,0.9422722814936195
938.681216,0.9371368089354474
939.163332,0.9404281769842975
939.645449,0.9403952625741085
940.127565,0.9360101111988671
940.609682,0.9382001248629629
941.091799,0.9378455522342135
941.573915,0.9353990961143912
942.056032,0.9381034952266137
942.538149,0.9405570244703956
943.020265,0.9389096723325085
943.502382,0.935430900224326
943.984499,0.9331829588362895
944.466615,0.9340175974293509
944.948732,0.9401366894323372
945.430848,0.9467520944028871
945.912965,0.9407507991755459
946.395082,0.936556900750816
946.877198,0.9428227292211038
947.359315,0.9507301601212182
947.841432,0.9543641230589259
948.323548,0.9524306338381009
948.805665,0.9483809608627849
949.287782,0.949326018860561
949.769898,0.9503385399745381
950.252015,0.9492937423246239
950.734131,0.9482500933202539
951.216248,0.9504687452733739
951.698365,0.9495225496867039
952.180481,0.9489349771009243
952.662598,0.9491627488269424
953.144715,0.9517441788478649
953.626831,0.9573865984313152
954.108948,0.9596928438878856
954.591065,0.9556772763141048
955.073181,0.9551193237227519
955.555298,0.9554145011963532
956.037414,0.9523658707569697
956.519531,0.9547249408877155
957.001648,0.9604522612373665
957.483764,0.9628650615530762
957.965881,0.9609806552760878
958.447998,0.9587039104486249
958.930114,0.9611123186445955
959.412231,0.9612776441809908
959.894348,0.9588026620370206
960.376464,0.955710725604135
960.858581,0.9560060858491544
961.340697,0.9618064923051932
961.822814,0.9653167433968488
962.304931,0.9604849171693963
962.787047,0.9603533397490032
963.269164,0.9614756877734818
963.751281,0.9630971399972397
964.233397,0.9607827136497884
964.715514,0.9629642417621093
965.19763,0.9636269891193902
965.679747,0.9647531630001985
966.161864,0.9615093400114646
966.64398,0.9601881731792985
967.126097,0.9680379383144109
967.608214,0.9692371114170358
968.09033,0.9604196064156196
968.572447,0.9611786376825624
969.054564,0.9661134583098642
969.53668,0.9625338929361698
970.018797,0.957880737392994
970.500913,0.9567616290572479
970.98303,0.954429976455333
971.465147,0.9605185347298011
971.947263,0.9606837581265795
972.42938,0.958605169031119
972.911497,0.9620710254622191
973.393613,0.9674756716265397
973.87573,0.9629642417621093
974.357847,0.9571233533146092
974.839963,0.9537411267170116
975.32208,0.9571893971044724
975.804196,0.9593301485466341
976.286313,0.9579468334441615
976.76843,0.9526925882794912
977.250546,0.954594152530021
977.732663,0.9565980368062152
978.21478,0.9597590649787152
978.696896,0.9571568532182201
979.179013,0.9558091688786138
979.66113,0.9555463574953936
980.143246,0.9579468334441615
980.625363,0.9561370676549645
981.107479,0.9528898160576359
981.589596,0.9624020348253244
982.071713,0.9722726594703203
982.553829,0.9638582873514564
983.035946,0.9558741661119785
983.518063,0.9558416669428197
984.000179,0.9636269891193902
984.482296,0.9599903947874974
984.964413,0.9490649900984742
985.446529,0.9543641230589259
985.928646,0.9609806552760878
986.410762,0.9630634321872299
986.892879,0.9580455070496098
987.374996,0.9592313426299258
987.857112,0.9678385430375368
988.339229,0.977553751390161
988.821346,0.9780377602794164
989.303462,0.9733262011503724
989.785579,0.9810410257056849
990.267696,0.9859969674428521
990.749812,0.9868275265057348
991.231929,0.9822121060598881
991.714045,0.9828664772039274
992.196162,0.991270425940738
992.678279,0.9952201599678249
993.160395,0.9852035592736944
993.642512,0.9926375367013998
994.124629,1.0
994.606745,1.0
995.088862,0.9917644990820841
995.570979,0.9934942545964417
996.053095,1.0
996.535212,1.0
997.017328,0.9997596088985722
997.499445,0.9953912530183497
997.981562,1.0
998.463678,1.0
998.945795,1.0
999.427912,1.0
999.910028,1.0
1000.392145,1.0
1000.874262,1.0
1001.356378,1.0
1001.838495,1.0
1002.320611,1.0
1002.802728,1.0
1003.284845,1.0
1003.766961,1.0
1004.249078,1.0
1004.731195,1.0
1005.213311,1.0
1005.695428,1.0
1006.177545,1.0
1006.659661,1.0
1007.141778,1.0
1007.623894,1.0
1008.106011,1.0
1008.588128,1.0
1009.070244,1.0
1009.552361,1.0
1010.034478,1.0
1010.516594,1.0
1010.998711,1.0
1011.480828,1.0
1011.962944,1.0
1012.445061,1.0
1012.927177,1.0
1013.409294,1.0
1013.891411,1.0
1014.373527,1.0
1014.855644,1.0
1015.337761,1.0
1015.819877,1.0
1016.301994,1.0
1016.784111,1.0
1017.266227,1.0
1017.748344,1.0
1018.23046,1.0
1018.712577,1.0
1019.194694,1.0
1019.67681,1.0
1020.158927,1.0
1020.641044,1.0
1021.12316,0.9965482709607322
1021.605277,0.9848115262768448
1022.087394,1.0
1022.56951,0.9997775447468399
1023.051627,0.9815640599486294
1023.533743,0.9828369916518968
1024.01586,0.9916043420485109
1024.497977,0.9801584859849954
1024.980093,0.9653833525501325
1025.46221,0.9682441523562877
1025.944327,0.9714417216230226
1026.426443,0.9659473010849658
1026.90856,0.9658149753692357
1027.390677,0.9655822420056684
1027.872793,0.9486085996089488
1028.35491,0.9427256234810255
1028.837026,0.952725933103612
1029.319143,0.9530203709052386
1029.80126,0.9464264676934177
1030.283376,0.954594152530021
1030.765493,0.9663463197119887
1031.24761,0.9864200508867951
1031.729726,1.0
1032.211843,1.0
1032.69396,1.0
1033.176076,1.0
1033.658193,1.0
1034.140309,1.0
1034.622426,0.9809095750156331
1035.104543,0.9255806580339259
1035.586659,0.9160548831502607
1036.068776,0.9130058417461738
1036.550893,0.9102172242412819
1037.033009,0.908716604173293
1037.515126,0.9038878373641173
1037.997243,0.9074053643398693
1038.479359,0.9046021908881245
1038.961476,0.8944645570640428
1039.443592,0.8964614387218198
1039.925709,0.9049758687521288
1040.407826,0.9033637344229913
1040.889942,0.9000724670093689
1041.372059,0.906314412025955
1041.854176,0.9064703115117948
1042.336292,0.9028309070192223
1042.818409,0.9137274013396656
1043.300526,0.9205048586962615
1043.782642,0.9121899792685191
1044.264759,0.9125978193347161
1044.746875,0.932573789279676
1045.228992,0.9394262146884181
1045.711109,0.94502868259181
1046.193225,0.9535446762799977
1046.675342,0.9520706830934867
1047.157459,0.9555788466238605
1047.639575,0.9761568485492481
1048.121692,0.9755801102946967
1048.603809,0.9741061477644116
1049.085925,0.9884126564122486
1049.568042,0.9887833806648562
1050.050158,0.9821777292377739
1050.532275,1.0
1051.014392,1.0
1051.496508,1.0
1051.978625,1.0
1052.460742,0.9954015056010566
1052.942858,0.9911102495825043
1053.424975,1.0
1053.907092,1.0
1054.389208,1.0
1054.871325,1.0
1055.353441,1.0
1055.835558,1.0
1056.317675,1.0
1056.799791,1.0
1057.281908,1.0
1057.764025,1.0
1058.246141,1.0
1058.728258,1.0
1059.210375,1.0
1059.692491,1.0
1060.174608,1.0
1060.656724,1.0
1061.138841,1.0
1061.620958,1.0
1062.103074,1.0
1062.585191,1.0
1063.067308,1.0
1063.549424,1.0
1064.031541,1.0
1064.513658,1.0
1064.995774,1.0
1065.477891,1.0
1065.960007,0.9978994093350521
1066.442124,0.9877911403386619
1066.924241,0.9857219126608618
1067.406357,0.9776915961869368
1067.888474,0.9704736768770573
1068.370591,0.966402369423958
1068.852707,0.967007526701683
1069.334824,0.9587374656727036
1069.816941,0.9607164219296372
1070.299057,0.9592313426299258
1070.781174,0.9530861315795482
1071.26329,0.946817422551196
1071.745407,0.9498815370548236
1072.227524,0.9425964789172132
1072.70964,0.9277462695631867
1073.191757,0.9153937302295514
1073.673874,0.9183240086820756
1074.15599,0.9201569736140971
1074.638107,0.9140107007432197
1075.120224,0.9016219238034753
1075.60234,0.8943393407913975
1076.084457,0.892838112084071
1076.566573,0.8960939648692313
1077.04869,0.8871155806782839
1077.530807,0.87251101529963
1078.012923,0.8578809002729354
1078.49504,0.8502201185694742
1078.977157,0.8462842355294611
1079.459273,0.8447116098466493
1079.94139,0.8382658377398244
1080.423507,0.8371684284524071
1080.905623,0.8191484122560893
1081.38774,0.7950740690908501
1081.869856,0.7785749635897216
1082.351973,0.7670525241289566
1082.83409,0.7495366974972676
1083.316206,0.7317692843619745
1083.798323,0.7196430167470754
1084.28044,0.7221228515951768
1084.762556,0.7214299463053996
1085.244673,0.7025842191843042
1085.72679,0.663623704657227
1086.208906,0.6383426952213118
1086.691023,0.6214561037817536
1087.173139,0.5908400152494259
1087.655256,0.5534853472962646
1088.137373,0.547622006059111
1088.619489,0.5397711637896112
1089.101606,0.5154731820808007
1089.583723,0.48222715500653496
1090.065839,0.45314188074916073
1090.547956,0.4211526171272066
1091.030073,0.3902100871098572
1091.512189,0.3584378482789939
1091.994306,0.3281448999528107
1092.476422,0.2950825887381732
1092.958539,0.2668149318639969
1093.440656,0.23935678881470082
1093.922772,0.21318392248864018
1094.404889,0.1877770357568095
1094.887006,0.16627703435575242
1095.369122,0.14530794934882335
1095.851239,0.1246556678412715
1096.333356,0.10606533572360234
1096.815472,0.09440134103994167
1097.297589,0.08416299025731036
1097.779705,0.07495255242325352
1098.261822,0.06582207569716306
1098.743939,0.05840230037154516
1099.226055,0.05169470089067356
1099.708172,0.04634230593474737
1100.190289,0.04194483401070374
1100.672405,0.03877033060480341
1101.154522,0.035811006095073046
1101.636639,0.03387086749471286
1102.118755,0.03193987659031536
1102.600872,0.030755082925488925
1103.082988,0.029715098361671594
1103.565105,0.029007524997008476
1104.047222,0.027362002448467197
1104.529338,0.0258098261767295
1105.011455,0.023522449875566585
1105.493572,0.020998589713790046
1105.975688,0.01786699719543701
1106.457805,0.014241429383230439
1106.939922,0.010780676072743084
1107.422038,0.009108930254653112
1107.904155,0.007592457186350091
1108.386271,0.005131280709409786
1108.868388,0.002890285479218169
1109.350505,0.003064104260819855
1109.832621,0.004644367889711337
1110.314738,0.0036889994848961056
1110.796855,0.001679095539306935
1111.278971,0.0016448600078452164
1111.761088,0.0027449291909499643
1112.243205,0.0007013524609002109
1112.725321,2.5777720129301175e-05
1113.207438,9.921711780914836e-05
1113.689554,0.007260547788720948
1114.171671,0.04672387513909307
1114.653788,0.0728247069627403
1115.135904,0.07612336736098448
1115.618021,0.07421418311297069
1116.100138,0.06715176982958831
1116.582254,0.06180938903038976
1117.064371,0.05533774796368064
1117.546488,0.05120080624950572
1118.028604,0.04738734827208718
1118.510721,0.04577120945694963
1118.992837,0.04412185681148368
1119.474954,0.04490078504896636
1119.957071,0.046231217759636414
1120.439187,0.049267039081514995
1120.921304,0.05333833369660347
1121.403421,0.06015684765892075
1121.885537,0.06796244539283947
1122.367654,0.07894530563681319
1122.849771,0.0916846781844736
1123.331887,0.1097335636470889
1123.814004,0.1295484935979923
1124.29612,0.15421616376002892
1124.778237,0.18255569033291952
1125.260354,0.21783878676890578
1125.74247,0.2545393087767563
1126.224587,0.296502389961034
1126.706704,0.34232318594378797
1127.18882,0.3968368658495972
1127.670937,0.44618572048262417
1128.153054,0.4978880631568901
1128.63517,0.551397121915903
1129.117287,0.6031496121570291
1129.599403,0.6442940871813587
1130.08152,0.6903821459434601
1130.563637,0.7275518580019916
1131.045753,0.7625249879161159
1131.52787,0.7898201639537417
1132.009987,0.8192876793235382
1132.492103,0.837252149481234
1132.97422,0.8567321097281321
1133.456337,0.8719702261321094
1133.938453,0.8863795802287601
1134.42057,0.8925256734247965
1134.902686,0.9049758687521288
1135.384803,0.914293173689572
1135.86692,0.9257398715990818
1136.349036,0.9248497380654804
1136.831153,0.9261537698210475
1137.31327,0.9262176766359248
1137.795386,0.9345959332986449
1138.277503,0.9382648629050152
1138.75962,0.9414302665107424
1139.241736,0.9398781873884035
1139.723853,0.9407188141921217
1140.205969,0.9415922064430171
1140.688086,0.9437631922250423
1141.170203,0.9404601520858886
1141.652319,0.9423043192958299
1142.134436,0.9445421181213806
1142.616553,0.954594152530021
1143.098669,0.9522020779137877
1143.580786,0.9454512048396158
1144.062903,0.946199352596073
1144.545019,0.9499138335761212
1145.027136,0.9494570348910619
1145.509252,0.9512532055335882
1145.991369,0.9501427903982019
1146.473486,0.9529222148621583
1146.955602,0.947598869227232
1147.437719,0.9503385399745381
1147.919836,0.9506645620033309
1148.401952,0.9495548340022235
1148.884069,0.9462636963397121
1149.366186,0.9509593137017047
1149.848302,0.9566630876844229
1150.330419,0.9590337613249172
1150.812535,0.9573540478403317
1151.294652,0.9598915208689285
1151.776769,0.958210305049044
1152.258885,0.9593637256894297
1152.741002,0.9575187268985533
1153.223119,0.9632955584444776
1153.705235,0.9642564430376224
1154.187352,0.9651845040616047
1154.669469,0.9608816793659413
1155.151585,0.959132546889703
1155.633702,0.9627986261558765
