nu,[0]3-3-3-Trifluoropropan-1-ol-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
670.624363,0.9999884440667703
671.106479,0.9999888670619717
671.588596,0.9999893920562646
672.070713,0.9999897170528699
672.552829,0.9999900551494504
673.034946,0.9999906797434338
673.517063,0.9999915935353345
673.999179,0.9999925486277617
674.481296,0.9999931999231206
674.963413,0.9999936641200717
675.445529,0.999994201216813
675.927646,0.9999947140139709
676.409763,0.9999951223118959
676.891879,0.9999955160100531
677.373996,0.9999961261075035
677.856113,0.9999970277044172
678.33823,0.9999977325025707
678.820346,0.9999980096019808
679.302463,0.9999982088016042
679.78458,0.9999984081012671
680.266696,0.9999983109014265
680.748813,0.9999980193019616
681.23093,0.9999979512020988
681.713046,0.9999982647015057
682.195163,0.9999987095008327
682.67728,0.9999989258005769
683.159396,0.9999988602006495
683.641513,0.9999988091007092
684.12363,0.9999988893006169
684.605747,0.9999989039006008
685.087863,0.9999989136005901
685.56998,0.9999990764804264
686.052097,0.9999992781902605
686.534213,0.9999993681101996
687.01633,0.9999994045701772
687.498447,0.999999465330143
687.980563,0.9999994313001617
688.46268,0.9999992976402466
688.944797,0.9999993365202201
689.426913,0.9999996427400638
689.90903,1.0
690.391147,1.0
690.873263,1.0
691.35538,1.0
691.837497,1.0
692.319614,1.0
692.80173,0.9999998254500152
693.283847,0.9999996670500554
693.765964,0.9999995990000804
694.24808,0.9999996476000621
694.730197,0.9999997083600425
695.212314,0.9999995285201111
695.69443,0.9999992004203196
696.176547,0.9999990886304153
696.658664,0.9999992636102711
697.14078,0.9999994434601549
697.622897,0.999999516360117
698.105014,0.9999995431001044
698.58713,0.9999994507501508
699.069247,0.9999991712603434
699.551364,0.9999990108604891
700.033481,0.9999992417402874
700.515597,0.9999996305900682
700.997714,0.9999997569700295
701.479831,0.9999995576800979
701.961947,0.9999993875601876
702.444064,0.999999436160159
702.926181,0.9999995576800979
703.408297,0.9999996719100538
703.890414,0.9999997945600211
704.372531,0.9999999074530043
704.854647,0.9999999459250014
705.336764,0.9999998244800155
705.818881,0.9999996184400728
706.300998,0.9999995406701055
706.783114,0.9999994774801365
707.265231,0.9999993292302249
707.747348,0.9999992976402466
708.229464,0.9999993656802012
708.711581,0.999999385130189
709.193698,0.999999389990186
709.675814,0.9999993778401935
710.157931,0.9999993462402137
710.640048,0.9999993632502028
711.122164,0.999999465330143
711.604281,0.9999997107900418
712.086398,0.9999998754000078
712.568514,0.9999996670500554
713.050631,0.9999992368802911
713.532748,0.9999990254404749
714.014865,0.9999990618904401
714.496981,0.9999990813404219
714.979098,0.9999991129303935
715.461215,0.9999992757602623
715.943331,0.9999994167201701
716.425448,0.9999993656802012
716.907565,0.9999991955603236
717.389681,0.9999991299403785
717.871798,0.9999992709002657
718.353915,0.9999994410201563
718.836031,0.9999993948501831
719.318148,0.9999991275103807
719.800265,0.9999988237006918
720.282381,0.9999987484007833
720.764498,0.9999988675006413
721.246615,0.9999989501005512
721.728732,0.9999989914005086
722.210848,0.9999989963005037
722.692965,0.9999989258005769
723.175082,0.9999989209005822
723.657198,0.9999990303004701
724.139315,0.9999991153603913
724.621432,0.9999990400204608
725.103548,0.9999988918006141
725.585665,0.9999987678007591
726.067782,0.9999987192008202
726.549898,0.9999987144008264
727.032015,0.9999987046008391
727.514132,0.9999987071008358
727.996249,0.9999987168008233
728.478365,0.9999986171009562
728.960482,0.9999984665011759
729.442599,0.999998476201161
729.924715,0.9999986706008837
730.406832,0.9999988262006889
730.888949,0.999998955000546
731.371065,0.9999992466002838
731.853182,0.9999995285201111
732.335299,0.9999994070001759
732.817415,0.9999989623005384
733.299532,0.9999986925008548
733.781649,0.9999986998008452
734.263765,0.9999987460007863
734.745882,0.9999988456006663
735.227999,0.9999991202203871
735.710116,0.9999992150003081
736.192232,0.9999989477005536
736.674349,0.9999988213006946
737.156466,0.9999989695005309
737.638582,0.999998984100516
738.120699,0.9999989234005795
738.602816,0.9999991153603913
739.084932,0.999999492060129
739.567049,0.9999996864900491
740.049166,0.9999996062900776
740.531282,0.9999994458901535
741.013399,0.9999991226503848
741.495516,0.9999987216008172
741.977632,0.9999987800007442
742.459749,0.9999991469603638
742.941866,0.9999992879102535
743.423983,0.9999991080703978
743.906099,0.999998955000546
744.388216,0.9999989574005435
744.870333,0.9999989112005927
745.352449,0.9999989209005822
745.834566,0.9999989428005588
746.316683,0.999998959800541
746.798799,0.9999989938005062
747.280916,0.9999990011404989
747.763033,0.9999990084304916
748.245149,0.9999990205804796
748.727266,0.9999990278704726
749.209383,0.9999990351604655
749.6915,0.9999990400204608
750.173616,0.9999990521704492
750.655733,0.9999992052803158
751.13785,0.9999992490302819
751.619966,0.9999992660402693
752.102083,0.9999992879102535
752.5842,0.9999994215801673
753.066316,0.999999492060129
753.548433,0.9999995333801088
754.03055,0.9999996937800469
754.512666,0.9999997278000371
754.994783,0.9999996087200765
755.4769,0.9999994847701328
755.959016,0.9999995285201111
756.441133,0.9999997278000371
756.92325,0.9999999289860025
757.405367,0.9999996427400638
757.887483,0.9999990448804561
758.3696,0.9999987873007353
758.851717,0.9999989039006008
759.333833,0.9999993219402299
759.81595,0.9999997765800249
760.298067,0.9999998350300137
760.780183,0.9999995017801241
761.2623,0.9999991396603701
761.744417,0.9999991056404
762.226533,0.9999994070001759
762.70865,0.9999996184400728
763.190767,0.9999995017801241
763.672883,0.9999993025002433
764.155,0.9999991955603236
764.637117,0.9999992077103138
765.119234,0.9999994240101658
765.60135,0.9999996840600499
766.083467,0.9999997659400274
766.565584,0.9999997083600425
767.0477,0.9999995990000804
767.529817,0.9999995188001157
768.011934,0.9999995236601135
768.49405,0.9999996548900596
