nu,[0]PFC-51-14-HITRAN(x-sec)-X=0.01-T=297.0K-P=0.0atm-L=15cm
741.46232,0.9998970952950524
741.522585,0.9998963253745855
741.58285,0.9998953554756203
741.643115,0.9998948655270161
741.70338,0.9998946655480629
741.763645,0.9998944155744278
741.82391,0.9998939256262842
741.884175,0.999893155708258
741.94444,0.9998919758350303
742.004705,0.9998912459141543
742.06497,0.9998910059402841
742.125235,0.9998905159938113
742.1855,0.9998892561325549
742.245765,0.999887266354915
742.30603,0.9998851165996033
742.366295,0.9998839367358618
742.42656,0.9998839767312201
742.486825,0.9998846666514021
742.54709,0.9998851965904159
742.607355,0.9998856365399991
742.66762,0.9998851565950088
742.727885,0.9998843766848908
742.78815,0.9998836867649089
742.848415,0.9998837267602572
742.90868,0.9998847066467895
742.968945,0.9998864164510998
743.02921,0.9998881562549781
743.089475,0.9998903560113416
743.14974,0.999892545773619
743.210005,0.9998950255102074
743.27027,0.9998977052324666
743.330535,0.9999003489654942
743.3908,0.9999027877254194
743.451065,0.9999049825144473
743.51133,0.9999071763083854
743.571595,0.9999096150849626
743.63186,0.9999118088890647
743.692125,0.9999137197223573
743.75239,0.9999154265765337
743.812655,0.9999166464740982
743.87292,0.9999173774134339
743.933185,0.9999178253765193
743.99345,0.9999175423998148
744.053715,0.9999170544401732
744.11398,0.9999166064774332
744.174245,0.9999168904537897
744.23451,0.9999178653732331
744.294775,0.9999193282541403
744.35504,0.9999207911371877
744.415305,0.9999217270634861
744.47557,0.9999222540223752
744.535835,0.9999227019876453
744.5961,0.9999234339313311
744.656365,0.9999242048725958
744.71663,0.9999249368173817
744.776895,0.9999253847838537
744.83716,0.9999254237809445
744.897425,0.9999258717476347
744.95769,0.9999266036936407
745.017955,0.9999273346402552
745.07822,0.9999281065844555
745.138485,0.9999288375321685
745.19875,0.9999298134631902
745.259015,0.99993050441493
745.31928,0.9999309923811353
745.379545,0.9999314803475786
745.43981,0.9999322512950471
745.500075,0.9999334712131379
745.56034,0.9999349341168764
745.620605,0.9999359090539125
745.68087,0.999936884991836
745.741135,0.9999381439131666
745.8014,0.9999398108114419
745.861665,0.9999415177101558
745.92193,0.9999429806256663
745.982195,0.9999441995569026
746.04246,0.9999454184896248
746.102725,0.9999463544389746
746.16299,0.9999465984259148
746.223255,0.9999461104520938
746.28352,0.9999458264674388
746.343785,0.9999456624763368
746.40405,0.9999463944368295
746.464315,0.9999473693850394
746.52458,0.9999485883216256
746.584845,0.9999498082596475
746.64511,0.9999513111853389
746.705375,0.9999532220941204
746.76564,0.9999549290157274
746.825905,0.9999561479615288
746.88617,0.9999565959419834
746.946435,0.9999565959419834
747.0067,0.9999570829209642
747.066965,0.9999578548881302
747.12723,0.999959317827542
747.187495,0.9999605367786935
747.24776,0.9999614727421938
747.308025,0.9999614727421938
747.36829,0.9999614727421938
747.428555,0.9999609847611143
747.48882,0.9999604967802728
747.549085,0.9999600087996694
747.60935,0.9999597248110672
747.669615,0.9999594818208836
747.72988,0.9999592778291702
747.790145,0.9999595218192636
747.85041,0.9999605367786935
747.910675,0.9999625277021041
747.97094,0.9999647226222613
748.031205,0.9999666335566721
748.09147,0.9999675685259116
748.151735,0.9999675685259116
748.212,0.9999675685259116
748.272265,0.9999673245338546
748.33253,0.9999670405431749
748.392795,0.9999660655757856
748.45306,0.9999650896093819
748.513325,0.9999643986337436
748.57359,0.9999639106512362
748.633855,0.9999634226689669
748.69412,0.9999626916959721
748.754385,0.9999619597235496
748.81465,0.9999616757343934
748.874915,0.9999611877532147
748.93518,0.9999602527899413
748.995445,0.9999595218192636
749.05571,0.9999595218192636
749.115975,0.9999600497980305
749.17624,0.9999607407706638
749.236505,0.9999612287516243
749.29677,0.9999617567312924
749.357035,0.9999632196764127
749.4173,0.9999647226222613
749.477565,0.9999659015813643
749.53783,0.9999663495661886
749.598095,0.999966105574429
749.65836,0.999965861582729
749.718625,0.9999656175910886
749.77889,0.9999656175910886
749.839155,0.9999656575897141
749.89942,0.999965861582729
749.959685,0.9999656175910886
750.01995,0.9999651296079862
750.080215,0.9999646016265372
750.14048,0.9999643986337436
750.200745,0.9999651706065574
750.26101,0.9999666735553383
750.321275,0.9999683405011726
750.38154,0.9999690314795345
750.441805,0.9999687874871206
750.50207,0.9999687874871206
750.562335,0.9999693154707798
750.6226,0.999970291441308
750.682865,0.9999712664128174
750.74313,0.9999714694070051
750.803395,0.9999709414222087
750.86366,0.9999697624571637
750.923925,0.99996874748837
750.98419,0.9999680155115147
751.044455,0.9999673245338546
751.10472,0.9999668365499194
751.164985,0.999966592558041
751.22525,0.999966592558041
751.285515,0.999966592558041
751.34578,0.9999670805418572
751.406045,0.9999680965089272
751.46631,0.9999695594633226
751.526575,0.9999707384281281
751.58684,0.9999714694070051
751.647105,0.9999714694070051
751.70737,0.9999707384281281
751.767635,0.9999699664510161
751.8279,0.9999695194645409
751.888165,0.9999697624571637
751.94843,0.999970291441308
752.008695,0.9999707784269585
752.06896,0.9999709414222087
752.129225,0.9999702104437176
752.18949,0.9999692344732686
752.249755,0.9999680155115147
752.31002,0.9999672835351953
752.370285,0.9999670405431749
752.43055,0.9999668365499194
752.490815,0.9999668365499194
752.55108,0.9999668365499194
752.611345,0.9999673245338546
752.67161,0.9999683814998753
752.731875,0.9999700474485866
752.79214,0.9999712664128174
752.852405,0.9999719573932012
752.91267,0.9999722013863886
752.972935,0.9999721603875292
753.0332,0.9999717134000734
753.093465,0.9999712264139675
753.15373,0.9999709824210181
753.213995,0.9999704944352977
753.27426,0.9999702104437176
753.334525,0.9999697624571637
753.39479,0.9999695194645409
753.455055,0.9999692344732686
753.51532,0.9999685434947663
753.575585,0.9999677715193487
753.63585,0.9999670395432078
753.696115,0.9999671215405084
753.75638,0.9999686254921901
753.816645,0.9999705354340889
753.87691,0.9999717134000734
753.937175,0.9999717134000734
753.99744,0.9999717134000734
754.057705,0.9999717134000734
754.11797,0.9999717134000734
754.178235,0.9999714694070051
754.2385,0.9999709414222087
754.298765,0.9999699664510161
754.35903,0.9999687064896521
754.419295,0.9999672835351953
754.47956,0.999966592558041
754.539825,0.999966592558041
754.60009,0.999966592558041
754.660355,0.9999663085675691
754.72062,0.9999653735995077
754.780885,0.9999646426250867
754.84115,0.9999646426250867
754.901415,0.9999654145980889
754.96168,0.9999668775485605
755.021945,0.9999680565102042
755.08221,0.9999690724782656
755.142475,0.9999698034559248
755.20274,0.9999707384281281
755.263005,0.9999709824210181
755.32327,0.9999709824210181
755.383535,0.9999706974293288
755.4438,0.9999699654510461
755.504065,0.9999687054896834
755.56433,0.9999672425365375
755.624595,0.9999660645758195
755.68486,0.9999655765924991
755.745125,0.9999651296079862
755.80539,0.9999648456179298
755.865655,0.9999641136439307
755.92592,0.9999634226689669
755.986185,0.9999631386793951
756.04645,0.9999629356868986
756.106715,0.9999629356868986
756.16698,0.9999632196764127
756.227245,0.9999636666600717
756.28751,0.9999641956409914
756.347775,0.9999651706065574
756.40804,0.9999664315634326
756.468305,0.9999678535167092
756.52857,0.9999685844934774
756.588835,0.9999682585037719
756.6491,0.9999667955512799
756.709365,0.9999653326009281
756.76963,0.9999639106512362
756.829895,0.9999631786779215
756.89016,0.9999629356868986
756.950425,0.9999629356868986
757.01069,0.9999629356868986
757.070955,0.9999626506975026
757.13122,0.9999622037142976
757.191485,0.9999622447127487
757.25175,0.9999632206763759
757.312015,0.9999644396322849
757.37228,0.9999648856165244
757.432545,0.9999643576352042
757.49281,0.9999636256615623
757.553075,0.9999636666600717
757.61334,0.9999646836236379
757.673605,0.9999661465730402
757.73387,0.9999670805418572
757.794135,0.9999668365499194
757.8544,0.9999658205841295
757.914665,0.9999643576352042
757.97493,0.9999626506975026
758.035195,0.9999616747344318
758.09546,0.999961513740615
758.155725,0.9999622447127487
758.21599,0.9999631786779215
758.276255,0.9999634226689669
758.33652,0.9999634226689669
758.396785,0.9999634226689669
758.45705,0.9999639106512362
758.517315,0.9999646836236379
758.57758,0.9999656175910886
758.637845,0.9999663495661886
758.69811,0.999966592558041
758.758375,0.9999668365499194
758.81864,0.9999670805418572
758.878905,0.9999673245338546
758.93917,0.9999678125180281
758.999435,0.9999683415011409
759.0597,0.9999687874871206
759.119965,0.9999687874871206
759.18023,0.9999680565102042
759.240495,0.9999672835351953
759.30076,0.9999665515594116
759.361025,0.9999663495661886
759.42129,0.9999671215405084
759.481555,0.9999685844934774
759.54182,0.9999703334400611
759.602085,0.9999720403908772
759.66235,0.9999732183586345
759.722615,0.9999737053457105
759.78288,0.9999741523340566
759.843145,0.9999741933329978
759.90341,0.9999743543288558
759.963675,0.9999741103351432
