nu,[0]Halon-1201-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
594.030412,0.9671371143924424
594.15094,0.968326456607119
594.271468,0.9708541771315706
594.391997,0.9684136099100535
594.512525,0.9646721271380604
594.633053,0.96579565926289
594.753581,0.9695715559088323
594.874109,0.9720753081522843
594.994638,0.9770699820260184
595.115166,0.9672860649769595
595.235694,0.9548423792777577
595.356222,0.9571673820015136
595.476751,0.9608797576045043
595.597279,0.9645727710258928
595.717807,0.9732415254543185
595.838335,0.9721618267047283
595.958863,0.961011407149084
596.079392,0.9620315813587847
596.19992,0.9720189294194105
596.320448,0.970914371956573
596.440976,0.9622297802783325
596.561505,0.9633177144971153
596.682033,0.9720189294194105
596.802561,0.9721355786897571
596.923089,0.9671670961077028
597.043617,0.9646393288433118
597.164146,0.964605567057637
597.284674,0.9658623014625086
597.405202,0.9658623014625086
597.52573,0.9671071336066008
597.646259,0.9646393288433118
597.766787,0.9633841857126463
597.887315,0.9621633887140286
598.007843,0.9694823594287897
598.128371,0.9795597920696751
598.2489,0.9796802853342836
598.369428,0.9771305622428713
598.489956,0.9771598765994518
598.610484,0.9746430281487926
598.731013,0.9795627307534595
598.851541,0.9821767470605357
598.972069,0.9771872374590468
599.092597,0.9808252204194815
599.213125,0.9872233236958965
599.333654,0.9847445613698906
599.454182,0.9809429265081558
599.57471,0.9771305622428713
599.695238,0.9858579516712849
599.815767,0.9860433103893727
599.936295,0.9809429265081558
600.056823,0.9834131029131181
600.177351,0.9784496008628538
600.297879,0.9746430281487926
600.418408,0.9758386732820076
600.538936,0.9808526839101402
600.659464,0.9784496008628538
600.779992,0.9771305622428713
600.900521,0.9871285548058012
601.021049,0.9873141524197337
601.141577,0.975988964009782
601.262105,0.979556853394707
601.382633,0.9809125177487723
601.503162,0.9758991771553517
601.62369,0.9833186997866611
601.744218,0.9885263304038653
601.864746,0.9847445613698906
601.985274,0.9909806208397635
602.105803,0.9949158681714937
602.226331,0.9885905867036486
602.346859,0.9910485053373085
602.467387,0.9860778225091948
602.587916,0.9871591562653204
602.708444,0.9936046379398085
602.828972,0.9848420559073662
602.9495,0.9821767470605357
603.070028,0.9834426057487459
603.190557,0.9846805550536294
603.311085,0.9872233236958965
603.431613,0.983506531595687
603.552141,0.9809429265081558
603.67267,0.9796802853342836
603.793198,0.9846195067517329
603.913726,0.9960753217598811
604.034254,0.9949840222427138
604.154782,0.9923563623174844
604.275311,0.9987070365983841
604.395839,0.9912114471050323
604.516367,0.9872874952974912
604.636895,0.9910451357781186
604.757424,0.9910451357781186
604.877952,0.9999022767752255
604.99848,0.9975476120288305
605.119008,0.9823054206423363
605.239536,0.9871216449301021
605.360065,0.9936046379398085
605.480593,0.9948852252346576
605.601121,0.9911435514463584
605.721649,0.9872874952974912
605.842178,0.9935400557372868
605.962706,0.9961981454189771
606.083234,0.9987371980063243
606.203762,0.9937340136858466
606.32429,0.9835409549266977
606.444819,0.9883938767501841
606.565347,0.9986710837922209
606.685875,0.996266387329197
606.806403,0.9949158681714937
606.926932,0.9974844692634787
607.04746,0.9999355690757612
607.167988,1.0
607.288516,1.0
607.409044,1.0
607.529573,1.0
607.650101,1.0
607.770629,1.0
607.891157,1.0
608.011686,1.0
608.132214,1.0
608.252742,1.0
608.37327,1.0
608.493798,1.0
608.614327,1.0
608.734855,1.0
608.855383,1.0
608.975911,1.0
609.096439,1.0
609.216968,1.0
609.337496,1.0
609.458024,1.0
609.578552,1.0
609.699081,1.0
609.819609,1.0
609.940137,1.0
610.060665,1.0
610.181193,1.0
610.301722,1.0
610.42225,1.0
610.542778,1.0
610.663306,1.0
610.783835,1.0
610.904363,1.0
611.024891,1.0
611.145419,1.0
611.265947,1.0
611.386476,1.0
611.507004,1.0
611.627532,1.0
611.74806,1.0
611.868589,1.0
611.989117,1.0
612.109645,1.0
612.230173,1.0
612.350701,1.0
612.47123,1.0
612.591758,1.0
612.712286,1.0
612.832814,1.0
612.953343,1.0
613.073871,1.0
613.194399,1.0
613.314927,1.0
613.435455,1.0
613.555984,1.0
613.676512,1.0
613.79704,1.0
613.917568,1.0
614.038097,1.0
614.158625,1.0
614.279153,1.0
614.399681,1.0
614.520209,1.0
614.640738,1.0
614.761266,1.0
614.881794,1.0
615.002322,1.0
615.122851,1.0
615.243379,1.0
615.363907,1.0
615.484435,1.0
615.604963,1.0
615.725492,1.0
615.84602,1.0
615.966548,1.0
616.087076,1.0
616.207605,1.0
616.328133,1.0
616.448661,1.0
616.569189,1.0
616.689717,1.0
616.810246,1.0
616.930774,1.0
617.051302,1.0
617.17183,1.0
617.292358,1.0
617.412887,1.0
617.533415,1.0
617.653943,1.0
617.774471,1.0
617.895,1.0
618.015528,1.0
618.136056,1.0
618.256584,1.0
618.377112,1.0
618.497641,1.0
618.618169,1.0
618.738697,1.0
618.859225,1.0
618.979754,1.0
619.100282,1.0
619.22081,1.0
619.341338,1.0
619.461866,1.0
619.582395,1.0
619.702923,1.0
619.823451,1.0
619.943979,1.0
620.064508,1.0
620.185036,1.0
620.305564,1.0
620.426092,1.0
620.54662,1.0
620.667149,1.0
620.787677,1.0
620.908205,1.0
621.028733,1.0
621.149262,1.0
621.26979,1.0
621.390318,1.0
621.510846,1.0
621.631374,1.0
621.751903,1.0
621.872431,1.0
621.992959,1.0
622.113487,1.0
622.234016,0.9937476279350914
622.354544,0.9910790301013518
622.475072,0.9935978814512426
622.5956,0.9898775800646008
622.716128,0.9935604235171984
622.836657,0.9962357027970116
622.957185,0.9886410061092544
623.077713,0.9884887671170168
623.198241,0.9948409538271809
623.31877,0.9936727021886813
623.439298,0.9936353407974776
623.559826,0.9936353407974776
623.680354,0.9898746104363151
