nu,[0]HFE-227ea-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
721.728728,0.9999986390009261
722.210845,0.9999988091007092
722.692962,0.999998906400598
723.175078,0.9999984932011352
723.657195,0.9999979099021843
724.139312,0.9999974725031942
724.621428,0.9999967677052238
725.103545,0.9999956983092523
725.585662,0.9999947991135246
726.067778,0.9999942644164486
726.549895,0.9999936811199642
727.032012,0.9999925875274726
727.514128,0.9999914696363837
727.996245,0.9999910321402115
728.478362,0.9999909349410879
728.960478,0.999990424545845
729.442595,0.9999889910605988
729.924712,0.9999865850899807
730.406828,0.9999840811267066
730.888945,0.9999825991513965
731.371062,0.9999815541701265
731.853179,0.9999805091899483
732.335295,0.9999799252015015
732.817412,0.9999802171956823
733.299529,0.9999813111746383
733.781645,0.9999824291543691
734.263762,0.9999822591573706
734.745879,0.9999804361913738
735.227995,0.9999781512386876
735.710112,0.9999773012576203
736.192229,0.999979123217923
736.674345,0.9999819181634784
737.156462,0.9999825261526695
737.638579,0.9999804361913738
738.120695,0.9999782732360295
738.602812,0.9999780062418663
739.084929,0.9999790022204564
739.567045,0.9999804361913738
740.049162,0.999981845164801
740.531279,0.9999829631451289
741.013396,0.9999844221213364
741.495512,0.9999862930939405
741.977629,0.9999877030756078
742.459746,0.9999883830674771
742.941862,0.9999889660608744
743.423979,0.9999898660513488
743.906096,0.9999909835406485
744.388212,0.9999918098335396
744.870329,0.9999923202294896
745.352446,0.9999933409221717
745.834562,0.9999944832152176
746.316679,0.9999948477132731
746.798796,0.9999954310104379
747.280912,0.9999977155026095
747.763029,0.9999998541800106
748.245146,0.9999992709002657
748.727262,0.999998566101028
749.209379,0.9999986390009261
749.691496,0.9999997326600357
750.173612,0.9999977398025542
750.655729,0.9999967434053028
751.137846,0.9999972780037046
751.619963,0.999998323101406
752.102079,0.9999988091007092
752.584196,0.9999988577006524
753.066313,0.999998979300521
753.548429,0.9999991250803827
754.030546,0.9999988334006805
754.512663,0.999998323101406
754.994779,0.9999982259015737
755.476896,0.9999987848007383
755.959013,0.999999465330143
756.441129,0.9999999027870047
756.923246,0.9999996840600499
757.405363,0.9999995868400854
757.887479,0.9999995139301181
758.369596,0.9999986633008934
758.851713,0.9999987119008296
759.333829,0.9999989307005717
759.815946,0.9999988577006524
760.298063,0.9999984689011722
760.78018,0.9999981530017057
761.262296,0.9999986390009261
761.744413,0.9999996111500756
762.22653,0.9999997812700239
762.708646,0.9999998784800074
763.190763,0.9999995868400854
763.67288,0.9999987848007383
764.154996,0.9999980071019858
764.637113,0.9999981286017511
765.11923,0.9999988820006249
765.601346,0.999998955000546
766.083463,0.9999983474013655
766.56558,0.9999980071019858
767.047696,0.9999979342021338
767.529813,0.9999976669027216
768.01193,0.999997496803133
768.494046,0.9999977641024996
768.976163,0.9999983717013257
769.45828,0.9999992952102483
769.940397,0.9999996354500664
770.422513,0.9999989307005717
770.90463,0.9999988334006805
771.386747,0.999999465330143
771.868863,0.999999465330143
772.35098,0.9999988820006249
772.833097,0.9999987119008296
773.315213,0.9999987848007383
773.79733,0.9999993681101996
774.279447,0.9999995139301181
774.761563,0.9999988577006524
775.24368,0.9999984689011722
775.725797,0.9999984446012097
776.207913,0.9999984203012477
776.69003,0.9999984689011722
777.172147,0.9999983474013655
777.654263,0.9999977884024456
778.13638,0.9999973752034448
778.618497,0.999997496803133
779.100614,0.9999977884024456
779.58273,0.9999983717013257
780.064847,0.9999994167201701
780.546964,0.9999997569700295
781.02908,0.9999998784800074
781.511197,0.9999996840600499
781.993314,0.9999996354500664
782.47543,0.9999997569700295
782.957547,0.9999998298800145
783.439664,0.9999994896301302
783.92178,0.9999986876008612
784.403897,0.9999981530017057
784.886014,0.9999981530017057
785.36813,0.9999984446012097
785.850247,0.9999988334006805
786.332364,0.9999991250803827
786.81448,0.999999465330143
787.296597,0.999999465330143
787.778714,0.9999991493903617
788.260831,0.9999991250803827
788.742947,0.9999991250803827
789.225064,0.9999987362007986
789.707181,0.9999983717013257
