nu,[0]3-3-Dimethyl-2-pentanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
538.036761,0.8806367972214146
538.171363,0.9007387671355971
538.305966,0.8554993033237637
538.440569,0.8686717136046543
538.575172,0.8233779081831574
538.709774,0.8280265995934628
538.844377,0.8242016979175585
538.97898,0.8897275381816153
539.113582,0.8738120257244952
539.248185,0.88046949212443
539.382788,0.819500721814486
539.51739,0.8543793329771516
539.651993,0.8834151767830994
539.786596,0.8651434047093909
539.921198,0.8610092769413211
540.055801,0.8724237685605097
540.190404,0.8309879373968283
540.325007,0.8445342390331687
540.459609,0.8316114121236731
540.594212,0.85628672484118
540.728815,0.8871776809424153
540.863417,0.8618190061747626
540.99802,0.9005586373957444
541.132623,0.8496421654151899
541.267225,0.8778320418016284
541.401828,0.8923828807407679
541.536431,0.8665634039742424
541.671033,0.8708809442924277
541.805636,0.8579323746711682
541.940239,0.8603551584873431
542.074841,0.8562011004499868
542.209444,0.8790970305151065
542.344047,0.8455990228472825
542.47865,0.8714210578958044
542.613252,0.8657492171022876
542.747855,0.8905286534137579
542.882458,0.8821616174698197
543.01706,0.8596757463152812
543.151663,0.8902348274420832
543.286266,0.8715692120683945
543.420868,0.8749399706057105
543.555471,0.9052971922170763
543.690074,0.877533629640358
543.824676,0.88763025695677
543.959279,0.8641577031846428
544.093882,0.8736460172109157
544.228485,0.8987952711299015
544.363087,0.9074897569629491
544.49769,0.885803620708734
544.632293,0.8876213806985818
544.766895,0.8802405998137676
544.901498,0.8751937399919686
545.036101,0.88046949212443
545.170703,0.9148647855332219
545.305306,0.8975737403903464
545.439909,0.8727640801867019
545.574511,0.8867342029806736
545.709114,0.894571899251293
545.843717,0.86992350194354
545.97832,0.8885183311768307
546.112922,0.8818705521644714
546.247525,0.9108509559424033
546.382128,0.8782095907468089
546.51673,0.8772616363763036
546.651333,0.9093874845515832
546.785936,0.8956549863849572
546.920538,0.9012072730955002
547.055141,0.8954669185856265
547.189744,0.8977353182051837
547.324346,0.887222040935453
547.458949,0.9020818682604823
547.593552,0.9033276005962958
547.728155,0.9050708962072018
547.862757,0.8982920866828639
547.99736,0.8999374662646266
548.131963,0.8875059974191667
548.266565,0.8964435096723364
548.401168,0.8892116458327133
548.535771,0.8805135166996415
548.670373,0.8981034651506146
548.804976,0.9021359947963578
548.939579,0.9034631098993289
549.074181,0.903074704275266
549.208784,0.915875353987596
549.343387,0.9212166840370832
549.47799,0.9145684173569464
549.612592,0.8992807516442535
549.747195,0.9198386543736309
549.881798,0.915401968810197
550.0164,0.8966407489399882
550.151003,0.9001534771768027
550.285606,0.9107571431253842
550.420208,0.911679295884822
550.554811,0.9133692903926718
550.689414,0.9008198372727407
550.824016,0.9152591772410946
550.958619,0.9407696143796808
551.093222,0.9030114912584482
551.227825,0.9053623759615025
551.362427,0.9324367110081517
551.49703,0.9313380159338887
551.631633,0.9124737144706087
551.766235,0.9016038915453224
551.900838,0.9108855689363718
552.035441,0.9143635769744377
