nu,[0]Trimethylamine-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
662.777256,0.9998489814044563
662.895258,0.999923670913213
663.01326,1.0
663.131263,0.999927798606646
663.249265,0.9999017868232298
663.367267,1.0
663.48527,0.9999932507227764
663.603272,0.9999018888132173
663.721274,1.0
663.839277,0.9997039538303181
663.957279,0.9999186733071947
664.075282,0.999939865808133
664.193284,0.9999059654215282
664.311286,0.9997175598937187
664.429289,0.9999846601176572
664.547291,0.9998010497932177
664.665293,0.9998891661425259
664.783296,0.9998455619267872
664.901298,1.0
665.0193,0.9998117077292151
665.137303,0.9999853431074133
665.255305,0.9998831668255269
665.373307,0.999654799595375
665.49131,0.9999100270478088
665.609312,0.9999381429132285
665.727315,0.9999577678918006
665.845317,0.9999702334430327
665.963319,0.9998615495851434
666.081322,0.9999158825380721
666.199324,0.9998482015225549
666.317326,0.9996196523505134
666.435329,0.9998906759763067
666.553331,0.9999948015135122
666.671333,1.0
666.789336,0.9997112916842691
666.907338,0.9998424324150761
667.025341,0.9997326357481936
667.143343,0.9998823169251964
667.261345,0.9997835034387635
667.379348,0.9998641292312691
667.49735,0.9996911676985161
667.615352,0.9998606497101538
667.733355,0.9998098480811682
667.851357,0.9997631580514835
667.969359,0.9997830435384577
668.087362,0.9998138873211138
668.205364,0.9998713782724837
668.323366,0.9999270306623916
668.441369,0.9999190512765247
668.559371,0.9998257551823919
668.677374,0.9997006748067271
668.795376,0.9996802611273718
668.913378,0.9996745929563606
669.031381,0.9997550000173987
669.149383,0.9999997433100329
669.267385,0.9997030740912257
669.385388,0.9997868727148473
669.50339,0.9999203091754825
669.621392,0.9998968453208098
669.739395,0.9999102980234629
669.857397,0.9997848731431015
669.9754,0.9998182465191655
670.093402,0.999638165477906
670.211404,0.9998385530339643
670.329407,0.9997384142195279
670.447409,0.9997090523334837
670.565411,0.9995516305476391
670.683414,0.9999108109775774
670.801416,0.999790132025365
670.919418,0.9999822271579388
671.037421,0.9996079168846821
671.155423,0.9999750893102763
671.273425,0.9997086224586836
671.391428,0.9997927514789424
671.50943,0.9996748628685371
671.627433,0.9996476520891102
671.745435,0.9997763650100332
671.863437,0.99963440684547
671.98144,0.999697485766661
672.099442,0.9996319977294524
672.217444,0.9998564902985025
672.335447,0.999682900286745
672.453449,0.9994456736956269
672.571451,0.9996680351125405
672.689454,0.9998113377989517
672.807456,0.9995964214597367
672.925459,0.9995395860230594
673.043461,0.9996856594153574
673.161463,0.9997989302172389
673.279466,0.9996371358511258
673.397468,0.9995485619288436
673.51547,0.9996039084649723
673.633473,0.9998772875297912
673.751475,0.9996798512585489
673.869477,0.9995063318942179
673.98748,0.9997285068609341
674.105482,0.9996440433675999
674.223484,0.999603408663143
674.341487,0.9997844232400098
674.459489,0.9995993802695233
674.577492,0.9996024590403558
674.695494,0.9995448935923527
674.813496,0.9997741655044496
674.931499,0.9996033186988402
675.049501,0.9996152940183303
675.167503,0.9996664356449639
675.285506,0.9995264921402476
675.403508,0.9996557592644433
675.52151,0.9997156204435338
675.639513,0.9995604466318994
675.757515,0.9994946877132788
675.875518,0.9996161436916914
675.99352,0.9994307021115724
676.111522,0.9995644248903937
676.229525,0.9995379067979654
676.347527,0.9996652360459609
676.465529,0.9995694427164014
676.583532,0.9996399248426254
676.701534,0.9998692585474087
676.819536,0.9993579961727043
676.937539,0.9996096662000673
677.055541,0.999426824327971
677.173543,0.9994504410628605
677.291546,0.9996986954013506
677.409548,0.9996304882862755
677.527551,0.9995551389800196
677.645553,0.9994208877502662
677.763555,0.9995496814238598
677.881558,0.9993283556541088
677.99956,0.9995341585378429
678.117562,0.9994072557423278
678.235565,0.9996722237303828
678.353567,0.9995150976031861
678.471569,0.999661237393014
678.589572,0.9995532398270597
678.707574,0.9994671620086099
678.825577,0.999592662984258
678.943579,0.9996404646483306
679.061581,0.9997678269563336
679.179584,0.9996708241902492
679.297586,0.999465942659416
679.415588,0.999611055658469
679.533591,0.9995197853399866
679.651593,0.999437298375974
679.769595,0.9995981607590233
679.887598,0.9993988007927087
680.0056,0.9996754726703895
680.123602,0.9994314217019369
680.241605,0.9997171600067747
680.359607,0.9994096942990068
680.47761,0.999434360034636
680.595612,0.9994534394186813
680.713614,0.9993981711716625
680.831617,0.9992202641521121
680.949619,0.9994952674203658
681.067621,0.9993145550248108
681.185624,0.9993539487810158
681.303626,0.9993938337930117
681.421628,0.9993727168244052
681.539631,0.9994999350741636
681.657633,0.9995249628658844
681.775636,0.9993820909844539
681.893638,0.9992837166534813
682.01164,0.9993534391106319
682.129643,0.9995092604520607
682.247645,0.9995444437972518
682.365647,0.9993533291817596
682.48365,0.9993311138041767
682.601652,0.9994020788261513
682.719654,0.9991961532580371
682.837657,0.9993820110338897
682.955659,0.999705533363813
683.073661,0.99954474366063
683.191664,0.9993544684452043
683.309666,0.9993113971958063
683.427669,0.9992762020681869
683.545671,0.9992398490612209
683.663673,0.9991476234794286
683.781676,0.9992176162219205
683.899678,0.9993908556038246
684.01768,0.9992593644060398
684.135683,0.999252459547688
684.253685,0.9994490918056759
684.371687,0.9990324683608633
684.48969,0.9993296947550027
684.607692,0.9992048962626288
684.725695,0.9992897823240506
684.843697,0.9992637611569161
684.961699,0.9992945389547353
685.079702,0.9992846060163849
685.197704,0.9992840863885248
685.315706,0.9995148577195915
685.433709,0.9992558470192677
685.551711,0.999295688144116
685.669713,0.9991482029852183
685.787716,0.9991628705884981
685.905718,0.9992575057853506
686.02372,0.9990444967841934
686.141723,0.9991005847166164
686.259725,0.9989729278000754
686.377728,0.9991031424173872
686.49573,0.9988718368550701
686.613732,0.998713328472534
686.731735,0.9986781743820875
686.849737,0.9989366657409566
686.967739,0.9991519497980048
687.085742,0.9992839165102446
687.203744,0.9991668372729682
687.321746,0.9992461742694847
687.439749,0.9992183856197813
687.557751,0.9992485924481525
687.675754,0.9992716154009459
687.793756,0.999325477592589
687.911758,0.9991391107779407
688.029761,0.9993047617901586
688.147763,0.9992255300567798
688.265765,0.9990958190181934
688.383768,0.9989912091719282
688.50177,0.9991588939281867
688.619772,0.9991577748708522
688.737775,0.9991199674559719
688.855777,0.999030560210671
688.973779,0.9990776955844165
689.091782,0.9990552765324704
689.209784,0.9990047855547122
689.327787,0.9989137903532354
689.445789,0.9991582544666993
689.563791,0.9993325728286679
689.681794,0.9991398801153523
689.799796,0.9991328262126989
689.917798,0.9990204600627637
690.035801,0.9990195609447542
690.153803,0.9988883183763504
690.271805,0.9991129136939014
690.389808,0.9991709138819805
690.50781,0.9992164271536648
690.625813,0.9992105218020306
690.743815,0.9991815451170624
690.861817,0.999280129231378
690.97982,0.9991164505598762
691.097822,0.9992885731841457
691.215824,0.9992338636324514
691.333827,0.9991698747447705
691.451829,0.9994398869219289
691.569831,0.9993645020144358
691.687834,0.9991110953100533
691.805836,0.9992981264285696
691.923838,0.999260583503208
692.041841,0.999210311967843
692.159843,0.9993523398224534
692.277846,0.9992654998773731
692.395848,0.9992581353177775
692.51385,0.9990880860464809
692.631853,0.9992506608948797
692.749855,0.9993989706905193
692.867857,0.9992575957185301
692.98586,0.9990926718713203
693.103862,0.9993829804349106
693.221864,0.9993340018752689
693.339867,0.9993844695166608
693.457869,0.999244085847163
693.575872,0.9991296789492533
693.693874,0.9988067125343831
693.811876,0.9989216818033503
693.929879,0.9989603408204832
694.047881,0.9990063539934567
694.165883,0.9988067125343831
694.283886,0.9988793284219398
694.401888,0.9988500616863769
694.51989,0.9987142273149342
694.637893,0.9988471650253982
694.755895,0.9990653870230278
694.873897,0.9987050391863084
694.9919,0.998832382196749
695.109902,0.998857453204182
695.227905,0.9987884345387879
695.345907,0.9988303845339822
695.463909,0.9983738236599421
695.581912,0.9985429625113263
695.699914,0.9987741519662946
695.817916,0.9985068159103409
695.935919,0.9986256452916421
696.053921,0.9987127292447168
696.171923,0.9987859375708228
696.289926,0.9987391954827178
696.407928,0.9986004802424617
696.525931,0.9988657437554492
696.643933,0.9986466166503918
696.761935,0.9988568538898899
696.879938,0.9987329034456063
696.99794,0.9989479537890569
697.115942,0.9987971240359677
697.233945,0.9989739267735027
697.351947,0.9988607494392163
697.469949,0.9990687638697429
697.587952,0.9990056047389722
697.705954,0.9990453259914699
697.823956,0.9990787246349729
697.941959,0.9988785293187968
698.059961,0.9992409981877081
698.177964,0.9991425877880963
698.295966,0.9990162841659682
698.413968,0.9992758723070947
698.531971,0.9990934311820395
698.649973,0.9992108915099921
698.767975,0.9991165704538574
698.885978,0.999263381436759
699.00398,0.9989212822347575
699.121982,0.9992539784125809
699.239985,0.9993104778297438
699.357987,0.9994023686527961
699.47599,0.9993209906312679
699.593992,0.9993206608553954
699.711994,0.9993186622160722
699.829997,0.9992999451528148
699.947999,0.9993082493698631
700.066001,0.9991727523581535
700.184004,0.9994179394629961
700.302006,0.9993496415747786
700.420008,0.999438467718297
700.538011,0.9994018289756628
700.656013,0.9994017590175371
700.774015,0.9994035479482869
700.892018,0.999266858879377
701.01002,0.9991720629291923
701.128023,0.999219514737195
701.246025,0.9993403876399434
701.364027,0.999315684250896
701.48203,0.9993881072827506
701.600032,0.9992122404456062
701.718034,0.9993588156465971
701.836037,0.9992119107056212
701.954039,0.9994910795439689
702.072041,0.9994244456949597
702.190044,0.9993202111611992
702.308046,0.9992195247293901
702.426049,0.9993965021781103
702.544051,0.9993134757656742
702.662053,0.9992735839679673
702.780056,0.9991099263507556
702.898058,0.9991279304738451
703.01606,0.9992363117584163
703.134063,0.9991797665754949
703.252065,0.9993560973943154
703.370067,0.9992954483131795
703.48807,0.9993913253176371
703.606072,0.9992524195775905
703.724074,0.9990332575968252
703.842077,0.9990985065895615
703.960079,0.9990480933508556
704.078082,0.9991415286975145
704.196084,0.9992088531218526
704.314086,0.9993232690857239
704.432089,0.9991776683001883
704.550091,0.999121096462173
704.668093,0.9994476625944965
704.786096,0.9991371924326897
704.904098,0.9991200074207713
705.0221,0.9991574951067144
705.140103,0.9990102501258347
705.258105,0.9990884557091412
705.376108,0.9990222982621013
705.49411,0.9989951052452413
705.612112,0.9987337024322486
705.730115,0.9989414606484599
705.848117,0.9989729278000754
705.966119,0.9990783849482643
706.084122,0.9989428591674838
706.202124,0.9989917086676576
706.320126,0.9990065737748788
706.438129,0.9988318827806827
706.556131,0.9988938122772097
706.674133,0.9987343016726498
706.792136,0.9987442890656034
706.910138,0.9988617483004651
707.028141,0.9989338687222084
707.146143,0.9988895170430516
707.264145,0.9989023029106991
707.382148,0.9991164006040549
707.50015,0.9989760246209517
707.618152,0.9988805270778531
707.736155,0.9991636099692959
707.854157,0.9990606714455299
707.972159,0.9991695450187662
708.090162,0.9990342166692128
708.208164,0.9989718289304592
708.326167,0.9991203870864463
708.444169,0.9991100662261551
708.562171,0.9990920024794544
708.680174,0.9990633589223508
708.798176,0.9992147584636247
708.916178,0.9991616316273068
709.034181,0.9991127038802116
709.152183,0.9993120467484257
709.270185,0.9992374908579598
709.388188,0.9992313555586013
709.50619,0.9994126425619537
709.624192,0.9992761121333328
709.742195,0.9994221270329353
709.860197,0.9991747507056565
709.9782,0.9990576343057052
710.096202,0.9994428352739441
710.214204,0.9993258073700511
710.332207,0.9990488326467183
710.450209,0.9993794826006003
710.568211,0.9991745708542176
710.686214,0.9992379804844503
710.804216,0.9994548986217681
710.922218,0.9992002199946567
711.040221,0.9990757473848096
711.158223,0.9992247306766755
711.276226,0.9993933540840867
711.394228,0.9992008994510373
711.51223,0.9992381903244483
711.630233,0.9992909614866895
711.748235,0.9991706640892832
711.866237,0.9993204809776925
711.98424,0.9991906277185878
712.102242,0.9992790300238403
712.220244,0.9991893987148716
712.338247,0.9992275584866647
712.456249,0.9988797279737511
712.574251,0.9990833303985098
712.692254,0.9990491423519043
712.810256,0.9991268913813377
712.928259,0.9987875356296013
713.046261,0.9988628470489926
713.164263,0.9987686587235652
713.282266,0.9988217946296118
713.400268,0.998728209411991
713.51827,0.9985635327082264
713.636273,0.9986364305068514
713.754275,0.9985627338577198
713.872277,0.9986787735891718
713.99028,0.9986797722684447
714.108282,0.9986578015551336
